,open,high,low,close,volume,datetime
0,7.61261,7.88227,7.48519,7.823,165358,2002-06-10 05:00:00
1,7.73707,7.90894,7.71929,7.79337,266598,2002-06-11 05:00:00
2,7.76374,7.83782,7.76374,7.83189,13498,2002-06-12 05:00:00
3,7.9119,8.04821,7.89709,7.98598,147472,2002-06-13 05:00:00
4,7.98598,8.00969,7.92672,7.94153,50958,2002-06-14 05:00:00
5,7.85264,8.12822,7.85264,8.06007,361764,2002-06-17 05:00:00
6,8.0008,8.01265,7.85856,7.98598,144097,2002-06-18 05:00:00
7,7.95635,8.0008,7.90005,7.97117,158271,2002-06-19 05:00:00
8,7.88227,8.0008,7.86745,7.88227,46233,2002-06-20 05:00:00
9,7.70447,7.98598,7.68966,7.93857,107989,2002-06-21 05:00:00
10,7.86745,7.95339,7.71929,7.94153,207541,2002-06-24 05:00:00
11,7.95635,7.95635,7.74892,7.75485,83691,2002-06-25 05:00:00
12,7.6541,7.71633,7.41407,7.41407,65469,2002-06-26 05:00:00
13,7.60965,7.64521,7.28369,7.50297,127899,2002-06-27 05:00:00
14,7.5652,7.58002,7.2748,7.52668,640510,2002-06-28 05:00:00
15,7.31925,7.5652,7.31925,7.39333,76605,2002-07-01 05:00:00
16,7.31925,7.58594,7.03774,7.0407,232513,2002-07-02 05:00:00
17,7.11182,7.11775,6.93699,7.11479,739051,2002-07-03 05:00:00
18,7.14145,7.33407,7.12664,7.12664,26659,2002-07-05 05:00:00
19,7.25702,7.25702,6.96366,7.14738,92128,2002-07-08 05:00:00
20,7.14738,7.23924,7.08812,7.15923,313168,2002-07-09 05:00:00
21,7.17109,7.25998,7.11182,7.1859,98877,2002-07-10 05:00:00
22,7.05848,7.20368,7.03774,7.11182,278071,2002-07-11 05:00:00
23,7.14145,7.14145,6.74438,6.81253,132286,2002-07-12 05:00:00
24,6.93403,6.94884,6.38582,6.46287,113050,2002-07-15 05:00:00
25,6.56658,6.56658,6.34137,6.47472,118450,2002-07-16 05:00:00
26,6.38879,6.53399,6.07764,6.0895,71205,2002-07-17 05:00:00
27,6.07764,6.07764,5.30423,5.39313,407659,2002-07-18 05:00:00
28,5.32201,5.63019,5.25682,5.31905,247363,2002-07-19 05:00:00
29,5.28349,5.4524,4.93679,5.17681,305070,2002-07-22 05:00:00
30,5.18274,5.2509,4.98124,5.20052,499450,2002-07-23 05:00:00
31,5.11459,5.48499,5.09681,5.48499,338478,2002-07-24 05:00:00
32,5.48796,5.6776,5.33387,5.33387,68505,2002-07-25 05:00:00
33,5.55611,5.6539,5.4524,5.63612,70530,2002-07-26 05:00:00
34,5.68649,5.88503,5.68649,5.77836,85378,2002-07-29 05:00:00
35,5.71613,6.0895,5.69835,6.0895,71205,2002-07-30 05:00:00
36,6.09839,6.09839,5.81688,6.0006,133299,2002-07-31 05:00:00
37,6.07468,6.07468,5.39313,5.48796,80317,2002-08-01 05:00:00
38,5.48203,5.72798,5.38424,5.46425,60406,2002-08-02 05:00:00
39,5.47018,5.63019,5.46721,5.52055,48595,2002-08-05 05:00:00
40,5.63908,5.68353,5.46721,5.59167,46908,2002-08-06 05:00:00
41,5.68946,5.68946,5.49685,5.53833,78967,2002-08-07 05:00:00
42,5.61834,5.61834,5.25979,5.33387,192018,2002-08-08 05:00:00
43,5.33683,5.40795,5.26275,5.35461,96853,2002-08-09 05:00:00
44,5.26571,5.33387,5.21534,5.31905,126888,2002-08-12 05:00:00
45,5.33387,5.33387,5.18867,5.20052,218677,2002-08-13 05:00:00
46,5.18867,5.33387,5.12644,5.30423,111702,2002-08-14 05:00:00
47,5.33979,5.36054,5.3309,5.34868,263223,2002-08-15 05:00:00
48,5.36054,5.3635,5.33387,5.3635,304395,2002-08-16 05:00:00
49,5.39906,5.51166,5.37832,5.42276,538933,2002-08-19 05:00:00
50,5.42276,5.80799,5.42276,5.7665,196405,2002-08-20 05:00:00
51,5.8228,6.53102,5.77243,6.45398,348603,2002-08-21 05:00:00
52,6.39471,6.64363,6.39471,6.64363,233863,2002-08-22 05:00:00
53,6.48954,6.94884,6.3799,6.43027,684043,2002-08-23 05:00:00
54,6.55769,6.55769,6.22284,6.53695,114738,2002-08-26 05:00:00
55,6.55177,6.75623,6.4036,6.6051,147472,2002-08-27 05:00:00
56,6.5814,6.77105,6.5814,6.61399,129924,2002-08-28 05:00:00
57,6.60807,6.88365,6.5814,6.72364,132961,2002-08-29 05:00:00
58,6.74142,6.80661,6.60807,6.74142,60744,2002-08-30 05:00:00
59,6.74142,6.74142,6.12802,6.26729,111027,2002-09-03 05:00:00
60,6.22877,6.43027,6.22877,6.36804,57031,2002-09-04 05:00:00
61,6.37101,6.37101,6.04801,6.27915,100902,2002-09-05 05:00:00
62,6.28211,6.45398,6.19618,6.39768,168396,2002-09-06 05:00:00
63,6.45398,6.50435,6.22581,6.46583,91791,2002-09-09 05:00:00
64,6.4688,6.56362,6.46287,6.56362,30034,2002-09-10 05:00:00
65,6.5488,6.87773,6.5488,6.80957,134311,2002-09-11 05:00:00
66,6.7266,6.82735,6.6703,6.72956,70867,2002-09-12 05:00:00
67,6.8955,6.8955,6.6703,6.69697,273685,2002-09-13 05:00:00
68,6.72067,6.72067,6.63177,6.65548,46570,2002-09-16 05:00:00
69,6.62881,6.8155,6.61696,6.79772,135661,2002-09-17 05:00:00
70,6.75919,6.86883,6.61696,6.83624,141399,2002-09-18 05:00:00
71,6.81253,6.85995,6.74142,6.78586,209566,2002-09-19 05:00:00
72,6.77105,6.89847,6.59325,6.78883,142411,2002-09-20 05:00:00
73,6.76512,6.76512,6.60807,6.61992,209566,2002-09-23 05:00:00
74,6.61696,6.694,6.47472,6.50435,106977,2002-09-24 05:00:00
75,6.5488,6.66141,6.39768,6.53991,81667,2002-09-25 05:00:00
76,6.51917,6.8155,6.41546,6.61103,115413,2002-09-26 05:00:00
77,6.50139,6.7266,6.18432,6.26137,112377,2002-09-27 05:00:00
78,6.28211,6.32063,5.89985,6.14876,149835,2002-09-30 05:00:00
79,6.13691,6.13691,5.66575,6.05987,199780,2002-10-01 05:00:00
80,5.95911,5.95911,5.77836,5.7991,75592,2002-10-02 05:00:00
81,5.80799,5.85244,5.73094,5.73983,72217,2002-10-03 05:00:00
82,5.77539,6.31767,5.77539,5.95319,213954,2002-10-04 05:00:00
83,6.01542,6.11617,5.60352,5.64501,205179,2002-10-07 05:00:00
84,5.76354,5.80206,5.44351,5.63612,229815,2002-10-08 05:00:00
85,5.47018,5.71909,5.46721,5.5976,675607,2002-10-09 05:00:00
86,5.60352,6.35027,5.60352,6.28804,253099,2002-10-10 05:00:00
87,6.22877,6.56066,6.22877,6.24655,161308,2002-10-11 05:00:00
88,6.26729,6.29693,5.90281,6.07468,136674,2002-10-14 05:00:00
89,6.13691,6.37101,6.10728,6.34137,140386,2002-10-15 05:00:00
90,6.34137,6.34137,6.14284,6.1458,75592,2002-10-16 05:00:00
91,6.3473,6.3473,6.18432,6.24655,146122,2002-10-17 05:00:00
92,6.24655,6.24655,6.14284,6.14284,95503,2002-10-18 05:00:00
93,6.13987,6.13987,5.92652,6.00356,171433,2002-10-21 05:00:00
94,5.94726,6.09246,5.92652,6.0895,170421,2002-10-22 05:00:00
95,6.0895,6.30878,6.04209,6.30878,324642,2002-10-23 05:00:00
96,6.34137,6.80957,6.29396,6.66733,76942,2002-10-24 05:00:00
97,6.6703,6.77105,6.6703,6.77105,20923,2002-10-25 05:00:00
98,6.77105,6.87773,6.66437,6.6703,70530,2002-10-28 06:00:00
99,6.62585,6.62585,6.37101,6.38879,158608,2002-10-29 06:00:00
100,6.50435,6.53102,6.3473,6.50139,29359,2002-10-30 06:00:00
101,6.49843,6.51917,6.39768,6.48657,150172,2002-10-31 06:00:00
102,6.51028,6.60807,6.43027,6.53991,121488,2002-11-01 06:00:00
103,6.57844,6.5814,6.48954,6.55177,191680,2002-11-04 06:00:00
104,6.51917,6.75623,6.50435,6.71475,121825,2002-11-05 06:00:00
105,6.72067,6.88958,6.64955,6.78586,103264,2002-11-06 06:00:00
106,6.73252,7.03181,6.73252,6.9281,101239,2002-11-07 06:00:00
107,6.92514,7.31036,6.92514,7.09997,176494,2002-11-08 06:00:00
108,7.05256,7.11182,6.94884,7.04663,150172,2002-11-11 06:00:00
109,7.01403,7.30147,7.01403,7.20368,180207,2002-11-12 06:00:00
110,7.25406,7.5652,7.20368,7.55631,347253,2002-11-13 06:00:00
111,7.50001,7.63039,7.43778,7.63039,204504,2002-11-14 06:00:00
112,7.55927,7.63039,7.4763,7.55631,30709,2002-11-15 06:00:00
113,7.64817,7.77856,7.48223,7.75781,159621,2002-11-18 06:00:00
114,7.81115,7.93857,7.75189,7.90005,91453,2002-11-19 06:00:00
115,7.90301,7.90894,7.72522,7.76374,167046,2002-11-20 06:00:00
116,7.73114,7.78448,7.55631,7.63336,173794,2002-11-21 06:00:00
117,7.58594,7.70447,7.51186,7.52964,242976,2002-11-22 06:00:00
118,7.54149,7.55631,7.33407,7.39037,151522,2002-11-25 06:00:00
119,7.40815,7.40815,7.1622,7.20368,99214,2002-11-26 06:00:00
120,7.15627,7.40815,7.08219,7.40222,410697,2002-11-27 06:00:00
121,7.44371,7.47927,7.33407,7.40222,49270,2002-11-29 06:00:00
122,7.46741,7.52964,7.34888,7.37852,211929,2002-12-02 06:00:00
123,7.29554,7.52668,7.25998,7.43185,83353,2002-12-03 06:00:00
124,7.43778,7.70447,7.43778,7.6541,152197,2002-12-04 06:00:00
125,7.63928,7.64521,7.52964,7.61261,34422,2002-12-05 06:00:00
126,7.55631,7.70447,7.51186,7.70151,44883,2002-12-06 06:00:00
127,7.69855,7.72225,7.57705,7.60965,205516,2002-12-09 06:00:00
128,7.55631,7.76967,7.54149,7.71336,165021,2002-12-10 06:00:00
129,7.67484,7.73411,7.5978,7.66595,56356,2002-12-11 06:00:00
130,7.6541,7.70447,7.54149,7.6215,80655,2002-12-12 06:00:00
131,7.64521,7.64521,7.49112,7.49112,108664,2002-12-13 06:00:00
132,7.48223,7.52372,7.33407,7.42296,46908,2002-12-16 06:00:00
133,7.44963,7.46445,7.38741,7.38741,23959,2002-12-17 06:00:00
134,7.36963,7.36963,7.16516,7.17701,33072,2002-12-18 06:00:00
135,7.16516,7.24221,6.99329,7.1059,43533,2002-12-19 06:00:00
136,6.98144,7.3963,6.96662,7.32221,99214,2002-12-20 06:00:00
137,7.40222,7.46741,7.3637,7.42296,58044,2002-12-23 06:00:00
138,7.47334,7.47334,7.39333,7.42,47583,2002-12-24 06:00:00
139,7.35185,7.3637,7.24813,7.24813,30034,2002-12-26 06:00:00
140,7.24517,7.3637,7.24221,7.26591,88078,2002-12-27 06:00:00
141,7.26295,7.2748,7.24517,7.24517,41170,2002-12-30 06:00:00
142,7.3074,7.40815,7.08812,7.08812,142411,2002-12-31 06:00:00
143,7.20665,7.31332,7.05256,7.25998,184932,2003-01-02 06:00:00
144,7.26295,7.30443,7.14738,7.2511,79305,2003-01-03 06:00:00
145,7.25998,7.66003,7.25406,7.56816,65131,2003-01-06 06:00:00
146,7.58594,7.74892,7.58594,7.62447,99552,2003-01-07 06:00:00
147,7.62447,7.62447,7.4526,7.57705,71205,2003-01-08 06:00:00
148,7.58002,7.8882,7.58002,7.85264,180882,2003-01-09 06:00:00
149,7.9119,8.03932,7.87931,7.89116,315868,2003-01-10 06:00:00
150,8.0008,8.03636,6.97255,7.04663,563905,2003-01-13 06:00:00
151,7.15331,7.26888,7.14738,7.19479,135324,2003-01-14 06:00:00
152,7.20665,7.4526,7.16812,7.29554,148822,2003-01-15 06:00:00
153,7.29554,7.45852,7.28962,7.40815,47920,2003-01-16 06:00:00
154,7.33999,7.49408,7.3074,7.49112,60744,2003-01-17 06:00:00
155,7.48223,7.48519,7.34888,7.40815,122163,2003-01-21 06:00:00
156,7.48223,7.48223,7.25998,7.3074,107652,2003-01-22 06:00:00
157,7.37852,7.38444,7.28962,7.32518,40833,2003-01-23 06:00:00
158,7.33407,7.37555,6.49843,6.52806,310131,2003-01-24 06:00:00
159,6.45991,6.57844,6.45991,6.49843,118788,2003-01-27 06:00:00
160,6.57547,6.57844,6.23766,6.3799,344890,2003-01-28 06:00:00
161,6.4036,6.4036,6.32063,6.37693,247026,2003-01-29 06:00:00
162,6.40064,6.48954,6.32656,6.32656,119463,2003-01-30 06:00:00
163,6.39471,6.39471,6.29989,6.34434,104952,2003-01-31 06:00:00
164,6.32063,6.32063,5.77836,6.0006,373912,2003-02-03 06:00:00
165,5.92652,5.98282,5.70427,5.7665,358389,2003-02-04 06:00:00
166,5.74872,6.22284,5.74872,6.09246,647935,2003-02-05 06:00:00
167,6.12209,6.15765,6.04209,6.0569,111702,2003-02-06 06:00:00
168,6.2347,6.72364,6.22284,6.52806,603727,2003-02-07 06:00:00
169,6.65548,6.8155,6.49546,6.74438,164008,2003-02-10 06:00:00
170,6.83328,6.86291,6.71475,6.71475,216654,2003-02-11 06:00:00
171,6.69993,6.80957,6.46583,6.46583,69855,2003-02-12 06:00:00
172,6.44805,6.51917,6.27322,6.36212,113725,2003-02-13 06:00:00
173,6.29693,6.34137,6.01542,6.16951,121825,2003-02-14 06:00:00
174,6.21099,6.7266,6.14876,6.69993,81330,2003-02-18 06:00:00
175,6.6377,6.66733,6.5251,6.57844,55006,2003-02-19 06:00:00
176,6.59621,6.75919,6.53399,6.74142,75930,2003-02-20 06:00:00
177,6.71771,6.82142,6.58436,6.74142,90778,2003-02-21 06:00:00
178,6.69697,6.74734,6.68215,6.69697,93141,2003-02-24 06:00:00
179,6.66733,6.71475,6.64659,6.694,121488,2003-02-25 06:00:00
180,6.6703,6.72364,6.41546,6.45398,92128,2003-02-26 06:00:00
181,6.47768,6.47768,6.24062,6.42731,56694,2003-02-27 06:00:00
