,open,high,low,close,volume,datetime
0,4.8165,5.2335,4.8165,5.0145,7231,2019-02-04 06:00:00
1,5.238,5.238,4.944,5.1195,775,2019-02-05 06:00:00
2,4.9335,5.0475,4.815,4.815,266,2019-02-06 06:00:00
3,4.8435,4.8435,4.8435,4.8435,467,2019-02-07 06:00:00
4,5.7372,5.7372,5.55,5.55,313,2019-02-08 06:00:00
5,5.55,5.55,5.49765,5.49765,117,2019-02-11 06:00:00
6,5.4975,5.4975,5.4975,5.4975,110,2019-02-12 06:00:00
7,6.885,7.104,6.489,6.64995,12450,2019-02-13 06:00:00
8,6.6735,6.7284,6.0,6.2415,11722,2019-02-14 06:00:00
9,6.285,6.3,5.775,5.79,2923,2019-02-15 06:00:00
10,6.3,6.3312,5.79,6.3312,3427,2019-02-19 06:00:00
11,6.285,6.3408,5.853,5.853,1017,2019-02-20 06:00:00
12,6.1188,6.1191,5.79,5.85,6933,2019-02-21 06:00:00
13,5.64135,6.009,5.64135,5.85,1146,2019-02-22 06:00:00
14,5.9595,5.976,5.652,5.865,1477,2019-02-25 06:00:00
15,5.931,6.0126,5.931,5.9535,2364,2019-02-26 06:00:00
16,5.85,6.01965,5.85,5.85,735,2019-02-27 06:00:00
17,5.844,5.844,5.844,5.844,135,2019-02-28 06:00:00
18,5.8155,6.15,5.6655,6.15,3204,2019-03-01 06:00:00
19,5.6685,5.95095,5.442,5.6631,1799,2019-03-04 06:00:00
20,5.6796,5.7015,5.4171,5.652,1808,2019-03-05 06:00:00
21,5.6916,5.6919,5.5185,5.66895,1516,2019-03-06 06:00:00
22,5.6769,5.85,5.3271,5.55,364,2019-03-07 06:00:00
23,5.325,5.325,5.1,5.1015,952,2019-03-08 06:00:00
24,4.9905,5.56365,4.9905,5.178,5793,2019-03-11 05:00:00
25,5.2374,5.4735,5.2374,5.355,2718,2019-03-12 05:00:00
26,5.505,5.505,5.103,5.103,806,2019-03-13 05:00:00
27,5.25,5.25,5.25,5.25,333,2019-03-14 05:00:00
28,5.175,5.55,5.175,5.55,1366,2019-03-15 05:00:00
29,5.6529,5.7,5.43,5.55,6075,2019-03-18 05:00:00
30,5.55,5.82435,5.4,5.451,783,2019-03-19 05:00:00
31,5.316,5.5155,5.286,5.286,344,2019-03-20 05:00:00
32,5.6685,5.6685,5.5215,5.5755,736,2019-03-21 05:00:00
33,5.79465,6.54,5.5665,5.5665,1703,2019-03-22 05:00:00
34,5.613,5.613,5.25,5.50965,3808,2019-03-25 05:00:00
35,5.63235,5.63235,5.55,5.55,354,2019-03-26 05:00:00
36,5.1,5.4,5.1,5.265,462,2019-03-27 05:00:00
37,4.686,5.871,4.686,5.6121,2499,2019-03-28 05:00:00
38,5.697,5.7,5.625,5.7,907,2019-03-29 05:00:00
39,5.667,5.83527,5.4405,5.6025,1463,2019-04-01 05:00:00
40,5.55,5.6625,5.2845,5.3985,3444,2019-04-02 05:00:00
41,5.655,5.85,5.4,5.4,5872,2019-04-03 05:00:00
42,5.58585,5.85,5.25,5.25,4694,2019-04-04 05:00:00
43,5.25,6.603,5.013,5.55,55825,2019-04-05 05:00:00
44,5.763,6.3,5.565,5.67,31718,2019-04-08 05:00:00
45,5.85,6.0,5.373,5.475,24406,2019-04-09 05:00:00
46,5.82,5.85,5.5335,5.6625,9419,2019-04-10 05:00:00
47,5.79,5.79,5.25,5.34975,5754,2019-04-11 05:00:00
48,5.46,5.46,5.25,5.28,2941,2019-04-12 05:00:00
49,5.49,5.49,5.076,5.1,25385,2019-04-15 05:00:00
50,4.965,5.1,4.74,5.0385,14291,2019-04-16 05:00:00
51,5.0385,5.0385,4.86,4.9725,5458,2019-04-17 05:00:00
52,5.0895,5.0895,4.8885,5.01,8921,2019-04-18 05:00:00
53,5.0085,5.115,4.815,4.983,11521,2019-04-22 05:00:00
54,4.95,5.115,4.818,4.89,7724,2019-04-23 05:00:00
55,5.115,5.115,4.8,4.9245,5310,2019-04-24 05:00:00
56,4.935,4.9788,4.8,4.95,4837,2019-04-25 05:00:00
57,4.935,4.95,4.77,4.77,7611,2019-04-26 05:00:00
58,4.6875,4.995,4.6875,4.836,8868,2019-04-29 05:00:00
59,4.9095,5.055,4.734,4.734,8008,2019-04-30 05:00:00
60,4.998,4.998,4.485,4.5072,11355,2019-05-01 05:00:00
61,4.5,4.575,4.11,4.11,19654,2019-05-02 05:00:00
62,4.29,4.425,4.10385,4.272,135679,2019-05-03 05:00:00
63,4.395,4.545,4.2,4.5,27720,2019-05-06 05:00:00
64,4.62,4.62,4.35,4.4175,17056,2019-05-07 05:00:00
65,4.545,4.545,4.2,4.257,18483,2019-05-08 05:00:00
66,4.2435,4.335,3.6405,3.768,95558,2019-05-09 05:00:00
67,3.89109,4.164,3.6,4.164,14584,2019-05-10 05:00:00
68,4.305,4.305,3.9345,4.0845,18289,2019-05-13 05:00:00
69,4.059,4.455,4.0125,4.2,25419,2019-05-14 05:00:00
70,4.455,4.9965,4.275,4.935,37127,2019-05-15 05:00:00
71,5.1,5.16,4.695,4.695,39670,2019-05-16 05:00:00
72,4.485,4.905,4.2,4.2,16163,2019-05-17 05:00:00
73,4.0725,4.92,3.945,4.35,9312,2019-05-20 05:00:00
74,4.65,4.725,4.275,4.425,13007,2019-05-21 05:00:00
75,4.665,4.665,4.275,4.326,3631,2019-05-22 05:00:00
76,4.215,4.5,4.125,4.2,6484,2019-05-23 05:00:00
77,4.2,4.545,4.125,4.38,5409,2019-05-24 05:00:00
78,4.2525,4.434,3.93,4.2,13202,2019-05-28 05:00:00
79,4.185,4.23,3.975,4.1835,3072,2019-05-29 05:00:00
80,4.2,4.305,3.9,4.13211,10556,2019-05-30 05:00:00
81,3.93,4.35,3.915,3.915,8755,2019-05-31 05:00:00
