,open,high,low,close,volume,datetime
0,14.3,14.76,13.71,14.0,1594199,2019-04-18 05:00:00
1,14.0,14.3786,13.73,14.0,110145,2019-04-22 05:00:00
2,14.01,14.15,13.75,13.75,86230,2019-04-23 05:00:00
3,14.0,14.1,13.77,14.0,82879,2019-04-24 05:00:00
4,14.03,14.2,14.0,14.15,79609,2019-04-25 05:00:00
5,14.2,14.245,13.8,14.0,114717,2019-04-26 05:00:00
6,14.0,14.18,14.0,14.0,45454,2019-04-29 05:00:00
7,14.0,14.18,12.82,14.02,95471,2019-04-30 05:00:00
8,14.0,14.11,13.75,14.0,75848,2019-05-01 05:00:00
9,14.0,14.165,13.75,13.79,91332,2019-05-02 05:00:00
10,14.0,14.1,13.75,13.9,70223,2019-05-03 05:00:00
11,14.0,14.07,13.74,13.75,68821,2019-05-06 05:00:00
12,14.0,14.05,13.85,13.95,60666,2019-05-07 05:00:00
13,14.0,14.05,13.75,13.77,78027,2019-05-08 05:00:00
14,14.0,14.0,13.75,13.84,84135,2019-05-09 05:00:00
15,14.0,14.01,13.75,13.85,83275,2019-05-10 05:00:00
16,14.0,14.04,13.75,13.79,116358,2019-05-13 05:00:00
17,14.0,14.15,13.75,13.81,110531,2019-05-14 05:00:00
18,13.97,14.0,12.62,13.25,134339,2019-05-15 05:00:00
19,13.05,13.53,12.3,12.83,45770,2019-05-16 05:00:00
20,12.65,12.75,11.37,11.67,30737,2019-05-17 05:00:00
21,11.71,12.524,11.61,11.82,53562,2019-05-20 05:00:00
22,11.76,12.01,9.02,10.29,19357,2019-05-21 05:00:00
23,10.19,10.93,9.38,9.56,53077,2019-05-22 05:00:00
24,9.38,9.8396,9.22,9.26,60304,2019-05-23 05:00:00
25,9.35,9.4463,9.03,9.15,15487,2019-05-24 05:00:00
26,9.26,9.95,9.14,9.45,50291,2019-05-28 05:00:00
27,9.45,10.3487,8.07,8.52,59814,2019-05-29 05:00:00
28,8.4532,8.67,7.8,8.3,39454,2019-05-30 05:00:00
29,8.31,8.75,7.74,8.58,30934,2019-05-31 05:00:00
30,8.65,8.82,7.9763,8.03,48925,2019-06-03 05:00:00
31,8.15,9.77,7.85,9.77,24186,2019-06-04 05:00:00
32,9.33,9.5,7.19,8.05,70148,2019-06-05 05:00:00
33,8.07,8.2496,7.75,7.76,18680,2019-06-06 05:00:00
34,7.9063,8.19,7.18,7.56,88720,2019-06-07 05:00:00
35,7.45,8.83,7.44,8.11,99273,2019-06-10 05:00:00
36,8.33,8.99,8.11,8.8,31973,2019-06-11 05:00:00
37,8.79,9.7,8.725,9.26,69194,2019-06-12 05:00:00
38,9.26,9.69,9.2479,9.67,13159,2019-06-13 05:00:00
39,9.67,9.67,8.74,8.85,20941,2019-06-14 05:00:00
40,8.8,9.26,8.18,8.19,29284,2019-06-17 05:00:00
41,8.3,8.925,7.75,8.2,42994,2019-06-18 05:00:00
42,8.16,8.1996,7.64,7.8,30226,2019-06-19 05:00:00
43,7.83,8.98,7.51,7.66,40083,2019-06-20 05:00:00
44,7.61,8.42,7.22,7.35,186731,2019-06-21 05:00:00
45,7.63,7.63,6.4,6.51,86464,2019-06-24 05:00:00
46,6.53,7.22,6.31,6.4,23529,2019-06-25 05:00:00
47,6.51,7.109,6.06,6.16,82257,2019-06-26 05:00:00
48,6.14,6.7975,6.14,6.5,25042,2019-06-27 05:00:00
49,6.83,7.45,6.66,6.73,354923,2019-06-28 05:00:00
50,6.81,7.095,6.73,6.73,30997,2019-07-01 05:00:00
51,6.8,7.1,6.76,6.76,10449,2019-07-02 05:00:00
52,7.05,7.05,6.71,6.71,19476,2019-07-03 05:00:00
53,6.6258,6.9449,6.6,6.72,14963,2019-07-05 05:00:00
54,7.02,7.18,6.5,6.56,39688,2019-07-08 05:00:00
55,6.59,6.94,6.5,6.67,10855,2019-07-09 05:00:00
56,7.127,7.13,6.72,6.84,9452,2019-07-10 05:00:00
57,6.86,7.42,6.6,6.68,360666,2019-07-11 05:00:00
58,8.7,9.12,7.8601,8.21,2913103,2019-07-12 05:00:00
59,7.54,7.832,7.34,7.45,331727,2019-07-15 05:00:00
60,7.4,7.4,6.72,6.78,178286,2019-07-16 05:00:00
61,6.6,7.71,6.4662,7.51,179648,2019-07-17 05:00:00
62,7.62,7.63,7.0,7.16,47546,2019-07-18 05:00:00
63,7.1,7.615,7.08,7.54,100706,2019-07-19 05:00:00
64,7.55,7.59,6.815,6.91,58049,2019-07-22 05:00:00
65,6.91,6.95,6.28,6.78,85846,2019-07-23 05:00:00
66,6.85,7.21,6.685,7.18,39794,2019-07-24 05:00:00
67,7.16,7.16,6.45,6.45,57326,2019-07-25 05:00:00
68,6.57,6.905,6.5,6.61,92209,2019-07-26 05:00:00
69,6.7,6.7675,6.38,6.48,36309,2019-07-29 05:00:00
70,6.47,7.4689,6.315,7.25,319709,2019-07-30 05:00:00
71,7.35,7.4754,6.7,7.29,272216,2019-07-31 05:00:00
72,7.25,7.37,7.0,7.31,110397,2019-08-01 05:00:00
73,7.19,7.3,6.78,7.15,122530,2019-08-02 05:00:00
74,7.01,7.04,6.6,6.78,57629,2019-08-05 05:00:00
