,open,high,low,close,volume,datetime
0,9.46,9.46,9.46,9.46,6047,2011-06-08 05:00:00
1,9.44,9.44,9.44,9.44,100,2011-06-23 05:00:00
2,9.5,9.5,9.5,9.5,10900,2011-06-24 05:00:00
3,9.44,9.44,9.44,9.44,17000,2011-06-28 05:00:00
4,9.44,9.44,9.44,9.44,24100,2011-06-29 05:00:00
5,9.44,9.44,9.44,9.44,10000,2011-06-30 05:00:00
6,9.44,9.44,9.44,9.44,10000,2011-07-01 05:00:00
7,9.43,9.43,9.43,9.43,200,2011-07-06 05:00:00
8,9.43,9.43,9.43,9.43,10000,2011-07-11 05:00:00
9,9.39,9.41,9.39,9.39,153100,2011-07-12 05:00:00
10,9.43,9.43,9.43,9.43,100,2011-07-19 05:00:00
11,9.43,9.43,9.43,9.43,32380,2011-07-21 05:00:00
12,9.45,9.45,9.41,9.41,21300,2011-07-28 05:00:00
13,9.4099,9.41,9.4099,9.41,4000,2011-08-01 05:00:00
14,9.41,9.41,9.41,9.41,146500,2011-08-02 05:00:00
15,9.39,9.42,9.39,9.42,1500,2011-08-04 05:00:00
16,9.41,9.41,9.41,9.41,700,2011-08-05 05:00:00
17,9.41,9.43,9.41,9.43,1400,2011-08-08 05:00:00
18,9.3899,9.39,9.3899,9.39,2100,2011-08-11 05:00:00
19,9.41,9.41,9.41,9.41,5000,2011-08-16 05:00:00
20,9.43,9.43,9.43,9.43,1100,2011-08-18 05:00:00
21,9.41,9.45,9.41,9.45,800,2011-08-29 05:00:00
22,9.42,9.45,9.4,9.45,26200,2011-09-01 05:00:00
23,9.45,9.5025,9.45,9.5025,6000,2011-09-13 05:00:00
24,9.46,9.46,9.46,9.46,1000,2011-09-15 05:00:00
25,9.45,9.45,9.4,9.4,2200,2011-09-16 05:00:00
26,9.41,9.484,9.41,9.48,2600,2011-09-19 05:00:00
27,9.5,9.51,9.5,9.5,14500,2011-09-20 05:00:00
28,9.51,9.51,9.51,9.51,900,2011-09-21 05:00:00
29,9.55,9.55,9.55,9.55,100,2011-09-26 05:00:00
30,9.45,9.55,9.44,9.55,700,2011-10-05 05:00:00
31,9.49,9.49,9.49,9.49,1500,2011-10-06 05:00:00
32,9.52,9.55,9.52,9.55,2000,2011-10-18 05:00:00
33,9.42,9.42,9.42,9.42,400,2011-10-27 05:00:00
34,9.44,9.44,9.41,9.41,52500,2011-11-07 06:00:00
35,9.41,9.41,9.41,9.41,31900,2011-12-08 06:00:00
36,9.52,9.52,9.41,9.41,200,2011-12-20 06:00:00
37,9.48,9.72,9.46,9.71,4500,2011-12-21 06:00:00
38,9.78,9.78,9.78,9.78,100,2012-01-05 06:00:00
39,9.6,9.6,9.5,9.6,1200,2012-02-01 06:00:00
40,9.7,9.7,9.7,9.7,1000,2012-02-02 06:00:00
41,9.515,9.71,9.515,9.71,200,2012-02-10 06:00:00
42,9.68,9.68,9.676,9.676,5600,2012-03-09 06:00:00
43,9.66,9.7,9.66,9.7,1100,2012-03-16 05:00:00
44,9.68,9.68,9.68,9.68,100,2012-03-21 05:00:00
45,9.65,9.65,9.65,9.65,100,2012-03-22 05:00:00
46,9.69,9.7,9.65,9.65,5700,2012-03-26 05:00:00
47,9.67,9.67,9.67,9.67,1000,2012-04-23 05:00:00
48,9.62,9.62,9.62,9.62,100,2012-04-26 05:00:00
49,9.62,9.62,9.62,9.62,9200,2012-04-27 05:00:00
50,12.11,12.11,9.69,9.69,300,2012-05-02 05:00:00
51,9.6699,9.69,9.66,9.69,1400,2012-05-07 05:00:00
52,9.65,9.65,9.63,9.63,400,2012-05-14 05:00:00
53,9.64,9.64,9.64,9.64,500,2012-05-15 05:00:00
54,9.699,9.699,9.68,9.68,200,2012-05-21 05:00:00
55,9.64,9.7,9.64,9.6799,3100,2012-05-24 05:00:00
56,9.65,9.68,9.65,9.68,700,2012-05-25 05:00:00
57,9.65,9.67,9.65,9.67,3800,2012-05-30 05:00:00
58,9.66,9.68,9.66,9.68,700,2012-06-01 05:00:00
59,9.7,9.7,9.7,9.7,100,2012-06-04 05:00:00
60,9.66,9.66,9.66,9.66,100,2012-06-05 05:00:00
61,9.68,9.68,9.68,9.68,100,2012-06-06 05:00:00
62,9.69,9.7,9.69,9.7,2100,2012-06-07 05:00:00
63,9.66,9.66,9.66,9.66,4800,2012-06-14 05:00:00
64,9.7,9.7,9.7,9.7,100,2012-06-15 05:00:00
