,open,high,low,close,volume,datetime
0,65.28,81.28,62.08,77.44,335,2002-06-10 05:00:00
1,77.44,83.84,67.84,70.4,585,2002-06-11 05:00:00
2,67.2,84.48,67.2,78.72,400,2002-06-12 05:00:00
3,78.72,85.12,74.88,83.2,135,2002-06-13 05:00:00
4,83.2,85.12,78.72,84.48,128,2002-06-14 05:00:00
5,81.28,91.52,80.0,91.52,235,2002-06-17 05:00:00
6,89.6,89.6,74.24,76.8,251,2002-06-18 05:00:00
7,75.52,84.48,75.52,84.48,134,2002-06-19 05:00:00
8,83.2,83.2,80.0,82.56,37,2002-06-20 05:00:00
9,80.0,81.92,80.0,81.92,3,2002-06-21 05:00:00
10,79.36,80.0,78.72,80.0,18,2002-06-24 05:00:00
11,80.0,80.64,79.36,80.64,6,2002-06-25 05:00:00
12,80.64,80.64,74.88,76.16,60,2002-06-26 05:00:00
13,75.52,75.52,65.92,69.76,231,2002-06-27 05:00:00
14,69.76,74.24,67.84,74.24,14,2002-06-28 05:00:00
15,74.24,78.72,69.12,70.4,153,2002-07-01 05:00:00
16,73.6,78.72,67.2,67.2,100,2002-07-02 05:00:00
17,67.2,67.2,60.8,64.64,68,2002-07-03 05:00:00
18,62.72,65.92,62.72,65.92,18,2002-07-05 05:00:00
19,62.72,65.28,59.52,65.28,90,2002-07-08 05:00:00
20,62.08,73.6,62.08,68.48,75,2002-07-09 05:00:00
21,70.4,73.6,64.64,65.28,123,2002-07-10 05:00:00
22,65.28,74.88,65.28,70.4,23,2002-07-11 05:00:00
23,70.4,70.4,64.64,67.84,76,2002-07-12 05:00:00
24,67.2,67.84,65.92,66.56,46,2002-07-15 05:00:00
25,65.28,69.76,65.28,67.2,54,2002-07-16 05:00:00
26,67.84,69.12,62.72,64.64,123,2002-07-17 05:00:00
27,65.28,67.2,60.8,64.64,98,2002-07-18 05:00:00
28,64.64,66.56,57.6,66.56,60,2002-07-19 05:00:00
29,64.64,65.28,54.4,57.6,153,2002-07-22 05:00:00
30,59.52,63.36,53.12,59.52,110,2002-07-23 05:00:00
31,59.52,60.8,55.68,57.6,70,2002-07-24 05:00:00
32,59.52,59.52,55.04,57.6,79,2002-07-25 05:00:00
33,54.4,57.6,53.12,56.96,117,2002-07-26 05:00:00
34,53.12,56.96,53.12,56.96,4,2002-07-29 05:00:00
35,56.96,64.64,56.96,64.0,145,2002-07-30 05:00:00
36,64.64,64.64,55.04,64.64,23,2002-07-31 05:00:00
37,64.64,64.64,64.64,64.64,0,2002-08-01 05:00:00
38,54.4,62.72,54.4,58.88,18,2002-08-02 05:00:00
39,54.4,60.8,54.4,60.8,18,2002-08-05 05:00:00
40,59.52,59.52,51.84,57.6,43,2002-08-06 05:00:00
41,51.84,59.52,51.2,54.4,40,2002-08-07 05:00:00
42,60.8,60.8,51.84,57.6,29,2002-08-08 05:00:00
43,52.48,53.76,51.2,53.76,37,2002-08-09 05:00:00
44,51.2,51.84,46.72,51.2,87,2002-08-12 05:00:00
45,51.2,51.2,49.28,51.2,12,2002-08-13 05:00:00
46,51.2,51.2,51.2,51.2,0,2002-08-14 05:00:00
47,53.76,62.08,51.2,57.6,137,2002-08-15 05:00:00
48,58.88,58.88,51.2,54.4,90,2002-08-16 05:00:00
49,51.84,54.4,51.84,54.4,3,2002-08-19 05:00:00
50,54.4,54.4,42.88,42.88,106,2002-08-20 05:00:00
51,48.0,51.2,43.52,48.0,46,2002-08-21 05:00:00
52,50.56,50.56,50.56,50.56,3,2002-08-22 05:00:00
53,48.0,51.2,48.0,51.2,43,2002-08-23 05:00:00
54,46.08,56.32,46.08,56.32,100,2002-08-26 05:00:00
55,56.32,56.32,56.32,56.32,0,2002-08-27 05:00:00
56,51.2,52.48,49.92,51.2,23,2002-08-28 05:00:00
57,48.0,49.28,46.72,49.28,26,2002-08-29 05:00:00
58,46.72,49.28,46.72,49.28,6,2002-08-30 05:00:00
59,46.72,46.72,41.6,44.8,93,2002-09-03 05:00:00
60,44.8,44.8,41.6,44.8,10,2002-09-04 05:00:00
61,41.6,44.8,41.6,43.52,65,2002-09-05 05:00:00
62,41.6,43.52,37.76,42.88,362,2002-09-06 05:00:00
63,39.68,44.16,39.68,42.88,56,2002-09-09 05:00:00
64,41.6,41.6,38.4,38.4,170,2002-09-10 05:00:00
65,39.68,48.64,39.04,48.0,225,2002-09-11 05:00:00
66,51.2,64.64,50.56,57.6,246,2002-09-12 05:00:00
67,63.36,64.0,55.04,60.8,217,2002-09-13 05:00:00
68,56.32,62.08,56.32,58.24,90,2002-09-16 05:00:00
69,55.68,60.8,55.68,60.8,9,2002-09-17 05:00:00
70,55.04,56.32,54.4,56.32,70,2002-09-18 05:00:00
71,54.4,54.4,52.48,54.4,23,2002-09-19 05:00:00
72,49.92,55.04,49.92,55.04,9,2002-09-20 05:00:00
73,55.04,55.04,55.04,55.04,0,2002-09-23 05:00:00
74,48.64,51.84,45.44,51.84,45,2002-09-24 05:00:00
75,44.8,48.0,42.88,44.8,18,2002-09-25 05:00:00
76,44.8,53.12,44.8,53.12,53,2002-09-26 05:00:00
77,53.12,53.12,53.12,53.12,3,2002-09-27 05:00:00
78,44.8,53.12,44.8,53.12,1,2002-09-30 05:00:00
79,53.12,53.12,44.8,53.12,4,2002-10-01 05:00:00
80,44.8,53.12,44.8,53.12,3,2002-10-02 05:00:00
81,44.8,53.12,44.8,53.12,3,2002-10-03 05:00:00
82,53.12,53.12,44.8,53.12,1,2002-10-04 05:00:00
83,53.12,53.12,53.12,53.12,1,2002-10-07 05:00:00
84,49.28,49.28,44.8,44.8,9,2002-10-08 05:00:00
85,49.28,49.28,49.28,49.28,1,2002-10-09 05:00:00
86,44.8,46.08,42.88,46.08,17,2002-10-10 05:00:00
87,44.8,53.12,44.8,51.2,103,2002-10-11 05:00:00
88,52.48,52.48,51.2,51.2,17,2002-10-14 05:00:00
89,48.0,52.48,48.0,52.48,15,2002-10-15 05:00:00
90,48.0,48.0,41.6,48.0,12,2002-10-16 05:00:00
91,45.44,51.2,45.44,51.2,137,2002-10-17 05:00:00
92,52.48,55.04,51.84,54.4,68,2002-10-18 05:00:00
93,55.04,55.04,51.84,53.12,71,2002-10-21 05:00:00
94,54.4,55.68,51.2,55.68,53,2002-10-22 05:00:00
95,55.68,55.68,55.68,55.68,1,2002-10-23 05:00:00
96,55.68,55.68,54.4,54.4,31,2002-10-24 05:00:00
97,51.2,64.64,51.2,59.52,114,2002-10-25 05:00:00
98,59.52,66.56,59.52,65.28,173,2002-10-28 06:00:00
99,64.64,64.64,57.6,64.0,81,2002-10-29 06:00:00
100,64.64,64.64,59.52,59.52,29,2002-10-30 06:00:00
101,57.6,64.64,57.6,60.8,51,2002-10-31 06:00:00
102,56.32,59.52,52.48,57.6,56,2002-11-01 06:00:00
103,59.52,64.64,55.04,62.72,90,2002-11-04 06:00:00
104,64.64,64.64,58.88,63.36,84,2002-11-05 06:00:00
105,64.64,73.6,61.44,73.6,201,2002-11-06 06:00:00
106,74.88,80.0,69.12,70.4,214,2002-11-07 06:00:00
107,71.68,71.68,69.12,70.4,50,2002-11-08 06:00:00
108,69.12,70.4,65.28,69.12,90,2002-11-11 06:00:00
109,66.56,69.76,66.56,66.56,46,2002-11-12 06:00:00
110,67.84,74.88,67.84,73.6,50,2002-11-13 06:00:00
111,70.4,78.72,69.12,76.8,123,2002-11-14 06:00:00
112,76.8,76.8,69.12,73.6,26,2002-11-15 06:00:00
113,67.2,72.96,67.2,72.96,12,2002-11-18 06:00:00
114,73.6,74.88,64.64,70.4,90,2002-11-19 06:00:00
115,65.92,67.84,65.28,67.2,106,2002-11-20 06:00:00
116,68.48,68.48,64.64,65.92,46,2002-11-21 06:00:00
117,64.64,67.84,64.0,65.28,46,2002-11-22 06:00:00
118,58.24,64.64,57.6,63.36,71,2002-11-25 06:00:00
119,58.24,62.08,58.24,62.08,9,2002-11-26 06:00:00
120,63.36,63.36,60.16,63.36,14,2002-11-27 06:00:00
121,63.36,63.36,60.16,63.36,29,2002-11-29 06:00:00
122,58.24,58.88,51.2,53.76,206,2002-12-02 06:00:00
123,49.28,53.76,48.0,53.76,43,2002-12-03 06:00:00
124,49.92,57.6,49.92,57.6,114,2002-12-04 06:00:00
125,57.6,57.6,55.68,57.6,25,2002-12-05 06:00:00
126,55.68,57.6,51.2,51.2,125,2002-12-06 06:00:00
127,53.76,55.68,46.08,52.48,132,2002-12-09 06:00:00
128,46.08,53.12,46.08,53.12,15,2002-12-10 06:00:00
129,48.64,51.2,48.0,50.56,76,2002-12-11 06:00:00
130,46.72,49.92,46.72,49.92,32,2002-12-12 06:00:00
131,51.2,55.68,49.92,52.48,98,2002-12-13 06:00:00
132,49.92,52.48,49.92,52.48,43,2002-12-16 06:00:00
