,open,high,low,close,volume,datetime
0,50.125,50.125,50.125,50.125,200,2007-01-11 06:00:00
1,50.055,50.055,50.055,50.055,200,2007-01-12 06:00:00
2,50.11,50.11,50.11,50.11,1200,2007-01-16 06:00:00
3,50.08,50.08,50.08,50.08,1000,2007-01-18 06:00:00
4,50.11,50.11,50.03725,50.055,14800,2007-01-19 06:00:00
5,50.095,50.095,50.05,50.09,1800,2007-01-22 06:00:00
6,50.09,50.09,50.055,50.055,2200,2007-01-23 06:00:00
7,50.065,50.08,50.065,50.08,10200,2007-01-24 06:00:00
8,50.075,50.075,49.96,49.97,11200,2007-01-25 06:00:00
9,49.93,49.93,49.89,49.895,1400,2007-01-26 06:00:00
10,49.905,49.905,49.905,49.905,200,2007-01-29 06:00:00
11,49.97,49.97,49.955,49.965,10800,2007-01-30 06:00:00
12,49.995,50.03,49.995,50.03,600,2007-01-31 06:00:00
13,49.92,49.92,49.915,49.915,3200,2007-02-01 06:00:00
14,49.97,49.97,49.97,49.97,200,2007-02-02 06:00:00
15,50.015,50.09,50.015,50.09,10800,2007-02-06 06:00:00
16,50.155,50.155,50.145,50.145,600,2007-02-07 06:00:00
17,50.105,50.115,50.05,50.05,4400,2007-02-09 06:00:00
18,50.1,50.1,50.065,50.075,13000,2007-02-12 06:00:00
19,50.23,50.2555,50.225,50.2505,2000,2007-02-14 06:00:00
20,50.37,50.385,50.35,50.35,29400,2007-02-15 06:00:00
21,50.375,50.41,50.375,50.405,7400,2007-02-16 06:00:00
22,50.41,50.465,50.41,50.465,12200,2007-02-20 06:00:00
23,50.43,50.455,50.42,50.455,2000,2007-02-21 06:00:00
24,50.39,50.39,50.355,50.355,2000,2007-02-22 06:00:00
25,50.42,50.515,50.42,50.495,130400,2007-02-23 06:00:00
26,50.575,50.595,50.575,50.59,1400,2007-02-26 06:00:00
27,50.675,50.775,50.675,50.77,12200,2007-02-27 06:00:00
28,50.78,50.78,50.685,50.705,13400,2007-02-28 06:00:00
29,50.6,50.61,50.505,50.505,35400,2007-03-01 06:00:00
30,50.45,50.59,50.45,50.575,28800,2007-03-02 06:00:00
31,50.58,50.595,50.58,50.585,12200,2007-03-05 06:00:00
32,50.5,50.57,50.5,50.52,20200,2007-03-06 06:00:00
33,50.525,50.6,50.525,50.565,19400,2007-03-07 06:00:00
34,50.575,50.63,50.545,50.63,7200,2007-03-08 06:00:00
35,50.425,50.53,50.425,50.45,19600,2007-03-09 06:00:00
36,50.51,50.515,50.49,50.5,23200,2007-03-12 05:00:00
37,50.61,50.665,50.595,50.665,2600,2007-03-13 05:00:00
38,50.61,50.65,50.595,50.595,8400,2007-03-14 05:00:00
39,50.545,50.605,50.545,50.595,10600,2007-03-15 05:00:00
40,50.59,50.59,50.5855,50.5855,400,2007-03-16 05:00:00
41,50.5,50.515,50.5,50.51,3600,2007-03-19 05:00:00
42,50.575,50.575,50.53,50.545,5800,2007-03-20 05:00:00
43,50.51,50.585,50.5,50.585,5000,2007-03-21 05:00:00
44,50.565,50.58,50.52,50.53,7000,2007-03-22 05:00:00
45,50.53,50.53,50.495,50.495,2000,2007-03-23 05:00:00
46,50.465,50.595,50.465,50.555,7000,2007-03-26 05:00:00
47,50.53,50.53,50.505,50.51,3800,2007-03-27 05:00:00
48,50.575,50.6,50.515,50.515,3600,2007-03-28 05:00:00
49,50.49,50.505,50.475,50.475,7200,2007-03-29 05:00:00
50,50.43,50.52,50.43,50.465,14200,2007-03-30 05:00:00
51,50.26,50.275,50.25,50.25,4400,2007-04-02 05:00:00
52,50.255,50.265,50.22,50.24,3200,2007-04-03 05:00:00
53,50.285,50.305,50.27,50.28,2000,2007-04-04 05:00:00
54,50.27,50.27,50.25,50.27,16600,2007-04-05 05:00:00
55,50.05,50.09,50.05,50.09,8400,2007-04-09 05:00:00
56,50.135,50.1555,50.1345,50.15,103800,2007-04-10 05:00:00
57,50.205,50.205,50.19,50.19,1600,2007-04-11 05:00:00
58,50.11,50.185,50.11,50.155,21600,2007-04-12 05:00:00
59,50.17,50.185,50.115,50.135,19600,2007-04-13 05:00:00
60,50.135,50.17,50.125,50.165,9400,2007-04-16 05:00:00
61,50.23,50.305,50.23,50.3,53800,2007-04-17 05:00:00
62,50.335,50.36,50.335,50.36,9400,2007-04-18 05:00:00
63,50.405,50.405,50.32,50.345,5000,2007-04-19 05:00:00
64,50.36,50.36,50.3072,50.34,6600,2007-04-20 05:00:00
65,50.39,50.405,50.39,50.4,6400,2007-04-23 05:00:00
66,50.42,50.48,50.42,50.48,5600,2007-04-24 05:00:00
67,50.455,50.5,50.435,50.435,3000,2007-04-25 05:00:00
68,50.42,50.42,50.365,50.365,2000,2007-04-26 05:00:00
69,50.365,50.365,50.34,50.345,3000,2007-04-27 05:00:00
70,50.45,50.48,50.445,50.48,12600,2007-04-30 05:00:00
71,50.21,50.265,50.1878,50.265,16000,2007-05-01 05:00:00
72,50.255,50.255,50.21,50.25,10400,2007-05-02 05:00:00
73,50.24,50.24,50.195,50.21,36200,2007-05-03 05:00:00
74,50.275,50.285,50.27,50.275,11000,2007-05-04 05:00:00
75,50.28,50.295,50.28,50.295,1600,2007-05-07 05:00:00
76,50.33,50.33,50.295,50.32,14000,2007-05-08 05:00:00
77,50.335,50.335,50.29,50.29,3200,2007-05-09 05:00:00
78,50.275,50.31,50.255,50.31,5000,2007-05-10 05:00:00
79,50.375,50.375,50.255,50.255,1400,2007-05-11 05:00:00
80,50.225,50.23,50.225,50.23,1800,2007-05-14 05:00:00
81,50.26,50.26,50.14,50.2,3400,2007-05-15 05:00:00
82,50.22,50.24,50.22,50.24,1600,2007-05-16 05:00:00
83,50.18,50.18,50.13,50.13,6200,2007-05-17 05:00:00
84,50.11,50.11,50.025,50.035,7800,2007-05-18 05:00:00
85,50.035,50.055,50.02,50.055,9200,2007-05-21 05:00:00
86,50.065,50.07,49.945,49.97,37400,2007-05-22 05:00:00
87,50.025,50.025,49.92825,49.965,10600,2007-05-23 05:00:00
88,49.985,49.985,49.905,49.98,12800,2007-05-24 05:00:00
89,49.965,49.995,49.965,49.995,2600,2007-05-25 05:00:00
90,49.955,49.955,49.91,49.93,2000,2007-05-29 05:00:00
91,49.945,49.945,49.895,49.905,4000,2007-05-30 05:00:00
92,49.855,49.9,49.855,49.87,15800,2007-05-31 05:00:00
93,49.545,49.545,49.515,49.515,80200,2007-06-01 05:00:00
94,49.175,49.605,49.175,49.6,18400,2007-06-04 05:00:00
95,49.575,49.575,49.5,49.525,12200,2007-06-05 05:00:00
96,49.535,49.575,49.535,49.57,11600,2007-06-06 05:00:00
97,49.42,49.42,49.255,49.27,7800,2007-06-07 05:00:00
98,49.235,49.295,49.235,49.29,2000,2007-06-08 05:00:00
99,49.27,49.295,49.25,49.25,8200,2007-06-11 05:00:00
100,49.135,49.135,49.02,49.02,3400,2007-06-12 05:00:00
101,49.025,49.15,49.025,49.125,98600,2007-06-13 05:00:00
102,49.115,49.155,49.095,49.12,9000,2007-06-14 05:00:00
103,49.205,49.265,49.205,49.265,3400,2007-06-15 05:00:00
104,49.26,49.315,49.26,49.315,7200,2007-06-18 05:00:00
105,49.37,49.45,49.35,49.45,23600,2007-06-19 05:00:00
106,49.395,49.395,49.355,49.36,2200,2007-06-20 05:00:00
107,49.36,49.365,49.345,49.35,6000,2007-06-21 05:00:00
108,49.26,49.405,49.26,49.405,16200,2007-06-22 05:00:00
109,49.485,49.505,49.45,49.495,16400,2007-06-25 05:00:00
110,49.43505,49.48,49.43,49.43,4800,2007-06-26 05:00:00
111,49.61,49.61,49.49,49.49,16000,2007-06-27 05:00:00
112,49.42,49.42,49.395,49.395,600,2007-06-28 05:00:00
113,49.47,49.605,49.47,49.605,19800,2007-06-29 05:00:00
114,49.38,49.465,49.38,49.465,15400,2007-07-02 05:00:00
115,49.525,49.525,49.425,49.425,800,2007-07-03 05:00:00
116,49.315,49.315,49.145,49.145,20000,2007-07-05 05:00:00
117,49.085,49.085,49.07,49.07,1000,2007-07-06 05:00:00
118,49.16,49.175,49.16,49.16,1000,2007-07-09 05:00:00
119,49.27,49.36,49.27,49.36,1800,2007-07-10 05:00:00
120,49.425,49.435,49.32,49.32,6000,2007-07-11 05:00:00
121,49.35,49.35,49.21,49.25,5400,2007-07-12 05:00:00
122,49.23,49.275,49.23,49.26385,2400,2007-07-13 05:00:00
123,49.225,49.365,49.225,49.355,21000,2007-07-16 05:00:00
124,49.265,49.335,49.265,49.335,10000,2007-07-17 05:00:00
125,49.34,49.45,49.335,49.405,38200,2007-07-18 05:00:00
126,49.365,49.42,49.365,49.42,15800,2007-07-19 05:00:00
127,49.495,49.595,49.47,49.555,28800,2007-07-20 05:00:00
128,49.535,49.545,49.49,49.51,2400,2007-07-23 05:00:00
129,49.56,49.575,49.545,49.56,12400,2007-07-24 05:00:00
130,49.52,49.57,49.52,49.55,26000,2007-07-25 05:00:00
131,49.65,49.74,49.65,49.74,23000,2007-07-26 05:00:00
132,49.685,49.73,49.685,49.685,9800,2007-07-27 05:00:00
133,49.695,49.71,49.525,49.53,44600,2007-07-30 05:00:00
134,49.51,49.61,49.5,49.61,11000,2007-07-31 05:00:00
135,49.405,49.405,49.355,49.355,10800,2007-08-01 05:00:00
136,49.335,49.435,49.27,49.395,52600,2007-08-02 05:00:00
137,49.415,49.53,49.415,49.52,6800,2007-08-03 05:00:00
138,49.56,49.595,49.34,49.34,21400,2007-08-06 05:00:00
139,49.38,49.4,49.275,49.275,195400,2007-08-07 05:00:00
140,49.265,49.29,49.21,49.275,27400,2007-08-08 05:00:00
141,49.305,49.33,49.275,49.275,4800,2007-08-09 05:00:00
142,49.4,49.435,49.305,49.305,2400,2007-08-10 05:00:00
143,49.28,49.385,49.28,49.345,3800,2007-08-13 05:00:00
144,49.435,49.435,49.435,49.435,200,2007-08-14 05:00:00
145,49.505,49.505,49.39,49.39,11800,2007-08-15 05:00:00
146,49.41,49.65,49.41,49.65,30000,2007-08-16 05:00:00
147,49.55,49.58,49.54,49.57,1600,2007-08-17 05:00:00
148,49.585,49.715,49.585,49.67,15800,2007-08-20 05:00:00
149,49.745,49.815,49.69,49.69,3200,2007-08-21 05:00:00
150,49.6,49.67,49.58,49.64,67200,2007-08-22 05:00:00
151,49.555,49.66,49.555,49.64,105200,2007-08-23 05:00:00
152,49.635,49.635,49.555,49.61,5600,2007-08-24 05:00:00
153,49.6,49.68,49.6,49.68,1000,2007-08-27 05:00:00
