,open,high,low,close,volume,datetime
0,184.685,185.8585,184.325,185.8585,3275,2021-03-22 05:00:00
1,184.54,184.54,180.81,180.81,3176,2021-03-23 05:00:00
2,183.4801,184.08,181.1632,181.1632,8005,2021-03-24 05:00:00
3,178.715,182.9824,178.56,182.9824,4138,2021-03-25 05:00:00
4,183.87,185.4331,182.895,185.4331,3283,2021-03-26 05:00:00
5,184.95,185.535,183.31,183.77,10924,2021-03-29 05:00:00
6,184.35,185.26,184.31,185.26,3824,2021-03-30 05:00:00
7,186.03,186.03,184.3813,184.3813,3979,2021-03-31 05:00:00
8,185.55,186.4,184.19,186.4,7227,2021-04-01 05:00:00
9,188.53,188.53,187.0799,187.33,15218,2021-04-05 05:00:00
10,187.91,188.1516,187.11,187.89,8578,2021-04-06 05:00:00
11,187.65,187.65,186.69,187.15,3704,2021-04-07 05:00:00
12,185.9978,186.935,185.6,186.9156,8313,2021-04-08 05:00:00
13,187.0941,187.12,186.73,187.05,40889,2021-04-09 05:00:00
14,187.34,188.0794,187.34,187.9528,4243,2021-04-12 05:00:00
15,186.3401,187.65,186.2681,187.43,6685,2021-04-13 05:00:00
16,187.23,189.5,187.23,188.2879,6125,2021-04-14 05:00:00
17,189.06,189.339,188.3438,189.0827,3009,2021-04-15 05:00:00
18,189.63,190.385,189.63,190.385,3024,2021-04-16 05:00:00
19,63.6,63.6,62.85,63.061,12667,2021-04-19 05:00:00
20,63.21,63.21,62.0908,62.2461,20006,2021-04-20 05:00:00
21,62.48,63.2797,62.25,63.27,35641,2021-04-21 05:00:00
22,63.54,63.54,62.685,62.8,6472,2021-04-22 05:00:00
23,62.99,63.67,62.96,63.5876,54101,2021-04-23 05:00:00
24,63.96,63.99,63.84,63.85,6649,2021-04-26 05:00:00
25,63.51,64.1023,63.51,63.96,15531,2021-04-27 05:00:00
26,64.23,64.28,64.0538,64.1274,44588,2021-04-28 05:00:00
27,64.44,64.6994,64.128,64.4499,16130,2021-04-29 05:00:00
28,64.04,64.45,63.97,64.0017,11825,2021-04-30 05:00:00
29,64.33,64.91,64.33,64.64,114221,2021-05-03 05:00:00
30,63.851,64.39,63.84,64.29,92169,2021-05-04 05:00:00
31,64.94,64.94,64.25,64.75,98104,2021-05-05 05:00:00
32,64.56,65.2029,64.385,65.2029,8761,2021-05-06 05:00:00
33,65.03,66.1067,65.03,66.1067,9838,2021-05-07 05:00:00
34,66.41,66.825,66.09,66.09,18929,2021-05-10 05:00:00
35,65.37,65.44,64.5,65.1322,13206,2021-05-11 05:00:00
36,65.13,65.13,63.54,63.7,16048,2021-05-12 05:00:00
37,63.5,64.78,63.5,64.5696,23460,2021-05-13 05:00:00
38,64.79,65.7,64.79,65.64,10987,2021-05-14 05:00:00
39,65.5,65.81,65.245,65.807,6978,2021-05-17 05:00:00
40,65.71,65.7366,65.21,65.21,14199,2021-05-18 05:00:00
41,64.2,64.54,63.74,64.5394,7158,2021-05-19 05:00:00
42,64.48,64.94,64.4496,64.94,6148,2021-05-20 05:00:00
43,64.97,65.5,64.97,65.13,11158,2021-05-21 05:00:00
44,65.17,65.655,65.17,65.43,24777,2021-05-24 05:00:00
45,65.39,65.48,64.86,64.86,8703,2021-05-25 05:00:00
46,64.83,65.39,64.83,65.32,15056,2021-05-26 05:00:00
47,65.92,65.939,65.695,65.85,14246,2021-05-27 05:00:00
48,65.78,65.86,65.5736,65.77,8772,2021-05-28 05:00:00
49,66.49,66.53,66.205,66.42,9797,2021-06-01 05:00:00
50,66.71,66.71,66.271,66.4555,11498,2021-06-02 05:00:00
51,65.92,66.549,65.92,66.37,11026,2021-06-03 05:00:00
52,66.34,66.68,66.25,66.6256,49926,2021-06-04 05:00:00
53,66.9,66.9,66.37,66.4751,15089,2021-06-07 05:00:00
54,66.39,66.73,66.099,66.665,7688,2021-06-08 05:00:00
55,66.49,66.53,66.18,66.18,12781,2021-06-09 05:00:00
56,66.1,66.1,65.7581,65.7606,4230,2021-06-10 05:00:00
57,66.24,66.24,65.81,66.02,9136,2021-06-11 05:00:00
58,66.16,66.16,65.23,65.47,7016,2021-06-14 05:00:00
59,65.76,65.76,65.23,65.535,8996,2021-06-15 05:00:00
60,65.71,65.71,64.76,65.08,22650,2021-06-16 05:00:00
61,65.2,65.2,63.43,63.89,17430,2021-06-17 05:00:00
62,63.41,63.41,62.8,62.83,11010,2021-06-18 05:00:00
63,63.24,63.9699,62.98,63.935,13781,2021-06-21 05:00:00
64,63.82,64.125,63.5376,63.9751,12377,2021-06-22 05:00:00
65,63.94,64.21,63.94,64.16,6231,2021-06-23 05:00:00
66,63.96,64.35,63.895,64.305,17706,2021-06-24 05:00:00
67,64.72,64.86,64.36,64.8296,20437,2021-06-25 05:00:00
68,64.72,64.72,63.9802,64.16,10668,2021-06-28 05:00:00
69,64.1,64.426,63.93,63.95,6477,2021-06-29 05:00:00
70,63.69,64.2199,63.69,64.2199,88481,2021-06-30 05:00:00
71,64.32,64.9205,64.32,64.78,22874,2021-07-01 05:00:00
72,65.11,65.11,64.5805,64.745,6951,2021-07-02 05:00:00
73,64.51,64.51,63.42,63.92,10800,2021-07-06 05:00:00
74,63.6,63.9814,63.5,63.93,7799,2021-07-07 05:00:00
75,62.97,63.65,62.79,63.1289,14329,2021-07-08 05:00:00
76,63.92,64.3909,63.73,64.38,6319,2021-07-09 05:00:00
77,64.35,64.67,63.9,64.5734,11971,2021-07-12 05:00:00
78,64.2175,64.2175,63.635,63.6431,13807,2021-07-13 05:00:00
79,63.72,64.13,63.2836,63.4242,16877,2021-07-14 05:00:00
80,62.89,63.435,62.89,63.2521,8603,2021-07-15 05:00:00
81,63.455,63.455,62.6049,62.6049,15219,2021-07-16 05:00:00
82,61.79,61.79,60.88,61.19,13000,2021-07-19 05:00:00
83,61.66,62.73,61.66,62.6659,12678,2021-07-20 05:00:00
84,63.3604,63.6361,63.27,63.3692,9652,2021-07-21 05:00:00
85,63.45,63.45,62.74,62.9067,15848,2021-07-22 05:00:00
86,62.99,63.307,62.9,63.307,7322,2021-07-23 05:00:00
87,63.32,63.64,63.32,63.64,12746,2021-07-26 05:00:00
88,63.66,63.66,63.06,63.6259,8528,2021-07-27 05:00:00
89,63.94,63.96,63.17,63.71,7761,2021-07-28 05:00:00
90,63.93,64.55,63.93,64.2577,8151,2021-07-29 05:00:00
91,63.78,64.5183,63.78,63.96,4699,2021-07-30 05:00:00
92,63.95,64.6585,63.7,63.7,33634,2021-08-02 05:00:00
93,63.58,64.19,63.15,64.1601,8778,2021-08-03 05:00:00
