,open,high,low,close,volume,datetime
0,24.88,24.97,24.88,25.16,46600,2014-02-27 06:00:00
1,25.23,25.405,25.18,25.34,38320,2014-02-28 06:00:00
2,25.05,26.0,24.95,24.97,70348,2014-03-03 06:00:00
3,25.57,25.57,25.36,25.36,16508,2014-03-04 06:00:00
4,25.54,25.54,25.33,25.38,24207,2014-03-05 06:00:00
5,25.64,25.71,25.49,25.58,76366,2014-03-06 06:00:00
6,25.65,25.65,25.35,25.39,17274,2014-03-07 06:00:00
7,25.49,25.53,25.15,25.1988,18635,2014-03-10 05:00:00
8,25.2,25.2,24.94,24.94,46850,2014-03-11 05:00:00
9,24.8,24.81,24.72,24.7671,7103,2014-03-12 05:00:00
10,24.7899,24.7899,24.2608,24.28,36879,2014-03-13 05:00:00
11,24.22,24.37,24.1,24.3195,4215,2014-03-14 05:00:00
12,24.51,24.56,24.44,24.54,11876,2014-03-17 05:00:00
13,24.62,24.68,24.461,24.68,36967,2014-03-18 05:00:00
14,24.7,24.7,24.4675,24.4675,4692,2014-03-19 05:00:00
15,24.33,24.34,24.287,24.3199,3152,2014-03-20 05:00:00
16,24.5,24.498,24.32,24.34,43574,2014-03-21 05:00:00
17,24.52,24.52,24.3525,24.4,21653,2014-03-24 05:00:00
18,24.6799,24.683,24.5,24.678,4487,2014-03-25 05:00:00
19,24.7,24.8608,24.7,24.76,28288,2014-03-26 05:00:00
20,24.99,24.99,24.73,24.87,24036,2014-03-27 05:00:00
21,25.17,25.26,25.0065,25.17,15683,2014-03-28 05:00:00
22,25.255,25.3,25.21,25.2824,6168,2014-03-31 05:00:00
23,25.25,25.28,25.24,25.4,12814,2014-04-01 05:00:00
24,25.27,25.28,25.21,25.423,8106,2014-04-02 05:00:00
25,25.2,25.22,25.14,25.33,4384,2014-04-03 05:00:00
26,25.51,25.51,25.18,25.2088,88377,2014-04-04 05:00:00
27,25.18,25.18,25.05,25.0792,4952,2014-04-07 05:00:00
28,25.05,25.1,24.98,24.92,13884,2014-04-08 05:00:00
29,25.12,25.22,25.09,25.3796,5189,2014-04-09 05:00:00
30,25.2,25.24,25.14,25.032,5585,2014-04-10 05:00:00
31,24.9,24.9699,24.71,24.81,4292,2014-04-11 05:00:00
32,24.48,24.57,24.48,24.6101,6368,2014-04-14 05:00:00
33,24.5,24.58,24.45,24.48,23118,2014-04-15 05:00:00
34,24.88,24.89,24.75,24.86,8109,2014-04-16 05:00:00
35,25.05,25.08,24.9,25.06,8432,2014-04-17 05:00:00
36,24.85,25.0574,24.85,25.056,4341,2014-04-21 05:00:00
37,24.93,24.97,24.91,25.08,1005,2014-04-22 05:00:00
38,24.96,24.97,24.93,24.97,15875,2014-04-23 05:00:00
39,24.96,25.02,24.86,25.05,33788,2014-04-24 05:00:00
40,25.05,25.05,24.91,24.95,15863,2014-04-25 05:00:00
41,24.91,24.94,24.88,25.0099,2045,2014-04-28 05:00:00
42,24.94,24.94,24.91,25.15,3942,2014-04-29 05:00:00
43,25.11,25.14,25.11,25.14,5772,2014-04-30 05:00:00
44,25.07,25.15,25.06,25.1,2232,2014-05-01 05:00:00
45,25.199,25.199,25.1401,25.1401,520,2014-05-02 05:00:00
46,25.2,25.22,25.17,25.2,3402,2014-05-05 05:00:00
47,25.37,25.42,25.32,25.3698,1180,2014-05-06 05:00:00
48,25.3566,25.48,25.3566,25.402,7458,2014-05-07 05:00:00
49,25.55,25.5621,25.31,25.32,7913,2014-05-08 05:00:00
50,25.34,25.44,25.34,25.42,2873,2014-05-09 05:00:00
51,25.56,25.67,25.5012,25.66,46869,2014-05-12 05:00:00
52,25.79,25.79,25.65,25.7628,9222,2014-05-13 05:00:00
53,25.77,25.75,25.67,25.68,26803,2014-05-14 05:00:00
54,25.4551,25.48,25.4161,25.4161,6767,2014-05-15 05:00:00
55,25.5,25.5,25.42,25.49,2405,2014-05-16 05:00:00
56,25.25,25.6588,25.25,25.6264,4536,2014-05-19 05:00:00
57,25.58,25.58,25.3112,25.3112,2432,2014-05-20 05:00:00
58,25.6399,25.69,25.508,25.69,4947,2014-05-21 05:00:00
59,25.78,25.8,25.6601,25.8,3237,2014-05-22 05:00:00
60,25.68,25.836,25.68,25.836,3735,2014-05-23 05:00:00
61,25.96,25.96,25.86,25.87,3307,2014-05-27 05:00:00
62,25.89,25.91,25.86,25.89,13099,2014-05-28 05:00:00
63,26.1,26.11,26.09,26.11,9711,2014-05-29 05:00:00
64,26.14,26.16,26.1236,26.156,4148,2014-05-30 05:00:00
65,26.25,26.2697,26.0994,26.2,5027,2014-06-02 05:00:00
66,26.26,26.26,26.09,26.17,10487,2014-06-03 05:00:00
67,26.22,26.31,26.2001,26.309,8120,2014-06-04 05:00:00
68,26.29,26.42,26.26,26.41,9684,2014-06-05 05:00:00
69,26.52,26.59,26.52,26.59,1493,2014-06-06 05:00:00
70,26.59,26.57,26.45,26.569,39627,2014-06-09 05:00:00
71,26.57,26.57,26.45,26.4562,5646,2014-06-10 05:00:00
72,26.42,26.42,26.3301,26.41,5112,2014-06-11 05:00:00
73,26.4601,26.49,26.4099,26.47,5983,2014-06-12 05:00:00
74,26.3401,26.4589,26.3401,26.35,1624,2014-06-13 05:00:00
75,26.49,26.49,26.38,26.4178,4295,2014-06-16 05:00:00
76,26.48,26.53,26.4496,26.53,3707,2014-06-17 05:00:00
