,open,high,low,close,volume,datetime
0,0.1,0.1,0.09,0.09,38200,2002-06-10 05:00:00
1,0.09,0.11,0.09,0.1,32000,2002-06-12 05:00:00
2,0.09,0.09,0.09,0.09,5300,2002-06-13 05:00:00
3,0.11,0.11,0.1,0.11,21000,2002-06-17 05:00:00
4,0.09,0.09,0.09,0.09,8000,2002-06-18 05:00:00
5,0.06,0.07,0.06,0.06,17700,2002-06-19 05:00:00
6,0.11,0.11,0.11,0.11,1000,2002-06-20 05:00:00
7,0.06,0.07,0.05,0.05,55000,2002-06-21 05:00:00
8,0.05,0.05,0.05,0.05,2000,2002-06-25 05:00:00
9,0.05,0.05,0.05,0.05,8600,2002-06-26 05:00:00
10,0.05,0.05,0.05,0.05,20300,2002-06-27 05:00:00
11,0.05,0.05,0.05,0.05,1900,2002-06-28 05:00:00
12,0.05,0.05,0.05,0.05,1500,2002-07-01 05:00:00
13,0.05,0.05,0.05,0.05,500,2002-07-03 05:00:00
14,0.06,0.06,0.06,0.06,12000,2002-07-05 05:00:00
15,0.05,0.05,0.04,0.04,27500,2002-07-09 05:00:00
16,0.04,0.05,0.04,0.04,35400,2002-07-10 05:00:00
17,0.06,0.09,0.06,0.09,55000,2002-07-12 05:00:00
18,0.06,0.07,0.05,0.07,23700,2002-07-15 05:00:00
19,0.05,0.06,0.05,0.06,10300,2002-07-16 05:00:00
20,0.05,0.05,0.05,0.05,5000,2002-07-17 05:00:00
21,0.06,0.07,0.05,0.06,141200,2002-07-18 05:00:00
22,0.05,0.05,0.05,0.05,200,2002-07-19 05:00:00
23,0.05,0.05,0.05,0.05,2800,2002-07-22 05:00:00
24,0.05,0.06,0.05,0.05,81000,2002-07-23 05:00:00
25,0.05,0.05,0.05,0.05,11100,2002-07-30 05:00:00
26,0.05,0.08,0.05,0.08,27200,2002-07-31 05:00:00
27,0.06,0.06,0.06,0.06,2000,2002-08-01 05:00:00
28,0.06,0.08,0.06,0.07,17000,2002-08-05 05:00:00
29,0.07,0.07,0.07,0.07,2000,2002-08-06 05:00:00
30,0.07,0.09,0.07,0.09,26200,2002-08-07 05:00:00
31,0.08,0.09,0.08,0.09,26000,2002-08-09 05:00:00
32,0.07,0.07,0.07,0.07,100,2002-08-12 05:00:00
33,0.07,0.07,0.07,0.07,2600,2002-08-13 05:00:00
34,0.07,0.07,0.07,0.07,1900,2002-08-14 05:00:00
35,0.07,0.07,0.07,0.07,100,2002-08-20 05:00:00
36,0.07,0.08,0.07,0.08,800,2002-08-27 05:00:00
37,0.08,0.08,0.07,0.07,2400,2002-08-30 05:00:00
38,0.07,0.1,0.07,0.1,5100,2002-09-03 05:00:00
39,0.07,0.07,0.05,0.07,11400,2002-09-04 05:00:00
40,0.08,0.08,0.05,0.05,10800,2002-09-05 05:00:00
41,0.05,0.05,0.05,0.05,1000,2002-09-06 05:00:00
42,0.07,0.07,0.05,0.05,1200,2002-09-10 05:00:00
43,0.05,0.06,0.05,0.06,8500,2002-09-12 05:00:00
44,0.05,0.05,0.05,0.05,4000,2002-09-13 05:00:00
45,0.06,0.06,0.06,0.06,5500,2002-09-16 05:00:00
46,0.05,0.05,0.05,0.05,2000,2002-09-18 05:00:00
47,0.05,0.05,0.05,0.05,8300,2002-09-19 05:00:00
48,0.05,0.06,0.05,0.05,48000,2002-09-20 05:00:00
49,0.05,0.05,0.05,0.05,2500,2002-09-23 05:00:00
50,0.05,0.05,0.05,0.05,2000,2002-09-25 05:00:00
51,0.05,0.05,0.05,0.05,5000,2002-09-27 05:00:00
52,0.05,0.05,0.05,0.05,325300,2002-09-30 05:00:00
53,0.05,0.06,0.05,0.06,35000,2002-10-01 05:00:00
54,0.05,0.05,0.05,0.05,3600,2002-10-02 05:00:00
55,0.05,0.05,0.05,0.05,900,2002-10-03 05:00:00
56,0.05,0.05,0.05,0.05,12600,2002-10-07 05:00:00
57,0.05,0.05,0.05,0.05,200,2002-10-08 05:00:00
58,0.05,0.05,0.04,0.04,23400,2002-10-09 05:00:00
59,0.04,0.05,0.04,0.04,8100,2002-10-10 05:00:00
60,0.04,0.05,0.04,0.05,17500,2002-10-11 05:00:00
61,0.05,0.05,0.05,0.05,7500,2002-10-14 05:00:00
62,0.04,0.04,0.04,0.04,1000,2002-10-15 05:00:00
63,0.04,0.04,0.04,0.04,1500,2002-10-16 05:00:00
64,0.04,0.04,0.04,0.04,7100,2002-10-18 05:00:00
65,0.07,0.07,0.04,0.04,18100,2002-10-22 05:00:00
66,0.04,0.05,0.04,0.04,39100,2002-10-23 05:00:00
67,0.04,0.04,0.04,0.04,700,2002-10-28 06:00:00
68,0.05,0.05,0.05,0.05,8500,2002-10-29 06:00:00
69,0.05,0.05,0.05,0.05,7600,2002-10-30 06:00:00
70,0.04,0.04,0.04,0.04,100,2002-10-31 06:00:00
71,0.04,0.05,0.04,0.05,12100,2002-11-06 06:00:00
72,0.04,0.04,0.04,0.04,2000,2002-11-07 06:00:00
73,0.04,0.04,0.04,0.04,2600,2002-11-08 06:00:00
74,0.04,0.05,0.04,0.05,15500,2002-11-11 06:00:00
75,0.04,0.05,0.04,0.04,16900,2002-11-12 06:00:00
76,0.04,0.04,0.04,0.04,500,2002-11-13 06:00:00
77,0.04,0.04,0.04,0.04,2100,2002-11-14 06:00:00
78,0.04,0.04,0.04,0.04,6200,2002-11-15 06:00:00
79,0.04,0.04,0.04,0.04,4000,2002-11-19 06:00:00
80,0.04,0.04,0.04,0.04,1000,2002-11-20 06:00:00
81,0.04,0.1,0.04,0.05,192200,2002-11-21 06:00:00
82,0.07,0.07,0.07,0.07,6000,2002-11-22 06:00:00
83,0.04,0.05,0.04,0.04,35400,2002-11-25 06:00:00
