,open,high,low,close,volume,datetime
0,10.05,10.055,10.01,10.01,11831069,2022-05-10 05:00:00
1,10.01,10.03,10.01,10.01,607579,2022-05-11 05:00:00
2,10.01,10.03,10.0,10.01,251115,2022-05-12 05:00:00
3,10.02,10.02,10.0,10.02,256474,2022-05-13 05:00:00
4,10.01,10.01,10.0,10.0,86012,2022-05-16 05:00:00
5,10.01,10.01,10.01,10.01,1187,2022-05-17 05:00:00
6,10.0,10.0,9.77,9.99,80956,2022-05-18 05:00:00
7,9.97,9.97,9.97,9.97,1081,2022-05-19 05:00:00
8,10.01,10.01,10.01,10.01,174,2022-05-20 05:00:00
9,10.01,10.01,10.01,10.01,20014,2022-05-23 05:00:00
10,9.99,9.99,9.99,9.99,2030,2022-05-24 05:00:00
11,9.99,9.99,9.99,9.99,118,2022-05-25 05:00:00
12,9.99,9.99,9.99,9.99,352,2022-05-27 05:00:00
13,10.0,10.0,10.0,10.0,25044,2022-06-01 05:00:00
14,10.01,10.01,10.0,10.0,1675,2022-06-02 05:00:00
15,10.01,10.01,10.01,10.01,50047,2022-06-03 05:00:00
16,10.03,10.03,10.03,10.03,5886,2022-06-08 05:00:00
17,10.04,10.04,10.01,10.04,152934,2022-06-09 05:00:00
