,open,high,low,close,volume,datetime
0,1.5,1.58,1.5,1.56,31900,2002-06-10 05:00:00
1,1.57,1.690000000000001,1.5,1.6,18200,2002-06-11 05:00:00
2,1.51,1.63,1.51,1.63,1000,2002-06-12 05:00:00
3,1.64,1.64,1.64,1.64,500,2002-06-13 05:00:00
4,1.55,1.57,1.55,1.57,300,2002-06-14 05:00:00
5,1.6,1.66,1.6,1.6,4200,2002-06-17 05:00:00
6,1.6,1.66,1.6,1.66,6700,2002-06-18 05:00:00
7,1.6,1.75,1.45,1.65,10800,2002-06-19 05:00:00
8,1.65,1.65,1.61,1.62,13000,2002-06-20 05:00:00
9,1.51,1.63,1.51,1.52,10800,2002-06-21 05:00:00
10,1.51,1.64,1.51,1.64,7200,2002-06-24 05:00:00
11,1.51,1.53,1.51,1.52,4500,2002-06-25 05:00:00
12,1.45,1.45,1.3,1.3,1400,2002-06-26 05:00:00
13,1.49,1.49,1.49,1.49,100,2002-06-27 05:00:00
14,1.45,1.49,1.3,1.49,1700,2002-06-28 05:00:00
15,1.27,1.27,1.26,1.26,4500,2002-07-01 05:00:00
16,1.15,1.15,1.11,1.11,2800,2002-07-02 05:00:00
17,0.76,0.95,0.65,0.8,8700,2002-07-03 05:00:00
18,0.78,0.99,0.78,0.96,3400,2002-07-05 05:00:00
19,0.75,0.75,0.75,0.75,500,2002-07-08 05:00:00
20,0.8,1.45,0.8,1.45,2800,2002-07-09 05:00:00
21,1.31,1.39,1.31,1.39,1400,2002-07-10 05:00:00
22,1.03,1.39,0.46,1.13,9700,2002-07-11 05:00:00
23,1.21,1.21,1.21,1.21,100,2002-07-12 05:00:00
24,1.0,1.4,0.8,1.22,3100,2002-07-15 05:00:00
25,1.22,1.22,1.2,1.21,2500,2002-07-16 05:00:00
26,0.7,1.0,0.7,0.8,1800,2002-07-17 05:00:00
27,0.76,0.76,0.76,0.76,1300,2002-07-18 05:00:00
28,0.77,1.0,0.77,0.85,10800,2002-07-22 05:00:00
29,0.85,0.85,0.46,0.5,3100,2002-07-23 05:00:00
30,0.2000000000000002,0.5,-0.65,0.2000000000000002,19600,2002-07-24 05:00:00
31,0.5,0.5,0.5,0.5,8400,2002-07-25 05:00:00
