,open,high,low,close,volume,datetime
0,10.5,10.9,10.2,10.79,199500,2005-03-03 06:00:00
1,10.74,10.75,10.6,10.74,47200,2005-03-04 06:00:00
2,10.74,10.75,10.65,10.72,14600,2005-03-07 06:00:00
3,10.75,11.84,10.75,11.5,61800,2005-03-08 06:00:00
4,11.5,11.75,10.85,11.1,35200,2005-03-09 06:00:00
5,11.78,11.78,11.05,11.2,42900,2005-03-10 06:00:00
6,11.29,11.29,10.87,10.95,24400,2005-03-11 06:00:00
7,10.97,11.25,10.8,10.86,10700,2005-03-14 06:00:00
8,10.85,10.94,10.76,10.78,20900,2005-03-15 06:00:00
9,10.95,10.95,10.7,10.8,25900,2005-03-16 06:00:00
10,10.8,10.8,10.7,10.75,6100,2005-03-17 06:00:00
11,10.8,10.9,10.66,10.9,7500,2005-03-18 06:00:00
12,10.85,10.94,10.73,10.94,4900,2005-03-21 06:00:00
13,10.7,11.0,10.7,11.0,9600,2005-03-22 06:00:00
14,11.0,11.0,10.95,11.0,4700,2005-03-23 06:00:00
15,10.99,11.0,10.81,11.0,5300,2005-03-24 06:00:00
16,11.15,11.15,11.05,11.15,7000,2005-03-28 06:00:00
17,11.1,11.11,11.1,11.11,3400,2005-03-29 06:00:00
18,11.2,11.2,11.0,11.14,9100,2005-03-30 06:00:00
19,11.15,11.24,11.1,11.21,6500,2005-03-31 06:00:00
20,11.24,11.24,11.2,11.24,2400,2005-04-01 06:00:00
21,11.21,11.21,11.15,11.2,4700,2005-04-04 05:00:00
22,11.16,11.19,11.0,11.14,7400,2005-04-05 05:00:00
23,11.14,11.14,11.1,11.1,3100,2005-04-06 05:00:00
24,11.08,11.14,11.08,11.14,900,2005-04-07 05:00:00
25,11.0,11.14,11.0,11.14,2600,2005-04-08 05:00:00
26,11.1,11.1,11.02,11.1,1100,2005-04-11 05:00:00
27,11.45,11.48,11.14,11.25,6900,2005-04-12 05:00:00
28,11.25,11.25,11.25,11.25,800,2005-04-13 05:00:00
29,11.25,11.25,11.25,11.25,900,2005-04-14 05:00:00
30,11.25,11.25,11.05,11.25,1400,2005-04-15 05:00:00
31,11.05,11.25,11.05,11.25,2100,2005-04-18 05:00:00
32,11.45,11.45,11.06,11.43,5400,2005-04-19 05:00:00
33,11.48,11.48,11.09,11.25,11700,2005-04-20 05:00:00
34,11.25,11.33,11.2,11.28,5700,2005-04-21 05:00:00
35,11.29,11.34,11.17,11.33,3300,2005-04-22 05:00:00
36,11.23,11.33,11.23,11.23,1000,2005-04-25 05:00:00
37,11.33,11.33,11.32,11.32,1700,2005-04-26 05:00:00
38,11.4,11.45,11.4,11.45,3000,2005-04-27 05:00:00
39,11.2,11.43,11.19,11.43,1900,2005-04-28 05:00:00
40,11.25,11.25,11.25,11.25,6000,2005-04-29 05:00:00
41,11.2,11.2,11.2,11.2,300,2005-05-02 05:00:00
42,11.1,11.19,11.1,11.19,5500,2005-05-03 05:00:00
43,11.1,11.1,11.1,11.1,1700,2005-05-04 05:00:00
44,11.1,11.11,11.1,11.11,1100,2005-05-05 05:00:00
45,11.1,11.1,11.05,11.06,1500,2005-05-06 05:00:00
46,11.25,11.25,11.0,11.17,4400,2005-05-09 05:00:00
47,11.17,11.17,11.17,11.17,1700,2005-05-10 05:00:00
48,11.0,11.25,11.0,11.25,4800,2005-05-11 05:00:00
49,11.25,11.25,11.21,11.25,5800,2005-05-12 05:00:00
50,11.45,11.45,11.31,11.31,6800,2005-05-13 05:00:00
51,11.0,11.1,11.0,11.1,900,2005-05-16 05:00:00
52,11.39,11.39,11.38,11.38,2300,2005-05-17 05:00:00
53,11.25,11.25,11.0,11.0,400,2005-05-18 05:00:00
54,11.38,11.65,11.38,11.54,9000,2005-05-19 05:00:00
55,11.5,11.5,11.43,11.5,3300,2005-05-20 05:00:00
56,11.15,11.38,11.1,11.3,7000,2005-05-23 05:00:00
57,11.8,11.8,11.24,11.48,2600,2005-05-24 05:00:00
58,11.22,11.32,11.21,11.26,1900,2005-05-25 05:00:00
59,11.54,11.55,11.54,11.55,400,2005-05-31 05:00:00
60,11.5,11.55,11.5,11.55,5300,2005-06-01 05:00:00
61,11.55,11.55,11.43,11.43,1900,2005-06-03 05:00:00
62,11.65,11.65,11.65,11.65,700,2005-06-06 05:00:00
63,11.41,11.41,11.41,11.41,500,2005-06-07 05:00:00
64,11.39,11.39,11.39,11.39,500,2005-06-08 05:00:00
65,11.35,11.35,11.15,11.15,700,2005-06-10 05:00:00
66,11.15,11.35,11.15,11.3,1100,2005-06-15 05:00:00
67,11.3,11.31,11.15,11.15,1600,2005-06-16 05:00:00
68,11.15,11.32,11.15,11.32,1100,2005-06-17 05:00:00
69,11.1,11.1,11.01,11.01,1000,2005-06-20 05:00:00
70,11.07,11.07,10.71,11.0,11300,2005-06-21 05:00:00
71,10.9,11.0,10.9,11.0,1000,2005-06-23 05:00:00
72,10.8,11.0,10.8,11.0,500,2005-06-24 05:00:00
73,11.0,11.0,11.0,11.0,200,2005-06-27 05:00:00
74,11.0,11.0,11.0,11.0,100,2005-06-28 05:00:00
75,11.0,11.0,11.0,11.0,200,2005-06-29 05:00:00
76,11.6,11.6,11.0,11.0,700,2005-07-01 05:00:00
77,11.0,11.0,10.8,10.9,1500,2005-07-07 05:00:00
78,10.9,10.9,10.8,10.8,300,2005-07-08 05:00:00
79,10.99,11.0,10.99,11.0,900,2005-07-12 05:00:00
80,11.38,11.39,11.38,11.39,2900,2005-07-15 05:00:00
81,11.45,11.45,11.45,11.45,100,2005-07-18 05:00:00
82,11.45,11.45,11.45,11.45,500,2005-07-19 05:00:00
83,11.45,11.45,11.33,11.33,1200,2005-07-20 05:00:00
84,11.27,11.27,11.27,11.27,1000,2005-07-21 05:00:00
85,11.27,11.27,11.27,11.27,1100,2005-07-22 05:00:00
86,11.28,11.28,11.17,11.17,1500,2005-07-25 05:00:00
87,11.2,11.2,11.2,11.2,400,2005-07-26 05:00:00
88,11.0,11.0,10.9,10.9,1200,2005-07-27 05:00:00
89,10.9,10.9,10.77,10.77,1800,2005-07-28 05:00:00
90,10.76,10.76,10.76,10.76,100,2005-07-29 05:00:00
91,11.0,11.0,10.9,10.9,3200,2005-08-02 05:00:00
92,10.75,11.0,10.75,10.81,2200,2005-08-03 05:00:00
93,10.75,10.78,10.7,10.71,8400,2005-08-04 05:00:00
94,10.61,10.8,10.61,10.8,600,2005-08-05 05:00:00
95,10.75,10.75,10.38,10.5,1300,2005-08-08 05:00:00
96,10.27,10.5,10.27,10.5,1600,2005-08-09 05:00:00
97,10.5,10.5,10.12,10.12,2300,2005-08-11 05:00:00
98,10.25,11.25,10.05,11.04,14500,2005-08-12 05:00:00
99,10.6,10.6,10.6,10.6,100,2005-08-15 05:00:00
100,10.62,10.96,10.62,10.96,900,2005-08-16 05:00:00
101,11.05,11.05,10.86,10.86,1200,2005-08-17 05:00:00
