,open,high,low,close,volume,datetime
0,4.91,5.73,4.53,5.66,10698096,2017-02-01 06:00:00
1,5.47,5.6,5.16,5.41,1666475,2017-02-02 06:00:00
2,5.31,5.71,5.31,5.68,1202120,2017-02-03 06:00:00
3,5.75,5.82,5.47,5.79,724204,2017-02-06 06:00:00
4,5.86,5.96,5.62,5.82,459774,2017-02-07 06:00:00
5,5.66,5.74,5.34,5.54,808981,2017-02-08 06:00:00
6,5.51,5.87,5.405,5.54,379787,2017-02-09 06:00:00
7,5.54,5.76,5.54,5.67,998678,2017-02-10 06:00:00
8,5.65,5.86,5.61,5.72,478490,2017-02-13 06:00:00
9,5.64,5.83,5.56,5.62,182581,2017-02-14 06:00:00
10,5.4,5.83,5.355,5.51,319355,2017-02-15 06:00:00
11,5.45,5.54,5.41,5.5,530207,2017-02-16 06:00:00
12,5.58,5.58,5.41,5.52,177697,2017-02-17 06:00:00
13,5.43,5.81,5.41,5.8,715915,2017-02-21 06:00:00
14,5.64,5.86,4.96,5.53,1166008,2017-02-22 06:00:00
15,5.61,5.7,5.41,5.59,595147,2017-02-23 06:00:00
16,5.46,5.68,5.315,5.65,855680,2017-02-24 06:00:00
17,5.68,5.82,5.44,5.57,1240400,2017-02-27 06:00:00
18,5.41,5.66,5.34,5.43,839592,2017-02-28 06:00:00
19,5.41,5.59,5.27,5.39,665294,2017-03-01 06:00:00
20,5.3,5.65,4.85,4.98,656413,2017-03-02 06:00:00
21,5.06,5.1,4.6,4.91,517909,2017-03-03 06:00:00
22,4.62,5.635,4.62,5.28,1084695,2017-03-06 06:00:00
23,5.33,5.51,5.0,5.21,527250,2017-03-07 06:00:00
24,5.48,5.54,5.02,5.25,692095,2017-03-08 06:00:00
25,5.36,5.36,4.725,4.94,1282627,2017-03-09 06:00:00
26,4.89,5.26,4.87,5.17,671688,2017-03-10 06:00:00
27,5.12,5.43,5.12,5.38,682411,2017-03-13 05:00:00
28,5.33,5.39,5.01,5.21,321586,2017-03-14 05:00:00
29,5.23,5.49,5.11,5.47,625202,2017-03-15 05:00:00
30,5.44,5.55,5.13,5.35,641329,2017-03-16 05:00:00
31,5.41,6.11,5.35,5.84,3525734,2017-03-17 05:00:00
32,5.85,6.36,5.68,6.17,643015,2017-03-20 05:00:00
33,6.27,6.4,6.1,6.28,631930,2017-03-21 05:00:00
34,6.23,6.28,5.9101,6.14,479785,2017-03-22 05:00:00
35,6.13,6.22,5.79,6.06,810886,2017-03-23 05:00:00
36,6.05,6.3,5.64,5.75,472491,2017-03-24 05:00:00
37,5.8,6.3,5.54,5.97,1012538,2017-03-27 05:00:00
38,6.06,6.365,5.96,6.31,1005089,2017-03-28 05:00:00
39,5.08,6.86,5.06,6.55,2600757,2017-03-29 05:00:00
40,6.52,6.9,6.39,6.45,1049950,2017-03-30 05:00:00
41,6.36,6.75,6.28,6.68,3901420,2017-03-31 05:00:00
42,6.68,6.795,6.24,6.59,986233,2017-04-03 05:00:00
43,6.61,6.88,6.39,6.84,1448330,2017-04-04 05:00:00
44,6.83,6.96,6.45,6.55,931174,2017-04-05 05:00:00
45,6.54,6.73,6.46,6.68,915560,2017-04-06 05:00:00
46,6.63,6.97,6.49,6.87,735905,2017-04-07 05:00:00
47,6.95,7.4,6.83,7.28,982989,2017-04-10 05:00:00
48,7.31,7.41,7.0001,7.15,274214,2017-04-11 05:00:00
49,7.11,7.2,7.01,7.14,212435,2017-04-12 05:00:00
50,7.17,7.2306,6.9101,7.01,445885,2017-04-13 05:00:00
51,7.21,7.4,7.0005,7.24,253306,2017-04-17 05:00:00
52,7.22,7.28,7.06,7.14,216720,2017-04-18 05:00:00
53,7.07,7.23,6.76,6.92,430884,2017-04-19 05:00:00
54,7.04,7.15,6.78,6.88,392540,2017-04-20 05:00:00
55,6.91,6.965,6.56,6.67,505168,2017-04-21 05:00:00
56,6.75,6.815,6.55,6.67,412812,2017-04-24 05:00:00
57,6.77,6.86,6.53,6.55,469696,2017-04-25 05:00:00
58,6.63,6.79,6.52,6.53,374661,2017-04-26 05:00:00
59,6.59,6.68,6.35,6.44,212575,2017-04-27 05:00:00
60,6.45,6.52,6.16,6.22,444119,2017-04-28 05:00:00
61,6.27,6.27,5.99,6.01,930971,2017-05-01 05:00:00
62,5.96,5.96,5.505,5.55,1006306,2017-05-02 05:00:00
63,5.57,5.76,5.5,5.69,199281,2017-05-03 05:00:00
64,5.74,5.76,5.22,5.71,573121,2017-05-04 05:00:00
65,5.71,5.98,5.53,5.97,303630,2017-05-05 05:00:00
66,5.96,6.03,5.89,5.98,268264,2017-05-08 05:00:00
67,6.02,6.14,5.93,5.95,499065,2017-05-09 05:00:00
68,5.95,6.23,5.92,6.13,184205,2017-05-10 05:00:00
69,5.74,7.7,5.71,7.55,1026647,2017-05-11 05:00:00
70,7.49,8.27,7.12,7.79,1267050,2017-05-12 05:00:00
