,open,high,low,close,volume,datetime
0,10.01,10.02,10.0,10.0,3178658,2022-03-09 06:00:00
1,10.0,10.01,9.98,9.99,767077,2022-03-10 06:00:00
2,9.99,10.0,9.9845,9.99,365342,2022-03-11 06:00:00
3,9.98,10.1,9.98,10.08,134931,2022-03-14 05:00:00
4,10.04,10.05,10.01,10.04,2549,2022-03-15 05:00:00
5,10.02,10.02,10.0,10.02,25869,2022-03-16 05:00:00
6,10.01,10.03,10.01,10.01,54795,2022-03-17 05:00:00
7,10.01,10.01,10.01,10.01,532,2022-03-18 05:00:00
8,10.01,10.01,10.01,10.01,880,2022-03-21 05:00:00
9,10.01,10.01,10.01,10.01,849,2022-03-22 05:00:00
10,10.01,10.01,10.01,10.01,262,2022-03-23 05:00:00
11,10.01,10.08,10.01,10.08,2272,2022-03-25 05:00:00
12,10.0108,10.0108,10.01,10.01,1692,2022-03-29 05:00:00
13,10.045,10.045,10.045,10.045,603,2022-03-30 05:00:00
14,10.08,10.08,10.08,10.08,356,2022-04-05 05:00:00
15,10.06,10.07,9.99,9.99,1100,2022-04-07 05:00:00
16,9.99,9.99,9.99,9.99,518,2022-04-08 05:00:00
17,9.98,9.98,9.98,9.98,515,2022-04-11 05:00:00
18,9.99,9.99,9.99,9.99,561,2022-04-12 05:00:00
19,10.0,10.14,10.0,10.12,15642,2022-04-14 05:00:00
20,10.03,10.16,10.03,10.15,13019,2022-04-18 05:00:00
21,10.18,10.24,10.18,10.24,5351,2022-04-19 05:00:00
22,10.23,10.24,10.2,10.2,34641,2022-04-20 05:00:00
23,10.1751,10.19,10.1564,10.19,10757,2022-04-21 05:00:00
24,10.3141,10.61,10.11,10.11,3095,2022-04-22 05:00:00
25,10.14,10.66,10.09,10.18,12170,2022-04-25 05:00:00
26,10.19,10.2,10.19,10.2,1772,2022-04-26 05:00:00
27,10.2,10.2,10.2,10.2,247,2022-04-28 05:00:00
28,10.15,10.16,10.15,10.16,347,2022-04-29 05:00:00
29,10.14,10.14,10.14,10.14,310,2022-05-02 05:00:00
30,10.11,10.11,10.11,10.11,329,2022-05-17 05:00:00
31,10.09,10.09,10.09,10.09,586,2022-05-31 05:00:00
32,10.07,10.07,10.07,10.07,180,2022-06-10 05:00:00
