,open,high,low,close,volume,datetime
0,13.855,14.125,13.635,13.885,195000,2002-06-10 05:00:00
1,13.995,14.15,13.705,13.885,80600,2002-06-11 05:00:00
2,14.0,14.1,13.75,13.995,95200,2002-06-12 05:00:00
3,13.92,14.0,13.575,13.73,224600,2002-06-13 05:00:00
4,13.575,13.9,13.4,13.605,101200,2002-06-14 05:00:00
5,13.745,14.05,13.64,13.975,89400,2002-06-17 05:00:00
6,14.075,14.275,13.755,13.945,96000,2002-06-18 05:00:00
7,13.92,14.405,13.095,13.575,315200,2002-06-19 05:00:00
8,13.325,14.18,13.325,13.81,132800,2002-06-20 05:00:00
9,14.15,14.155,13.675,13.9,216000,2002-06-21 05:00:00
10,13.83,14.15,13.53,13.875,164600,2002-06-24 05:00:00
11,13.95,14.11,13.54,13.68,130000,2002-06-25 05:00:00
12,13.53,13.9,13.21,13.805,221000,2002-06-26 05:00:00
13,13.805,13.81,13.205,13.74,221400,2002-06-27 05:00:00
14,13.375,14.075,13.375,13.45,376600,2002-06-28 05:00:00
15,13.48,13.7,13.3,13.475,232800,2002-07-01 05:00:00
16,13.475,13.645,13.05,13.055,145000,2002-07-02 05:00:00
17,13.295,13.65,12.635,12.88,154800,2002-07-03 05:00:00
18,12.94,13.53,12.94,13.46,39000,2002-07-05 05:00:00
19,13.46,13.925,13.215,13.255,112200,2002-07-08 05:00:00
20,13.21,13.7,13.125,13.125,45000,2002-07-09 05:00:00
21,13.125,13.125,12.675,12.72,120000,2002-07-10 05:00:00
22,12.755,12.935,12.535,12.82,165800,2002-07-11 05:00:00
23,12.765,13.175,12.46,12.915,61800,2002-07-12 05:00:00
24,13.05,13.285,12.435,13.155,115400,2002-07-15 05:00:00
25,13.11,13.11,12.01,12.305,134600,2002-07-16 05:00:00
26,12.305,13.05,11.87,13.05,136400,2002-07-17 05:00:00
27,12.975,12.98,11.915,11.915,155600,2002-07-18 05:00:00
28,11.925,12.355,11.005,11.355,191400,2002-07-19 05:00:00
29,11.355,11.745,11.06,11.525,186600,2002-07-22 05:00:00
30,11.725,11.725,11.15,11.2,119200,2002-07-23 05:00:00
31,11.205,11.975,11.205,11.61,252000,2002-07-24 05:00:00
32,11.51,11.99,11.465,11.545,299600,2002-07-25 05:00:00
33,11.65,11.685,11.345,11.485,170600,2002-07-26 05:00:00
34,11.425,12.49,11.425,12.48,273000,2002-07-29 05:00:00
35,12.48,12.48,11.5,11.8,396800,2002-07-30 05:00:00
36,11.75,11.86,11.405,11.555,79800,2002-07-31 05:00:00
37,11.555,11.975,11.255,11.77,212200,2002-08-01 05:00:00
38,11.81,12.0,11.5,11.645,239800,2002-08-02 05:00:00
39,11.505,11.62,11.3,11.3,74800,2002-08-05 05:00:00
40,11.55,12.0,11.5,11.875,84400,2002-08-06 05:00:00
41,11.995,11.995,11.58,11.9,79200,2002-08-07 05:00:00
42,11.595,13.07,11.595,13.01,294000,2002-08-08 05:00:00
43,13.005,13.025,12.5,12.5,234800,2002-08-09 05:00:00
44,12.435,12.69,11.93,12.275,126800,2002-08-12 05:00:00
45,12.135,12.45,11.6,11.675,88000,2002-08-13 05:00:00
46,11.65,12.275,11.55,12.27,132200,2002-08-14 05:00:00
47,12.125,12.27,11.8,12.04,73800,2002-08-15 05:00:00
48,12.1,12.675,11.825,12.515,103000,2002-08-16 05:00:00
49,12.5,13.41,12.45,12.98,162600,2002-08-19 05:00:00
50,13.025,13.025,12.485,12.485,37000,2002-08-20 05:00:00
51,12.485,12.775,12.27,12.655,100200,2002-08-21 05:00:00
52,12.79,13.0,12.39,12.65,57200,2002-08-22 05:00:00
53,12.655,12.675,12.185,12.525,133000,2002-08-23 05:00:00
54,12.535,13.13,12.225,13.13,76200,2002-08-26 05:00:00
55,13.15,13.15,12.45,12.525,120800,2002-08-27 05:00:00
56,12.5,12.53,12.375,12.41,144800,2002-08-28 05:00:00
57,12.49,12.5,12.195,12.345,80600,2002-08-29 05:00:00
58,12.35,12.605,12.155,12.155,81000,2002-08-30 05:00:00
59,12.1,12.25,11.8,11.94,143000,2002-09-03 05:00:00
60,11.845,12.39,11.845,12.3,172600,2002-09-04 05:00:00
61,12.235,12.355,12.0,12.05,100000,2002-09-05 05:00:00
62,12.105,12.405,12.05,12.31,128200,2002-09-06 05:00:00
63,12.005,12.42,11.995,12.33,123400,2002-09-09 05:00:00
64,12.345,12.345,11.805,12.145,200600,2002-09-10 05:00:00
65,12.025,12.5,12.0,12.305,188000,2002-09-11 05:00:00
66,12.36,12.445,11.825,12.0,155800,2002-09-12 05:00:00
67,11.995,12.275,11.875,12.245,132000,2002-09-13 05:00:00
68,12.105,12.25,11.775,11.95,112800,2002-09-16 05:00:00
69,12.0,12.16,11.76,11.905,90000,2002-09-17 05:00:00
70,11.995,12.065,11.72,11.795,146800,2002-09-18 05:00:00
71,11.79,11.87,11.365,11.5,100000,2002-09-19 05:00:00
72,11.7,11.7,11.255,11.525,366600,2002-09-20 05:00:00
73,11.42,11.565,11.125,11.26,206000,2002-09-23 05:00:00
74,11.295,11.415,10.7,10.9,195600,2002-09-24 05:00:00
75,11.0,11.51,11.0,11.365,235000,2002-09-25 05:00:00
76,11.365,11.65,11.25,11.525,172600,2002-09-26 05:00:00
77,11.525,11.56,11.06,11.225,138400,2002-09-27 05:00:00
78,11.345,11.345,11.005,11.065,122200,2002-09-30 05:00:00
