,open,high,low,close,volume,datetime
0,15.5,17.75,15.5,17.1,3594400,2005-06-09 05:00:00
1,17.52,17.69,16.7,17.0,405700,2005-06-10 05:00:00
2,17.0,17.0,16.7,16.87,67700,2005-06-13 05:00:00
3,17.0,17.28,16.78,17.0,182800,2005-06-14 05:00:00
4,17.0,17.1,16.85,17.0,79200,2005-06-15 05:00:00
5,17.0,17.15,16.9,17.07,29900,2005-06-16 05:00:00
6,17.05,17.8,17.0,17.7,172300,2005-06-17 05:00:00
7,17.7,17.7,17.15,17.3,97000,2005-06-20 05:00:00
8,17.26,17.55,17.2,17.25,154800,2005-06-21 05:00:00
9,17.2,17.22,16.95,17.1,314500,2005-06-22 05:00:00
10,17.06,17.35,17.06,17.06,36900,2005-06-23 05:00:00
11,17.1,17.85,17.05,17.08,107200,2005-06-24 05:00:00
12,17.45,17.7,17.0,17.39,26800,2005-06-27 05:00:00
13,17.16,17.49,17.16,17.24,15300,2005-06-28 05:00:00
14,17.4,17.75,17.25,17.75,8700,2005-06-29 05:00:00
15,17.94,18.2,17.54,18.18,83700,2005-06-30 05:00:00
16,18.24,18.65,17.96,18.03,91000,2005-07-01 05:00:00
17,18.67,18.71,18.2,18.4,106200,2005-07-05 05:00:00
18,18.77,18.77,18.29,18.35,72300,2005-07-06 05:00:00
19,18.3,18.4,18.0,18.17,24900,2005-07-07 05:00:00
20,18.75,18.75,18.02,18.04,58000,2005-07-08 05:00:00
21,18.31,19.59,18.0,19.15,94400,2005-07-11 05:00:00
22,19.42,19.85,19.18,19.31,34100,2005-07-12 05:00:00
23,19.6,20.4,19.43,19.83,21700,2005-07-13 05:00:00
24,19.63,20.95,19.56,20.42,48800,2005-07-14 05:00:00
25,20.81,21.7,20.2,20.57,214300,2005-07-15 05:00:00
26,21.43,21.43,20.55,20.87,95900,2005-07-18 05:00:00
27,21.05,21.05,20.07,20.4,86800,2005-07-19 05:00:00
28,20.4,20.5,19.95,19.98,53300,2005-07-20 05:00:00
29,19.75,19.75,18.71,18.9,46100,2005-07-21 05:00:00
30,19.2,19.6,19.2,19.45,33100,2005-07-22 05:00:00
31,19.63,19.84,19.19,19.3,37400,2005-07-25 05:00:00
32,19.3,19.48,19.03,19.03,13100,2005-07-26 05:00:00
33,19.23,19.25,18.64,18.8,13700,2005-07-27 05:00:00
34,19.0,19.0,18.01,18.15,40400,2005-07-28 05:00:00
35,17.89,18.24,17.52,17.6,122800,2005-07-29 05:00:00
36,17.91,19.01,17.7,18.71,88100,2005-08-01 05:00:00
37,19.14,20.0,19.0,19.19,19800,2005-08-02 05:00:00
38,19.19,20.0,19.19,19.75,38300,2005-08-03 05:00:00
39,19.92,19.92,18.85,19.34,35000,2005-08-04 05:00:00
40,19.45,19.82,19.35,19.39,8200,2005-08-05 05:00:00
41,19.55,19.67,18.85,18.85,39600,2005-08-08 05:00:00
42,18.55,19.23,17.18,17.95,25400,2005-08-09 05:00:00
43,17.88,19.34,17.88,19.34,16100,2005-08-10 05:00:00
44,19.65,19.69,18.95,19.0,71800,2005-08-11 05:00:00
45,19.25,19.25,18.71,19.23,5900,2005-08-12 05:00:00
46,19.33,19.88,19.23,19.88,12000,2005-08-15 05:00:00
47,19.8,19.88,19.06,19.75,37000,2005-08-16 05:00:00
48,19.75,20.2,19.75,20.05,45900,2005-08-17 05:00:00
49,20.05,20.17,19.87,20.0,183900,2005-08-18 05:00:00
50,19.95,20.0,19.91,19.91,700,2005-08-19 05:00:00
51,19.9,19.95,19.8,19.95,9500,2005-08-22 05:00:00
52,19.8,19.89,19.5,19.61,12000,2005-08-23 05:00:00
53,19.87,19.88,18.75,18.83,12200,2005-08-24 05:00:00
54,18.8,19.73,18.75,19.18,18500,2005-08-25 05:00:00
55,19.1,19.4,18.8,19.4,57900,2005-08-26 05:00:00
56,19.4,19.7,18.8,19.17,22900,2005-08-29 05:00:00
57,19.51,19.52,18.99,19.24,9100,2005-08-30 05:00:00
58,19.07,20.06,18.65,18.8,110200,2005-08-31 05:00:00
59,18.85,19.25,18.74,19.06,101000,2005-09-01 05:00:00
60,18.97,19.19,18.77,19.0,21500,2005-09-02 05:00:00
61,19.03,19.47,19.02,19.15,6800,2005-09-06 05:00:00
62,19.07,19.14,18.72,18.72,4000,2005-09-07 05:00:00
63,18.93,19.22,18.69,18.9,14900,2005-09-08 05:00:00
64,19.0,19.0,18.0,18.3,45300,2005-09-09 05:00:00
65,18.07,18.74,17.9,17.96,41300,2005-09-12 05:00:00
66,18.15,18.15,17.7,18.0,27800,2005-09-13 05:00:00
67,17.98,18.13,17.72,18.0,82500,2005-09-14 05:00:00
68,18.0,18.0,17.85,17.95,22500,2005-09-15 05:00:00
69,18.24,18.24,17.85,18.08,48200,2005-09-16 05:00:00
70,17.97,18.19,17.95,18.08,9800,2005-09-19 05:00:00
71,18.1,18.2,17.34,17.96,16200,2005-09-20 05:00:00
72,17.75,18.0,17.75,17.9,19400,2005-09-21 05:00:00
73,17.95,18.15,17.27,17.97,7100,2005-09-22 05:00:00
74,17.47,18.52,16.5,17.25,183400,2005-09-23 05:00:00
75,16.98,17.35,16.95,17.25,46900,2005-09-26 05:00:00
76,17.12,18.0,17.12,17.79,17600,2005-09-27 05:00:00
77,17.64,17.64,16.38,16.6,179800,2005-09-28 05:00:00
78,16.54,16.74,15.8,16.0,40600,2005-09-29 05:00:00
79,15.84,16.3,15.45,15.45,419900,2005-09-30 05:00:00
80,15.42,16.3,15.27,15.9,47600,2005-10-03 05:00:00
81,16.03,16.03,15.77,15.77,19100,2005-10-04 05:00:00
82,15.8,15.94,15.6,15.77,21400,2005-10-05 05:00:00
83,15.94,16.25,15.75,16.11,162600,2005-10-06 05:00:00
84,16.11,16.25,15.95,16.05,43600,2005-10-07 05:00:00
85,15.95,16.11,15.95,16.05,14200,2005-10-10 05:00:00
86,16.18,16.18,15.9,15.95,10500,2005-10-11 05:00:00
87,15.95,16.05,15.82,16.01,10900,2005-10-12 05:00:00
88,16.13,16.2,16.0,16.06,9800,2005-10-13 05:00:00
89,16.15,16.63,16.09,16.27,38500,2005-10-14 05:00:00
90,16.5,16.5,15.9,16.09,19600,2005-10-17 05:00:00
91,16.15,16.7,16.15,16.34,68200,2005-10-18 05:00:00
92,16.26,16.56,15.95,16.5,69300,2005-10-19 05:00:00
93,16.51,16.58,16.4,16.43,31800,2005-10-20 05:00:00
94,16.24,16.71,16.07,16.2,144200,2005-10-21 05:00:00
95,15.3,16.54,15.3,16.54,27500,2005-10-24 05:00:00
96,16.49,16.49,16.18,16.25,5000,2005-10-25 05:00:00
97,16.45,16.5,16.1,16.22,4400,2005-10-26 05:00:00
98,16.38,16.54,15.65,15.77,33300,2005-10-27 05:00:00
99,16.17,16.17,15.91,15.91,7600,2005-10-28 05:00:00
100,15.9,16.47,15.8,16.24,51297,2005-10-31 06:00:00
101,16.0,16.35,15.75,16.14,17000,2005-11-01 06:00:00
102,16.37,16.6,16.37,16.6,48800,2005-11-02 06:00:00
103,16.65,16.66,16.41,16.6,11400,2005-11-03 06:00:00
104,16.6,16.65,16.5,16.56,5200,2005-11-04 06:00:00
105,16.5,16.85,16.2,16.6,11200,2005-11-07 06:00:00
106,16.71,16.85,16.5,16.72,42900,2005-11-08 06:00:00
107,16.77,17.26,16.77,16.99,38600,2005-11-09 06:00:00
108,17.05,17.25,16.96,17.13,8400,2005-11-10 06:00:00
109,17.05,17.15,16.75,17.05,130100,2005-11-11 06:00:00
110,16.97,17.1,16.82,17.02,36900,2005-11-14 06:00:00
111,17.09,17.14,16.5,16.67,12300,2005-11-15 06:00:00
112,16.5,16.71,16.3,16.41,12500,2005-11-16 06:00:00
113,16.45,16.45,15.67,16.07,13400,2005-11-17 06:00:00
114,16.0,16.58,16.0,16.32,21900,2005-11-18 06:00:00
115,16.86,16.86,16.19,16.59,17500,2005-11-21 06:00:00
116,16.5,16.88,16.5,16.69,8200,2005-11-22 06:00:00
117,16.8,16.84,16.36,16.6,65800,2005-11-23 06:00:00
118,16.38,16.56,16.38,16.39,1300,2005-11-25 06:00:00
119,16.32,16.48,16.12,16.36,11300,2005-11-28 06:00:00
120,16.45,16.65,16.23,16.26,9600,2005-11-29 06:00:00
121,16.26,16.42,16.26,16.41,11800,2005-11-30 06:00:00
122,16.7,17.3,16.38,16.92,37400,2005-12-01 06:00:00
123,16.85,16.85,16.25,16.35,75000,2005-12-02 06:00:00
124,16.35,16.35,15.86,16.11,10200,2005-12-05 06:00:00
125,16.08,16.08,15.48,15.66,18400,2005-12-06 06:00:00
126,15.65,15.85,15.26,15.32,15800,2005-12-07 06:00:00
127,15.31,16.0,15.31,15.95,101600,2005-12-08 06:00:00
128,16.01,16.01,15.51,15.59,12700,2005-12-09 06:00:00
129,15.86,15.86,15.62,15.66,3700,2005-12-12 06:00:00
130,15.62,15.76,15.62,15.71,9200,2005-12-13 06:00:00
131,15.89,16.15,15.8,15.96,11400,2005-12-14 06:00:00
132,15.99,16.0,14.79,15.83,35200,2005-12-15 06:00:00
133,15.95,16.34,15.8,16.22,34800,2005-12-16 06:00:00
134,16.25,16.25,15.67,16.04,85500,2005-12-19 06:00:00
135,16.25,16.6,16.0,16.42,58900,2005-12-20 06:00:00
136,16.66,16.66,16.34,16.34,10200,2005-12-21 06:00:00
137,16.25,16.34,16.07,16.33,10000,2005-12-22 06:00:00
