,open,high,low,close,volume,datetime
0,12.92,13.035,12.83,12.975,427800,2002-06-10 05:00:00
1,13.09,13.09,12.71,12.715,454400,2002-06-11 05:00:00
2,12.655,12.765,12.585,12.65,416200,2002-06-12 05:00:00
3,12.65,12.75,12.375,12.495,991600,2002-06-13 05:00:00
4,12.495,12.545,12.4,12.455,1264800,2002-06-14 05:00:00
5,12.65,12.875,12.515,12.8,608800,2002-06-17 05:00:00
6,12.875,13.075,12.83,12.955,589000,2002-06-18 05:00:00
7,13.05,13.2,12.945,12.95,596800,2002-06-19 05:00:00
8,13.05,13.05,12.915,12.965,409400,2002-06-20 05:00:00
9,12.97,13.025,12.875,12.985,727200,2002-06-21 05:00:00
10,12.925,12.99,12.69,12.745,562200,2002-06-24 05:00:00
11,12.66,12.75,12.51,12.66,664200,2002-06-25 05:00:00
12,12.54,12.685,12.5,12.625,731800,2002-06-26 05:00:00
13,12.625,12.65,12.47,12.56,938400,2002-06-27 05:00:00
14,12.51,12.875,12.51,12.85,735600,2002-06-28 05:00:00
15,12.75,12.885,12.725,12.74,532600,2002-07-01 05:00:00
16,12.74,12.79,12.535,12.665,528000,2002-07-02 05:00:00
17,12.65,12.675,12.425,12.44,654800,2002-07-03 05:00:00
18,12.5,12.575,12.365,12.385,340000,2002-07-05 05:00:00
19,12.45,12.475,12.35,12.375,384800,2002-07-08 05:00:00
20,12.45,12.51,12.155,12.155,659600,2002-07-09 05:00:00
21,12.275,12.275,11.7,11.855,613400,2002-07-10 05:00:00
22,11.725,12.09,11.715,12.035,657800,2002-07-11 05:00:00
23,12.05,12.75,11.885,11.945,828600,2002-07-12 05:00:00
24,12.025,12.385,11.575,12.375,881800,2002-07-15 05:00:00
25,12.38,12.425,12.045,12.075,659600,2002-07-16 05:00:00
26,12.125,12.26,12.05,12.12,626200,2002-07-17 05:00:00
27,12.15,12.195,11.885,11.89,530400,2002-07-18 05:00:00
28,10.25,10.255,8.35,9.11,4583200,2002-07-19 05:00:00
29,9.225,9.535,8.925,9.155,2113400,2002-07-22 05:00:00
30,9.26,9.33,8.18,8.395,1516000,2002-07-23 05:00:00
31,8.375,9.125,8.175,9.075,1154800,2002-07-24 05:00:00
32,9.175,9.95,9.13,9.62,1318800,2002-07-25 05:00:00
33,9.525,9.62,9.26,9.33,6021200,2002-07-26 05:00:00
34,9.205,9.525,9.1,9.255,1160000,2002-07-29 05:00:00
35,8.425,9.5,8.425,9.45,1919200,2002-07-30 05:00:00
36,9.435,9.605,9.055,9.565,796000,2002-07-31 05:00:00
37,9.575,9.575,9.175,9.24,863200,2002-08-01 05:00:00
38,9.05,9.25,8.925,9.14,829000,2002-08-02 05:00:00
39,9.075,9.37,9.02,9.125,604000,2002-08-05 05:00:00
40,9.225,9.365,9.125,9.21,487200,2002-08-06 05:00:00
41,9.4,9.55,9.23,9.48,583600,2002-08-07 05:00:00
42,9.325,9.55,9.2,9.45,533800,2002-08-08 05:00:00
43,9.45,9.585,9.25,9.425,518400,2002-08-09 05:00:00
44,9.435,9.675,9.355,9.555,445200,2002-08-12 05:00:00
45,9.575,9.6,9.33,9.35,611200,2002-08-13 05:00:00
46,9.415,9.505,9.2,9.5,509400,2002-08-14 05:00:00
47,9.75,9.75,9.415,9.56,607200,2002-08-15 05:00:00
48,9.65,9.7,9.435,9.515,623400,2002-08-16 05:00:00
49,9.505,9.635,9.435,9.56,446000,2002-08-19 05:00:00
50,9.525,9.735,9.46,9.63,425200,2002-08-20 05:00:00
51,9.75,9.96,9.655,9.935,620600,2002-08-21 05:00:00
52,10.0,10.425,9.975,10.37,652400,2002-08-22 05:00:00
53,10.475,10.475,10.095,10.095,579400,2002-08-23 05:00:00
54,10.175,10.5,10.175,10.375,449400,2002-08-26 05:00:00
55,10.385,10.475,10.22,10.22,389200,2002-08-27 05:00:00
56,10.05,10.325,10.05,10.13,455800,2002-08-28 05:00:00
57,10.18,10.55,10.025,10.49,1672800,2002-08-29 05:00:00
58,10.425,10.555,10.35,10.425,607200,2002-08-30 05:00:00
59,10.425,10.425,10.1,10.1,687200,2002-09-03 05:00:00
60,10.0,10.29,9.9,10.29,458400,2002-09-04 05:00:00
61,10.25,10.395,10.25,10.3,494600,2002-09-05 05:00:00
62,10.3,10.495,10.285,10.37,441800,2002-09-06 05:00:00
63,10.37,10.6,10.03,10.38,617000,2002-09-09 05:00:00
64,10.45,10.46,10.145,10.41,879800,2002-09-10 05:00:00
65,10.5,10.57,10.375,10.5,347800,2002-09-11 05:00:00
66,10.5,10.5,10.075,10.085,416200,2002-09-12 05:00:00
67,10.055,10.375,10.055,10.34,290800,2002-09-13 05:00:00
