,open,high,low,close,volume,datetime
0,720.0,744.0,646.2,646.2,1784,2009-10-09 05:00:00
1,654.0,714.0,654.0,684.9,662,2009-10-12 05:00:00
2,706.2,706.2,606.6,649.56,1194,2009-10-13 05:00:00
3,624.0,624.0,573.0,585.0,1727,2009-10-14 05:00:00
4,570.6,600.0,570.6,573.0,798,2009-10-15 05:00:00
5,599.4,630.0,576.6,576.6,1644,2009-10-16 05:00:00
6,598.8,598.8,529.8,542.4,1259,2009-10-19 05:00:00
7,540.0,555.0,493.8,493.8,1171,2009-10-20 05:00:00
8,483.0,508.8,483.0,497.994,797,2009-10-21 05:00:00
9,501.0,539.4,498.0,525.0,530,2009-10-22 05:00:00
10,550.8,554.568,513.606,522.0,317,2009-10-23 05:00:00
11,516.0,537.0,493.2,494.4,664,2009-10-26 05:00:00
12,486.0,487.8,438.0,444.0,1434,2009-10-27 05:00:00
13,443.4,450.0,427.89,430.32,889,2009-10-28 05:00:00
14,420.0,485.4,420.0,444.0,555,2009-10-29 05:00:00
15,441.0,471.0,435.0,444.0,708,2009-10-30 05:00:00
16,440.4,440.4,422.4,432.0,966,2009-11-02 06:00:00
17,435.0,456.0,435.0,444.036,285,2009-11-03 06:00:00
18,448.2,474.0,444.6,447.0,837,2009-11-04 06:00:00
19,447.0,462.0,432.0,432.0,899,2009-11-05 06:00:00
20,432.6,433.206,405.0,421.2,938,2009-11-06 06:00:00
21,418.2,418.2,400.2,407.4,516,2009-11-09 06:00:00
22,397.2,419.994,396.0,407.16,297,2009-11-10 06:00:00
23,406.8,416.4,401.994,408.0,234,2009-11-11 06:00:00
24,414.6,414.6,360.0,375.0,1334,2009-11-12 06:00:00
25,378.0,393.0,372.0,374.4,337,2009-11-13 06:00:00
26,368.4,368.4,345.0,355.2,786,2009-11-16 06:00:00
27,348.6,349.8,312.0,318.0,1108,2009-11-17 06:00:00
28,312.6,318.0,300.6,301.8,596,2009-11-18 06:00:00
29,300.6,326.88,300.6,326.88,699,2009-11-19 06:00:00
30,330.0,342.6,324.0,342.6,643,2009-11-20 06:00:00
31,345.0,373.8,343.8,373.8,934,2009-11-23 06:00:00
32,374.4,471.96,374.4,436.8,2161,2009-11-24 06:00:00
33,420.6,431.4,390.0,419.4,1257,2009-11-25 06:00:00
34,415.2,415.2,393.6,406.206,253,2009-11-27 06:00:00
35,402.6,402.6,391.206,396.0,215,2009-11-30 06:00:00
36,396.0,405.6,375.6,390.0,365,2009-12-01 06:00:00
37,387.0,387.0,363.6,363.606,127,2009-12-02 06:00:00
38,360.6,362.4,348.0,354.0,373,2009-12-03 06:00:00
39,354.0,372.0,354.0,366.0,456,2009-12-04 06:00:00
40,360.0,371.4,360.0,369.006,177,2009-12-07 06:00:00
41,363.0,371.4,363.0,363.6,281,2009-12-08 06:00:00
42,363.6,365.4,345.006,345.006,245,2009-12-09 06:00:00
43,348.0,354.6,345.0,347.4,423,2009-12-10 06:00:00
44,347.4,354.006,339.0,350.394,263,2009-12-11 06:00:00
45,351.0,361.2,348.48,352.2,373,2009-12-14 06:00:00
46,348.606,371.4,342.0,366.0,191,2009-12-15 06:00:00
47,360.6,367.2,348.0,359.904,482,2009-12-16 06:00:00
48,360.0,414.0,360.0,397.2,583,2009-12-17 06:00:00
49,396.6,420.0,396.6,402.0,533,2009-12-18 06:00:00
50,414.0,414.0,398.64,400.8,209,2009-12-21 06:00:00
51,402.0,402.0,361.2,390.0,203,2009-12-22 06:00:00
52,394.2,394.2,361.2,361.2,371,2009-12-23 06:00:00
53,363.0,381.24,354.6,360.0,393,2009-12-24 06:00:00
54,360.0,369.0,354.0,357.36,682,2009-12-28 06:00:00
55,354.6,373.8,348.6,373.8,268,2009-12-29 06:00:00
56,364.8,366.0,356.4,357.0,232,2009-12-30 06:00:00
57,363.6,372.096,357.0,359.4,489,2009-12-31 06:00:00
58,379.8,390.0,376.8,390.0,721,2010-01-04 06:00:00
59,398.4,429.27,398.4,426.0,943,2010-01-05 06:00:00
60,429.0,471.6,426.006,468.0,1286,2010-01-06 06:00:00
61,477.0,480.0,438.6,443.4,882,2010-01-07 06:00:00
62,447.0,475.2,444.0,450.6,861,2010-01-08 06:00:00
63,478.8,478.8,450.0,450.0,469,2010-01-11 06:00:00
64,472.8,472.8,454.8,461.4,465,2010-01-12 06:00:00
65,468.0,468.84,461.34,466.8,712,2010-01-13 06:00:00
66,466.8,466.8,450.606,453.6,298,2010-01-14 06:00:00
67,453.0,455.4,447.0,451.2,418,2010-01-15 06:00:00
68,450.0,459.0,435.0,443.4,774,2010-01-19 06:00:00
69,447.0,447.0,420.6,423.6,499,2010-01-20 06:00:00
70,432.0,432.6,414.6,414.6,588,2010-01-21 06:00:00
71,420.0,423.0,371.7,386.4,872,2010-01-22 06:00:00
72,396.0,405.6,387.0,387.0,411,2010-01-25 06:00:00
73,385.8,385.8,361.2,371.4,547,2010-01-26 06:00:00
74,372.0,378.0,360.0,367.2,296,2010-01-27 06:00:00
75,399.0,431.4,386.4,427.2,1115,2010-01-28 06:00:00
76,432.0,483.0,427.8,478.8,2493,2010-01-29 06:00:00
77,492.0,498.0,448.806,453.6,1358,2010-02-01 06:00:00
78,444.0,495.6,444.0,467.4,820,2010-02-02 06:00:00
79,465.0,484.8,465.0,473.994,357,2010-02-03 06:00:00
80,472.8,472.8,432.0,441.6,1158,2010-02-04 06:00:00
81,453.0,453.0,427.206,427.206,478,2010-02-05 06:00:00
