,open,high,low,close,volume,datetime
0,14.05,14.19,12.2501,13.06,2734022,2021-11-11 06:00:00
1,13.0,14.15,13.0,13.75,1044444,2021-11-12 06:00:00
2,13.731,14.5,13.731,14.25,392718,2021-11-15 06:00:00
3,14.2,14.94,14.2,14.78,388544,2021-11-16 06:00:00
4,14.7,14.78,14.06,14.41,171533,2021-11-17 06:00:00
5,14.62,14.815,14.2408,14.75,206489,2021-11-18 06:00:00
6,14.58,15.09,14.375,14.39,224545,2021-11-19 06:00:00
7,14.53,14.75,13.75,14.31,175688,2021-11-22 06:00:00
8,13.755,14.36,13.5,13.64,178329,2021-11-23 06:00:00
9,13.5,14.37,13.5,14.16,140462,2021-11-24 06:00:00
10,13.75,14.7754,13.75,14.16,117144,2021-11-26 06:00:00
11,14.14,14.9,13.5,13.5,148113,2021-11-29 06:00:00
12,13.5,13.99,12.82,12.87,133840,2021-11-30 06:00:00
13,12.83,13.67,12.5,12.55,262575,2021-12-01 06:00:00
14,12.55,13.305,10.59,11.27,733280,2021-12-02 06:00:00
15,11.12,11.63,10.72,11.06,326668,2021-12-03 06:00:00
16,11.12,11.69,11.02,11.61,385063,2021-12-06 06:00:00
17,12.18,12.38,11.72,11.99,318030,2021-12-07 06:00:00
18,11.84,12.19,11.805,11.86,136108,2021-12-08 06:00:00
19,11.99,12.33,11.24,11.47,170235,2021-12-09 06:00:00
20,11.46,12.59,11.46,12.47,496180,2021-12-10 06:00:00
21,12.44,12.64,11.155,11.49,451310,2021-12-13 06:00:00
22,11.31,11.85,11.01,11.71,381165,2021-12-14 06:00:00
23,12.24,12.45,11.06,11.85,544655,2021-12-15 06:00:00
24,12.25,12.32,10.9,11.09,258973,2021-12-16 06:00:00
25,11.225,11.49,10.29,10.42,1129367,2021-12-17 06:00:00
26,10.5,10.88,10.39,10.69,94231,2021-12-20 06:00:00
27,10.59,11.02,10.58,10.83,64465,2021-12-21 06:00:00
28,10.79,10.9001,10.42,10.54,151150,2021-12-22 06:00:00
29,10.63,10.8,10.16,10.3,145403,2021-12-23 06:00:00
30,10.21,10.75,10.2,10.48,111951,2021-12-27 06:00:00
31,10.47,10.54,10.0,10.15,164310,2021-12-28 06:00:00
32,10.06,10.67,9.85,10.34,132010,2021-12-29 06:00:00
33,10.21,10.73,10.04,10.62,148895,2021-12-30 06:00:00
34,10.53,11.0882,10.15,10.23,139589,2021-12-31 06:00:00
35,10.23,10.49,9.8,10.04,222364,2022-01-03 06:00:00
36,9.95,10.25,9.29,10.09,303729,2022-01-04 06:00:00
37,10.43,10.43,9.33,9.54,97404,2022-01-05 06:00:00
38,9.43,9.99,9.11,9.87,108257,2022-01-06 06:00:00
39,9.96,10.15,9.565,10.0,71754,2022-01-07 06:00:00
40,10.09,10.09,9.5,9.7,105408,2022-01-10 06:00:00
41,9.7,9.75,9.4,9.72,59708,2022-01-11 06:00:00
42,9.66,9.879,9.5,9.53,48718,2022-01-12 06:00:00
43,9.54,9.54,9.15,9.2,61207,2022-01-13 06:00:00
44,9.05,9.37,8.77,9.28,80177,2022-01-14 06:00:00
45,9.12,9.59,8.91,9.46,83778,2022-01-18 06:00:00
46,9.5,9.51,8.9,9.1,113014,2022-01-19 06:00:00
47,9.02,9.17,8.78,8.8,131630,2022-01-20 06:00:00
48,8.71,8.76,8.34,8.38,145729,2022-01-21 06:00:00
49,8.25,8.74,7.88,8.53,183425,2022-01-24 06:00:00
50,8.23,9.07,8.225,8.84,113205,2022-01-25 06:00:00
51,9.06,9.605,8.84,9.11,99328,2022-01-26 06:00:00
52,9.19,9.19,8.501,8.94,41486,2022-01-27 06:00:00
53,8.97,9.145,8.63,8.82,39571,2022-01-28 06:00:00
54,8.87,9.78,8.755,9.66,78368,2022-01-31 06:00:00
55,9.66,9.82,9.61,9.78,23716,2022-02-01 06:00:00
56,9.81,9.8899,9.27,9.31,27067,2022-02-02 06:00:00
57,9.26,9.3,9.0074,9.24,39792,2022-02-03 06:00:00
58,9.27,9.4407,9.04,9.36,37678,2022-02-04 06:00:00
59,9.39,9.6248,9.19,9.58,44163,2022-02-07 06:00:00
60,9.55,9.75,9.1083,9.73,31587,2022-02-08 06:00:00
61,9.73,9.86,9.54,9.74,36049,2022-02-09 06:00:00
62,9.77,10.21,9.77,10.03,51762,2022-02-10 06:00:00
63,10.16,10.45,9.95,10.34,27685,2022-02-11 06:00:00
64,10.46,10.76,10.32,10.49,49687,2022-02-14 06:00:00
65,10.97,11.31,10.61,11.15,70576,2022-02-15 06:00:00
66,11.12,11.475,10.96,11.12,38186,2022-02-16 06:00:00
67,11.01,11.1,10.34,10.5,29895,2022-02-17 06:00:00
68,10.42,10.55,10.07,10.41,40718,2022-02-18 06:00:00
69,10.29,10.87,9.645,9.85,31022,2022-02-22 06:00:00
70,10.04,10.05,9.59,9.59,56719,2022-02-23 06:00:00
71,9.16,9.83,8.91,9.67,56878,2022-02-24 06:00:00
72,9.26,9.95,9.26,9.76,29329,2022-02-25 06:00:00
73,9.74,10.26,9.74,9.97,48482,2022-02-28 06:00:00
74,10.07,10.35,9.45,9.53,31237,2022-03-01 06:00:00
75,9.56,10.66,9.46,9.67,25620,2022-03-02 06:00:00
76,9.67,10.195,9.425,9.52,17153,2022-03-03 06:00:00
77,9.37,9.63,8.73,8.84,53970,2022-03-04 06:00:00
78,8.92,9.135,7.77,7.96,70365,2022-03-07 06:00:00
79,8.08,8.47,7.69,7.87,76310,2022-03-08 06:00:00
80,7.98,8.13,7.53,7.59,62097,2022-03-09 06:00:00
81,7.44,7.5,7.07,7.47,49002,2022-03-10 06:00:00
82,7.39,7.39,6.56,6.63,83581,2022-03-11 06:00:00
83,6.93,6.93,6.04,6.49,90816,2022-03-14 05:00:00
84,6.64,6.69,6.31,6.46,69412,2022-03-15 05:00:00
85,6.58,7.4625,6.46,7.25,194769,2022-03-16 05:00:00
86,7.38,7.81,7.0,7.0,111290,2022-03-17 05:00:00
87,6.99,7.55,6.73,7.4,87165,2022-03-18 05:00:00
88,7.38,7.5,5.31,5.67,315756,2022-03-21 05:00:00
89,6.1,6.1,5.71,5.83,167752,2022-03-22 05:00:00
90,5.69,5.92,5.1,5.46,260795,2022-03-23 05:00:00
91,5.38,5.88,5.34,5.85,84666,2022-03-24 05:00:00
92,5.84,5.85,5.32,5.47,111953,2022-03-25 05:00:00
93,5.51,5.78,5.3792,5.76,88629,2022-03-28 05:00:00
94,5.73,6.25,5.73,6.18,158669,2022-03-29 05:00:00
95,6.33,6.3406,6.04,6.21,113084,2022-03-30 05:00:00
96,6.2,6.79,6.04,6.78,263218,2022-03-31 05:00:00
97,8.14,8.14,7.05,7.75,702512,2022-04-01 05:00:00
98,8.15,8.64,7.88,8.5,248716,2022-04-04 05:00:00
99,8.55,9.97,8.42,9.35,456472,2022-04-05 05:00:00
100,9.22,9.71,8.51,9.36,153555,2022-04-06 05:00:00
101,9.38,9.38,8.935,9.02,105092,2022-04-07 05:00:00
102,9.01,9.13,8.25,8.47,170827,2022-04-08 05:00:00
103,8.35,8.7424,8.14,8.42,95432,2022-04-11 05:00:00
104,8.49,8.82,8.44,8.64,42257,2022-04-12 05:00:00
105,8.62,8.82,8.37,8.63,118806,2022-04-13 05:00:00
106,8.47,9.43,8.44,9.37,72280,2022-04-14 05:00:00
107,9.28,9.36,8.9,8.93,129177,2022-04-18 05:00:00
108,8.82,9.43,8.7001,8.97,196761,2022-04-19 05:00:00
109,8.96,9.09,8.61,8.96,222495,2022-04-20 05:00:00
110,9.03,9.57,9.03,9.31,119307,2022-04-21 05:00:00
111,9.36,9.68,8.81,9.39,181934,2022-04-22 05:00:00
112,9.35,9.69,9.0248,9.33,126442,2022-04-25 05:00:00
113,9.29,9.76,8.925,9.13,214079,2022-04-26 05:00:00
114,9.12,9.46,8.875,9.01,87448,2022-04-27 05:00:00
115,8.94,9.44,8.85,9.3,59130,2022-04-28 05:00:00
116,9.41,10.2,9.27,9.64,202193,2022-04-29 05:00:00
117,9.66,10.07,9.48,9.99,81251,2022-05-02 05:00:00
118,10.05,10.4499,9.725,10.0,59682,2022-05-03 05:00:00
119,10.0,10.4,9.56,10.35,61395,2022-05-04 05:00:00
120,10.36,10.6038,9.77,10.06,79187,2022-05-05 05:00:00
121,10.05,10.34,9.655,9.96,79976,2022-05-06 05:00:00
122,9.67,9.985,9.29,9.56,183268,2022-05-09 05:00:00
123,9.52,10.16,9.27,9.44,72662,2022-05-10 05:00:00
124,9.5,9.92,9.06,9.45,79776,2022-05-11 05:00:00
125,9.57,9.8,9.08,9.39,131130,2022-05-12 05:00:00
126,9.46,9.735,9.11,9.28,102605,2022-05-13 05:00:00
127,9.19,9.305,8.25,8.76,141579,2022-05-16 05:00:00
128,8.91,10.05,8.91,10.05,294477,2022-05-17 05:00:00
129,10.68,11.71,9.1,11.55,506418,2022-05-18 05:00:00
130,11.6,12.049,11.25,11.6,435853,2022-05-19 05:00:00
131,11.62,11.8,10.795,11.37,173461,2022-05-20 05:00:00
132,11.51,12.08,11.2256,12.05,251153,2022-05-23 05:00:00
133,12.04,14.66,11.51,13.14,991484,2022-05-24 05:00:00
134,12.92,16.05,12.92,15.86,497440,2022-05-25 05:00:00
135,16.94,18.0,16.22,17.96,485573,2022-05-26 05:00:00
136,17.58,18.75,16.76,18.75,350895,2022-05-27 05:00:00
137,18.37,19.63,17.6368,18.77,316964,2022-05-31 05:00:00
138,18.77,19.99,18.34,19.68,243182,2022-06-01 05:00:00
139,19.68,20.77,18.52,18.83,361234,2022-06-02 05:00:00
140,18.64,19.72,18.19,19.7,262858,2022-06-03 05:00:00
141,20.0,21.29,19.14,19.38,340638,2022-06-06 05:00:00
142,19.5,19.941,17.27,18.22,352953,2022-06-07 05:00:00
143,17.86,19.53,17.86,19.08,228633,2022-06-08 05:00:00
144,18.85,19.16,17.51,17.59,197136,2022-06-09 05:00:00
145,16.65,16.95,13.07,14.16,536588,2022-06-10 05:00:00
