,open,high,low,close,volume,datetime
0,1.3,1.4,1.3,1.4,11200,2002-06-10 05:00:00
1,1.28,1.42,1.26,1.42,65200,2002-06-11 05:00:00
2,1.31,1.38,1.26,1.38,7800,2002-06-12 05:00:00
3,1.3,1.37,1.22,1.33,41200,2002-06-13 05:00:00
4,1.23,1.26,1.23,1.23,2500,2002-06-14 05:00:00
5,1.28,1.28,1.21,1.26,22000,2002-06-17 05:00:00
6,1.23,1.27,1.22,1.27,21500,2002-06-18 05:00:00
7,1.23,1.35,1.13,1.28,28500,2002-06-19 05:00:00
8,1.18,1.22,1.12,1.2,22500,2002-06-20 05:00:00
9,1.2,1.27,1.18,1.25,15400,2002-06-21 05:00:00
10,1.18,1.27,1.13,1.23,27300,2002-06-24 05:00:00
11,1.15,1.29,1.15,1.28,19100,2002-06-25 05:00:00
12,1.18,1.29,1.11,1.13,81200,2002-06-26 05:00:00
13,1.13,1.17,1.1,1.17,35300,2002-06-27 05:00:00
14,1.1,1.3,1.06,1.25,107400,2002-06-28 05:00:00
15,1.21,1.25,1.2,1.24,13300,2002-07-01 05:00:00
16,1.2,1.25,1.14,1.25,9200,2002-07-02 05:00:00
17,1.17,1.25,1.17,1.25,18700,2002-07-03 05:00:00
18,1.16,1.25,1.16,1.25,13500,2002-07-05 05:00:00
19,1.13,1.29,1.13,1.24,12900,2002-07-08 05:00:00
20,1.24,1.25,1.19,1.21,2000,2002-07-09 05:00:00
21,1.18,1.25,1.1,1.24,15200,2002-07-10 05:00:00
22,1.15,1.22,1.11,1.2,26300,2002-07-11 05:00:00
23,1.12,1.28,1.09,1.24,12100,2002-07-12 05:00:00
24,1.24,1.24,1.12,1.21,15700,2002-07-15 05:00:00
25,1.13,1.18,1.12,1.17,18000,2002-07-16 05:00:00
26,1.12,1.2,1.1,1.2,21400,2002-07-17 05:00:00
27,1.19,1.2,1.13,1.2,2200,2002-07-18 05:00:00
28,1.14,1.24,1.14,1.24,16800,2002-07-19 05:00:00
29,1.16,1.16,1.1,1.13,17700,2002-07-22 05:00:00
30,1.06,1.15,1.0,1.11,13800,2002-07-23 05:00:00
31,1.05,1.1,1.02,1.1,14600,2002-07-24 05:00:00
32,1.07,1.18,1.06,1.12,14900,2002-07-25 05:00:00
33,1.12,1.12,1.06,1.06,11600,2002-07-26 05:00:00
34,1.06,1.09,1.0,1.08,22800,2002-07-29 05:00:00
35,1.07,1.1,1.01,1.1,28700,2002-07-30 05:00:00
36,1.11,1.16,1.07,1.16,17300,2002-07-31 05:00:00
37,1.11,1.18,1.11,1.11,10600,2002-08-01 05:00:00
38,1.11,1.11,1.09,1.09,2200,2002-08-02 05:00:00
39,1.02,1.1,1.02,1.04,24600,2002-08-05 05:00:00
40,1.01,1.05,1.01,1.03,25700,2002-08-06 05:00:00
41,1.03,1.05,1.03,1.03,6300,2002-08-07 05:00:00
42,1.03,1.05,1.03,1.03,19800,2002-08-08 05:00:00
43,1.03,1.1,1.03,1.1,28400,2002-08-09 05:00:00
44,1.05,1.1,1.03,1.03,22700,2002-08-12 05:00:00
45,1.03,1.1,1.03,1.03,26800,2002-08-13 05:00:00
46,1.02,1.09,1.02,1.05,37600,2002-08-14 05:00:00
47,1.03,1.08,1.02,1.03,28700,2002-08-15 05:00:00
48,0.95,1.09,0.88,1.09,37400,2002-08-16 05:00:00
49,1.01,1.08,1.01,1.03,14900,2002-08-19 05:00:00
50,1.03,1.06,1.03,1.03,26800,2002-08-20 05:00:00
51,1.03,1.1,1.03,1.05,25800,2002-08-21 05:00:00
52,1.05,1.08,1.03,1.05,30800,2002-08-22 05:00:00
53,1.03,1.09,1.03,1.04,16600,2002-08-23 05:00:00
54,1.03,1.07,1.01,1.01,15000,2002-08-26 05:00:00
55,1.01,1.07,1.01,1.01,1200,2002-08-27 05:00:00
56,1.02,1.05,1.02,1.05,1300,2002-08-28 05:00:00
57,1.02,1.08,1.0,1.08,22500,2002-08-29 05:00:00
58,1.05,1.08,1.01,1.07,41200,2002-08-30 05:00:00
59,1.07,1.11,1.07,1.07,2000,2002-09-03 05:00:00
60,1.07,1.09,1.03,1.08,16800,2002-09-04 05:00:00
61,1.08,1.08,1.0,1.08,17000,2002-09-05 05:00:00
62,0.89,1.12,0.88,1.1,31900,2002-09-06 05:00:00
63,1.1,1.1,1.08,1.1,5000,2002-09-09 05:00:00
64,1.08,1.12,1.08,1.08,2000,2002-09-10 05:00:00
65,1.08,1.08,1.08,1.08,2000,2002-09-12 05:00:00
66,1.06,1.06,1.05,1.05,7000,2002-09-13 05:00:00
67,1.05,1.05,1.05,1.05,700,2002-09-16 05:00:00
68,1.04,1.08,1.0,1.0,39800,2002-09-17 05:00:00
69,0.98,0.99,0.77,0.88,15000,2002-09-18 05:00:00
70,0.92,0.92,0.84,0.87,5500,2002-09-19 05:00:00
71,0.87,0.93,0.85,0.93,10300,2002-09-20 05:00:00
72,0.95,0.95,0.91,0.93,16600,2002-09-23 05:00:00
73,0.87,0.93,0.86,0.91,43400,2002-09-24 05:00:00
74,0.87,0.91,0.82,0.88,8300,2002-09-25 05:00:00
75,0.82,0.84,0.8,0.8,36000,2002-09-26 05:00:00
76,0.85,0.85,0.78,0.78,11600,2002-09-27 05:00:00
77,0.78,0.82,0.77,0.77,39400,2002-09-30 05:00:00
78,0.77,0.84,0.75,0.75,23300,2002-10-01 05:00:00
79,0.72,0.85,0.72,0.85,27600,2002-10-02 05:00:00
80,0.85,0.88,0.84,0.88,9500,2002-10-03 05:00:00
81,0.94,0.94,0.88,0.88,31900,2002-10-04 05:00:00
82,0.86,0.9,0.83,0.83,57000,2002-10-07 05:00:00
83,0.85,0.94,0.85,0.94,29400,2002-10-08 05:00:00
84,0.97,1.01,0.95,1.0,175300,2002-10-09 05:00:00
85,0.9,1.05,0.9,1.05,28900,2002-10-10 05:00:00
86,1.01,1.05,1.0,1.01,7500,2002-10-11 05:00:00
87,0.9,1.05,0.9,1.05,58600,2002-10-14 05:00:00
88,1.07,1.09,1.05,1.05,15500,2002-10-15 05:00:00
89,1.06,1.08,1.05,1.05,6000,2002-10-16 05:00:00
90,1.05,1.08,1.05,1.07,9100,2002-10-17 05:00:00
91,1.09,1.09,1.06,1.06,5400,2002-10-18 05:00:00
92,1.07,1.1,1.05,1.06,68500,2002-10-21 05:00:00
93,1.05,1.09,1.05,1.09,59300,2002-10-22 05:00:00
94,1.05,1.09,1.05,1.08,7700,2002-10-23 05:00:00
95,1.15,1.3,1.05,1.05,37100,2002-10-24 05:00:00
96,1.05,1.08,1.05,1.08,600,2002-10-25 05:00:00
97,1.1,1.12,1.1,1.1,10200,2002-10-28 06:00:00
98,1.09,1.11,1.09,1.11,7300,2002-10-29 06:00:00
99,1.09,1.18,1.05,1.05,9700,2002-10-30 06:00:00
100,1.06,1.08,1.06,1.07,1800,2002-10-31 06:00:00
101,1.06,1.07,1.05,1.06,20100,2002-11-01 06:00:00
102,0.99,1.08,0.95,1.08,26400,2002-11-04 06:00:00
103,1.1,1.1,1.06,1.06,28200,2002-11-05 06:00:00
104,1.05,1.07,1.05,1.07,4200,2002-11-06 06:00:00
105,1.05,1.09,1.05,1.06,10000,2002-11-07 06:00:00
106,1.07,1.1,1.07,1.09,45100,2002-11-08 06:00:00
107,1.09,1.13,1.08,1.09,16000,2002-11-11 06:00:00
108,1.05,1.15,1.05,1.12,23100,2002-11-12 06:00:00
109,1.15,1.4,1.13,1.25,74000,2002-11-13 06:00:00
110,1.28,1.44,1.25,1.38,97100,2002-11-14 06:00:00
