,open,high,low,close,volume,datetime
0,9.47,10.49,7.84,10.0,1108950,2021-03-12 06:00:00
1,10.9,11.79,10.4,11.18,2180536,2021-03-15 05:00:00
2,11.18,11.32,9.65,10.85,631794,2021-03-16 05:00:00
3,10.6,10.99,10.37,10.99,150798,2021-03-17 05:00:00
4,10.98,10.98,10.3,10.36,136316,2021-03-18 05:00:00
5,10.21,10.85,10.21,10.85,82170,2021-03-19 05:00:00
6,10.85,11.2399,10.7001,10.8,110472,2021-03-22 05:00:00
7,10.5,10.89,10.187,10.23,107612,2021-03-23 05:00:00
8,10.23,10.6171,9.36,9.49,145262,2021-03-24 05:00:00
9,9.5,9.599,9.0,9.12,92964,2021-03-25 05:00:00
10,9.18,9.31,8.88,9.01,96097,2021-03-26 05:00:00
11,9.29,9.92,9.29,9.75,98055,2021-03-29 05:00:00
12,9.99,9.99,9.51,9.62,111838,2021-03-30 05:00:00
13,9.67,9.67,9.3,9.33,60898,2021-03-31 05:00:00
14,9.52,9.62,9.04,9.34,56406,2021-04-01 05:00:00
15,9.9,9.92,9.52,9.65,50418,2021-04-05 05:00:00
16,9.7,9.79,9.5,9.72,31645,2021-04-06 05:00:00
17,9.7,9.715,9.36,9.37,34957,2021-04-07 05:00:00
18,9.63,9.6335,9.4,9.51,17279,2021-04-08 05:00:00
19,9.7,9.7599,9.51,9.59,26420,2021-04-09 05:00:00
20,9.59,9.59,9.09,9.23,41605,2021-04-12 05:00:00
21,9.33,9.33,8.88,8.9,34745,2021-04-13 05:00:00
22,9.1,9.1,8.4,8.56,78535,2021-04-14 05:00:00
23,8.77,8.8306,8.39,8.39,41047,2021-04-15 05:00:00
24,8.5,8.92,8.37,8.87,38373,2021-04-16 05:00:00
25,8.98,8.98,8.3,8.34,46094,2021-04-19 05:00:00
26,8.4,8.6223,8.05,8.2,64273,2021-04-20 05:00:00
27,8.08,8.1,7.55,7.88,80596,2021-04-21 05:00:00
28,7.7,8.13,7.63,7.7,64994,2021-04-22 05:00:00
29,7.8,7.8,7.61,7.77,30354,2021-04-23 05:00:00
30,8.11,8.43,7.9216,8.3057,48208,2021-04-26 05:00:00
31,8.5,8.8,8.43,8.69,29737,2021-04-27 05:00:00
32,8.7,8.72,8.29,8.4253,45023,2021-04-28 05:00:00
33,8.6,9.29,8.2801,9.29,18969,2021-04-29 05:00:00
