,open,high,low,close,volume,datetime
0,13.15,13.375,13.15,13.26,297600,2002-06-10 05:00:00
1,13.3,13.3,12.875,12.955,636400,2002-06-11 05:00:00
2,12.9,13.05,12.76,12.85,404200,2002-06-12 05:00:00
3,12.9,12.9,12.635,12.635,558200,2002-06-13 05:00:00
4,12.635,12.635,12.25,12.475,606800,2002-06-14 05:00:00
5,12.6,12.85,12.55,12.8,353400,2002-06-17 05:00:00
6,12.9,12.97,12.75,12.8,580400,2002-06-18 05:00:00
7,12.5,12.625,12.275,12.445,1869800,2002-06-19 05:00:00
8,12.57,13.38,12.55,13.315,1034200,2002-06-20 05:00:00
9,13.35,13.5,13.125,13.35,1202000,2002-06-21 05:00:00
10,13.33,13.345,12.9,13.0,636200,2002-06-24 05:00:00
11,13.03,13.25,12.73,12.785,772000,2002-06-25 05:00:00
12,12.65,13.075,12.55,12.995,425600,2002-06-26 05:00:00
13,12.9,12.995,12.445,12.565,2498200,2002-06-27 05:00:00
14,12.565,12.91,12.535,12.875,1108800,2002-06-28 05:00:00
15,12.85,12.975,12.695,12.89,673800,2002-07-01 05:00:00
16,12.95,12.95,12.5,12.555,399000,2002-07-02 05:00:00
17,12.595,12.725,12.45,12.64,568400,2002-07-03 05:00:00
18,12.55,12.875,12.5,12.855,199200,2002-07-05 05:00:00
19,12.75,12.805,12.52,12.55,621400,2002-07-08 05:00:00
20,12.5,12.6,12.32,12.325,543400,2002-07-09 05:00:00
21,12.225,12.35,12.0,12.15,1495200,2002-07-10 05:00:00
22,12.05,12.125,11.95,12.015,854200,2002-07-11 05:00:00
23,12.015,12.16,11.78,11.84,678800,2002-07-12 05:00:00
24,11.845,11.935,11.515,11.86,608200,2002-07-15 05:00:00
25,11.775,11.93,11.4,11.525,742800,2002-07-16 05:00:00
26,11.6,11.79,11.55,11.63,1017200,2002-07-17 05:00:00
27,11.63,11.69,11.0,11.145,793600,2002-07-18 05:00:00
28,11.075,11.075,10.35,10.575,1510400,2002-07-19 05:00:00
29,10.575,10.845,10.365,10.725,1417600,2002-07-22 05:00:00
30,10.65,11.1,10.65,10.935,1207200,2002-07-23 05:00:00
31,10.835,11.35,10.68,11.335,980000,2002-07-24 05:00:00
32,11.46,12.02,11.425,11.825,1122400,2002-07-25 05:00:00
33,11.71,11.745,11.365,11.425,980800,2002-07-26 05:00:00
34,11.55,11.73,11.5,11.61,1050800,2002-07-29 05:00:00
35,11.525,11.525,11.15,11.255,1076400,2002-07-30 05:00:00
36,11.225,11.5,11.225,11.375,1239000,2002-07-31 05:00:00
37,11.25,11.65,11.25,11.54,1285800,2002-08-01 05:00:00
38,11.54,11.66,11.21,11.36,618600,2002-08-02 05:00:00
39,11.3,11.42,11.005,11.09,280600,2002-08-05 05:00:00
40,11.09,11.275,11.05,11.125,603800,2002-08-06 05:00:00
41,11.3,11.3,11.075,11.27,441800,2002-08-07 05:00:00
42,11.165,11.4,11.165,11.38,631200,2002-08-08 05:00:00
43,11.38,11.47,11.175,11.325,333400,2002-08-09 05:00:00
44,11.0,11.425,11.0,11.275,499800,2002-08-12 05:00:00
45,11.15,11.26,10.995,11.04,545600,2002-08-13 05:00:00
46,11.04,11.42,11.04,11.4,644600,2002-08-14 05:00:00
47,11.35,11.425,11.12,11.38,705600,2002-08-15 05:00:00
48,11.325,11.46,11.3,11.375,409400,2002-08-16 05:00:00
49,11.38,11.6,11.355,11.48,680200,2002-08-19 05:00:00
50,11.425,11.465,11.125,11.175,722800,2002-08-20 05:00:00
51,11.225,11.38,11.1,11.31,889400,2002-08-21 05:00:00
52,11.435,11.625,11.375,11.55,604000,2002-08-22 05:00:00
53,11.5,11.645,11.5,11.57,562800,2002-08-23 05:00:00
54,11.6,11.65,11.545,11.58,427000,2002-08-26 05:00:00
55,11.69,11.7,11.45,11.505,501400,2002-08-27 05:00:00
56,11.39,11.5,11.385,11.425,256600,2002-08-28 05:00:00
57,11.325,11.66,11.225,11.6,710000,2002-08-29 05:00:00
58,11.525,11.72,11.525,11.575,465400,2002-08-30 05:00:00
59,11.45,11.535,11.205,11.385,494200,2002-09-03 05:00:00
60,11.35,11.525,11.32,11.52,359000,2002-09-04 05:00:00
61,11.49,11.57,11.36,11.36,578400,2002-09-05 05:00:00
62,11.4,11.505,11.38,11.425,526600,2002-09-06 05:00:00
63,11.05,11.415,11.035,11.24,910800,2002-09-09 05:00:00
64,11.2,11.35,11.08,11.3,614200,2002-09-10 05:00:00
65,11.35,11.39,11.245,11.275,230000,2002-09-11 05:00:00
66,11.165,11.225,11.05,11.095,459600,2002-09-12 05:00:00
67,11.095,11.315,11.0,11.245,378200,2002-09-13 05:00:00
68,11.135,11.45,11.1,11.43,616400,2002-09-16 05:00:00
69,11.5,11.54,11.305,11.355,507200,2002-09-17 05:00:00
70,11.305,11.37,11.09,11.3,322400,2002-09-18 05:00:00
71,11.39,11.39,11.165,11.25,535200,2002-09-19 05:00:00
