,open,high,low,close,volume,datetime
0,3.75,3.75,3.75,3.75,100,2002-06-10 05:00:00
1,3.75,3.85,3.75,3.85,2500,2002-06-11 05:00:00
2,3.75,3.85,3.7,3.85,2500,2002-06-12 05:00:00
3,3.65,3.85,3.65,3.8,12200,2002-06-14 05:00:00
4,3.8,3.8,3.8,3.8,1000,2002-06-17 05:00:00
5,3.9,3.95,3.9,3.95,1200,2002-06-18 05:00:00
6,3.95,3.95,3.8,3.8,5300,2002-06-19 05:00:00
7,3.95,3.95,3.95,3.95,1000,2002-06-20 05:00:00
8,3.8,3.95,3.8,3.95,3800,2002-06-24 05:00:00
9,3.95,4.0,3.8,3.9,37400,2002-06-25 05:00:00
10,4.02,4.02,4.02,4.02,3400,2002-06-26 05:00:00
11,4.1,4.1,4.0,4.01,1600,2002-06-27 05:00:00
12,4.1,4.1,4.1,4.1,700,2002-06-28 05:00:00
13,4.03,4.03,4.03,4.03,1000,2002-07-01 05:00:00
14,4.03,4.03,4.03,4.03,15000,2002-07-02 05:00:00
15,4.02,4.02,4.02,4.02,2200,2002-07-03 05:00:00
16,4.02,4.02,4.0,4.0,7800,2002-07-05 05:00:00
17,4.0,4.0,3.95,3.95,10000,2002-07-08 05:00:00
18,3.95,4.0,3.95,3.95,3500,2002-07-09 05:00:00
19,3.75,3.75,3.75,3.75,1300,2002-07-11 05:00:00
20,3.9,3.9,3.9,3.9,3500,2002-07-12 05:00:00
21,3.7,3.7,3.45,3.7,32700,2002-07-15 05:00:00
22,3.6,3.6,3.5,3.55,25900,2002-07-16 05:00:00
23,3.5,3.55,3.35,3.5,16800,2002-07-17 05:00:00
24,3.5,3.5,3.42,3.45,33200,2002-07-18 05:00:00
25,3.45,3.45,3.37,3.4,31500,2002-07-19 05:00:00
26,3.38,3.4,3.0,3.25,18700,2002-07-22 05:00:00
27,3.1,3.1,2.65,2.65,21700,2002-07-23 05:00:00
28,2.9,2.9,2.5,2.75,23800,2002-07-24 05:00:00
29,2.75,2.86,2.75,2.8,26000,2002-07-25 05:00:00
30,2.9,2.9,2.7,2.7,31800,2002-07-26 05:00:00
31,2.85,2.9,2.85,2.85,4200,2002-07-29 05:00:00
32,2.95,3.0,2.9,2.9,25200,2002-07-30 05:00:00
33,3.1,3.2,3.1,3.15,5600,2002-07-31 05:00:00
34,3.05,3.05,3.05,3.05,2000,2002-08-01 05:00:00
35,3.05,3.1,3.05,3.1,20000,2002-08-05 05:00:00
36,3.1,3.1,3.08,3.1,2200,2002-08-06 05:00:00
37,3.05,3.1,3.05,3.1,2200,2002-08-07 05:00:00
38,3.25,3.25,3.1,3.15,4700,2002-08-08 05:00:00
39,3.11,3.15,3.11,3.15,6500,2002-08-12 05:00:00
40,3.11,3.2,3.11,3.2,3000,2002-08-13 05:00:00
41,3.2,3.2,3.2,3.2,1000,2002-08-14 05:00:00
42,3.2,3.25,3.2,3.2,2700,2002-08-16 05:00:00
43,3.2,3.25,3.2,3.25,6000,2002-08-19 05:00:00
44,3.35,3.35,3.35,3.35,1000,2002-08-20 05:00:00
45,3.5,3.5,3.5,3.5,800,2002-08-21 05:00:00
46,3.5,3.65,3.5,3.65,2600,2002-08-22 05:00:00
47,3.65,3.65,3.45,3.5,3600,2002-08-23 05:00:00
48,3.55,3.6,3.55,3.6,2200,2002-08-26 05:00:00
49,3.55,3.55,3.55,3.55,300,2002-08-27 05:00:00
50,3.5,3.5,3.5,3.5,100,2002-08-28 05:00:00
51,3.5,3.55,3.35,3.35,7000,2002-08-29 05:00:00
52,3.3,3.3,3.17,3.2,11400,2002-08-30 05:00:00
53,3.2,3.2,3.1,3.1,5300,2002-09-03 05:00:00
54,3.05,3.05,2.85,3.05,9600,2002-09-04 05:00:00
55,3.15,3.15,3.1,3.1,700,2002-09-05 05:00:00
56,3.15,3.15,3.1,3.1,23700,2002-09-06 05:00:00
57,3.1,3.1,3.1,3.1,3500,2002-09-10 05:00:00
58,3.08,3.1,3.08,3.1,2200,2002-09-11 05:00:00
59,3.08,3.1,3.0,3.0,15300,2002-09-12 05:00:00
60,3.0,3.1,3.0,3.1,2000,2002-09-13 05:00:00
61,3.05,3.1,3.05,3.1,3000,2002-09-17 05:00:00
62,3.08,3.1,2.95,3.05,7500,2002-09-18 05:00:00
63,2.95,3.0,2.85,2.95,10300,2002-09-19 05:00:00
64,2.95,2.95,2.9,2.9,3900,2002-09-20 05:00:00
65,2.85,2.9,2.75,2.8,13600,2002-09-23 05:00:00
66,2.7,2.8,2.55,2.8,24900,2002-09-24 05:00:00
67,2.65,2.8,2.65,2.8,300,2002-09-25 05:00:00
68,2.8,2.8,2.8,2.8,300,2002-09-26 05:00:00
69,2.75,2.8,2.6,2.8,2700,2002-09-27 05:00:00
70,2.8,2.8,2.8,2.8,5200,2002-10-01 05:00:00
71,2.75,2.9,2.75,2.9,500,2002-10-03 05:00:00
72,2.75,2.8,2.75,2.8,800,2002-10-04 05:00:00
73,2.9,2.95,2.75,2.95,300,2002-10-07 05:00:00
74,2.95,2.95,2.9,2.9,10000,2002-10-09 05:00:00
75,2.95,2.95,2.7,2.85,4400,2002-10-14 05:00:00
76,2.85,2.85,2.85,2.85,5000,2002-10-15 05:00:00
77,2.85,2.85,2.85,2.85,1400,2002-10-16 05:00:00
78,2.8,2.85,2.8,2.85,6400,2002-10-17 05:00:00
79,2.85,2.85,2.85,2.85,200,2002-10-21 05:00:00
80,3.0,3.0,2.95,2.98,5600,2002-10-22 05:00:00
81,3.0,3.0,2.83,2.83,9400,2002-10-23 05:00:00
82,2.85,2.95,2.8,2.95,2800,2002-10-28 06:00:00
83,2.8,2.95,2.8,2.95,900,2002-10-29 06:00:00
84,2.95,2.95,2.8,2.85,9200,2002-10-31 06:00:00
85,2.85,2.9,2.85,2.85,1600,2002-11-01 06:00:00
86,2.9,3.0,2.85,2.9,11000,2002-11-04 06:00:00
87,2.95,2.95,2.95,2.95,800,2002-11-11 06:00:00
88,2.9,2.95,2.9,2.9,13100,2002-11-12 06:00:00
89,3.0,3.0,2.9,2.95,11900,2002-11-13 06:00:00
90,2.95,2.95,2.92,2.92,4700,2002-11-14 06:00:00
91,2.9,2.92,2.85,2.85,25500,2002-11-15 06:00:00
92,2.8,2.85,2.8,2.85,3300,2002-11-18 06:00:00
93,2.78,2.8,2.75,2.8,4600,2002-11-19 06:00:00
94,2.78,2.8,2.75,2.8,2000,2002-11-20 06:00:00
95,2.75,2.8,2.75,2.75,1300,2002-11-21 06:00:00
96,2.75,2.75,2.75,2.75,1000,2002-11-22 06:00:00
97,2.75,2.75,2.75,2.75,200,2002-11-25 06:00:00
98,2.65,2.8,2.65,2.8,3800,2002-11-26 06:00:00
99,2.75,2.82,2.75,2.77,10600,2002-12-03 06:00:00
100,2.75,2.8,2.7,2.8,2700,2002-12-04 06:00:00
101,2.7,2.8,2.7,2.8,2100,2002-12-06 06:00:00
102,2.7,2.8,2.7,2.75,9800,2002-12-09 06:00:00
103,2.6,2.75,2.6,2.75,200,2002-12-10 06:00:00
104,2.75,2.75,2.75,2.75,800,2002-12-11 06:00:00
105,2.75,2.75,2.7,2.75,2400,2002-12-13 06:00:00
106,2.7,2.75,2.5,2.7,26200,2002-12-16 06:00:00
107,2.6,2.7,2.6,2.7,1800,2002-12-17 06:00:00
108,2.6,2.65,2.6,2.65,400,2002-12-18 06:00:00
109,2.65,2.7,2.6,2.7,5700,2002-12-19 06:00:00
110,2.6,2.8,2.6,2.8,8800,2002-12-20 06:00:00
111,2.78,2.85,2.78,2.78,5100,2002-12-23 06:00:00
112,2.95,2.95,2.9,2.9,13600,2002-12-24 06:00:00
113,2.9,2.9,2.9,2.9,6100,2002-12-26 06:00:00
114,2.9,2.9,2.7,2.7,4000,2002-12-27 06:00:00
115,2.75,2.75,2.75,2.75,700,2002-12-30 06:00:00
116,2.7,2.9,2.5,2.9,7300,2002-12-31 06:00:00
117,2.9,2.9,2.9,2.9,2000,2003-01-03 06:00:00
118,2.9,3.0,2.9,3.0,11100,2003-01-06 06:00:00
119,2.95,2.95,2.95,2.95,400,2003-01-08 06:00:00
120,2.9,2.9,2.9,2.9,1400,2003-01-10 06:00:00
121,2.85,2.85,2.85,2.85,600,2003-01-13 06:00:00
122,2.85,2.85,2.85,2.85,5500,2003-01-14 06:00:00
123,2.85,2.85,2.85,2.85,1000,2003-01-15 06:00:00
124,2.8,2.8,2.8,2.8,500,2003-01-16 06:00:00
125,2.95,2.95,2.8,2.8,1600,2003-01-17 06:00:00
126,2.8,2.8,2.8,2.8,300,2003-01-21 06:00:00
