,open,high,low,close,volume,datetime
0,22.0,22.75,18.51,18.6,12995569,2018-12-07 06:00:00
1,18.9,19.4388,18.0,18.8,4233345,2018-12-10 06:00:00
2,20.55,20.66,17.99,18.01,3435271,2018-12-11 06:00:00
3,18.55,19.48,18.02,18.68,2590873,2018-12-12 06:00:00
4,19.25,19.29,18.68,18.76,1608629,2018-12-13 06:00:00
5,18.75,18.8806,18.25,18.32,746412,2018-12-14 06:00:00
6,18.33,18.47,16.9,17.0,1581242,2018-12-17 06:00:00
7,17.1,17.25,16.25,17.0,1621904,2018-12-18 06:00:00
8,16.86,17.37,16.0,16.18,941528,2018-12-19 06:00:00
9,16.0,16.14,14.75,15.5,2365203,2018-12-20 06:00:00
10,15.4,15.5,13.95,14.47,2063235,2018-12-21 06:00:00
11,14.32,14.32,13.75,14.03,665427,2018-12-24 06:00:00
12,14.15,14.31,13.03,13.52,1817977,2018-12-26 06:00:00
13,13.49,14.95,13.27,14.65,1769545,2018-12-27 06:00:00
14,14.72,14.85,13.8184,14.15,929098,2018-12-28 06:00:00
15,14.24,15.3,14.2129,15.27,994726,2018-12-31 06:00:00
16,14.93,15.45,14.51,15.33,2318094,2019-01-02 06:00:00
17,15.49,16.08,15.2,15.5,1588921,2019-01-03 06:00:00
18,16.0,17.5,15.8944,16.96,1652033,2019-01-04 06:00:00
19,17.54,17.94,16.18,16.27,1585442,2019-01-07 06:00:00
20,17.35,17.468,16.05,16.95,1892977,2019-01-08 06:00:00
21,17.2,17.25,16.15,16.33,1187350,2019-01-09 06:00:00
22,16.36,16.51,16.0,16.48,487284,2019-01-10 06:00:00
23,16.6,17.06,16.53,17.0,580570,2019-01-11 06:00:00
24,17.0,17.06,16.72,16.74,612922,2019-01-14 06:00:00
25,17.0,17.0,16.41,16.59,468080,2019-01-15 06:00:00
26,16.8,16.95,16.26,16.26,272804,2019-01-16 06:00:00
27,16.05,16.53,16.05,16.31,315678,2019-01-17 06:00:00
28,16.46,16.8,16.25,16.69,629965,2019-01-18 06:00:00
29,16.62,16.6345,15.35,15.56,637008,2019-01-22 06:00:00
30,15.59,15.92,14.76,14.79,652602,2019-01-23 06:00:00
31,14.9,15.195,14.64,14.64,452909,2019-01-24 06:00:00
32,14.8,14.92,14.4,14.91,942270,2019-01-25 06:00:00
33,14.84,14.84,14.45,14.45,656524,2019-01-28 06:00:00
34,14.46,14.875,14.45,14.63,592755,2019-01-29 06:00:00
35,14.72,15.545,14.65,15.13,758899,2019-01-30 06:00:00
36,15.24,17.48,15.24,16.6,2259191,2019-01-31 06:00:00
37,16.8,17.0075,15.9,16.22,617271,2019-02-01 06:00:00
38,16.22,16.49,15.95,16.27,297821,2019-02-04 06:00:00
39,16.29,17.49,16.2075,17.18,652724,2019-02-05 06:00:00
40,17.25,18.39,17.1101,18.14,1016165,2019-02-06 06:00:00
41,17.95,18.0679,17.04,17.05,527579,2019-02-07 06:00:00
42,17.1,18.15,17.1,17.99,685755,2019-02-08 06:00:00
43,17.99,18.6462,17.7507,18.17,597966,2019-02-11 06:00:00
44,18.21,18.76,17.6,18.69,753128,2019-02-12 06:00:00
45,18.99,19.22,18.3,18.53,1333533,2019-02-13 06:00:00
46,18.64,19.96,18.63,19.66,1091396,2019-02-14 06:00:00
47,19.94,21.4674,19.7,21.44,2087409,2019-02-15 06:00:00
48,21.51,21.513,20.05,20.83,1204705,2019-02-19 06:00:00
49,21.12,21.2399,19.13,19.92,1160160,2019-02-20 06:00:00
50,19.74,19.98,18.88,19.34,822625,2019-02-21 06:00:00
51,19.35,20.04,19.35,19.88,567612,2019-02-22 06:00:00
52,20.54,22.3,19.83,21.65,1917872,2019-02-25 06:00:00
53,21.6,24.4,21.56,23.7,2522800,2019-02-26 06:00:00
54,23.37,23.83,21.53,22.1,1553011,2019-02-27 06:00:00
55,22.45,23.03,22.05,22.6,511289,2019-02-28 06:00:00
56,23.09,23.39,21.64,22.27,867388,2019-03-01 06:00:00
57,22.47,22.8,20.52,21.12,1134144,2019-03-04 06:00:00
58,21.18,21.49,20.29,21.37,1086443,2019-03-05 06:00:00
59,21.4,22.05,20.0604,20.65,1061369,2019-03-06 06:00:00
60,20.42,21.155,19.6115,20.59,1018084,2019-03-07 06:00:00
61,20.37,21.08,19.9,20.93,631133,2019-03-08 06:00:00
62,20.99,20.99,19.97,20.43,915642,2019-03-11 05:00:00
63,20.52,20.89,19.12,19.26,1627932,2019-03-12 05:00:00
64,19.3,20.255,19.23,19.97,756588,2019-03-13 05:00:00
65,19.92,21.0,19.92,20.82,883581,2019-03-14 05:00:00
66,20.99,22.19,20.89,21.82,2686871,2019-03-15 05:00:00
67,21.74,22.22,21.22,22.18,1245672,2019-03-18 05:00:00
68,22.47,22.6,20.18,20.35,976101,2019-03-19 05:00:00
69,20.41,20.98,19.9,20.0,985298,2019-03-20 05:00:00
70,20.0,20.25,19.21,19.34,860506,2019-03-21 05:00:00
71,19.38,19.7,18.75,19.0,579495,2019-03-22 05:00:00
72,19.0,19.59,18.21,19.4,671669,2019-03-25 05:00:00
73,19.61,19.94,19.24,19.9,393884,2019-03-26 05:00:00
74,20.08,20.08,18.89,19.27,602641,2019-03-27 05:00:00
75,19.3,19.7398,19.0001,19.66,453586,2019-03-28 05:00:00
76,19.87,20.8,19.47,20.35,660854,2019-03-29 05:00:00
77,20.54,20.915,20.04,20.59,547566,2019-04-01 05:00:00
78,20.68,20.68,19.54,19.7,546568,2019-04-02 05:00:00
79,19.92,21.67,19.81,21.33,909317,2019-04-03 05:00:00
80,21.12,23.18,21.04,23.08,1705896,2019-04-04 05:00:00
81,23.8,26.23,22.6648,25.96,1978459,2019-04-05 05:00:00
82,25.9,29.79,25.6,27.23,2673297,2019-04-08 05:00:00
83,27.3,28.4,26.3105,26.82,1051702,2019-04-09 05:00:00
84,26.9,27.74,26.5,26.8,639414,2019-04-10 05:00:00
85,26.82,26.9899,24.26,25.73,1030056,2019-04-11 05:00:00
86,26.0,26.0512,24.27,24.61,708634,2019-04-12 05:00:00
87,24.99,25.94,24.62,25.84,636494,2019-04-15 05:00:00
88,26.0,26.22,23.65,23.78,964841,2019-04-16 05:00:00
89,24.0,24.12,22.3135,23.5,918561,2019-04-17 05:00:00
90,23.47,23.55,22.43,22.51,736355,2019-04-18 05:00:00
91,22.7,23.99,22.5105,23.63,494149,2019-04-22 05:00:00
92,23.73,24.9833,23.73,24.7,617759,2019-04-23 05:00:00
93,24.8,25.76,24.29,25.76,702199,2019-04-24 05:00:00
94,25.76,26.72,25.43,25.74,603274,2019-04-25 05:00:00
95,25.83,27.3,25.69,26.26,593558,2019-04-26 05:00:00
96,26.28,27.2,24.9708,25.14,1057858,2019-04-29 05:00:00
97,25.28,26.03,25.0,26.03,620718,2019-04-30 05:00:00
98,26.31,27.09,25.87,26.4,1121529,2019-05-01 05:00:00
99,26.33,28.4897,26.19,28.34,1079697,2019-05-02 05:00:00
100,28.89,28.95,26.85,27.2,837921,2019-05-03 05:00:00
101,26.38,27.81,26.25,27.1,667204,2019-05-06 05:00:00
102,27.18,27.2555,24.16,24.55,1061288,2019-05-07 05:00:00
103,23.7,26.0,23.53,23.54,1023854,2019-05-08 05:00:00
104,23.5,24.0,22.75,23.26,523118,2019-05-09 05:00:00
105,23.04,24.93,22.8,24.92,536230,2019-05-10 05:00:00
106,24.46,24.77,23.225,24.43,491784,2019-05-13 05:00:00
107,24.5,24.8899,23.57,23.59,473926,2019-05-14 05:00:00
