,open,high,low,close,volume,datetime
0,9.85,10.1,9.85,9.95,4838276,2021-03-25 05:00:00
1,10.03,10.1,10.0,10.0,446833,2021-03-26 05:00:00
2,10.05,10.08,10.01,10.03,1884078,2021-03-29 05:00:00
3,10.05,10.3733,10.01,10.0316,486264,2021-03-30 05:00:00
4,10.2,10.27,10.04,10.15,137351,2021-03-31 05:00:00
5,10.1,10.225,10.05,10.18,758081,2021-04-01 05:00:00
6,10.28,10.2999,10.11,10.25,429397,2021-04-05 05:00:00
7,10.25,10.27,10.15,10.2,164299,2021-04-06 05:00:00
8,10.25,10.35,10.15,10.24,223344,2021-04-07 05:00:00
9,10.2,10.37,10.2,10.3,1085573,2021-04-08 05:00:00
10,10.295,10.3,10.2301,10.3,175943,2021-04-09 05:00:00
11,10.2643,10.2999,10.15,10.23,25938,2021-04-12 05:00:00
12,10.2,10.367,10.2,10.345,11898,2021-04-13 05:00:00
13,10.35,10.64,10.35,10.46,30383,2021-04-14 05:00:00
14,10.4,10.4,10.15,10.16,80354,2021-04-15 05:00:00
15,10.1601,10.3,10.1601,10.23,186007,2021-04-16 05:00:00
16,10.3,10.3902,10.23,10.25,261770,2021-04-19 05:00:00
17,10.2,10.3,10.2,10.29,339295,2021-04-20 05:00:00
18,10.34,10.34,10.25,10.3,192585,2021-04-21 05:00:00
19,10.3,10.3422,10.2676,10.27,14594,2021-04-22 05:00:00
20,10.3788,10.38,10.25,10.335,72766,2021-04-23 05:00:00
21,10.321,10.33,10.3,10.3,15505,2021-04-26 05:00:00
22,10.37,10.39,10.32,10.35,9221,2021-04-27 05:00:00
23,10.37,10.3999,10.32,10.35,5333,2021-04-28 05:00:00
24,10.35,10.38,10.3,10.3,38346,2021-04-29 05:00:00
25,10.3653,10.3653,10.3,10.3,24068,2021-04-30 05:00:00
26,10.3,10.3385,10.3,10.33,8371,2021-05-03 05:00:00
27,10.35,10.36,10.25,10.25,243405,2021-05-04 05:00:00
28,10.29,10.35,10.25,10.3,71707,2021-05-05 05:00:00
29,10.35,10.35,10.26,10.26,1505,2021-05-06 05:00:00
30,10.284,10.325,10.25,10.26,14302,2021-05-07 05:00:00
31,10.27,10.2841,10.25,10.25,67558,2021-05-10 05:00:00
32,10.25,10.25,10.1685,10.17,50987,2021-05-11 05:00:00
33,10.16,10.16,10.06,10.06,105317,2021-05-12 05:00:00
34,10.05,10.15,10.05,10.07,449550,2021-05-13 05:00:00
35,10.12,10.1719,10.0683,10.13,32824,2021-05-14 05:00:00
36,10.1358,10.1358,10.08,10.08,288008,2021-05-17 05:00:00
37,10.13,10.13,10.05,10.05,56917,2021-05-18 05:00:00
38,10.108,10.1505,10.05,10.05,24214,2021-05-19 05:00:00
39,10.1054,10.12,10.09,10.09,8806,2021-05-20 05:00:00
40,10.0859,10.15,10.0859,10.11,534300,2021-05-21 05:00:00
41,10.13,10.13,10.1133,10.1133,1255,2021-05-24 05:00:00
42,10.12,10.23,10.11,10.23,18337,2021-05-25 05:00:00
43,10.25,10.28,10.25,10.25,23851,2021-05-26 05:00:00
44,10.21,10.21,10.13,10.14,51735,2021-05-27 05:00:00
45,10.1433,10.26,10.1433,10.26,62323,2021-05-28 05:00:00
46,10.22,10.25,10.19,10.25,7260,2021-06-01 05:00:00
47,10.165,10.3,10.1301,10.3,1451,2021-06-02 05:00:00
48,10.21,10.25,10.195,10.25,42525,2021-06-03 05:00:00
49,10.2244,10.275,10.19,10.19,14644,2021-06-04 05:00:00
50,10.18,10.23,10.13,10.16,34083,2021-06-07 05:00:00
51,10.1,10.19,10.1,10.12,13764,2021-06-08 05:00:00
52,10.12,10.25,10.11,10.16,547090,2021-06-09 05:00:00
53,10.17,10.25,10.15,10.2,22748,2021-06-10 05:00:00
54,10.1426,10.25,10.1426,10.16,310265,2021-06-11 05:00:00
55,10.17,10.2,10.14,10.16,50582,2021-06-14 05:00:00
56,10.15,10.16,10.12,10.15,13737,2021-06-15 05:00:00
57,10.14,10.14,10.115,10.12,159409,2021-06-16 05:00:00
58,10.15,10.15,10.1,10.1,22503,2021-06-17 05:00:00
59,10.1,10.13,10.0705,10.12,71800,2021-06-18 05:00:00
60,10.12,10.23,10.1,10.21,50275,2021-06-21 05:00:00
61,10.1252,10.1407,10.1,10.1,105054,2021-06-22 05:00:00
62,10.11,10.12,10.08,10.1,90457,2021-06-23 05:00:00
63,10.11,10.15,10.09,10.1,170077,2021-06-24 05:00:00
64,10.09,10.15,10.07,10.1,103644,2021-06-25 05:00:00
65,10.07,10.11,10.07,10.07,165646,2021-06-28 05:00:00
66,10.1,10.16,10.05,10.15,56397,2021-06-29 05:00:00
67,10.08,10.1396,10.0601,10.1,121718,2021-06-30 05:00:00
68,10.09,10.1,10.09,10.1,42097,2021-07-01 05:00:00
69,10.07,10.13,10.07,10.12,14944,2021-07-02 05:00:00
70,10.11,10.19,10.11,10.16,3345,2021-07-06 05:00:00
71,10.1735,10.22,10.1355,10.19,2461,2021-07-07 05:00:00
72,10.1,10.182,10.06,10.1,7430,2021-07-08 05:00:00
73,10.175,10.175,10.175,10.175,321,2021-07-09 05:00:00
74,10.1218,10.1218,10.1197,10.1197,281,2021-07-12 05:00:00
75,10.11,10.23,10.11,10.23,4393,2021-07-13 05:00:00
76,10.19,10.195,10.16,10.18,2161,2021-07-14 05:00:00
77,10.1138,10.2299,10.1,10.18,3356,2021-07-15 05:00:00
78,10.1275,10.1275,10.1201,10.1201,402,2021-07-16 05:00:00
79,10.134,10.14,10.12,10.12,2602,2021-07-19 05:00:00
80,10.1,10.1,10.08,10.08,6001,2021-07-20 05:00:00
81,10.09,10.09,10.05,10.08,8775,2021-07-21 05:00:00
82,10.1001,10.138,10.1001,10.12,9127,2021-07-23 05:00:00
83,10.1,10.11,10.06,10.06,176025,2021-07-26 05:00:00
84,10.0662,10.07,10.05,10.07,6399,2021-07-27 05:00:00
85,10.03,10.09,10.03,10.05,18332,2021-07-28 05:00:00
86,10.07,10.07,10.06,10.06,54706,2021-07-29 05:00:00
87,10.04,10.06,10.01,10.0177,45918,2021-07-30 05:00:00
88,10.01,10.01,9.99,9.99,48940,2021-08-02 05:00:00
89,10.025,10.1199,10.02,10.02,10378,2021-08-03 05:00:00
90,10.03,10.03,10.01,10.02,451,2021-08-04 05:00:00
91,10.042,10.05,10.0,10.0,4208,2021-08-05 05:00:00
92,9.99,10.01,9.98,10.01,12616,2021-08-06 05:00:00
93,10.01,10.014,10.0,10.0,12615,2021-08-09 05:00:00
94,10.0,10.01,9.99,10.01,389409,2021-08-10 05:00:00
95,10.01,10.01,10.01,10.01,100,2021-08-11 05:00:00
96,10.0,10.04,10.0,10.02,4805,2021-08-12 05:00:00
97,9.99,10.0453,9.99,10.02,8603,2021-08-13 05:00:00
98,10.03,10.05,10.02,10.04,99397,2021-08-16 05:00:00
99,10.04,10.04,10.02,10.0297,56498,2021-08-17 05:00:00
100,10.01,10.01,9.995,10.0,38634,2021-08-18 05:00:00
101,10.0,10.005,10.0,10.0,93883,2021-08-19 05:00:00
102,10.02,10.02,10.0,10.01,41963,2021-08-20 05:00:00
103,10.02,10.02,10.0125,10.0125,1100,2021-08-23 05:00:00
104,9.99,10.02,9.99,10.02,26608,2021-08-24 05:00:00
105,9.995,10.02,9.985,10.02,79872,2021-08-25 05:00:00
106,10.0,10.0,9.99,9.99,1669,2021-08-26 05:00:00
107,9.99,10.02,9.98,9.98,60737,2021-08-27 05:00:00
108,9.99,10.0,9.99,10.0,10337,2021-08-30 05:00:00
109,9.985,9.985,9.985,9.985,248,2021-08-31 05:00:00
110,9.98,9.98,9.98,9.98,1002,2021-09-01 05:00:00
111,9.99,9.99,9.99,9.99,302,2021-09-02 05:00:00
112,9.9801,9.9801,9.98,9.98,2988,2021-09-03 05:00:00
113,9.9976,10.01,9.9976,10.01,2100,2021-09-07 05:00:00
114,10.04,10.04,9.988,10.04,6141,2021-09-08 05:00:00
115,10.0022,10.04,10.0022,10.04,4930,2021-09-09 05:00:00
116,10.04,10.04,10.04,10.04,999,2021-09-10 05:00:00
117,10.02,10.02,10.0,10.02,6396,2021-09-13 05:00:00
118,10.0342,10.0342,10.0342,10.0342,996,2021-09-14 05:00:00
119,10.0,10.0,10.0,10.0,390,2021-09-15 05:00:00
120,10.0,10.01,10.0,10.01,828,2021-09-16 05:00:00
121,9.995,9.995,9.915,9.92,70144,2021-09-20 05:00:00
122,9.93,9.99,9.93,9.98,3498,2021-09-21 05:00:00
123,10.01,10.0393,10.0,10.0393,12479,2021-09-22 05:00:00
124,9.93,10.04,9.93,10.04,10202,2021-09-23 05:00:00
125,10.0178,10.0178,9.9807,9.9807,231,2021-09-27 05:00:00
126,9.9301,9.9301,9.9301,9.9301,100,2021-09-28 05:00:00
127,9.9301,10.0,9.9301,10.0,902,2021-09-29 05:00:00
128,10.0,10.01,10.0,10.01,2032,2021-09-30 05:00:00
129,10.04,10.04,10.02,10.03,1524,2021-10-04 05:00:00
130,10.04,10.04,10.04,10.04,547,2021-10-05 05:00:00
131,9.96,10.033,9.96,10.033,1273,2021-10-06 05:00:00
132,10.04,10.04,10.04,10.04,2060,2021-10-07 05:00:00
133,10.02,10.04,10.01,10.04,7113,2021-10-08 05:00:00
134,10.025,10.05,10.015,10.0201,47774,2021-10-11 05:00:00
135,9.9301,10.05,9.9301,10.005,10386,2021-10-12 05:00:00
136,9.9369,9.9369,9.9369,9.9369,2502,2021-10-13 05:00:00
137,9.98,10.02,9.98,10.02,6553,2021-10-14 05:00:00
138,9.9519,9.9519,9.9519,9.9519,126,2021-10-15 05:00:00
139,9.985,9.985,9.94,9.94,1047,2021-10-19 05:00:00
140,9.95,10.02,9.95,10.0,1605,2021-10-20 05:00:00
141,9.98,9.98,9.98,9.98,253,2021-10-22 05:00:00
142,9.9626,10.01,9.9626,10.0,5792,2021-10-25 05:00:00
143,10.01,10.02,10.01,10.02,22797,2021-10-26 05:00:00
144,10.02,10.02,10.0165,10.02,11043,2021-10-27 05:00:00
145,9.995,9.995,9.995,9.995,5000,2021-10-28 05:00:00
146,10.05,10.05,10.0,10.05,2101,2021-11-01 05:00:00
147,10.05,10.1,10.025,10.1,102881,2021-11-02 05:00:00
148,10.0999,10.1,10.075,10.1,215165,2021-11-03 05:00:00
149,10.11,10.18,10.11,10.18,229016,2021-11-04 05:00:00
150,10.1,10.2,10.1,10.18,506085,2021-11-05 05:00:00
151,10.2,10.2,10.1,10.13,104295,2021-11-08 06:00:00
152,10.19,10.2,10.09,10.17,109228,2021-11-09 06:00:00
153,10.1,10.23,10.1,10.205,197283,2021-11-10 06:00:00
154,10.16,10.24,10.145,10.225,295070,2021-11-11 06:00:00
155,10.21,10.24,10.0501,10.12,278673,2021-11-12 06:00:00
156,10.15,10.22,10.15,10.2,153823,2021-11-15 06:00:00
157,10.2327,10.2327,10.155,10.175,2356,2021-11-16 06:00:00
158,10.24,10.25,10.12,10.21,12274,2021-11-17 06:00:00
159,10.1249,10.24,10.1249,10.14,5757,2021-11-18 06:00:00
160,10.25,10.25,10.18,10.18,2528,2021-11-19 06:00:00
161,10.07,10.23,10.07,10.19,2051,2021-11-22 06:00:00
162,10.13,10.225,10.1,10.22,15268,2021-11-23 06:00:00
163,10.2,10.22,10.17,10.18,13303,2021-11-29 06:00:00
164,10.15,10.15,10.15,10.15,42172,2021-11-30 06:00:00
165,10.24,10.24,10.16,10.16,343,2021-12-01 06:00:00
166,10.16,10.17,10.16,10.16,1611,2021-12-02 06:00:00
167,10.11,10.11,10.06,10.11,870,2021-12-03 06:00:00
168,10.11,10.2,10.1,10.16,93079,2021-12-06 06:00:00
169,10.25,10.25,10.11,10.1178,28334,2021-12-07 06:00:00
170,10.155,10.205,10.15,10.15,3094,2021-12-09 06:00:00
