,open,high,low,close,volume,datetime
0,9.6763,9.6763,9.56,9.5764,2281,2020-10-21 05:00:00
1,9.6,9.768,9.59,9.72,1177,2020-10-22 05:00:00
2,9.62,9.62,9.62,9.62,176,2020-10-23 05:00:00
3,9.7304,9.74,9.65,9.65,8152,2020-10-26 05:00:00
4,9.71,9.71,9.66,9.66,1723,2020-10-27 05:00:00
5,9.81,9.81,9.7,9.7,50318,2020-10-29 05:00:00
6,9.63,9.7,9.62,9.68,338074,2020-10-30 05:00:00
7,9.65,9.7,9.65,9.7,3150,2020-11-02 06:00:00
8,9.65,9.7,9.65,9.68,39339,2020-11-03 06:00:00
9,9.69,9.73,9.69,9.71,200640,2020-11-04 06:00:00
10,9.73,9.75,9.72,9.73,277386,2020-11-05 06:00:00
11,9.72,9.7202,9.72,9.72,4168,2020-11-06 06:00:00
12,9.72,9.72,9.71,9.71,579614,2020-11-09 06:00:00
13,9.73,9.75,9.72,9.72,239200,2020-11-10 06:00:00
14,9.71,9.725,9.71,9.725,2011,2020-11-11 06:00:00
15,9.69,9.75,9.69,9.75,837,2020-11-12 06:00:00
16,9.73,9.75,9.73,9.75,275092,2020-11-13 06:00:00
17,9.75,9.75,9.75,9.75,40016,2020-11-16 06:00:00
18,9.75,9.75,9.7381,9.75,930912,2020-11-17 06:00:00
19,9.76,9.77,9.75,9.77,3708,2020-11-18 06:00:00
20,9.78,9.82,9.78,9.81,107107,2020-11-19 06:00:00
21,9.8,9.84,9.8,9.84,1500,2020-11-20 06:00:00
22,9.84,9.84,9.8,9.8,2656,2020-11-23 06:00:00
23,9.88,9.99,9.8,9.82,10384,2020-11-24 06:00:00
24,9.8,9.8,9.8,9.8,997,2020-11-25 06:00:00
25,9.9,9.9,9.88,9.9,8174,2020-11-27 06:00:00
26,9.98,9.98,9.8,9.95,2798,2020-11-30 06:00:00
27,9.93,9.93,9.76,9.89,4374,2020-12-01 06:00:00
28,9.89,9.99,9.8,9.89,11069,2020-12-02 06:00:00
29,9.82,9.89,9.81,9.8583,3279,2020-12-03 06:00:00
30,9.82,9.96,9.8,9.96,6431,2020-12-04 06:00:00
31,9.98,9.98,9.8383,9.9299,14066,2020-12-07 06:00:00
32,9.92,9.94,9.85,9.85,18803,2020-12-08 06:00:00
33,9.85,9.9417,9.85,9.92,215550,2020-12-09 06:00:00
34,9.92,9.95,9.88,9.88,34741,2020-12-10 06:00:00
35,10.02,10.3,9.94,10.1,119537,2020-12-11 06:00:00
36,10.07,10.49,9.94,10.05,67814,2020-12-14 06:00:00
37,9.96,10.03,9.96,10.0,14646,2020-12-15 06:00:00
38,10.0,10.1836,9.97,10.01,56797,2020-12-16 06:00:00
39,10.05,10.05,10.05,10.05,629,2020-12-17 06:00:00
40,10.0117,10.04,9.97,9.97,110619,2020-12-18 06:00:00
41,9.98,9.98,9.93,9.93,16576,2020-12-21 06:00:00
42,9.98,9.99,9.94,9.94,20221,2020-12-22 06:00:00
43,10.02,10.15,9.991,10.05,52241,2020-12-23 06:00:00
44,10.0499,10.12,10.04,10.1,21650,2020-12-24 06:00:00
45,10.25,10.3144,10.05,10.08,419702,2020-12-28 06:00:00
46,10.04,10.12,10.04,10.06,24511,2020-12-29 06:00:00
47,10.11,10.17,10.0276,10.11,524132,2020-12-30 06:00:00
48,10.11,10.18,10.08,10.08,71578,2020-12-31 06:00:00
49,10.08,10.44,10.08,10.15,233537,2021-01-04 06:00:00
50,10.2,10.25,10.1,10.1,11239,2021-01-05 06:00:00
51,10.15,10.17,10.1,10.135,61373,2021-01-06 06:00:00
52,10.14,10.19,10.12,10.18,20502,2021-01-07 06:00:00
53,10.22,10.29,10.19,10.2,78383,2021-01-08 06:00:00
54,10.25,10.36,10.1839,10.23,49995,2021-01-11 06:00:00
55,10.23,10.36,10.21,10.25,58588,2021-01-12 06:00:00
56,10.3,10.3499,10.27,10.32,66035,2021-01-13 06:00:00
57,10.46,10.64,10.2,10.4,49288,2021-01-14 06:00:00
58,10.42,10.42,10.25,10.35,157615,2021-01-15 06:00:00
59,10.44,10.5,10.3,10.44,144351,2021-01-19 06:00:00
60,10.45,10.45,10.28,10.44,85768,2021-01-20 06:00:00
61,10.45,10.52,10.37,10.52,88281,2021-01-21 06:00:00
62,10.5,10.52,10.42,10.46,334117,2021-01-22 06:00:00
63,10.7,10.75,10.36,10.45,471340,2021-01-25 06:00:00
64,10.38,10.47,10.1995,10.33,114166,2021-01-26 06:00:00
65,10.24,10.3,10.155,10.22,336286,2021-01-27 06:00:00
66,10.22,10.45,10.14,10.4,33455,2021-01-28 06:00:00
67,10.4,10.4,10.18,10.19,327837,2021-01-29 06:00:00
68,10.17,10.39,10.17,10.35,107851,2021-02-01 06:00:00
69,10.4,10.4,10.35,10.38,65072,2021-02-02 06:00:00
70,10.46,11.2,10.35,10.45,60244,2021-02-03 06:00:00
71,10.5,10.7,10.49,10.64,58660,2021-02-04 06:00:00
72,10.59,10.8999,10.46,10.58,181827,2021-02-05 06:00:00
73,10.64,10.64,10.43,10.52,115016,2021-02-08 06:00:00
74,10.58,10.78,10.5601,10.7,159783,2021-02-09 06:00:00
75,11.8,11.8,10.52,10.55,92309,2021-02-10 06:00:00
76,10.6,10.64,10.48,10.54,66655,2021-02-11 06:00:00
77,10.41,10.59,10.41,10.52,6912,2021-02-12 06:00:00
78,10.52,10.62,10.42,10.46,26180,2021-02-16 06:00:00
79,10.51,10.51,10.36,10.45,43000,2021-02-17 06:00:00
80,10.4,10.73,10.36,10.73,38970,2021-02-18 06:00:00
81,10.88,10.88,10.53,10.56,75819,2021-02-19 06:00:00
82,10.68,10.68,10.5,10.5,6215,2021-02-22 06:00:00
83,10.22,10.5686,10.22,10.33,305316,2021-02-23 06:00:00
84,10.27,10.5965,10.2501,10.34,34898,2021-02-24 06:00:00
85,10.43,10.47,10.24,10.29,77527,2021-02-25 06:00:00
86,10.26,10.48,10.25,10.48,88983,2021-02-26 06:00:00
87,10.42,10.42,10.25,10.32,60227,2021-03-01 06:00:00
88,10.26,10.26,10.1,10.2,81944,2021-03-02 06:00:00
89,10.2736,10.2736,9.95,10.0,23734,2021-03-03 06:00:00
90,10.01,10.09,9.99,10.02,183992,2021-03-04 06:00:00
91,10.0,10.1,9.95,10.0,224395,2021-03-05 06:00:00
92,10.37,10.37,10.02,10.1,9554,2021-03-08 06:00:00
93,10.0,10.09,9.98,9.98,258018,2021-03-09 06:00:00
94,9.995,10.06,9.93,9.96,345153,2021-03-10 06:00:00
95,9.95,9.99,9.92,9.92,31090,2021-03-11 06:00:00
96,9.91,9.925,9.775,9.86,81057,2021-03-12 06:00:00
97,9.9,9.9,9.72,9.81,421852,2021-03-15 05:00:00
98,9.78,9.82,9.78,9.79,284658,2021-03-16 05:00:00
99,9.84,9.92,9.7901,9.88,13883,2021-03-17 05:00:00
100,9.86,9.86,9.81,9.83,5940,2021-03-18 05:00:00
101,9.82,9.87,9.81,9.87,99918,2021-03-19 05:00:00
102,9.8699,9.8699,9.81,9.81,16936,2021-03-22 05:00:00
103,9.82,9.845,9.81,9.81,68241,2021-03-23 05:00:00
104,9.81,9.82,9.78,9.78,110142,2021-03-24 05:00:00
105,9.77,9.85,9.75,9.79,81150,2021-03-25 05:00:00
106,9.81,9.894,9.81,9.82,52905,2021-03-26 05:00:00
107,9.81,9.85,9.77,9.81,29486,2021-03-29 05:00:00
108,9.846,9.91,9.82,9.91,38238,2021-03-30 05:00:00
109,9.94,9.94,9.81,9.82,42284,2021-03-31 05:00:00
110,9.87,9.98,9.86,9.86,32929,2021-04-01 05:00:00
