,open,high,low,close,volume,datetime
0,19.1,21.1,19.0,20.789,4202453,2012-03-15 05:00:00
1,21.0,21.96,20.52,21.75,277097,2012-03-16 05:00:00
2,22.06,22.38,20.79,22.0,216053,2012-03-19 05:00:00
3,21.49,22.43,21.0,21.5,102681,2012-03-20 05:00:00
4,21.5,21.5,20.51,21.17,212169,2012-03-21 05:00:00
5,21.2,21.5,20.75,20.875,178501,2012-03-22 05:00:00
6,21.49,21.49,20.8,20.83,148383,2012-03-23 05:00:00
7,20.82,21.48,20.5101,21.46,76062,2012-03-26 05:00:00
8,21.5,22.25,21.0,21.0,63582,2012-03-27 05:00:00
9,21.0001,21.6,21.0,21.01,31427,2012-03-28 05:00:00
10,20.84,21.16,19.82,20.8,77039,2012-03-29 05:00:00
11,21.01,21.35,20.54,20.74,133366,2012-03-30 05:00:00
12,20.72,22.25,20.7,21.79,64256,2012-04-02 05:00:00
13,21.6,22.0,21.25,21.66,113534,2012-04-03 05:00:00
14,21.5101,21.66,20.66,21.3,24616,2012-04-04 05:00:00
15,21.19,21.74,21.19,21.74,40973,2012-04-05 05:00:00
16,21.47,21.76,20.05,21.04,27011,2012-04-09 05:00:00
17,21.15,21.15,20.51,20.7,20590,2012-04-10 05:00:00
18,21.05,21.15,20.78,21.12,11589,2012-04-11 05:00:00
19,21.035,21.1,20.78,21.0,25440,2012-04-12 05:00:00
20,21.01,21.12,20.89,21.06,8638,2012-04-13 05:00:00
21,21.02,21.055,20.17,20.78,46686,2012-04-16 05:00:00
22,21.06,21.15,20.86,20.9,35145,2012-04-17 05:00:00
23,21.09,21.15,19.83,20.41,73575,2012-04-18 05:00:00
24,20.3,20.54,19.51,19.97,61038,2012-04-19 05:00:00
25,19.97,20.19,19.23,19.86,138224,2012-04-20 05:00:00
26,19.75,20.06,19.62,19.83,50732,2012-04-23 05:00:00
27,20.1,20.35,20.1,20.22,112488,2012-04-24 05:00:00
28,20.44,20.54,19.31,20.33,57942,2012-04-25 05:00:00
29,20.46,20.46,19.5,20.01,152858,2012-04-26 05:00:00
30,20.06,20.65,19.41,19.82,96244,2012-04-27 05:00:00
31,19.95,20.07,19.35,19.83,27050,2012-04-30 05:00:00
32,19.9,20.57,19.66,19.91,22986,2012-05-01 05:00:00
33,19.84,20.61,19.84,20.61,28675,2012-05-02 05:00:00
34,20.66,20.84,20.12,20.24,29541,2012-05-03 05:00:00
35,19.74,20.27,19.74,20.0,12582,2012-05-04 05:00:00
36,20.04,20.55,19.91,20.18,20674,2012-05-07 05:00:00
37,20.08,20.75,19.6601,20.005,60730,2012-05-08 05:00:00
