,open,high,low,close,volume,datetime
0,20.75,20.95,19.3,19.7,558761,2018-07-19 05:00:00
1,19.63,19.9799,19.02,19.1,38259,2018-07-20 05:00:00
2,19.1,19.4786,19.09,19.09,30288,2018-07-23 05:00:00
3,19.28,19.75,18.3,18.87,23264,2018-07-24 05:00:00
4,18.81,18.81,18.41,18.51,29534,2018-07-25 05:00:00
5,18.75,18.965,18.25,18.42,8673,2018-07-26 05:00:00
6,18.3,18.3,17.12,18.0,14376,2018-07-27 05:00:00
7,20.1,20.1,17.1653,18.11,64741,2018-07-30 05:00:00
8,17.44,17.76,17.43,17.76,5308,2018-07-31 05:00:00
9,17.65,17.65,16.0,16.36,15911,2018-08-01 05:00:00
10,16.85,17.45,16.85,17.06,35554,2018-08-02 05:00:00
11,16.2677,17.5,16.2677,17.3,20563,2018-08-03 05:00:00
12,17.3,17.5,17.0,17.0,9024,2018-08-06 05:00:00
13,17.42,17.98,17.01,17.98,23563,2018-08-07 05:00:00
14,17.68,18.15,17.6,18.15,5803,2018-08-08 05:00:00
15,17.8758,18.35,17.75,17.83,16682,2018-08-09 05:00:00
16,17.06,17.49,17.06,17.24,1358,2018-08-10 05:00:00
17,17.52,18.49,17.25,17.46,47045,2018-08-13 05:00:00
18,17.9999,18.0,17.01,17.1,4177,2018-08-14 05:00:00
19,17.505,17.88,17.04,17.69,9903,2018-08-15 05:00:00
20,17.5,17.75,17.5,17.5,17648,2018-08-16 05:00:00
21,17.5,17.6,17.45,17.6,33187,2018-08-17 05:00:00
22,17.5,17.75,16.89,17.75,21423,2018-08-20 05:00:00
23,17.75,17.79,16.501,17.17,24696,2018-08-21 05:00:00
24,17.25,17.5,17.25,17.48,18763,2018-08-22 05:00:00
25,17.25,18.0,17.25,17.9999,39211,2018-08-23 05:00:00
26,18.0,18.0,17.75,17.825,34786,2018-08-24 05:00:00
27,17.7499,17.8,17.155,17.7,4984,2018-08-27 05:00:00
28,17.02,17.58,17.0,17.52,6378,2018-08-28 05:00:00
29,17.255,17.5,17.01,17.1,3553,2018-08-29 05:00:00
30,16.735,17.6,16.471,17.4,7564,2018-08-30 05:00:00
