,open,high,low,close,volume,datetime
0,13.325,13.755,13.325,13.605,96000,2002-06-10 05:00:00
1,13.55,13.83,13.45,13.45,214200,2002-06-11 05:00:00
2,13.45,13.59,13.325,13.545,111800,2002-06-12 05:00:00
3,13.445,13.75,13.355,13.505,175600,2002-06-13 05:00:00
4,13.5,13.505,13.205,13.455,291200,2002-06-14 05:00:00
5,13.45,14.23,13.45,13.705,309800,2002-06-17 05:00:00
6,13.48,14.0,13.475,13.645,108400,2002-06-18 05:00:00
7,13.2,14.115,13.13,13.48,265600,2002-06-19 05:00:00
8,13.375,13.65,13.295,13.305,212800,2002-06-20 05:00:00
9,12.98,13.895,12.725,13.18,427200,2002-06-21 05:00:00
10,13.255,13.345,12.655,13.025,204800,2002-06-24 05:00:00
11,13.125,13.325,12.5,12.605,193000,2002-06-25 05:00:00
12,12.56,12.89,12.365,12.83,272800,2002-06-26 05:00:00
13,12.61,13.13,12.47,12.945,354200,2002-06-27 05:00:00
14,12.715,13.57,11.92,12.33,712000,2002-06-28 05:00:00
15,12.505,13.105,11.85,12.485,297000,2002-07-01 05:00:00
16,12.05,12.775,12.025,12.245,130200,2002-07-02 05:00:00
17,12.15,12.81,11.795,12.175,201600,2002-07-03 05:00:00
18,12.1,12.855,12.1,12.8,100800,2002-07-05 05:00:00
19,12.57,12.65,12.435,12.435,176200,2002-07-08 05:00:00
20,12.385,12.835,12.325,12.465,153000,2002-07-09 05:00:00
21,12.3,12.57,11.905,11.98,80400,2002-07-10 05:00:00
22,11.9,12.235,11.355,11.63,355200,2002-07-11 05:00:00
23,11.35,11.95,11.185,11.42,295200,2002-07-12 05:00:00
24,11.25,11.465,10.725,11.405,186600,2002-07-15 05:00:00
25,11.16,11.53,10.78,11.235,206200,2002-07-16 05:00:00
26,11.075,11.765,11.075,11.64,279000,2002-07-17 05:00:00
27,11.695,11.85,11.375,11.58,357200,2002-07-18 05:00:00
28,11.675,11.71,11.245,11.455,344800,2002-07-19 05:00:00
29,11.855,11.86,11.06,11.2,231600,2002-07-22 05:00:00
30,11.125,11.35,10.96,10.965,238600,2002-07-23 05:00:00
31,11.265,11.565,10.655,11.535,348000,2002-07-24 05:00:00
32,11.205,11.865,11.11,11.75,300600,2002-07-25 05:00:00
33,11.885,11.9,11.29,11.5,242400,2002-07-26 05:00:00
34,11.695,12.245,11.525,12.09,193400,2002-07-29 05:00:00
35,11.555,12.375,11.55,12.21,220000,2002-07-30 05:00:00
36,11.88,12.395,11.575,12.05,186000,2002-07-31 05:00:00
37,11.515,12.305,11.515,11.925,182000,2002-08-01 05:00:00
38,11.625,12.25,11.44,11.455,246600,2002-08-02 05:00:00
39,11.395,11.935,11.15,11.155,309600,2002-08-05 05:00:00
40,11.175,11.8,11.175,11.57,317200,2002-08-06 05:00:00
41,11.845,11.88,11.355,11.86,219200,2002-08-07 05:00:00
42,11.885,12.25,11.65,12.235,106000,2002-08-08 05:00:00
43,12.05,12.325,11.81,12.265,265200,2002-08-09 05:00:00
44,12.25,12.25,11.84,12.07,96600,2002-08-12 05:00:00
45,11.84,12.385,11.83,11.83,137400,2002-08-13 05:00:00
46,11.82,12.385,11.415,12.385,224200,2002-08-14 05:00:00
47,12.395,12.45,12.215,12.305,87600,2002-08-15 05:00:00
48,12.305,12.63,12.03,12.565,102800,2002-08-16 05:00:00
49,12.435,13.0,12.435,12.88,145800,2002-08-19 05:00:00
50,12.875,12.97,12.555,12.72,98800,2002-08-20 05:00:00
51,12.585,12.875,12.335,12.775,148600,2002-08-21 05:00:00
52,12.78,12.865,11.905,12.075,397200,2002-08-22 05:00:00
53,12.08,12.15,11.56,11.955,225400,2002-08-23 05:00:00
54,11.875,12.24,11.575,11.955,116000,2002-08-26 05:00:00
55,11.945,12.275,11.455,11.55,218200,2002-08-27 05:00:00
56,11.405,11.47,10.99,11.23,351200,2002-08-28 05:00:00
57,11.01,11.48,10.86,11.3,188600,2002-08-29 05:00:00
58,11.29,11.52,11.215,11.45,183400,2002-08-30 05:00:00
59,11.215,11.335,10.96,11.27,382000,2002-09-03 05:00:00
60,11.125,11.565,11.075,11.565,421400,2002-09-04 05:00:00
61,11.225,11.7,11.225,11.535,357600,2002-09-05 05:00:00
62,11.45,11.845,11.45,11.845,335800,2002-09-06 05:00:00
63,11.7,12.16,11.57,12.09,200400,2002-09-09 05:00:00
64,12.165,12.245,11.755,12.23,215000,2002-09-10 05:00:00
65,12.235,12.325,12.005,12.095,115200,2002-09-11 05:00:00
66,12.05,12.235,11.77,12.0,153000,2002-09-12 05:00:00
67,12.0,12.165,11.75,12.115,180000,2002-09-13 05:00:00
68,11.745,12.215,11.745,11.995,185000,2002-09-16 05:00:00
69,12.145,12.215,11.845,12.015,141400,2002-09-17 05:00:00
70,11.755,12.19,11.685,12.06,107400,2002-09-18 05:00:00
71,11.835,12.15,11.6,12.0,287200,2002-09-19 05:00:00
72,11.755,12.02,11.65,12.0,471600,2002-09-20 05:00:00
73,11.625,12.085,11.505,11.535,116800,2002-09-23 05:00:00
74,11.53,11.585,11.32,11.495,107200,2002-09-24 05:00:00
75,11.44,11.855,11.44,11.855,147800,2002-09-25 05:00:00
76,11.84,12.28,11.65,12.16,103800,2002-09-26 05:00:00
77,12.18,12.29,11.55,11.695,141000,2002-09-27 05:00:00
78,11.66,12.02,11.275,11.87,170800,2002-09-30 05:00:00
79,11.815,12.03,11.55,11.85,226000,2002-10-01 05:00:00
80,11.67,12.01,11.49,11.49,180800,2002-10-02 05:00:00
81,11.485,11.86,11.29,11.3,131200,2002-10-03 05:00:00
82,11.7,11.72,10.96,11.165,108800,2002-10-04 05:00:00
83,11.01,11.145,10.89,10.95,174200,2002-10-07 05:00:00
84,10.995,11.375,10.86,11.35,133600,2002-10-08 05:00:00
85,11.08,11.34,10.725,10.725,184400,2002-10-09 05:00:00
86,10.725,11.36,10.7,11.36,112200,2002-10-10 05:00:00
87,11.465,11.73,11.29,11.63,72600,2002-10-11 05:00:00
88,11.6,11.64,11.145,11.205,83800,2002-10-14 05:00:00
89,11.225,12.24,11.225,12.24,97600,2002-10-15 05:00:00
90,12.24,12.295,11.705,11.77,88400,2002-10-16 05:00:00
91,11.68,12.435,11.68,12.43,90400,2002-10-17 05:00:00
92,12.43,12.5,12.145,12.15,124600,2002-10-18 05:00:00
93,12.135,12.575,11.93,12.575,107200,2002-10-21 05:00:00
94,12.505,12.505,12.205,12.255,102200,2002-10-22 05:00:00
95,12.49,12.49,11.925,12.15,164600,2002-10-23 05:00:00
96,12.375,12.46,12.075,12.12,101400,2002-10-24 05:00:00
97,12.225,12.5,11.995,12.48,76200,2002-10-25 05:00:00
98,12.48,12.55,12.18,12.325,84600,2002-10-28 06:00:00
99,12.495,12.51,12.11,12.48,126000,2002-10-29 06:00:00
100,12.495,12.9,12.42,12.85,111600,2002-10-30 06:00:00
101,12.65,13.3,12.65,12.955,148400,2002-10-31 06:00:00
102,12.765,13.185,12.765,13.135,167400,2002-11-01 06:00:00
103,13.175,13.43,12.785,13.045,141200,2002-11-04 06:00:00
104,13.055,13.305,13.025,13.275,52400,2002-11-05 06:00:00
105,13.27,13.625,13.0,13.61,74800,2002-11-06 06:00:00
106,13.05,13.69,13.05,13.59,142200,2002-11-07 06:00:00
107,13.36,13.65,13.36,13.415,74800,2002-11-08 06:00:00
108,13.365,13.495,12.77,12.86,126200,2002-11-11 06:00:00
109,12.8,13.055,12.695,12.805,206400,2002-11-12 06:00:00
110,12.585,13.035,12.325,12.345,229400,2002-11-13 06:00:00
111,12.5,12.875,12.37,12.5,288200,2002-11-14 06:00:00
112,12.465,12.88,12.44,12.585,274000,2002-11-15 06:00:00
113,12.505,12.81,12.4,12.48,112600,2002-11-18 06:00:00
114,12.65,12.725,12.34,12.42,77400,2002-11-19 06:00:00
115,12.41,12.99,12.41,12.99,74200,2002-11-20 06:00:00
116,12.945,13.275,12.94,13.275,110600,2002-11-21 06:00:00
117,12.875,13.29,12.875,13.265,108800,2002-11-22 06:00:00
118,13.18,13.575,13.05,13.55,135800,2002-11-25 06:00:00
119,13.375,13.725,12.98,13.2,184800,2002-11-26 06:00:00
120,13.23,13.565,12.93,13.565,253600,2002-11-27 06:00:00
121,13.62,13.88,13.615,13.68,70600,2002-11-29 06:00:00
122,13.605,13.93,13.535,13.63,319000,2002-12-02 06:00:00
123,13.625,13.685,13.495,13.57,110600,2002-12-03 06:00:00
124,13.56,13.77,13.425,13.645,96400,2002-12-04 06:00:00
125,13.625,13.84,13.55,13.625,204400,2002-12-05 06:00:00
126,13.595,13.92,13.435,13.89,203800,2002-12-06 06:00:00
