,open,high,low,close,volume,datetime
0,14.75,14.75,14.0,14.35,3141100,2012-11-08 06:00:00
1,14.04,14.12,13.51,13.68,355990,2012-11-09 06:00:00
2,13.5919,13.85,13.27,13.55,205125,2012-11-12 06:00:00
3,13.31,13.55,12.52,13.3,190284,2012-11-13 06:00:00
4,13.15,13.55,13.15,13.151,184692,2012-11-14 06:00:00
5,13.13,13.2,12.56,12.88,156681,2012-11-15 06:00:00
6,12.65,13.9,12.21,13.65,154549,2012-11-16 06:00:00
7,13.53,13.989,13.485,13.55,59125,2012-11-19 06:00:00
8,13.34,13.7,13.34,13.6499,107100,2012-11-20 06:00:00
9,13.26,13.6,13.2301,13.512,43395,2012-11-21 06:00:00
10,13.5,13.94,13.5,13.86,26676,2012-11-23 06:00:00
11,14.0,14.0,13.7,13.75,87704,2012-11-26 06:00:00
12,13.75,14.0,13.7,13.99,54243,2012-11-27 06:00:00
13,14.0,14.0,13.74,13.955,76534,2012-11-28 06:00:00
14,13.99,14.388,13.8701,14.37,82450,2012-11-29 06:00:00
15,14.25,14.37,13.8401,14.11,61250,2012-11-30 06:00:00
16,13.51,14.098,13.5,13.9,54424,2012-12-03 06:00:00
17,13.9,14.28,13.4,14.15,72504,2012-12-04 06:00:00
18,14.1,14.1,13.4001,14.0,129231,2012-12-05 06:00:00
19,13.95,14.0,13.89,13.9,20995,2012-12-06 06:00:00
20,14.04,14.22,13.44,13.63,70961,2012-12-07 06:00:00
21,13.94,13.94,13.44,13.66,23001,2012-12-10 06:00:00
22,13.53,13.76,13.45,13.58,49869,2012-12-11 06:00:00
23,13.93,13.95,13.2,13.87,98087,2012-12-12 06:00:00
24,13.3,13.55,12.76,13.41,78493,2012-12-13 06:00:00
25,13.25,13.73,12.961,13.62,91713,2012-12-14 06:00:00
26,13.65,13.67,13.15,13.6,233576,2012-12-17 06:00:00
27,13.69,13.75,13.16,13.63,137404,2012-12-18 06:00:00
28,13.75,13.75,13.4601,13.6,185834,2012-12-19 06:00:00
29,13.41,13.96,13.0,13.85,65208,2012-12-20 06:00:00
30,13.55,13.98,13.41,13.67,593857,2012-12-21 06:00:00
31,13.58,13.97,13.35,13.76,27632,2012-12-24 06:00:00
32,13.8,13.84,13.25,13.55,60250,2012-12-26 06:00:00
33,13.54,13.86,12.8,13.14,198813,2012-12-27 06:00:00
34,12.71,13.5,12.71,13.43,106169,2012-12-28 06:00:00
35,13.35,13.71,13.29,13.69,67522,2012-12-31 06:00:00
36,13.87,14.09,13.18,14.03,148573,2013-01-02 06:00:00
37,14.0,14.44,13.7729,14.36,102873,2013-01-03 06:00:00
38,14.38,14.4,14.16,14.32,42797,2013-01-04 06:00:00
39,14.29,14.47,13.86,14.04,106844,2013-01-07 06:00:00
40,13.99,14.33,13.5,14.18,117728,2013-01-08 06:00:00
41,13.8101,14.25,13.81,14.15,46332,2013-01-09 06:00:00
42,14.15,14.41,14.0875,14.28,43707,2013-01-10 06:00:00
43,14.37,14.37,14.12,14.21,20506,2013-01-11 06:00:00
44,14.434,14.434,14.2032,14.33,37284,2013-01-14 06:00:00
45,14.3,14.3,13.741,14.24,50514,2013-01-15 06:00:00
46,14.14,14.14,13.75,13.87,72505,2013-01-16 06:00:00
47,13.81,14.15,13.81,14.08,30464,2013-01-17 06:00:00
48,14.0,14.12,13.8,13.9,32534,2013-01-18 06:00:00
49,13.97,14.23,13.97,14.17,38654,2013-01-22 06:00:00
50,14.15,14.38,14.1,14.2,73938,2013-01-23 06:00:00
51,14.18,14.2,13.95,14.2,17427,2013-01-24 06:00:00
52,14.2,14.2,14.07,14.19,30852,2013-01-25 06:00:00
53,14.2,14.3,14.01,14.21,39435,2013-01-28 06:00:00
54,14.24,14.4,14.2,14.36,34300,2013-01-29 06:00:00
55,14.354,14.4,14.25,14.35,35281,2013-01-30 06:00:00
56,14.35,14.4,14.05,14.37,138084,2013-01-31 06:00:00
57,14.36,14.59,14.26,14.5,91559,2013-02-01 06:00:00
58,14.52,14.59,14.12,14.15,57545,2013-02-04 06:00:00
59,14.26,14.58,14.26,14.48,41953,2013-02-05 06:00:00
60,14.39,14.5,14.39,14.46,29124,2013-02-06 06:00:00
61,14.41,14.425,14.26,14.35,13336,2013-02-07 06:00:00
62,14.34,14.39,14.1601,14.29,6352,2013-02-08 06:00:00
63,14.29,14.4,14.24,14.26,3475,2013-02-11 06:00:00
64,14.201,14.4,14.16,14.4,18801,2013-02-12 06:00:00
65,14.2362,14.5,14.16,14.27,56091,2013-02-13 06:00:00
66,14.25,14.49,14.06,14.34,53331,2013-02-14 06:00:00
67,14.42,14.48,14.3,14.34,46418,2013-02-15 06:00:00
68,14.43,14.44,14.2,14.39,36866,2013-02-19 06:00:00
69,14.271,14.41,14.27,14.27,26839,2013-02-20 06:00:00
70,14.34,14.346,14.2,14.2,27662,2013-02-21 06:00:00
71,14.3,14.36,14.1,14.15,29436,2013-02-22 06:00:00
72,14.29,14.35,14.05,14.15,39691,2013-02-25 06:00:00
73,14.17,14.25,14.13,14.18,10207,2013-02-26 06:00:00
74,14.201,14.33,14.201,14.27,18198,2013-02-27 06:00:00
75,14.3,14.4797,14.3,14.46,33142,2013-02-28 06:00:00
76,14.33,14.54,14.3,14.54,34658,2013-03-01 06:00:00
77,14.52,14.54,14.18,14.43,56439,2013-03-04 06:00:00
78,14.51,14.55,14.32,14.51,37064,2013-03-05 06:00:00
79,14.5,14.5,14.1,14.12,37111,2013-03-06 06:00:00
80,14.17,14.48,14.17,14.42,12294,2013-03-07 06:00:00
81,14.45,14.501,14.25,14.36,46932,2013-03-08 06:00:00
82,14.36,14.54,14.27,14.5,35717,2013-03-11 05:00:00
83,14.5,14.59,14.41,14.53,21006,2013-03-12 05:00:00
84,14.48,14.6,14.4,14.4,41695,2013-03-13 05:00:00
85,14.4,14.5,14.41,14.49,20209,2013-03-14 05:00:00
86,14.49,14.5,14.4,14.43,51407,2013-03-15 05:00:00
87,14.41,14.5,14.4,14.45,26527,2013-03-18 05:00:00
88,14.45,14.49,14.3,14.33,34025,2013-03-19 05:00:00
89,14.42,14.49,14.14,14.49,34501,2013-03-20 05:00:00
90,14.4,14.59,14.4,14.41,12049,2013-03-21 05:00:00
91,14.45,14.54,14.18,14.22,19420,2013-03-22 05:00:00
92,14.31,14.5,14.19,14.34,16885,2013-03-25 05:00:00
93,14.44,14.9,14.1,14.41,30849,2013-03-26 05:00:00
94,14.28,14.39,13.9,14.2,442604,2013-03-27 05:00:00
95,14.12,14.26,13.801,14.0,80123,2013-03-28 05:00:00
96,14.02,14.11,13.77,13.88,45758,2013-04-01 05:00:00
97,13.98,14.12,13.8,14.06,60155,2013-04-02 05:00:00
98,14.07,14.12,13.87,13.88,29481,2013-04-03 05:00:00
99,13.95,14.1,13.9201,14.05,16640,2013-04-04 05:00:00
100,13.89,14.29,13.81,14.16,24456,2013-04-05 05:00:00
101,14.17,14.35,14.04,14.25,38949,2013-04-08 05:00:00
102,14.32,14.5,14.16,14.17,22628,2013-04-09 05:00:00
103,14.36,14.59,14.09,14.4,83469,2013-04-10 05:00:00
104,14.4,14.6,14.35,14.54,37403,2013-04-11 05:00:00
105,14.59,14.59,14.17,14.31,149163,2013-04-12 05:00:00
106,13.98,14.33,13.68,13.71,80629,2013-04-15 05:00:00
107,13.83,14.3,13.62,13.71,23003,2013-04-16 05:00:00
108,13.57,13.65,13.11,13.39,82910,2013-04-17 05:00:00
109,13.4,13.64,13.4,13.42,25401,2013-04-18 05:00:00
110,13.44,13.69,13.44,13.57,4196,2013-04-19 05:00:00
111,13.51,13.7,13.4,13.59,52112,2013-04-22 05:00:00
112,13.64,13.78,13.381,13.63,47775,2013-04-23 05:00:00
113,13.59,14.0,13.71,13.98,24035,2013-04-24 05:00:00
114,13.95,13.99,13.8,13.93,18776,2013-04-25 05:00:00
115,13.92,14.0,13.79,13.8,22463,2013-04-26 05:00:00
116,13.89,14.0,13.815,13.88,24502,2013-04-29 05:00:00
117,13.88,14.18,13.88,13.95,19552,2013-04-30 05:00:00
118,13.8601,13.95,13.75,13.75,38956,2013-05-01 05:00:00
119,13.78,13.9499,13.75,13.84,14417,2013-05-02 05:00:00
120,13.9,13.95,13.62,13.65,21269,2013-05-03 05:00:00
121,13.66,13.8399,13.6,13.75,14488,2013-05-06 05:00:00
122,13.84,13.95,13.65,13.95,49350,2013-05-07 05:00:00
123,14.09,14.09,13.5,13.66,40134,2013-05-08 05:00:00
124,13.54,13.61,12.78,13.12,251493,2013-05-09 05:00:00
125,13.04,13.04,12.45,12.71,179996,2013-05-10 05:00:00
126,12.64,12.79,12.25,12.49,147380,2013-05-13 05:00:00
