,open,high,low,close,volume,datetime
0,18.13,18.49,16.15,17.15,6209247,2014-08-13 05:00:00
1,16.98,17.28,16.55,16.72,467735,2014-08-14 05:00:00
2,16.51,16.99,16.0,16.2,172579,2014-08-15 05:00:00
3,16.26,16.6699,16.0,16.01,161824,2014-08-18 05:00:00
4,16.01,16.19,15.19,15.84,200800,2014-08-19 05:00:00
5,16.0,16.03,15.83,15.99,175976,2014-08-20 05:00:00
6,15.96,16.43,15.75,16.3,179508,2014-08-21 05:00:00
7,16.18,17.39,16.1201,17.21,115102,2014-08-22 05:00:00
8,17.2,17.5,16.7614,17.0,129231,2014-08-25 05:00:00
9,17.08,17.65,16.6,17.43,182833,2014-08-26 05:00:00
10,17.09,18.43,17.09,18.33,190726,2014-08-27 05:00:00
11,19.07,19.89,17.91,19.77,181934,2014-08-28 05:00:00
12,19.98,19.98,19.2,19.92,82978,2014-08-29 05:00:00
13,20.0,20.45,19.11,19.7,62501,2014-09-02 05:00:00
14,19.95,19.95,19.12,19.71,46305,2014-09-03 05:00:00
15,19.78,19.78,18.78,19.05,52159,2014-09-04 05:00:00
16,19.08,19.26,18.26,18.79,54992,2014-09-05 05:00:00
17,19.02,19.87,18.82,19.39,398571,2014-09-08 05:00:00
18,19.77,19.8499,18.99,19.25,154784,2014-09-09 05:00:00
19,19.2,19.84,18.99,19.5,58239,2014-09-10 05:00:00
20,19.32,19.59,19.27,19.4,41668,2014-09-11 05:00:00
21,19.46,19.59,19.1,19.38,101543,2014-09-12 05:00:00
22,19.05,19.66,19.05,19.28,123240,2014-09-15 05:00:00
23,19.55,20.29,19.19,20.2,106209,2014-09-16 05:00:00
24,20.21,20.29,19.863,20.09,68991,2014-09-17 05:00:00
25,20.16,21.13,19.87,20.92,67417,2014-09-18 05:00:00
26,21.0,25.5699,21.0,23.46,468058,2014-09-19 05:00:00
27,23.32,23.88,21.77,22.53,102519,2014-09-22 05:00:00
28,22.4,23.98,21.87,22.56,119874,2014-09-23 05:00:00
29,22.49,25.65,22.0,25.29,128560,2014-09-24 05:00:00
30,25.78,26.55,24.41,24.94,151416,2014-09-25 05:00:00
31,24.97,27.61,24.35,26.58,159773,2014-09-26 05:00:00
