,open,high,low,close,volume,datetime
0,19.9,19.9,19.5,19.7,106650,2011-01-20 06:00:00
1,19.7,19.98,19.7,19.98,8318,2011-01-21 06:00:00
2,19.98,19.98,19.89,19.98,12807,2011-01-24 06:00:00
3,19.98,20.25,19.75,19.9,15953,2011-01-25 06:00:00
4,20.25,20.5,20.0,20.0,10899,2011-01-26 06:00:00
5,20.0,20.0,19.65,20.0,4000,2011-01-27 06:00:00
6,20.0,20.1,19.9,20.0,2880,2011-01-28 06:00:00
7,20.1,20.25,20.0099,20.02,5000,2011-02-01 06:00:00
8,20.01,20.2,20.0,20.2,7600,2011-02-02 06:00:00
9,20.0,20.0,19.06,19.8,21915,2011-02-03 06:00:00
10,19.9999,20.0,19.9999,20.0,200,2011-02-04 06:00:00
11,19.535,20.0,19.535,19.9999,1250,2011-02-07 06:00:00
12,19.75,19.9999,19.6,19.89,2900,2011-02-08 06:00:00
13,19.5,19.5999,19.5,19.5999,500,2011-02-09 06:00:00
14,19.84,19.84,19.4999,19.4999,5300,2011-02-10 06:00:00
15,19.6,19.71,19.6,19.7,1300,2011-02-11 06:00:00
16,19.5,19.51,19.4,19.4,1300,2011-02-14 06:00:00
17,19.25,19.6,19.25,19.6,2550,2011-02-15 06:00:00
18,19.6,19.6,19.02,19.6,1150,2011-02-16 06:00:00
19,19.5,20.0,19.49,20.0,4600,2011-02-17 06:00:00
20,20.0,20.0,19.5,19.77,14769,2011-02-18 06:00:00
21,19.11,19.9,19.05,19.13,2649,2011-02-22 06:00:00
22,19.3,19.6,19.0926,19.4,6240,2011-02-23 06:00:00
23,19.4,19.4,19.4,19.4,4176,2011-02-25 06:00:00
24,19.4,19.5,19.4,19.5,10200,2011-02-28 06:00:00
25,19.13,19.25,19.13,19.25,899,2011-03-01 06:00:00
26,19.14,19.26,19.12,19.2499,3675,2011-03-02 06:00:00
27,19.49,19.49,19.1113,19.29,8549,2011-03-03 06:00:00
28,19.14,19.29,19.14,19.29,1700,2011-03-04 06:00:00
29,19.11,19.15,19.11,19.11,5359,2011-03-07 06:00:00
30,19.2,19.2,19.0107,19.0107,8700,2011-03-08 06:00:00
31,19.05,19.05,18.85,19.0,4550,2011-03-09 06:00:00
32,19.0,19.0,18.75,19.0,3650,2011-03-10 06:00:00
33,18.8,19.0,18.5,18.75,16000,2011-03-11 06:00:00
34,18.68,18.68,18.68,18.68,1000,2011-03-14 05:00:00
35,18.99,18.99,18.0,18.09,11450,2011-03-15 05:00:00
36,18.85,18.85,18.1,18.31,4400,2011-03-16 05:00:00
37,17.8501,18.1499,17.75,17.86,15205,2011-03-17 05:00:00
38,17.9999,17.9999,17.18,17.59,10702,2011-03-18 05:00:00
39,17.27,17.75,17.27,17.73,5314,2011-03-21 05:00:00
40,17.4999,17.52,17.1131,17.5,12400,2011-03-22 05:00:00
41,17.7,17.9,17.36,17.36,9110,2011-03-23 05:00:00
42,17.29,17.51,17.27,17.5,3100,2011-03-24 05:00:00
43,17.9499,17.9499,17.5,17.65,3150,2011-03-25 05:00:00
44,17.7,17.9499,17.3829,17.74,5690,2011-03-28 05:00:00
45,17.98,17.99,17.3701,17.99,11980,2011-03-29 05:00:00
46,17.76,18.8657,17.76,18.508,5462,2011-03-30 05:00:00
47,18.5,18.75,18.5,18.75,4955,2011-03-31 05:00:00
48,18.2674,18.742,18.2674,18.63,3300,2011-04-01 05:00:00
49,18.5,18.75,18.5,18.75,4100,2011-04-04 05:00:00
50,18.74,18.74,18.52,18.637,5132,2011-04-05 05:00:00
51,18.65,18.9,18.5,18.5,3660,2011-04-06 05:00:00
52,18.9999,19.0,18.8,19.0,19867,2011-04-07 05:00:00
53,20.0,20.0,18.89,18.89,1900,2011-04-08 05:00:00
54,19.63,19.69,19.46,19.46,1800,2011-04-11 05:00:00
55,18.85,19.7,18.65,19.7,5750,2011-04-12 05:00:00
56,19.4,19.7,19.4,19.6,6134,2011-04-13 05:00:00
57,19.5,19.5,18.81,18.81,2050,2011-04-14 05:00:00
58,18.75,19.0,18.68,18.68,5430,2011-04-18 05:00:00
59,18.95,18.99,18.53,18.77,4905,2011-04-19 05:00:00
60,18.65,18.7,18.5,18.65,13345,2011-04-20 05:00:00
61,18.69,18.69,18.49,18.69,9067,2011-04-21 05:00:00
62,18.75,19.0,18.75,18.99,5857,2011-04-25 05:00:00
63,19.49,19.7,19.0,19.68,4315,2011-04-26 05:00:00
64,19.08,19.26,18.99,19.14,5200,2011-04-27 05:00:00
65,19.25,19.25,19.2499,19.25,2100,2011-04-28 05:00:00
66,19.7,19.7,19.5,19.6999,1781,2011-04-29 05:00:00
67,19.15,19.79,19.15,19.79,2500,2011-05-03 05:00:00
68,19.18,19.45,19.12,19.21,5114,2011-05-04 05:00:00
69,19.79,20.0,19.15,19.15,3500,2011-05-05 05:00:00
70,19.4899,19.49,19.0,19.0001,3026,2011-05-06 05:00:00
71,19.06,19.65,19.04,19.04,5900,2011-05-09 05:00:00
72,19.06,19.88,19.06,19.85,4485,2011-05-10 05:00:00
73,19.85,20.0,19.21,20.0,2811,2011-05-11 05:00:00
74,19.34,19.4,19.21,19.4,4425,2011-05-12 05:00:00
75,19.3999,19.4,19.3999,19.4,1000,2011-05-16 05:00:00
76,19.23,19.3939,19.21,19.21,1300,2011-05-17 05:00:00
77,19.3999,19.52,19.3999,19.455,16829,2011-05-18 05:00:00
78,19.55,19.5899,19.55,19.5899,1050,2011-05-20 05:00:00
79,19.4,19.4,19.21,19.21,3200,2011-05-23 05:00:00
80,19.17,19.22,19.17,19.17,2000,2011-05-24 05:00:00
81,19.2001,19.35,19.2,19.35,4442,2011-05-25 05:00:00
82,19.54,19.54,19.41,19.41,550,2011-05-26 05:00:00
83,19.96,19.96,19.45,19.45,3650,2011-05-31 05:00:00
84,19.6,19.6,19.16,19.16,3150,2011-06-01 05:00:00
85,19.17,19.35,18.75,19.35,5005,2011-06-02 05:00:00
86,18.84,19.1,18.66,19.1,5520,2011-06-06 05:00:00
87,19.01,19.5,18.86,19.01,7553,2011-06-07 05:00:00
88,19.05,19.0999,18.92,19.05,1660,2011-06-08 05:00:00
89,19.05,19.649,19.022,19.44,6151,2011-06-09 05:00:00
90,19.692,19.692,19.5,19.6,5000,2011-06-10 05:00:00
91,19.7,19.7,19.32,19.39,4610,2011-06-13 05:00:00
92,19.7,19.7,18.94,19.39,4551,2011-06-14 05:00:00
93,19.26,19.26,18.83,18.83,2301,2011-06-15 05:00:00
94,18.73,19.28,18.73,18.78,5300,2011-06-16 05:00:00
95,19.18,19.18,18.55,18.6,2636,2011-06-17 05:00:00
96,18.56,18.8799,18.5,18.75,1848,2011-06-20 05:00:00
97,18.8899,18.8899,17.61,18.293,9533,2011-06-21 05:00:00
98,18.49,18.7299,18.49,18.71,7230,2011-06-22 05:00:00
99,18.85,18.86,18.85,18.858,1175,2011-06-23 05:00:00
100,18.37,18.48,18.37,18.48,4513,2011-06-24 05:00:00
101,18.58,18.85,18.37,18.5,7920,2011-06-27 05:00:00
102,18.08,18.5,18.06,18.5,3339,2011-06-28 05:00:00
103,18.22,18.5,18.03,18.44,3432,2011-06-29 05:00:00
104,18.7,18.7,18.48,18.51,3486,2011-06-30 05:00:00
105,18.2,18.5,18.2,18.34,1800,2011-07-05 05:00:00
106,18.74,18.74,18.0,18.17,8136,2011-07-06 05:00:00
107,18.11,18.3,18.0,18.15,4784,2011-07-07 05:00:00
108,18.17,18.17,18.15,18.15,3300,2011-07-08 05:00:00
109,18.17,18.17,18.04,18.04,3400,2011-07-11 05:00:00
110,18.118,18.49,18.11,18.27,1890,2011-07-12 05:00:00
111,18.09,18.37,18.09,18.37,4061,2011-07-13 05:00:00
112,18.26,18.37,17.95,18.0,10626,2011-07-14 05:00:00
113,18.2,18.3,18.2,18.3,2472,2011-07-15 05:00:00
114,18.1,18.13,18.0,18.0,7204,2011-07-18 05:00:00
115,18.03,18.2281,18.01,18.09,1850,2011-07-19 05:00:00
116,18.01,18.23,18.01,18.23,1632,2011-07-21 05:00:00
117,18.37,18.37,18.0,18.05,4785,2011-07-22 05:00:00
118,18.34,18.34,17.95,18.05,6512,2011-07-25 05:00:00
119,18.1,18.1,17.95,18.0,3232,2011-07-26 05:00:00
120,18.2,18.2,17.95,18.19,3002,2011-07-27 05:00:00
121,18.4,18.4,17.8,17.8,6778,2011-07-28 05:00:00
122,17.9,17.92,17.75,17.83,3700,2011-07-29 05:00:00
123,17.75,17.752,17.5,17.74,8683,2011-08-01 05:00:00
124,17.26,17.26,16.21,16.6,9065,2011-08-02 05:00:00
125,16.9799,16.98,16.54,16.57,1766,2011-08-03 05:00:00
126,16.54,16.8,16.49,16.8,11922,2011-08-04 05:00:00
127,16.88,16.99,16.45,16.89,14341,2011-08-05 05:00:00
128,16.7,16.95,16.46,16.85,19316,2011-08-08 05:00:00
129,16.9,16.9,16.52,16.81,5639,2011-08-09 05:00:00
130,16.76,17.1755,16.58,16.63,5333,2011-08-10 05:00:00
131,16.63,16.81,16.6,16.81,10100,2011-08-11 05:00:00
132,16.68,16.86,16.25,16.25,15897,2011-08-12 05:00:00
133,16.77,16.77,16.75,16.76,500,2011-08-15 05:00:00
134,17.37,17.38,16.48,16.48,959,2011-08-16 05:00:00
135,16.75,16.75,16.31,16.31,1300,2011-08-17 05:00:00
136,16.6,17.964,16.2,16.2,10222,2011-08-18 05:00:00
137,16.12,17.9025,16.12,16.39,5424,2011-08-19 05:00:00
138,16.96,16.96,16.05,16.05,13665,2011-08-22 05:00:00
139,15.96,16.84,15.1,15.23,4828,2011-08-23 05:00:00
140,15.23,15.59,15.23,15.48,881,2011-08-24 05:00:00
141,16.18,16.18,15.26,15.35,2800,2011-08-26 05:00:00
