,open,high,low,close,volume,datetime
0,22.27,23.0,20.16,22.2,4960962,2020-02-28 06:00:00
1,22.85,23.25,21.5,21.5,666820,2020-03-02 06:00:00
2,21.5,22.25,19.66,20.0,755949,2020-03-03 06:00:00
3,20.32,21.4497,19.51,20.6,439724,2020-03-04 06:00:00
4,20.42,20.42,19.21,19.75,566774,2020-03-05 06:00:00
5,19.67,20.26,19.36,20.2,342167,2020-03-06 06:00:00
6,19.52,19.52,18.25,18.3,673054,2020-03-09 05:00:00
7,18.6,19.77,18.41,19.15,240342,2020-03-10 05:00:00
8,18.97,19.1,18.5,18.86,201980,2020-03-11 05:00:00
9,18.45,18.5,16.36,16.79,282894,2020-03-12 05:00:00
10,16.99,17.43,13.58,15.52,574968,2020-03-13 05:00:00
11,14.85,14.85,9.4,10.27,257246,2020-03-16 05:00:00
12,10.5,12.0,10.27,10.51,257181,2020-03-17 05:00:00
13,10.31,10.31,8.09,8.86,236900,2020-03-18 05:00:00
14,8.9,9.504,8.5,8.92,161064,2020-03-19 05:00:00
15,9.84,13.84,8.93,9.79,419172,2020-03-20 05:00:00
16,9.81,12.5,9.81,12.06,78654,2020-03-23 05:00:00
17,13.5,17.0,13.04,14.02,405993,2020-03-24 05:00:00
18,14.14,15.99,14.14,14.74,161141,2020-03-25 05:00:00
19,14.94,15.65,13.13,13.63,241351,2020-03-26 05:00:00
20,13.63,13.78,12.12,12.53,76556,2020-03-27 05:00:00
21,12.69,16.0,12.1,15.72,385817,2020-03-30 05:00:00
22,15.75,16.5999,14.375,15.75,100231,2020-03-31 05:00:00
23,15.12,15.55,14.4,14.9,46834,2020-04-01 05:00:00
24,14.63,15.42,14.32,15.18,97262,2020-04-02 05:00:00
25,14.97,16.0,14.59,14.59,145369,2020-04-03 05:00:00
26,15.2,16.2998,15.0,15.95,118566,2020-04-06 05:00:00
27,16.1,17.1199,14.91,16.27,83075,2020-04-07 05:00:00
28,16.2,16.94,15.91,16.5,35101,2020-04-08 05:00:00
29,16.55,17.59,16.435,17.08,18100,2020-04-09 05:00:00
30,17.18,19.95,17.18,18.8,37595,2020-04-13 05:00:00
31,19.0,19.94,19.0,19.19,80496,2020-04-14 05:00:00
32,19.16,20.239,18.15,19.45,86517,2020-04-15 05:00:00
33,19.5,20.88,19.005,20.11,243280,2020-04-16 05:00:00
34,20.16,21.5,19.4,20.35,126175,2020-04-17 05:00:00
35,19.8,21.3,19.41,20.83,113357,2020-04-20 05:00:00
36,21.0,21.0,17.5955,19.28,117162,2020-04-21 05:00:00
37,19.58,20.38,19.0006,19.35,30416,2020-04-22 05:00:00
38,19.25,19.9999,17.12,18.5,102154,2020-04-23 05:00:00
39,18.42,19.48,18.26,18.85,84954,2020-04-24 05:00:00
