,open,high,low,close,volume,datetime
0,1.24,1.5,1.24,1.38,50600,2002-06-10 05:00:00
1,1.4,1.4,1.4,1.4,1800,2002-06-11 05:00:00
2,1.4,1.45,1.4,1.45,19000,2002-06-12 05:00:00
3,1.45,1.45,1.42,1.42,3600,2002-06-13 05:00:00
4,1.36,1.36,1.15,1.22,28800,2002-06-14 05:00:00
5,1.25,1.25,1.25,1.25,2500,2002-06-17 05:00:00
6,1.3,1.34,1.3,1.34,5200,2002-06-18 05:00:00
7,1.34,1.4,1.34,1.4,7700,2002-06-19 05:00:00
8,1.45,1.45,1.36,1.36,6100,2002-06-20 05:00:00
9,1.4,1.4,1.4,1.4,400,2002-06-21 05:00:00
10,1.4,1.44,1.38,1.38,42300,2002-06-24 05:00:00
11,1.38,1.55,1.38,1.5,41800,2002-06-25 05:00:00
12,1.59,1.62,1.54,1.6,20700,2002-06-26 05:00:00
13,1.63,1.73,1.56,1.7,37900,2002-06-27 05:00:00
14,1.7,1.8,1.62,1.75,19700,2002-06-28 05:00:00
15,1.8,1.8,1.7,1.8,25600,2002-07-01 05:00:00
16,1.8,1.8,1.65,1.75,21900,2002-07-02 05:00:00
17,1.8,1.98,1.75,1.91,65400,2002-07-03 05:00:00
18,1.98,2.0,1.9,2.0,33400,2002-07-05 05:00:00
19,2.03,2.13,2.0,2.1,62300,2002-07-08 05:00:00
20,2.11,2.53,2.11,2.53,144900,2002-07-09 05:00:00
21,2.6,2.6,2.15,2.21,178700,2002-07-10 05:00:00
22,2.15,2.17,1.71,1.9,112000,2002-07-11 05:00:00
23,1.98,2.1,1.85,2.1,28100,2002-07-12 05:00:00
24,2.12,2.2,2.03,2.05,47800,2002-07-15 05:00:00
25,2.09,2.14,2.05,2.13,13500,2002-07-16 05:00:00
26,2.16,2.16,2.03,2.15,34800,2002-07-17 05:00:00
27,2.17,2.4,2.17,2.18,82300,2002-07-18 05:00:00
28,2.2,2.2,2.01,2.05,41600,2002-07-19 05:00:00
29,2.08,2.1,2.01,2.05,8300,2002-07-22 05:00:00
30,2.1,2.2,2.08,2.08,22200,2002-07-23 05:00:00
31,2.08,2.08,1.8,1.95,66900,2002-07-24 05:00:00
32,2.0,2.0,1.75,1.9,25000,2002-07-25 05:00:00
33,1.85,1.87,1.75,1.75,22300,2002-07-26 05:00:00
