,open,high,low,close,volume,datetime
0,6.55,7.0,6.55,7.0,900,2002-06-10 05:00:00
1,7.3,7.3,7.3,7.3,100,2002-06-11 05:00:00
2,7.05,7.05,6.75,6.85,1200,2002-06-14 05:00:00
3,7.07,7.07,7.0,7.0,1100,2002-06-17 05:00:00
4,7.0,7.0,6.7,6.7,7600,2002-06-19 05:00:00
5,6.85,6.85,6.85,6.85,300,2002-06-20 05:00:00
6,7.3,7.3,6.55,6.75,1500,2002-06-21 05:00:00
7,6.55,6.61,6.55,6.6,2900,2002-06-24 05:00:00
8,6.8,6.8,6.8,6.8,100,2002-06-26 05:00:00
9,6.55,6.55,6.4,6.5,1600,2002-06-27 05:00:00
10,7.0,7.3,6.35,6.87,2100,2002-06-28 05:00:00
11,7.12,7.12,7.12,7.12,100,2002-07-01 05:00:00
12,6.45,6.45,6.45,6.45,200,2002-07-03 05:00:00
13,6.4,6.4,6.0,6.25,600,2002-07-05 05:00:00
14,7.14,7.14,7.0,7.0,400,2002-07-09 05:00:00
15,7.0,7.0,6.0,6.0,1100,2002-07-10 05:00:00
16,6.5,6.5,6.5,6.5,100,2002-07-15 05:00:00
17,5.85,5.85,5.85,5.85,100,2002-07-16 05:00:00
18,6.01,6.01,6.01,6.01,100,2002-07-18 05:00:00
19,6.01,6.01,6.01,6.01,200,2002-07-19 05:00:00
20,6.01,6.07,5.87,6.07,6800,2002-07-23 05:00:00
21,6.57,6.57,6.57,6.57,100,2002-07-24 05:00:00
22,6.25,7.0,6.25,7.0,1400,2002-07-29 05:00:00
23,5.85,6.6,5.85,6.5,2700,2002-07-30 05:00:00
24,7.0,7.0,7.0,7.0,3200,2002-07-31 05:00:00
25,6.5,6.5,6.5,6.5,100,2002-08-01 05:00:00
26,6.5,6.85,6.5,6.85,300,2002-08-05 05:00:00
27,6.5,6.5,6.5,6.5,7900,2002-08-07 05:00:00
28,6.73,6.73,6.73,6.73,400,2002-08-13 05:00:00
29,6.7,6.7,6.7,6.7,400,2002-08-14 05:00:00
30,6.93,6.94,6.93,6.94,500,2002-08-20 05:00:00
31,6.7,6.7,6.7,6.7,1000,2002-08-23 05:00:00
32,6.51,6.7,6.51,6.7,600,2002-08-26 05:00:00
33,6.76,6.76,6.76,6.76,600,2002-08-27 05:00:00
34,6.75,6.76,6.75,6.76,800,2002-08-28 05:00:00
35,6.75,6.76,6.75,6.76,1700,2002-08-29 05:00:00
36,6.76,6.95,6.75,6.95,2500,2002-08-30 05:00:00
37,6.77,6.77,6.77,6.77,200,2002-09-03 05:00:00
38,6.8,6.82,6.8,6.8,1600,2002-09-04 05:00:00
39,6.7,6.73,6.7,6.73,200,2002-09-05 05:00:00
40,6.6,6.68,6.6,6.68,1800,2002-09-06 05:00:00
41,6.6,6.6,6.6,6.6,200,2002-09-10 05:00:00
42,6.6,6.6,6.51,6.51,2000,2002-09-11 05:00:00
43,6.6,7.0,6.6,7.0,2100,2002-09-13 05:00:00
44,6.6,7.3,6.6,7.3,700,2002-09-18 05:00:00
45,6.5,7.0,6.5,7.0,2500,2002-09-19 05:00:00
46,6.4,7.1,6.05,7.1,3100,2002-09-24 05:00:00
47,6.2,7.15,6.2,7.15,300,2002-09-25 05:00:00
48,6.81,6.97,6.81,6.97,7400,2002-09-27 05:00:00
49,6.51,7.15,6.51,7.15,7800,2002-09-30 05:00:00
50,6.82,6.82,6.82,6.82,400,2002-10-03 05:00:00
51,6.45,6.45,5.97,6.26,7700,2002-10-07 05:00:00
52,6.0,6.0,5.5,5.76,5900,2002-10-08 05:00:00
53,6.07,6.07,6.05,6.05,300,2002-10-09 05:00:00
54,6.06,6.5,5.01,6.5,3500,2002-10-10 05:00:00
55,6.12,6.62,6.12,6.62,7900,2002-10-11 05:00:00
56,6.62,6.95,6.62,6.95,1600,2002-10-14 05:00:00
57,6.89,6.93,6.89,6.93,900,2002-10-16 05:00:00
58,6.8,6.8,6.8,6.8,100,2002-10-17 05:00:00
59,6.79,6.79,6.79,6.79,600,2002-10-21 05:00:00
60,6.88,6.99,6.15,6.89,3300,2002-10-23 05:00:00
61,6.15,6.74,6.15,6.41,1100,2002-10-25 05:00:00
62,6.19,6.95,6.19,6.94,12300,2002-10-28 06:00:00
63,6.5,6.5,6.5,6.5,1000,2002-10-30 06:00:00
64,6.61,6.75,6.61,6.75,500,2002-10-31 06:00:00
65,6.99,6.99,6.49,6.99,2100,2002-11-04 06:00:00
