,open,high,low,close,volume,datetime
0,11.75,12.85,10.15,10.84,9212,2018-12-28 06:00:00
1,11.4036,14.26,11.4036,14.26,2360,2018-12-31 06:00:00
2,15.0,26.75,15.0,26.676,14425,2019-01-03 06:00:00
3,32.1,82.25,32.1,54.06,19819,2019-01-04 06:00:00
4,60.0001,84.0,60.0,62.31,10323,2019-01-07 06:00:00
5,76.9,85.0,69.8622,85.0,11305,2019-01-08 06:00:00
6,87.05,220.0,87.05,220.0,11301,2019-01-09 06:00:00
7,228.0,550.0,75.0,157.0,29339,2019-01-10 06:00:00
8,156.69,156.69,86.2,91.06,8348,2019-01-11 06:00:00
9,96.0,107.0,96.0,105.0,4164,2019-01-14 06:00:00
10,184.9,200.0,130.01,147.0,8739,2019-01-15 06:00:00
11,147.0,147.0,130.0,139.0,4587,2019-01-16 06:00:00
12,138.84,138.84,119.0,131.2,6095,2019-01-17 06:00:00
13,140.0,165.01,140.0,149.0,3690,2019-01-18 06:00:00
14,130.41,130.41,76.0,100.0,19115,2019-01-22 06:00:00
15,101.52,119.47,88.0,88.0,9853,2019-01-23 06:00:00
16,90.0,94.5,90.0,94.5,3219,2019-01-24 06:00:00
17,99.7262,110.0,99.7262,110.0,3261,2019-01-25 06:00:00
18,119.633,130.0,118.66,130.0,5876,2019-01-28 06:00:00
19,169.2,204.7,142.0,142.0,4482,2019-01-29 06:00:00
20,176.0,187.0,158.405,180.0,5422,2019-01-30 06:00:00
21,200.0,297.8,199.77,297.8,9683,2019-01-31 06:00:00
22,330.0,330.0,308.4,308.4,4057,2019-02-01 06:00:00
23,200.2,250.0,200.2,250.0,8372,2019-02-04 06:00:00
24,261.03,261.03,218.925,230.0,4203,2019-02-05 06:00:00
25,168.8,168.8,114.75,119.0,19738,2019-02-06 06:00:00
26,125.0,126.63,119.4249,120.375,7245,2019-02-07 06:00:00
27,119.75,125.0,119.75,121.5,5540,2019-02-08 06:00:00
28,123.995,123.995,110.0,120.0,7454,2019-02-11 06:00:00
29,125.0,125.0,113.41,113.41,3922,2019-02-12 06:00:00
30,115.0,115.0,95.0,95.85,9611,2019-02-13 06:00:00
31,90.38,90.38,48.46,50.2,34270,2019-02-14 06:00:00
32,45.0,50.16,35.0,40.0,52116,2019-02-15 06:00:00
33,41.0,55.3,37.95,38.6217,26173,2019-02-19 06:00:00
34,40.57,45.0,34.4262,38.61,69020,2019-02-20 06:00:00
35,40.0,40.25,35.55,40.155,16917,2019-02-21 06:00:00
36,39.0,39.0,36.0,38.5,12758,2019-02-22 06:00:00
37,39.5,40.5,36.5633,37.9,4985,2019-02-25 06:00:00
38,38.01,38.01,35.75,36.63,10965,2019-02-26 06:00:00
39,35.5585,35.5585,31.0149,32.0,21272,2019-02-27 06:00:00
40,28.89,29.93,26.635,29.54,19996,2019-02-28 06:00:00
41,29.11,29.355,27.0,27.745,4989,2019-03-01 06:00:00
42,29.54,34.0,29.0,33.5,18777,2019-03-04 06:00:00
43,35.0,35.99,29.5,30.3,7933,2019-03-05 06:00:00
44,30.15,35.45,30.15,35.0,10783,2019-03-06 06:00:00
45,36.5,36.5,32.12,36.0,15710,2019-03-07 06:00:00
46,35.44,43.75,34.0,40.1,23321,2019-03-08 06:00:00
47,40.13,51.1548,40.13,45.16,23241,2019-03-11 05:00:00
48,46.9642,53.82,46.9642,52.48,37659,2019-03-12 05:00:00
49,54.0,62.5,53.105,61.5,48673,2019-03-13 05:00:00
50,67.21,72.7593,64.0,66.0,48385,2019-03-14 05:00:00
51,68.0,71.5,38.28,53.55,58197,2019-03-15 05:00:00
52,53.77,53.77,46.0001,50.355,10142,2019-03-18 05:00:00
53,50.3,50.3,40.0572,41.5,20442,2019-03-19 05:00:00
54,37.0,37.0,27.29,27.82,80139,2019-03-20 05:00:00
55,31.93,44.49,30.01,43.02,85366,2019-03-21 05:00:00
56,46.98,49.499,40.0,44.48,62098,2019-03-22 05:00:00
57,44.0,44.0,35.21,36.65,52067,2019-03-25 05:00:00
58,37.99,37.99,34.0,34.9,35281,2019-03-26 05:00:00
59,33.5,33.5,14.2,17.0,1143598,2019-03-27 05:00:00
60,18.5,18.5,14.48,14.51,332093,2019-03-28 05:00:00
61,14.0,14.51,11.9,13.69,574120,2019-03-29 05:00:00
62,14.08,14.89,12.35,12.47,339847,2019-04-01 05:00:00
63,12.89,14.74,12.89,14.01,264170,2019-04-02 05:00:00
64,14.47,15.95,5.27,5.52,2911058,2019-04-03 05:00:00
65,5.79,6.44,5.0,6.02,1380497,2019-04-04 05:00:00
66,5.75,6.05,5.45,5.75,987181,2019-04-05 05:00:00
67,5.75,5.75,5.25,5.27,423497,2019-04-08 05:00:00
68,5.49,5.82,5.21,5.4,631404,2019-04-09 05:00:00
69,5.56,5.589,5.12,5.22,261848,2019-04-10 05:00:00
70,5.42,9.26,5.3,8.88,6269793,2019-04-11 05:00:00
71,9.34,11.2,7.7,8.19,5313384,2019-04-12 05:00:00
72,9.51,9.7,8.56,9.13,2219355,2019-04-15 05:00:00
73,9.34,9.34,7.4,7.75,911491,2019-04-16 05:00:00
74,7.75,7.94,6.39,6.98,599113,2019-04-17 05:00:00
75,6.92,8.13,6.55,7.45,706812,2019-04-18 05:00:00
76,7.45,7.78,7.16,7.51,171737,2019-04-22 05:00:00
77,7.6,7.71,7.0,7.2,192710,2019-04-23 05:00:00
78,7.3,9.1,7.05,7.68,1076198,2019-04-24 05:00:00
79,7.82,8.49,7.7101,8.08,676493,2019-04-25 05:00:00
80,8.3,8.3,7.55,7.88,235990,2019-04-26 05:00:00
81,7.88,8.6355,7.7,8.3,564180,2019-04-29 05:00:00
82,8.3,8.4634,7.8801,8.1,204889,2019-04-30 05:00:00
