,open,high,low,close,volume,datetime
0,33.4,36.06,30.04,31.62,53050914,2021-01-15 06:00:00
1,33.89,33.97,32.0,32.4,8899159,2021-01-19 06:00:00
2,33.04,33.2,31.6,32.0,3792590,2021-01-20 06:00:00
3,32.2687,32.2687,30.05,31.01,3894764,2021-01-21 06:00:00
4,30.06,31.11,30.0,30.24,3625163,2021-01-22 06:00:00
5,30.9,31.385,29.51,30.29,2914237,2021-01-25 06:00:00
6,30.29,31.0,29.93,30.86,5997765,2021-01-26 06:00:00
7,30.0,30.23,28.77,29.4,4441855,2021-01-27 06:00:00
8,29.25,29.95,29.01,29.18,3707153,2021-01-28 06:00:00
9,29.21,29.98,28.9,29.14,1604458,2021-01-29 06:00:00
10,29.1,29.18,28.82,29.0,1112828,2021-02-01 06:00:00
11,29.05,29.8167,28.85,28.99,1138072,2021-02-02 06:00:00
12,29.0,29.49,28.51,29.43,1587722,2021-02-03 06:00:00
13,29.73,30.44,29.31,29.91,1137178,2021-02-04 06:00:00
14,29.89,31.1517,29.79,31.0,1460553,2021-02-05 06:00:00
15,31.19,33.0,31.1197,32.3,2040134,2021-02-08 06:00:00
16,32.6235,34.5,32.4,34.28,3434946,2021-02-09 06:00:00
17,35.0,35.09,33.3,33.91,1888397,2021-02-10 06:00:00
18,34.3999,34.5,32.45,33.7,1506729,2021-02-11 06:00:00
19,33.91,35.0,33.35,33.81,813321,2021-02-12 06:00:00
20,34.545,34.88,33.0601,33.73,1366519,2021-02-16 06:00:00
21,33.57,33.681,31.3941,32.78,2207762,2021-02-17 06:00:00
22,32.14,32.81,31.521,32.56,988336,2021-02-18 06:00:00
23,32.56,33.43,32.22,32.36,538286,2021-02-19 06:00:00
24,31.36,32.33,30.61,31.01,1708311,2021-02-22 06:00:00
25,29.0,31.84,28.86,31.5,2253900,2021-02-23 06:00:00
26,31.35,32.29,30.78,32.01,840726,2021-02-24 06:00:00
27,32.0,32.0575,28.75,30.23,1899390,2021-02-25 06:00:00
28,30.65,31.75,29.6,29.75,1831850,2021-02-26 06:00:00
29,30.17,31.41,30.17,30.64,1130339,2021-03-01 06:00:00
30,30.95,31.49,29.7,29.99,2628502,2021-03-02 06:00:00
31,29.75,30.48,29.53,29.69,1293964,2021-03-03 06:00:00
32,29.49,29.97,28.14,28.81,1782402,2021-03-04 06:00:00
33,29.21,29.23,26.9,28.09,1448879,2021-03-05 06:00:00
34,28.01,28.17,26.2,26.35,1985455,2021-03-08 06:00:00
35,28.56,28.56,26.71,26.79,1401341,2021-03-09 06:00:00
36,27.53,27.99,26.32,26.59,1474881,2021-03-10 06:00:00
37,27.1,27.96,26.875,27.74,1142549,2021-03-11 06:00:00
38,27.37,27.55,25.8,26.1,1430930,2021-03-12 06:00:00
39,26.5,27.31,26.06,27.3,871295,2021-03-15 05:00:00
40,27.49,27.79,26.44,26.81,737736,2021-03-16 05:00:00
41,26.44,27.16,26.05,26.9,825177,2021-03-17 05:00:00
42,26.5,26.73,25.66,26.18,1311496,2021-03-18 05:00:00
43,26.38,26.6,25.68,25.79,4751759,2021-03-19 05:00:00
44,25.9521,26.065,25.275,26.0,1299381,2021-03-22 05:00:00
45,25.99,26.25,25.67,25.96,770389,2021-03-23 05:00:00
46,26.1,26.19,25.36,25.45,849100,2021-03-24 05:00:00
47,25.18,25.6,24.4113,25.16,2093240,2021-03-25 05:00:00
48,25.18,25.57,24.51,25.27,1367993,2021-03-26 05:00:00
49,24.97,25.86,24.925,25.48,694600,2021-03-29 05:00:00
50,25.48,26.91,25.17,26.82,801270,2021-03-30 05:00:00
51,27.0,27.92,26.945,27.21,1346720,2021-03-31 05:00:00
52,27.48,27.59,26.11,26.85,817600,2021-04-01 05:00:00
53,27.14,27.85,26.01,26.79,714715,2021-04-05 05:00:00
54,26.96,27.69,26.6,26.88,459969,2021-04-06 05:00:00
55,26.89,27.18,25.93,26.21,903440,2021-04-07 05:00:00
56,26.26,26.5,26.02,26.46,438076,2021-04-08 05:00:00
57,26.47,27.05,26.03,27.0,403011,2021-04-09 05:00:00
58,27.0,27.1,26.52,26.92,455295,2021-04-12 05:00:00
59,26.92,27.25,26.31,26.46,1007679,2021-04-13 05:00:00
60,26.52,26.89,25.61,25.92,1215683,2021-04-14 05:00:00
61,26.02,26.21,25.55,26.1,864145,2021-04-15 05:00:00
62,25.8077,26.09,24.94,25.93,887579,2021-04-16 05:00:00
63,25.92,26.93,25.85,26.88,642937,2021-04-19 05:00:00
64,26.74,27.54,26.2511,26.68,1203607,2021-04-20 05:00:00
65,26.68,27.435,26.485,27.425,889697,2021-04-21 05:00:00
66,27.41,28.36,27.31,27.8,1255582,2021-04-22 05:00:00
67,27.81,28.165,27.48,27.77,816326,2021-04-23 05:00:00
68,27.82,28.69,27.35,28.45,548976,2021-04-26 05:00:00
69,28.48,28.86,28.29,28.46,576839,2021-04-27 05:00:00
70,28.51,29.0,28.44,28.78,443735,2021-04-28 05:00:00
71,28.9,28.9,28.001,28.31,286701,2021-04-29 05:00:00
72,28.13,28.255,27.58,27.78,804851,2021-04-30 05:00:00
73,27.77,28.0,27.15,27.34,382083,2021-05-03 05:00:00
74,26.93,27.13,25.78,26.2,478465,2021-05-04 05:00:00
75,26.3,26.82,26.09,26.36,383872,2021-05-05 05:00:00
76,26.575,26.75,25.738,26.2,882595,2021-05-06 05:00:00
77,26.42,27.5,26.42,27.48,523088,2021-05-07 05:00:00
78,27.27,27.27,26.32,26.82,1577171,2021-05-10 05:00:00
79,26.0,26.35,25.01,25.89,1922120,2021-05-11 05:00:00
