,open,high,low,close,volume,datetime
0,4.916667,5.446667,4.916667,5.15,7480500,2002-11-08 06:00:00
1,5.1,5.583333,5.046667,5.466667,1701900,2002-11-11 06:00:00
2,5.5,5.5,5.183333,5.286667,750900,2002-11-12 06:00:00
3,5.226667,5.5,5.2,5.433333,305400,2002-11-13 06:00:00
4,5.45,5.766667,5.416667,5.663333,655200,2002-11-14 06:00:00
5,5.683333,5.873333,5.666667,5.77,234300,2002-11-15 06:00:00
6,5.996667,6.25,5.816667,6.0,419400,2002-11-18 06:00:00
7,6.023333,6.023333,5.386667,5.386667,315600,2002-11-19 06:00:00
8,5.47,5.746667,5.383333,5.726667,592800,2002-11-20 06:00:00
9,5.623333,6.016667,5.623333,5.766667,249000,2002-11-21 06:00:00
10,5.8,5.866667,5.513333,5.866667,123900,2002-11-22 06:00:00
11,5.86,6.156667,5.783333,6.156667,513000,2002-11-25 06:00:00
12,6.103333,6.456667,5.566667,5.666667,229200,2002-11-26 06:00:00
13,5.7,5.973333,5.63,5.89,279900,2002-11-27 06:00:00
14,5.866667,6.0,5.666667,5.863333,70500,2002-11-29 06:00:00
15,5.833333,6.013333,5.583333,5.833333,170100,2002-12-02 06:00:00
16,5.883333,6.033333,5.71,5.966667,97800,2002-12-03 06:00:00
17,6.04,6.833333,6.003333,6.313333,929700,2002-12-04 06:00:00
18,6.5,6.5,6.316667,6.32,444000,2002-12-05 06:00:00
19,6.5,6.5,6.186667,6.296667,128700,2002-12-06 06:00:00
20,6.316667,6.413333,6.3,6.343333,367500,2002-12-09 06:00:00
21,6.333333,6.38,6.276667,6.3,169800,2002-12-10 06:00:00
22,6.383333,6.383333,6.076667,6.203333,237600,2002-12-11 06:00:00
23,6.193333,6.216667,6.076667,6.076667,49800,2002-12-12 06:00:00
24,6.006667,6.013333,5.816667,5.943333,213600,2002-12-13 06:00:00
25,5.943333,6.496667,5.85,6.496667,238800,2002-12-16 06:00:00
26,6.49,6.546667,6.34,6.386667,107700,2002-12-17 06:00:00
27,6.283333,6.463333,6.283333,6.333333,117000,2002-12-18 06:00:00
28,6.413333,6.416667,6.333333,6.416667,64500,2002-12-19 06:00:00
29,6.416667,6.516667,6.333333,6.49,81900,2002-12-20 06:00:00
30,6.433333,6.516667,6.433333,6.45,155700,2002-12-23 06:00:00
31,6.516667,6.516667,6.423333,6.49,26700,2002-12-24 06:00:00
32,6.513333,6.513333,6.39,6.413333,90900,2002-12-26 06:00:00
33,6.466667,6.466667,6.286667,6.33,128400,2002-12-27 06:00:00
34,6.44,6.483333,6.02,6.296667,187800,2002-12-30 06:00:00
35,6.05,6.18,6.0,6.083333,293700,2002-12-31 06:00:00
36,6.093333,6.353333,6.086667,6.25,92700,2003-01-02 06:00:00
37,6.373333,6.373333,6.206667,6.3,29100,2003-01-03 06:00:00
38,6.35,7.133333,6.3,6.88,335700,2003-01-06 06:00:00
39,6.996667,7.026667,6.766667,7.016667,218100,2003-01-07 06:00:00
40,7.023333,7.296667,6.693333,6.733333,277200,2003-01-08 06:00:00
41,6.933333,7.033333,6.733333,6.91,121200,2003-01-09 06:00:00
42,6.896667,7.053333,6.823333,6.916667,189300,2003-01-10 06:00:00
43,6.966667,7.0,6.786667,6.986667,71400,2003-01-13 06:00:00
44,6.833333,7.156667,6.833333,6.923333,70500,2003-01-14 06:00:00
45,6.89,7.026667,6.833333,6.9,61800,2003-01-15 06:00:00
