,open,high,low,close,volume,datetime
0,35.5,35.67,35.0,35.55,1167400,2002-06-10 05:00:00
1,35.45,35.45,34.3,34.3,1891200,2002-06-11 05:00:00
2,34.3,35.2,34.0,35.2,2351700,2002-06-12 05:00:00
3,35.06,35.08,33.05,33.65,4030500,2002-06-13 05:00:00
4,33.41,34.13,32.61,33.94,2239500,2002-06-14 05:00:00
5,34.0,34.48,33.6,34.0,2692700,2002-06-17 05:00:00
6,34.25,34.4,33.75,33.9,2194800,2002-06-18 05:00:00
7,33.4,34.12,33.38,33.95,2241400,2002-06-19 05:00:00
8,33.8,34.15,33.65,33.88,1370600,2002-06-20 05:00:00
9,33.95,34.05,32.96,33.15,2473200,2002-06-21 05:00:00
10,33.1,33.1,31.5,32.5,3978500,2002-06-24 05:00:00
11,32.5,33.14,32.5,32.73,2479600,2002-06-25 05:00:00
12,31.0,32.65,31.0,32.25,2590600,2002-06-26 05:00:00
13,32.75,32.95,31.68,32.5,2389700,2002-06-27 05:00:00
14,34.0,34.0,33.03,33.36,23623900,2002-06-28 05:00:00
15,32.95,32.95,31.8,32.7,3568100,2002-07-01 05:00:00
16,32.46,32.68,31.31,31.83,3221000,2002-07-02 05:00:00
17,31.7,31.73,30.4,30.4,3876500,2002-07-03 05:00:00
18,31.0,31.8,30.8,31.34,2874700,2002-07-05 05:00:00
19,31.66,31.72,30.42,30.9,3993500,2002-07-08 05:00:00
20,30.8,31.08,30.06,30.31,2711000,2002-07-09 05:00:00
21,31.5,32.16,30.4,30.59,13463300,2002-07-10 05:00:00
22,30.65,31.21,30.25,30.95,5815100,2002-07-11 05:00:00
23,30.95,32.05,30.85,31.8,3460100,2002-07-12 05:00:00
24,31.7,31.8,30.2,31.8,3524900,2002-07-15 05:00:00
25,31.55,32.08,31.31,31.55,3762300,2002-07-16 05:00:00
26,31.95,32.25,30.89,31.42,5128100,2002-07-17 05:00:00
27,32.1,32.1,31.06,31.39,7631500,2002-07-18 05:00:00
28,31.0,32.45,30.16,32.45,57058900,2002-07-19 05:00:00
29,31.5,31.8,31.01,31.65,11903000,2002-07-22 05:00:00
30,31.84,31.84,28.7,29.6,7929900,2002-07-23 05:00:00
31,28.7,30.39,28.0,30.21,7633100,2002-07-24 05:00:00
32,29.75,30.74,28.47,29.0,5167300,2002-07-25 05:00:00
33,28.4,30.51,28.4,30.25,5133700,2002-07-26 05:00:00
34,30.65,32.45,30.5,32.2,3578700,2002-07-29 05:00:00
35,31.7,32.63,30.7,32.15,4284500,2002-07-30 05:00:00
36,32.15,33.0,32.01,32.99,3605100,2002-07-31 05:00:00
37,32.6,32.9,32.07,32.9,2783400,2002-08-01 05:00:00
38,32.4,32.41,30.71,31.29,3350900,2002-08-02 05:00:00
39,30.95,31.3,29.83,29.85,2089200,2002-08-05 05:00:00
40,30.6,31.21,30.08,30.38,3500900,2002-08-06 05:00:00
41,30.7,30.85,29.5,30.6,4185700,2002-08-07 05:00:00
42,30.6,32.9,30.55,32.15,3807300,2002-08-08 05:00:00
43,31.9,32.96,31.62,32.88,2063500,2002-08-09 05:00:00
44,32.45,32.65,31.8,32.3,1540300,2002-08-12 05:00:00
45,32.25,32.79,31.46,31.47,1869700,2002-08-13 05:00:00
46,31.5,32.81,31.28,32.79,2225500,2002-08-14 05:00:00
47,32.9,33.55,32.0,32.6,2793000,2002-08-15 05:00:00
48,32.59,32.88,32.0,32.0,1343500,2002-08-16 05:00:00
49,32.0,32.75,32.0,32.44,2453700,2002-08-19 05:00:00
50,32.34,32.88,31.72,31.98,1917500,2002-08-20 05:00:00
51,31.78,32.33,31.26,31.57,2690500,2002-08-21 05:00:00
52,31.77,32.54,31.77,32.29,2649200,2002-08-22 05:00:00
53,32.25,32.29,31.25,31.42,2001800,2002-08-23 05:00:00
54,31.66,31.94,31.27,31.52,2372900,2002-08-26 05:00:00
55,31.95,32.01,30.16,30.16,3833900,2002-08-27 05:00:00
56,30.19,30.81,29.64,30.07,2798100,2002-08-28 05:00:00
57,29.5,30.62,29.5,30.0,2441600,2002-08-29 05:00:00
58,30.0,30.78,29.9,30.2,1830300,2002-08-30 05:00:00
59,29.7,29.85,28.76,28.76,2877800,2002-09-03 05:00:00
60,28.6,29.12,28.54,28.8,4903200,2002-09-04 05:00:00
61,28.7,28.89,28.3,28.75,4628500,2002-09-05 05:00:00
62,29.1,30.3,29.05,29.73,4269500,2002-09-06 05:00:00
63,29.72,30.45,29.51,30.32,3625200,2002-09-09 05:00:00
64,30.32,30.37,29.87,30.18,2907500,2002-09-10 05:00:00
65,30.99,30.99,30.0,30.15,1471700,2002-09-11 05:00:00
66,29.7,30.0,29.51,29.6,1939500,2002-09-12 05:00:00
67,29.6,29.9,29.18,29.53,2294700,2002-09-13 05:00:00
68,29.6,29.85,29.15,29.25,1809900,2002-09-16 05:00:00
69,29.42,29.66,28.83,28.9,2381500,2002-09-17 05:00:00
70,28.65,29.19,28.61,28.96,3304400,2002-09-18 05:00:00
71,28.75,28.85,27.74,27.89,3291600,2002-09-19 05:00:00
72,27.87,28.11,27.2,27.51,3646200,2002-09-20 05:00:00
73,27.6,28.0,27.2,27.9,2744200,2002-09-23 05:00:00
74,27.65,28.2,27.16,27.35,3234800,2002-09-24 05:00:00
75,27.85,28.32,27.5,28.11,2360500,2002-09-25 05:00:00
76,28.45,29.2,28.3,28.88,2757800,2002-09-26 05:00:00
77,28.89,29.2,28.15,28.24,1863000,2002-09-27 05:00:00
78,28.24,28.96,27.25,28.56,3030900,2002-09-30 05:00:00
79,28.61,29.82,28.36,29.82,2242400,2002-10-01 05:00:00
80,29.82,30.04,29.32,29.7,2542100,2002-10-02 05:00:00
81,29.85,30.04,29.0,29.0,2696200,2002-10-03 05:00:00
82,29.45,29.58,27.7,28.28,2347300,2002-10-04 05:00:00
83,28.12,28.5,27.4,27.4,3213300,2002-10-07 05:00:00
