,open,high,low,close,volume,datetime
0,19.8,20.0,19.8,19.94,5561,2007-02-14 06:00:00
1,19.95,20.0,19.87,19.94,33238,2007-02-15 06:00:00
2,19.93,22.01,19.93,20.03,129668,2007-02-16 06:00:00
3,20.13,20.31,19.95,20.27,74229,2007-02-20 06:00:00
4,20.24,20.46,20.22,20.428,48950,2007-02-21 06:00:00
5,20.63,21.8,20.62,20.94,88010,2007-02-22 06:00:00
6,21.01,21.11,20.96,21.06,66436,2007-02-23 06:00:00
7,21.2,21.24,21.02,21.152,43384,2007-02-26 06:00:00
8,22.33,22.33,19.9,20.03,47267,2007-02-27 06:00:00
9,20.11,20.1375,19.7,20.03,30570,2007-02-28 06:00:00
10,20.02,20.02,19.3,19.91,30215,2007-03-01 06:00:00
11,19.86,19.86,19.3625,19.41,10851,2007-03-02 06:00:00
12,19.01,19.4,18.88,18.88,13422,2007-03-05 06:00:00
13,19.15,19.592,19.15,19.54,18429,2007-03-06 06:00:00
14,19.69,19.81,19.61,19.72,11129,2007-03-07 06:00:00
15,20.1,20.1,19.87,19.97,11995,2007-03-08 06:00:00
16,20.29,20.34,20.13,20.2,22700,2007-03-09 06:00:00
17,20.22,20.43,20.21,20.37,33084,2007-03-12 05:00:00
18,20.28,20.32,19.83,19.83,17855,2007-03-13 05:00:00
19,19.95,19.95,19.43,19.75,12365,2007-03-14 05:00:00
20,19.79,19.94,19.79,19.94,7242,2007-03-15 05:00:00
21,19.76,20.02,19.65,19.76,4617,2007-03-16 05:00:00
22,19.95,19.95,19.79,19.79,3990,2007-03-19 05:00:00
23,19.8701,20.1,19.8701,20.08,7151,2007-03-20 05:00:00
24,20.18,20.54,20.169,20.5001,9351,2007-03-21 05:00:00
25,20.61,20.7499,20.56,20.71,13705,2007-03-22 05:00:00
26,20.72,20.79,20.68,20.7505,9703,2007-03-23 05:00:00
27,24.0,24.0,20.01,20.65,6876,2007-03-26 05:00:00
28,20.75,20.83,19.0101,20.64,44623,2007-03-27 05:00:00
29,20.5,20.74,20.261,20.6,6279,2007-03-28 05:00:00
30,20.98,21.02,20.32,20.6,26363,2007-03-29 05:00:00
31,20.66,20.66,20.35,20.48,8691,2007-03-30 05:00:00
32,20.57,20.59,20.22,20.59,9218,2007-04-02 05:00:00
33,20.88,20.95,20.5995,20.76,6018,2007-04-03 05:00:00
34,21.51,24.0,20.75,21.08,22872,2007-04-04 05:00:00
35,21.17,21.17,21.06,21.06,6279,2007-04-05 05:00:00
36,21.22,21.22,20.91,21.1,16474,2007-04-09 05:00:00
37,21.13,21.2,21.12,21.17,8658,2007-04-10 05:00:00
38,21.52,21.52,21.05,21.1,8868,2007-04-11 05:00:00
39,20.82,21.37,20.79,21.36,12038,2007-04-12 05:00:00
40,21.55,21.55,21.23,21.48,32378,2007-04-13 05:00:00
41,21.68,21.93,21.59,21.8701,74655,2007-04-16 05:00:00
42,21.93,21.93,21.6601,21.71,10853,2007-04-17 05:00:00
43,21.76,21.97,21.7199,21.85,8960,2007-04-18 05:00:00
44,22.74,22.74,21.63,21.681,15903,2007-04-19 05:00:00
45,21.95,21.95,21.75,21.79,7544,2007-04-20 05:00:00
46,21.89,22.12,21.87,22.1,9500,2007-04-23 05:00:00
47,22.27,22.34,22.08,22.27,37580,2007-04-24 05:00:00
48,22.53,22.59,22.3899,22.56,18989,2007-04-25 05:00:00
49,22.75,22.75,22.45,22.54,15268,2007-04-26 05:00:00
50,23.43,23.43,22.11,22.19,15689,2007-04-27 05:00:00
51,22.25,22.95,21.67,21.74,32277,2007-04-30 05:00:00
52,21.79,22.5,21.09,21.2842,31803,2007-05-01 05:00:00
53,21.46,21.85,21.34,21.81,16593,2007-05-02 05:00:00
54,21.88,22.03,21.8,21.99,6750,2007-05-03 05:00:00
55,22.46,22.5,22.31,22.44,15200,2007-05-04 05:00:00
56,24.98,24.98,22.31,22.31,48474,2007-05-07 05:00:00
