,open,high,low,close,volume,datetime
0,26.79,26.91,26.6934,26.81,889641,2020-10-13 05:00:00
1,27.075,27.13,26.6,26.68,1543125,2020-10-14 05:00:00
2,26.37,26.65,26.2101,26.6,520797,2020-10-15 05:00:00
3,26.7,26.8,26.55,26.58,462237,2020-10-16 05:00:00
4,26.69,26.85,26.26,26.47,560516,2020-10-19 05:00:00
5,26.54,26.59,26.25,26.25,485989,2020-10-20 05:00:00
6,26.35,26.455,26.0742,26.12,259105,2020-10-21 05:00:00
7,26.2,26.31,25.9,26.21,201625,2020-10-22 05:00:00
8,26.41,26.48,26.23,26.45,224145,2020-10-23 05:00:00
9,26.34,26.4,25.7,25.98,593382,2020-10-26 05:00:00
10,26.14,26.209,25.93,25.98,479891,2020-10-27 05:00:00
11,25.59,25.5946,25.1678,25.21,633917,2020-10-28 05:00:00
12,25.17,25.53,25.0499,25.39,417344,2020-10-29 05:00:00
13,25.33,25.33,24.669,24.94,381179,2020-10-30 05:00:00
14,25.32,25.32,24.77,25.07,323173,2020-11-02 06:00:00
15,25.37,25.64,25.3,25.56,287684,2020-11-03 06:00:00
16,25.97,26.619,25.92,26.4,545832,2020-11-04 06:00:00
17,26.81,27.15,26.69,27.07,636730,2020-11-05 06:00:00
18,27.23,27.38,27.0,27.33,538221,2020-11-06 06:00:00
19,28.15,28.39,27.15,27.23,782352,2020-11-09 06:00:00
20,27.26,27.26,26.44,26.93,426091,2020-11-10 06:00:00
21,27.1,27.39,27.1,27.33,310476,2020-11-11 06:00:00
22,27.36,27.42,26.93,27.07,402321,2020-11-12 06:00:00
23,27.3,27.55,27.2553,27.46,362685,2020-11-13 06:00:00
24,27.7,27.78,27.5151,27.78,527713,2020-11-16 06:00:00
25,27.72,27.95,27.5101,27.89,467621,2020-11-17 06:00:00
26,27.98,27.98,27.6,27.61,417113,2020-11-18 06:00:00
27,27.71,28.11,27.54,28.06,522443,2020-11-19 06:00:00
28,28.14,28.3399,28.045,28.17,574549,2020-11-20 06:00:00
