,open,high,low,close,volume,datetime
0,19.0,19.0,11.6,12.0,752,2019-05-13 05:00:00
1,14.0,16.8,13.8,15.0,547,2019-05-14 05:00:00
2,16.8,16.8,12.0,14.0,1390,2019-05-15 05:00:00
3,20.0,20.0,14.0,17.0,1917,2019-05-16 05:00:00
4,16.92,16.92,13.2,16.0,2563,2019-05-17 05:00:00
5,13.6,18.0,12.8,18.0,2421,2019-05-20 05:00:00
6,19.95,24.0,15.2,17.48,3528,2019-05-21 05:00:00
7,17.48,17.79,13.4,14.2,2531,2019-05-22 05:00:00
8,15.98,23.0,15.98,20.0,1698,2019-05-23 05:00:00
9,23.39,24.0,20.0,22.8,2149,2019-05-24 05:00:00
10,24.0,26.8,22.0,24.0,4078,2019-05-28 05:00:00
11,24.0,25.0,20.0,20.04,980,2019-05-29 05:00:00
12,21.01,22.0,18.0,19.0,1155,2019-05-30 05:00:00
13,19.0,20.0,14.6,16.0,1878,2019-05-31 05:00:00
14,14.6,15.38,12.0,12.0,2681,2019-06-03 05:00:00
15,10.8,10.8,8.6,10.0,2123,2019-06-04 05:00:00
16,11.0,11.8,5.98,11.8,2244,2019-06-05 05:00:00
17,10.0,10.0,8.1,9.0,1536,2019-06-06 05:00:00
18,10.6,10.6,9.0,9.8,500,2019-06-07 05:00:00
19,9.2,9.6,9.2,9.58,477,2019-06-10 05:00:00
20,8.0,10.68,8.0,8.0,1570,2019-06-11 05:00:00
21,8.29,10.18,8.29,10.18,50,2019-06-12 05:00:00
22,6.4,8.36,6.4,8.36,571,2019-06-13 05:00:00
23,9.98,9.98,9.98,9.98,50,2019-06-14 05:00:00
24,9.78,9.78,7.0,7.0,162,2019-06-17 05:00:00
25,9.98,9.98,9.952,9.952,12,2019-06-18 05:00:00
26,7.028,8.49,7.0,8.0,235,2019-06-19 05:00:00
27,7.0,12.4,7.0,12.4,256,2019-06-20 05:00:00
28,12.4,12.4,8.2,10.0,552,2019-06-21 05:00:00
29,8.4,11.6,8.4,11.6,130,2019-06-24 05:00:00
30,13.8,13.8,11.1,13.8,57,2019-06-25 05:00:00
31,9.8,12.0,6.8,12.0,19,2019-06-26 05:00:00
32,12.0,12.0,11.6,11.6,28,2019-06-27 05:00:00
33,10.8,10.8,6.4,9.2,1489,2019-06-28 05:00:00
34,8.41,10.0,8.41,10.0,31,2019-07-01 05:00:00
35,6.6,13.4,6.6,13.4,64,2019-07-03 05:00:00
36,10.0,13.2,7.02,13.2,49,2019-07-05 05:00:00
37,9.6,9.8,9.6,9.8,62,2019-07-10 05:00:00
38,9.8,9.8,9.8,9.8,27,2019-07-11 05:00:00
39,10.0,13.2,10.0,13.0,1825,2019-07-12 05:00:00
40,13.05,13.8,11.6,13.0,583,2019-07-15 05:00:00
41,12.6,12.6,10.0,11.0,1104,2019-07-16 05:00:00
42,10.02,10.98,10.0,10.98,658,2019-07-17 05:00:00
43,10.98,10.98,8.02,10.0,362,2019-07-18 05:00:00
44,9.99,12.78,9.6,9.98,1701,2019-07-19 05:00:00
45,11.0,11.0,8.0,8.0,4094,2019-07-22 05:00:00
46,8.0,9.78,8.0,9.27,2524,2019-07-23 05:00:00
47,8.2,8.2,6.7,6.7,484,2019-07-24 05:00:00
48,6.9,8.8,6.9,8.6,32,2019-07-25 05:00:00
49,9.3,9.78,8.09,9.78,226,2019-07-26 05:00:00
50,10.0,10.0,7.0,8.0,560,2019-07-29 05:00:00
51,7.96,7.96,5.6,5.6,421,2019-07-30 05:00:00
52,7.39,7.88,6.95,7.88,194,2019-07-31 05:00:00
53,7.0,11.96,7.0,11.0,1008,2019-08-02 05:00:00
54,11.4,11.8,9.0,11.8,478,2019-08-05 05:00:00
55,11.5,11.5,9.8,10.0,267,2019-08-06 05:00:00
56,9.6,9.6,8.0,9.168,5019,2019-08-07 05:00:00
57,7.52,7.52,7.52,7.52,3,2019-08-09 05:00:00
58,8.0,8.0,6.6,6.6,398,2019-08-12 05:00:00
