,open,high,low,close,volume,datetime
0,10.27,10.53,10.27,10.42,326998,2009-11-03 06:00:00
1,10.53,10.53,10.34,10.43,35562,2009-11-04 06:00:00
2,10.43,10.53,10.36,10.43,41903,2009-11-05 06:00:00
3,10.43,10.45,10.29,10.45,32886,2009-11-06 06:00:00
4,10.43,10.43,10.32,10.41,79124,2009-11-09 06:00:00
5,10.41,10.41,10.25,10.3,113969,2009-11-10 06:00:00
6,10.38,10.41,10.26,10.38,57589,2009-11-11 06:00:00
7,10.38,10.38,10.28,10.32,81010,2009-11-12 06:00:00
8,10.38,10.38,10.28,10.33,23699,2009-11-13 06:00:00
9,10.43,10.43,10.33,10.38,86328,2009-11-16 06:00:00
10,10.4,10.42,10.33,10.36,39137,2009-11-17 06:00:00
11,10.33,10.4,10.28,10.32,732384,2009-11-18 06:00:00
12,10.35,10.35,10.2501,10.28,85357,2009-11-19 06:00:00
13,10.31,10.32,10.22,10.25,157604,2009-11-20 06:00:00
14,10.3,10.35,10.27,10.28,17897,2009-11-23 06:00:00
15,10.37,10.37,10.23,10.32,40685,2009-11-24 06:00:00
16,10.38,10.38,10.26,10.35,71470,2009-11-25 06:00:00
17,10.23,10.33,10.22,10.33,57585,2009-11-27 06:00:00
18,10.33,10.37,10.23,10.32,65909,2009-11-30 06:00:00
19,10.33,10.33,10.24,10.29,57467,2009-12-01 06:00:00
20,10.33,10.34,10.22,10.3,93544,2009-12-02 06:00:00
21,10.28,10.33,10.28,10.28,30291,2009-12-03 06:00:00
22,10.18,10.32,10.18,10.32,63826,2009-12-04 06:00:00
23,10.41,10.41,10.28,10.33,161738,2009-12-07 06:00:00
24,10.32,10.33,10.3,10.33,52386,2009-12-08 06:00:00
25,10.33,10.33,10.18,10.2,345025,2009-12-09 06:00:00
26,10.26,10.28,10.07,10.14,1040759,2009-12-10 06:00:00
27,10.17,10.25,10.13,10.2,484312,2009-12-11 06:00:00
28,10.24,10.28,10.17,10.28,275648,2009-12-14 06:00:00
29,10.23,10.28,10.11,10.24,727559,2009-12-15 06:00:00
30,10.26,10.26,10.05,10.15,1082343,2009-12-16 06:00:00
31,10.22,10.22,10.04,10.04,593538,2009-12-17 06:00:00
32,10.22,10.22,9.94,10.12,392015,2009-12-18 06:00:00
33,10.23,10.23,10.14,10.14,23830,2009-12-21 06:00:00
34,10.03,10.18,10.03,10.16,53246,2009-12-22 06:00:00
35,10.2199,10.27,10.015,10.225,35057,2009-12-23 06:00:00
36,10.23,10.23,10.13,10.15,52833,2009-12-24 06:00:00
37,10.22,10.24,10.13,10.23,80950,2009-12-28 06:00:00
38,10.21,10.22,10.11,10.15,72807,2009-12-29 06:00:00
39,10.25,10.25,10.09,10.11,40875,2009-12-30 06:00:00
40,10.23,10.23,9.94,10.02,189507,2009-12-31 06:00:00
41,10.08,10.185,10.04,10.11,323202,2010-01-04 06:00:00
42,10.21,10.31,10.09,10.17,736436,2010-01-05 06:00:00
43,10.23,10.23,10.12,10.18,138217,2010-01-06 06:00:00
44,10.1,10.27,10.1,10.21,255277,2010-01-07 06:00:00
45,10.17,10.27,10.17,10.22,141265,2010-01-08 06:00:00
46,10.22,10.27,10.17,10.19,156860,2010-01-11 06:00:00
47,10.23,10.32,10.19,10.23,486033,2010-01-12 06:00:00
48,10.21,10.31,10.21,10.23,131700,2010-01-13 06:00:00
49,10.28,10.28,10.21,10.22,202015,2010-01-14 06:00:00
50,10.21,10.28,10.21,10.28,71936,2010-01-15 06:00:00
51,10.26,10.36,10.23,10.36,134763,2010-01-19 06:00:00
52,10.3,10.42,10.3,10.42,6553,2010-01-20 06:00:00
53,10.43,10.43,10.24,10.34,66661,2010-01-21 06:00:00
54,10.39,10.39,10.25,10.27,19096,2010-01-22 06:00:00
55,10.18,10.3731,10.18,10.27,211206,2010-01-25 06:00:00
56,10.36,10.36,10.24,10.28,48486,2010-01-26 06:00:00
57,10.28,10.3799,10.23,10.28,17471,2010-01-27 06:00:00
