,open,high,low,close,volume,datetime
0,0.6,0.75,0.5,0.5,14500,2009-05-15 05:00:00
1,0.5,0.5,0.5,0.5,1500,2009-05-18 05:00:00
2,0.4,0.4,0.4,0.4,10000,2009-05-19 05:00:00
3,0.4,0.4,0.4,0.4,20000,2009-05-20 05:00:00
4,1.5,1.5,1.5,1.5,600,2009-05-21 05:00:00
5,0.4,0.5,0.4,0.5,20000,2009-05-22 05:00:00
6,0.4,0.41,0.4,0.4,266500,2009-05-26 05:00:00
7,0.4,0.4,0.4,0.4,43470,2009-05-27 05:00:00
8,0.4,0.405,0.4,0.4,116530,2009-05-28 05:00:00
9,1.0,1.0,0.75,0.75,8250,2009-06-08 05:00:00
10,0.75,0.75,0.75,0.75,2500,2009-06-25 05:00:00
11,0.75,0.75,0.75,0.75,7500,2009-06-29 05:00:00
12,0.85,0.85,0.85,0.85,1000,2009-06-30 05:00:00
13,0.85,0.85,0.85,0.85,100000,2009-07-14 05:00:00
14,0.85,0.87,0.85,0.87,10000,2009-07-15 05:00:00
15,0.99,0.99,0.99,0.99,100,2009-07-20 05:00:00
16,1.0,1.0,1.0,1.0,2000,2009-07-21 05:00:00
17,1.0,1.0,1.0,1.0,7500,2009-07-22 05:00:00
18,1.0,1.0,1.0,1.0,10000,2009-07-23 05:00:00
19,1.0,1.2,1.0,1.2,4400,2009-07-24 05:00:00
20,1.35,1.35,1.2,1.25,28153,2009-07-27 05:00:00
21,1.25,1.25,1.15,1.15,36383,2009-07-28 05:00:00
22,1.15,1.2,1.15,1.15,45530,2009-07-29 05:00:00
23,1.12,1.15,1.1,1.15,14261,2009-07-30 05:00:00
24,1.1,1.15,1.1,1.1,15000,2009-07-31 05:00:00
25,1.14,1.14,1.1,1.1,700,2009-08-03 05:00:00
26,1.1,1.1,1.1,1.1,3430,2009-08-04 05:00:00
27,1.1,1.1,0.95,0.95,13872,2009-08-05 05:00:00
28,0.9,0.99,0.9,0.98,15750,2009-08-06 05:00:00
29,1.0,1.0,1.0,1.0,500,2009-08-10 05:00:00
30,0.95,0.95,0.85,0.9,6000,2009-08-11 05:00:00
31,0.85,0.9,0.8,0.9,14722,2009-08-12 05:00:00
32,0.7,0.85,0.7,0.85,4200,2009-08-13 05:00:00
33,0.75,0.75,0.75,0.75,4500,2009-08-17 05:00:00
34,0.6,0.6,0.6,0.6,14839,2009-08-21 05:00:00
35,0.65,0.749,0.65,0.7,6700,2009-08-24 05:00:00
36,0.6,0.6,0.6,0.6,9500,2009-08-25 05:00:00
37,0.7,0.7,0.6,0.6,11200,2009-08-28 05:00:00
38,0.67,0.67,0.67,0.67,1500,2009-08-31 05:00:00
39,0.65,0.65,0.65,0.65,5500,2009-09-02 05:00:00
40,0.65,0.85,0.65,0.85,4110,2009-09-04 05:00:00
41,0.85,0.85,0.65,0.65,11101,2009-09-09 05:00:00
42,0.65,0.65,0.65,0.65,2500,2009-09-10 05:00:00
43,0.65,0.65,0.65,0.65,6000,2009-09-11 05:00:00
44,0.65,0.66,0.65,0.66,15000,2009-09-14 05:00:00
45,0.65,0.65,0.6,0.6,17500,2009-09-16 05:00:00
46,0.6,0.6,0.55,0.6,22900,2009-09-17 05:00:00
47,0.51,0.52,0.51,0.52,32000,2009-09-18 05:00:00
48,0.51,0.51,0.51,0.51,2500,2009-09-23 05:00:00
49,0.51,0.51,0.51,0.51,500,2009-09-24 05:00:00
50,0.625,0.625,0.625,0.625,44000,2009-09-25 05:00:00
51,0.51,0.51,0.51,0.51,5000,2009-09-29 05:00:00
52,0.51,0.51,0.51,0.51,5000,2009-09-30 05:00:00
53,0.52,0.52,0.52,0.52,5000,2009-10-01 05:00:00
54,0.51,0.51,0.51,0.51,2500,2009-10-05 05:00:00
55,0.48,0.48,0.46,0.46,9650,2009-10-07 05:00:00
56,0.49,0.49,0.49,0.49,5000,2009-10-09 05:00:00
57,0.51,0.51,0.51,0.51,2500,2009-10-13 05:00:00
58,0.65,0.65,0.65,0.65,630,2009-10-14 05:00:00
59,0.5,0.5,0.5,0.5,2000,2009-10-16 05:00:00
60,0.46,0.46,0.46,0.46,5000,2009-10-19 05:00:00
61,0.4,0.5,0.4,0.5,25500,2009-10-21 05:00:00
62,0.5,0.5,0.5,0.5,1002,2009-10-23 05:00:00
63,0.45,0.45,0.45,0.45,2500,2009-10-30 05:00:00
64,0.62,0.62,0.62,0.62,1002,2009-11-05 06:00:00
65,0.47,0.47,0.45,0.45,5000,2009-11-09 06:00:00
66,0.4,0.4,0.4,0.4,11500,2009-11-10 06:00:00
