,open,high,low,close,volume,datetime
0,9.9,9.95,9.88,9.95,9841996,2021-08-06 05:00:00
1,9.9,9.93,9.87,9.93,1257724,2021-08-09 05:00:00
2,9.94,9.94,9.89,9.89,1310230,2021-08-10 05:00:00
3,9.9455,9.9455,9.9,9.9,4020,2021-08-11 05:00:00
4,9.94,9.94,9.92,9.94,14571,2021-08-12 05:00:00
5,9.936,9.94,9.92,9.93,15090,2021-08-13 05:00:00
6,9.92,9.938,9.83,9.9,31384,2021-08-16 05:00:00
7,9.88,9.9,9.88,9.89,907093,2021-08-17 05:00:00
8,9.92,9.95,9.92,9.95,12283,2021-08-18 05:00:00
9,9.9,9.9,9.9,9.9,200,2021-08-19 05:00:00
10,9.9261,9.9261,9.9261,9.9261,1001,2021-08-23 05:00:00
11,9.85,9.92,9.8,9.82,15258,2021-08-24 05:00:00
12,9.9,9.9,9.86,9.86,4768,2021-08-25 05:00:00
13,9.86,9.86,9.86,9.86,316,2021-08-26 05:00:00
14,9.86,9.93,9.86,9.93,101368,2021-08-27 05:00:00
15,9.88,9.88,9.86,9.86,3404,2021-08-30 05:00:00
16,9.9,9.93,9.86,9.93,24751,2021-08-31 05:00:00
17,9.86,9.86,9.86,9.86,10318,2021-09-01 05:00:00
18,9.86,9.94,9.86,9.94,17496,2021-09-02 05:00:00
19,9.87,9.94,9.86,9.94,6024,2021-09-03 05:00:00
20,9.86,9.91,9.86,9.86,457912,2021-09-07 05:00:00
21,9.86,9.9,9.86,9.86,31682,2021-09-08 05:00:00
22,9.87,9.885,9.86,9.88,8686,2021-09-09 05:00:00
23,9.885,9.885,9.875,9.875,200,2021-09-10 05:00:00
24,9.89,9.89,9.89,9.89,154,2021-09-13 05:00:00
25,9.86,9.89,9.86,9.86,6201,2021-09-14 05:00:00
26,9.87,9.9,9.86,9.86,10951,2021-09-15 05:00:00
27,9.86,9.9,9.86,9.86,9409,2021-09-16 05:00:00
28,9.89,9.89,9.86,9.86,27319,2021-09-17 05:00:00
29,9.88,9.9,9.88,9.89,55459,2021-09-20 05:00:00
30,9.88,9.88,9.86,9.88,20512,2021-09-21 05:00:00
31,9.88,9.89,9.88,9.89,7900,2021-09-22 05:00:00
32,9.8874,11.01,9.85,10.61,563148,2021-09-23 05:00:00
33,9.92,9.92,9.9,9.92,37629,2021-09-24 05:00:00
34,9.92,9.93,9.92,9.93,6598,2021-09-28 05:00:00
35,9.9,9.92,9.8523,9.9165,47689,2021-09-29 05:00:00
36,9.93,9.93,9.9,9.92,36573,2021-09-30 05:00:00
37,9.895,9.92,9.87,9.91,22631,2021-10-01 05:00:00
38,9.9,9.9,9.884,9.9,6888,2021-10-04 05:00:00
39,9.905,9.92,9.82,9.88,59004,2021-10-07 05:00:00
40,9.89,9.9,9.82,9.9,36158,2021-10-08 05:00:00
41,9.9,9.9,9.9,9.9,2522,2021-10-13 05:00:00
42,9.91,9.91,9.89,9.89,1391,2021-10-14 05:00:00
43,9.888,9.9097,9.87,9.8989,900,2021-10-15 05:00:00
44,9.85,9.88,9.85,9.88,1893,2021-10-18 05:00:00
45,9.91,9.94,9.91,9.911,20625,2021-10-19 05:00:00
46,9.91,9.91,9.91,9.91,509,2021-10-20 05:00:00
47,9.93,9.94,9.92,9.92,43200,2021-10-21 05:00:00
48,9.94,10.0,9.93,9.96,150560,2021-10-25 05:00:00
49,9.95,9.98,9.94,9.94,102237,2021-10-26 05:00:00
50,9.96,9.98,9.96,9.96,106200,2021-10-27 05:00:00
51,9.98,9.98,9.95,9.95,16400,2021-10-28 05:00:00
52,9.99,9.99,9.95,9.95,193658,2021-10-29 05:00:00
53,9.93,9.9865,9.93,9.975,611829,2021-11-02 05:00:00
54,9.9223,9.99,9.9223,9.98,28173,2021-11-03 05:00:00
55,9.97,9.97,9.97,9.97,1300,2021-11-05 05:00:00
56,9.98,9.99,9.95,9.98,62202,2021-11-08 06:00:00
57,9.97,9.97,9.96,9.96,25000,2021-11-09 06:00:00
58,9.97,9.98,9.97,9.98,22944,2021-11-11 06:00:00
59,9.8605,9.8605,9.8605,9.8605,1159,2021-11-12 06:00:00
60,9.98,9.99,9.98,9.98,13901,2021-11-15 06:00:00
61,9.98,10.0,9.93,10.0,28700,2021-11-17 06:00:00
62,9.99,10.0,9.99,10.0,23808,2021-11-18 06:00:00
63,9.94,10.05,9.94,10.0225,18302,2021-11-19 06:00:00
64,9.94,9.94,9.94,9.94,2300,2021-11-22 06:00:00
65,9.97,9.97,9.94,9.97,3800,2021-11-26 06:00:00
66,10.0,10.0,10.0,10.0,1000,2021-11-29 06:00:00
67,10.0,10.0,10.0,10.0,2000,2021-11-30 06:00:00
68,10.0,10.0,9.81,10.0,5567,2021-12-01 06:00:00
69,9.96,10.01,9.96,10.0,1800,2021-12-02 06:00:00
70,10.0,10.03,9.93,10.03,3199,2021-12-03 06:00:00
