,open,high,low,close,volume,datetime
0,7.125,7.19,7.105,7.19,15600,2002-06-10 05:00:00
1,7.195,7.195,7.19,7.19,800,2002-06-11 05:00:00
2,7.195,7.195,7.15,7.15,13800,2002-06-12 05:00:00
3,7.195,7.435,7.195,7.225,5400,2002-06-13 05:00:00
4,7.105,7.15,7.0,7.15,3600,2002-06-14 05:00:00
5,7.2,7.35,7.175,7.2,6000,2002-06-17 05:00:00
6,7.125,7.25,7.125,7.245,25600,2002-06-18 05:00:00
7,7.125,7.125,6.955,6.955,6400,2002-06-19 05:00:00
8,6.96,7.305,6.93,7.305,8200,2002-06-20 05:00:00
9,6.985,7.25,6.985,7.225,16400,2002-06-21 05:00:00
10,7.225,7.43,7.15,7.375,8200,2002-06-24 05:00:00
11,7.09,7.15,6.935,7.005,4600,2002-06-26 05:00:00
12,7.375,7.475,7.25,7.275,15000,2002-06-27 05:00:00
13,7.275,7.275,7.0,7.0,11400,2002-06-28 05:00:00
14,7.005,7.14,7.0,7.0,10800,2002-07-01 05:00:00
15,7.025,7.025,7.0,7.025,7400,2002-07-02 05:00:00
16,7.05,7.15,7.05,7.15,3600,2002-07-03 05:00:00
17,7.12,7.12,7.12,7.12,200,2002-07-05 05:00:00
18,7.13,7.27,7.125,7.27,3600,2002-07-09 05:00:00
19,7.275,7.275,7.125,7.125,3200,2002-07-10 05:00:00
20,7.07,7.4,7.07,7.125,3200,2002-07-11 05:00:00
21,7.475,7.475,7.325,7.325,4400,2002-07-12 05:00:00
22,7.07,7.395,7.025,7.395,12000,2002-07-15 05:00:00
23,7.395,7.425,7.025,7.125,9200,2002-07-16 05:00:00
24,7.25,7.55,7.125,7.485,23200,2002-07-17 05:00:00
25,7.45,7.55,7.305,7.375,14800,2002-07-18 05:00:00
26,7.305,7.55,7.25,7.375,47800,2002-07-19 05:00:00
27,7.405,7.405,7.405,7.405,200,2002-07-22 05:00:00
28,7.4,7.4,7.3,7.375,52000,2002-07-23 05:00:00
29,7.305,7.305,7.125,7.25,10200,2002-07-24 05:00:00
30,7.25,7.25,7.005,7.005,5200,2002-07-25 05:00:00
31,7.01,7.13,6.91,7.0,13200,2002-07-26 05:00:00
32,7.15,7.815,7.15,7.6,12600,2002-07-29 05:00:00
33,7.49,7.5,7.36,7.36,74200,2002-07-30 05:00:00
34,7.35,7.625,7.35,7.5,58800,2002-07-31 05:00:00
35,7.5,7.6,7.5,7.6,9600,2002-08-01 05:00:00
36,7.45,7.45,7.3,7.42,31400,2002-08-02 05:00:00
37,7.35,7.35,7.35,7.35,10400,2002-08-05 05:00:00
38,7.42,7.455,7.35,7.35,7800,2002-08-06 05:00:00
39,7.38,7.38,7.38,7.38,1800,2002-08-07 05:00:00
40,7.375,7.5,7.375,7.455,24000,2002-08-08 05:00:00
41,7.495,7.495,7.45,7.45,3400,2002-08-09 05:00:00
42,7.495,7.5,7.495,7.5,9400,2002-08-12 05:00:00
43,7.405,7.5,7.325,7.5,26800,2002-08-13 05:00:00
44,7.52,7.52,7.445,7.455,30000,2002-08-14 05:00:00
45,7.5,7.5,7.5,7.5,5400,2002-08-15 05:00:00
46,7.455,7.455,7.425,7.425,7400,2002-08-16 05:00:00
47,7.37,7.485,7.365,7.405,2600,2002-08-19 05:00:00
48,7.485,7.5,7.41,7.5,8600,2002-08-20 05:00:00
49,7.5,7.56,7.47,7.55,26200,2002-08-21 05:00:00
50,7.565,7.575,7.55,7.575,3800,2002-08-22 05:00:00
51,7.55,7.57,7.465,7.57,1200,2002-08-23 05:00:00
52,7.565,7.565,7.505,7.555,3200,2002-08-26 05:00:00
53,7.505,7.595,7.505,7.59,69600,2002-08-27 05:00:00
