,open,high,low,close,volume,datetime
0,12.35,12.6,12.0,12.16,5193048,2017-11-17 06:00:00
1,12.28,12.56,12.27,12.56,423525,2017-11-20 06:00:00
2,12.54,12.83,12.5,12.61,405753,2017-11-21 06:00:00
3,12.58,12.94,12.47,12.8,158636,2017-11-22 06:00:00
4,12.88,12.93,12.6,12.82,43599,2017-11-24 06:00:00
5,12.8,12.86,12.67,12.86,37317,2017-11-27 06:00:00
6,12.75,12.86,12.51,12.7,75221,2017-11-28 06:00:00
7,12.79,12.79,12.55,12.67,255680,2017-11-29 06:00:00
8,12.59,12.83,12.37,12.4,154676,2017-11-30 06:00:00
9,12.4,12.75,12.4,12.75,153061,2017-12-01 06:00:00
10,12.7,13.005,12.4603,12.72,189972,2017-12-04 06:00:00
11,12.6,12.85,12.37,12.46,179360,2017-12-05 06:00:00
12,12.46,12.8,12.36,12.78,94514,2017-12-06 06:00:00
13,12.78,13.02,12.705,13.0,216334,2017-12-07 06:00:00
14,12.98,13.49,12.95,13.32,120008,2017-12-08 06:00:00
15,13.4,13.79,13.1,13.45,210560,2017-12-11 06:00:00
16,13.38,13.61,13.24,13.43,137279,2017-12-12 06:00:00
17,13.27,13.34,13.14,13.24,23454,2017-12-13 06:00:00
18,13.21,13.21,12.37,13.01,76636,2017-12-14 06:00:00
19,13.01,13.02,12.51,12.9,43583,2017-12-15 06:00:00
20,12.8,12.97,12.14,12.68,113798,2017-12-18 06:00:00
21,12.65,12.73,12.41,12.58,67669,2017-12-19 06:00:00
22,12.53,12.75,12.451,12.61,84162,2017-12-20 06:00:00
23,12.86,12.86,12.485,12.67,183047,2017-12-21 06:00:00
24,12.65,12.74,12.275,12.62,79775,2017-12-22 06:00:00
25,12.5,12.92,12.27,12.88,101308,2017-12-26 06:00:00
26,12.72,13.0,12.661,12.72,39453,2017-12-27 06:00:00
27,12.51,12.83,12.5,12.57,76704,2017-12-28 06:00:00
28,12.82,13.0,12.56,12.7,43256,2017-12-29 06:00:00
29,12.94,13.0,12.52,12.86,100095,2018-01-02 06:00:00
30,12.9,12.96,12.52,12.89,192076,2018-01-03 06:00:00
31,12.92,13.11,12.81,13.01,121305,2018-01-04 06:00:00
32,13.0,13.235,13.0,13.16,93204,2018-01-05 06:00:00
33,13.24,13.4,13.14,13.34,122237,2018-01-08 06:00:00
34,13.32,14.01,13.27,13.93,110059,2018-01-09 06:00:00
35,13.93,14.0,13.73,13.76,78614,2018-01-10 06:00:00
36,13.8,13.88,13.55,13.83,114890,2018-01-11 06:00:00
37,13.9,13.9,13.44,13.61,79591,2018-01-12 06:00:00
38,13.62,13.72,13.31,13.48,116340,2018-01-16 06:00:00
39,13.56,13.85,13.45,13.57,129888,2018-01-17 06:00:00
40,13.51,13.709,13.1,13.21,42081,2018-01-18 06:00:00
