,open,high,low,close,volume,datetime
0,97.5,98.4,86.3,90.0,85638,2014-05-02 05:00:00
1,90.0,92.1,85.0,88.1,5852,2014-05-05 05:00:00
2,88.1,88.1,83.5,84.0,1256,2014-05-06 05:00:00
3,90.0,90.0,82.7,86.7,1725,2014-05-07 05:00:00
4,85.5,88.4,80.7,85.9,7193,2014-05-08 05:00:00
5,89.2,93.0,87.0,93.0,6034,2014-05-09 05:00:00
6,94.0,94.99,90.5,92.9,3322,2014-05-12 05:00:00
7,90.2,95.0,88.4,92.0,1786,2014-05-13 05:00:00
8,90.5,92.05,88.0,90.1,1491,2014-05-14 05:00:00
9,89.8,91.0,88.6,90.4,1826,2014-05-15 05:00:00
10,90.3,90.3,89.7,90.0,1190,2014-05-16 05:00:00
11,92.0,92.0,87.5,89.9,1402,2014-05-19 05:00:00
12,89.1,95.1,89.1,94.7,2893,2014-05-20 05:00:00
13,91.2,94.9,87.7,90.3,3035,2014-05-21 05:00:00
14,90.299,92.8,89.0,89.0,2490,2014-05-22 05:00:00
15,89.5,94.6,89.5,90.1,1122,2014-05-23 05:00:00
16,90.0,92.1,87.6,88.5,1511,2014-05-27 05:00:00
17,88.3,90.15,82.0,82.0,1192,2014-05-28 05:00:00
18,87.0,89.8,79.2,80.4,6624,2014-05-29 05:00:00
19,84.0,85.0,82.5,84.0,6999,2014-05-30 05:00:00
20,83.5,86.9,83.5,85.0,1517,2014-06-02 05:00:00
21,84.5,89.0,83.4,84.8,1551,2014-06-03 05:00:00
22,84.1,88.7,84.1,84.5,688,2014-06-04 05:00:00
23,85.0,86.85,84.0,84.1,764,2014-06-05 05:00:00
24,84.2,85.8,83.0,83.5,515,2014-06-06 05:00:00
25,84.0,84.65,83.0,83.5,1047,2014-06-09 05:00:00
26,84.001,88.699,83.5,87.8,6668,2014-06-10 05:00:00
27,87.0,87.3,82.9,87.3,1813,2014-06-11 05:00:00
28,87.5,92.6,86.9,91.0,2541,2014-06-12 05:00:00
29,89.7,92.0,87.8,91.0,947,2014-06-13 05:00:00
30,91.4,97.4,90.1,97.4,4067,2014-06-16 05:00:00
31,97.2,96.4,91.4,94.7,5552,2014-06-17 05:00:00
32,95.6,97.0,92.1,96.4,2306,2014-06-18 05:00:00
33,97.0,98.9,95.3,98.3,4125,2014-06-19 05:00:00
34,98.3,98.9,78.1,78.1,16814,2014-06-20 05:00:00
35,85.0,85.8,82.0,85.1,5360,2014-06-23 05:00:00
36,84.0,84.0,77.999,83.5,2811,2014-06-24 05:00:00
37,82.2,83.5,81.0,81.0,377,2014-06-25 05:00:00
38,82.376,82.376,80.003,80.8,777,2014-06-26 05:00:00
39,81.1,81.1,77.8,77.8,925,2014-06-27 05:00:00
40,79.4,82.1,79.5,80.2,921,2014-06-30 05:00:00
41,80.3,80.7,78.0,80.3,2564,2014-07-01 05:00:00
42,80.4,83.4,80.2,82.8,876,2014-07-02 05:00:00
43,82.9,83.1,80.5,82.5,945,2014-07-03 05:00:00
