,open,high,low,close,volume,datetime
0,10.0,10.0,10.0,10.0,100,2008-09-25 05:00:00
1,10.0,10.0,10.0,10.0,19000,2008-09-26 05:00:00
2,10.01,10.01,10.0,10.0,68000,2008-09-29 05:00:00
3,10.0,10.0,10.0,10.0,19400,2008-09-30 05:00:00
4,10.0,10.01,8.71,10.01,43800,2008-10-01 05:00:00
5,9.9,10.12,9.9,10.12,20860,2008-10-02 05:00:00
6,9.92,10.1,9.65,9.92,18400,2008-10-03 05:00:00
7,9.93,9.93,9.93,9.93,9200,2008-10-06 05:00:00
8,9.9,9.9,9.9,9.9,4700,2008-10-07 05:00:00
9,9.48,9.8,9.06,9.8,1800,2008-10-08 05:00:00
10,9.54,9.54,9.1,9.41,4000,2008-10-09 05:00:00
11,8.72,9.35,8.51,9.35,20300,2008-10-10 05:00:00
12,9.64,9.67,9.64,9.67,1800,2008-10-13 05:00:00
13,10.12,10.32,10.12,10.3,17000,2008-10-14 05:00:00
14,10.12,10.12,10.1,10.1,1000,2008-10-15 05:00:00
15,9.78,9.78,9.78,9.78,18000,2008-10-16 05:00:00
16,10.0,10.0,10.0,10.0,10000,2008-10-17 05:00:00
17,9.04,9.04,8.9,8.9,1500,2008-10-23 05:00:00
18,9.02,9.06,9.02,9.06,200,2008-10-28 05:00:00
19,9.1,9.5,9.1,9.5,1300,2008-10-30 05:00:00
20,9.66,9.66,9.4,9.4,400,2008-11-14 06:00:00
21,9.5,9.5,9.5,9.5,100,2008-11-17 06:00:00
22,9.5,9.5,9.14,9.5,8500,2008-11-18 06:00:00
23,9.5,9.5,9.5,9.5,100,2008-11-19 06:00:00
24,9.5,9.5,8.7,8.94,101700,2008-11-20 06:00:00
25,10.1,10.1,8.93,8.93,1000,2008-11-21 06:00:00
26,8.95,8.95,8.85,8.91,6700,2008-11-24 06:00:00
27,8.92,8.92,8.91,8.92,1100,2008-11-25 06:00:00
28,9.1,10.04,9.08,9.5,11000,2008-11-26 06:00:00
29,9.14,9.14,8.69,9.0,18900,2008-12-01 06:00:00
30,9.09,9.09,9.09,9.09,3000,2008-12-02 06:00:00
31,9.09,9.09,9.0,9.09,11500,2008-12-03 06:00:00
32,9.1,9.1,9.1,9.1,500,2008-12-04 06:00:00
33,9.11,9.11,9.11,9.11,13100,2008-12-10 06:00:00
34,9.03,9.13,8.79,9.13,13800,2008-12-11 06:00:00
35,9.14,9.14,9.14,9.14,2500,2008-12-12 06:00:00
36,9.14,9.14,9.14,9.14,200,2008-12-15 06:00:00
37,9.14,9.14,9.14,9.14,2500,2008-12-16 06:00:00
