,open,high,low,close,volume,datetime
0,14.33333,14.33333,13.01333,13.01333,1200,2002-06-10 05:00:00
1,14.6,14.6,13.66667,14.6,3600,2002-06-11 05:00:00
2,14.6,14.6,14.46667,14.46667,1650,2002-06-12 05:00:00
3,13.7,14.53333,13.7,14.53333,9600,2002-06-14 05:00:00
4,14.53333,14.53333,14.0,14.0,2850,2002-06-17 05:00:00
5,14.53333,14.53333,14.16667,14.46667,2250,2002-06-18 05:00:00
6,14.53333,14.53333,13.83333,13.83333,300,2002-06-19 05:00:00
7,14.53333,14.53333,13.83333,13.83333,1650,2002-06-21 05:00:00
8,14.53333,14.53333,14.53333,14.53333,150,2002-06-24 05:00:00
9,13.86667,14.53333,13.86667,13.86667,4650,2002-06-25 05:00:00
10,14.53333,14.53333,14.0,14.0,600,2002-06-27 05:00:00
11,14.2,14.2,14.2,14.2,600,2002-07-08 05:00:00
12,14.5,14.5,14.0,14.0,2550,2002-07-09 05:00:00
13,14.0,14.0,13.73333,13.73333,2250,2002-07-15 05:00:00
14,13.73333,13.73333,13.73333,13.73333,150,2002-07-16 05:00:00
15,14.26667,14.26667,14.26667,14.26667,300,2002-07-18 05:00:00
16,13.73333,13.73333,13.73333,13.73333,750,2002-07-22 05:00:00
17,13.76667,14.26667,13.76667,14.26667,750,2002-07-23 05:00:00
18,13.7,13.7,13.54,13.54,2100,2002-07-24 05:00:00
19,13.54,13.54,13.54,13.54,150,2002-07-25 05:00:00
20,13.46,13.5,13.46,13.5,5550,2002-07-26 05:00:00
21,13.5,13.5,13.33333,13.33333,1800,2002-07-29 05:00:00
22,13.56667,13.56667,13.56667,13.56667,5400,2002-07-31 05:00:00
23,13.36667,13.36667,13.03333,13.03333,3750,2002-08-05 05:00:00
24,13.6,13.6,13.5,13.5,1350,2002-08-06 05:00:00
25,13.03333,13.6,13.03333,13.56667,3900,2002-08-07 05:00:00
26,13.16667,13.16667,13.03333,13.03333,1500,2002-08-09 05:00:00
27,13.33333,13.33333,13.33333,13.33333,1500,2002-08-12 05:00:00
28,13.38,13.38,13.16667,13.16667,1500,2002-08-13 05:00:00
29,13.4,13.59333,13.33333,13.59333,6000,2002-08-14 05:00:00
30,13.33333,13.63333,13.33333,13.6,4200,2002-08-15 05:00:00
31,13.33333,13.5,13.33333,13.43333,1650,2002-08-16 05:00:00
32,13.6,13.6,13.5,13.5,3300,2002-08-19 05:00:00
33,13.5,13.5,13.5,13.5,450,2002-08-20 05:00:00
34,13.56667,13.56667,13.56667,13.56667,150,2002-08-21 05:00:00
35,13.44667,13.66667,13.44667,13.66667,5700,2002-08-22 05:00:00
36,13.66667,13.66667,13.5,13.5,2400,2002-08-23 05:00:00
37,13.83333,13.99333,13.83333,13.99333,450,2002-08-26 05:00:00
38,14.16667,14.33333,14.16667,14.33333,600,2002-08-27 05:00:00
39,14.24667,14.40667,14.0,14.40667,2400,2002-08-28 05:00:00
40,14.32667,14.40667,14.03333,14.03333,10800,2002-09-03 05:00:00
41,14.03333,14.03333,14.03333,14.03333,1500,2002-09-04 05:00:00
42,14.4,14.4,14.03333,14.03333,450,2002-09-06 05:00:00
43,14.04,14.4,14.04,14.4,3450,2002-09-09 05:00:00
44,14.03333,14.13333,14.03333,14.13333,900,2002-09-10 05:00:00
45,14.13333,14.4,14.13333,14.4,3600,2002-09-11 05:00:00
46,14.4,14.4,14.13333,14.26667,5550,2002-09-12 05:00:00
47,14.4,14.4,14.4,14.4,300,2002-09-13 05:00:00
48,14.14,14.63333,14.13333,14.63333,3300,2002-09-16 05:00:00
49,14.23333,14.23333,14.23333,14.23333,450,2002-09-17 05:00:00
50,14.63333,14.66667,14.63333,14.66667,600,2002-09-19 05:00:00
51,14.66,14.66,14.33333,14.33333,900,2002-09-23 05:00:00
52,14.33333,14.33333,14.33333,14.33333,300,2002-09-25 05:00:00
53,14.06667,14.13333,14.06667,14.1,1200,2002-09-26 05:00:00
54,14.52667,14.52667,14.19333,14.19333,600,2002-09-27 05:00:00
55,14.16667,14.16667,14.0,14.0,7650,2002-09-30 05:00:00
56,14.33333,14.66667,14.33333,14.33333,4650,2002-10-01 05:00:00
57,14.6,15.83333,14.6,15.16667,6600,2002-10-02 05:00:00
