,open,high,low,close,volume,datetime
0,76.77,313.92,66.24,259.9191,2719,2016-09-28 05:00:00
1,303.03,303.03,144.5409,147.456,2154,2016-09-29 05:00:00
2,137.3409,140.5251,90.0,100.71,12893,2016-09-30 05:00:00
3,99.0,99.0,81.0,82.17,3295,2016-10-03 05:00:00
4,82.17,82.17,63.18,63.72,12692,2016-10-04 05:00:00
5,63.0,67.4991,55.35,55.8,7217,2016-10-05 05:00:00
6,58.14,66.4839,53.91,59.58,10432,2016-10-06 05:00:00
7,62.19,67.41,56.25,57.15,9427,2016-10-07 05:00:00
8,54.27,57.87,47.628,51.75,5585,2016-10-10 05:00:00
9,51.84,54.9,48.51,48.6,6742,2016-10-11 05:00:00
10,46.89,53.4186,46.35,47.07,4216,2016-10-12 05:00:00
11,49.05,49.86,45.0,45.45,3183,2016-10-13 05:00:00
12,48.9816,48.9816,45.27,47.07,4490,2016-10-14 05:00:00
13,51.12,51.3,46.4922,48.51,4884,2016-10-17 05:00:00
14,51.3,51.75,45.99,49.41,4727,2016-10-18 05:00:00
15,47.16,50.4,47.16,50.4,3120,2016-10-19 05:00:00
16,50.1462,50.463,47.7,49.68,3434,2016-10-20 05:00:00
17,50.4,50.4,47.7,48.6,4030,2016-10-21 05:00:00
18,49.05,49.95,47.34,48.6,4556,2016-10-24 05:00:00
19,47.7,48.6,46.26,47.7,7308,2016-10-25 05:00:00
20,47.52,51.3,45.0,46.62,8400,2016-10-26 05:00:00
21,47.07,47.9826,45.0,45.0,3280,2016-10-27 05:00:00
22,45.0,46.35,43.2,44.1,1207,2016-10-28 05:00:00
23,43.02,45.2511,40.59,41.4,4725,2016-10-31 05:00:00
24,42.48,43.65,38.43,38.7,5564,2016-11-01 05:00:00
25,38.34,39.69,30.51,32.13,2956,2016-11-02 05:00:00
26,32.4,36.0,32.4,34.2,1008,2016-11-03 05:00:00
27,36.63,36.63,31.23,31.23,1753,2016-11-04 05:00:00
28,34.29,34.92,33.3,34.02,1761,2016-11-07 06:00:00
29,35.55,35.55,31.6314,32.58,988,2016-11-08 06:00:00
30,32.4,35.55,32.13,33.39,2931,2016-11-09 06:00:00
31,34.83,52.02,34.767,45.45,22650,2016-11-10 06:00:00
32,45.0,48.9717,41.67,43.29,4483,2016-11-11 06:00:00
