,open,high,low,close,volume,datetime
0,50.09,50.09,50.09,50.09,200,2014-11-13 06:00:00
1,50.09,50.09,50.09,50.09,101,2014-11-14 06:00:00
2,50.16,50.16,50.1405,50.1405,399,2014-11-17 06:00:00
3,50.08,50.08,50.08,50.08,400,2014-11-18 06:00:00
4,50.17,50.17,50.17,50.17,600,2014-11-20 06:00:00
5,50.1598,50.19,50.1598,50.19,1658,2014-11-21 06:00:00
6,50.24,50.24,50.24,50.24,199,2014-11-25 06:00:00
7,50.51,50.51,50.47,50.47,200,2014-12-01 06:00:00
8,50.04,50.05,50.04,50.05,1200,2014-12-03 06:00:00
9,50.34,50.34,50.32,50.32,420,2014-12-09 06:00:00
10,50.39,50.39,50.39,50.39,100,2014-12-16 06:00:00
11,50.12,50.17,50.12,50.17,1100,2014-12-22 06:00:00
12,50.07,50.07,50.07,50.07,2715,2014-12-23 06:00:00
13,49.997,49.997,49.997,49.997,200,2014-12-24 06:00:00
14,50.17,50.17,50.04,50.04,500,2014-12-26 06:00:00
15,49.99,49.9901,49.99,49.9901,400,2014-12-29 06:00:00
16,50.1102,50.12,50.1,50.1,680,2014-12-30 06:00:00
17,50.1499,50.19,50.1499,50.1899,2030,2014-12-31 06:00:00
18,50.22,50.32,50.22,50.31,1700,2015-01-02 06:00:00
19,50.61,50.63,50.56,50.56,1200,2015-01-06 06:00:00
20,50.5,50.473,50.4,50.473,750,2015-01-07 06:00:00
21,50.61,50.61,50.46,50.51,1200,2015-01-08 06:00:00
22,50.75,50.64,50.6099,50.61,1105,2015-01-09 06:00:00
23,50.72,50.72,50.71,50.71,300,2015-01-16 06:00:00
24,50.862,50.862,50.8299,50.8299,700,2015-01-20 06:00:00
25,50.78,50.73,50.72,50.72,650,2015-01-21 06:00:00
26,50.75,50.72,50.67,50.72,630,2015-01-22 06:00:00
27,50.704,50.704,50.704,50.704,140,2015-01-26 06:00:00
28,51.259,51.259,51.259,51.259,100,2015-01-30 06:00:00
29,51.0599,51.08,51.0599,51.08,540,2015-02-02 06:00:00
30,50.8399,50.8399,50.8399,50.8399,100,2015-02-04 06:00:00
31,50.85,50.85,50.85,50.85,400,2015-02-05 06:00:00
32,50.6,50.71,50.6,50.71,400,2015-02-06 06:00:00
33,50.76,50.71,50.71,50.71,376,2015-02-09 06:00:00
34,50.61,50.62,50.61,50.62,800,2015-02-11 06:00:00
35,50.64,50.64,50.64,50.64,2050,2015-02-12 06:00:00
36,50.66,50.69,50.66,50.69,1000,2015-02-13 06:00:00
37,50.68,50.68,50.68,50.68,100,2015-02-17 06:00:00
38,50.67,50.59,50.57,50.59,920,2015-02-18 06:00:00
39,50.72,50.72,50.63,50.63,550,2015-02-20 06:00:00
40,50.95,50.95,50.95,50.95,7675,2015-02-25 06:00:00
41,50.82,50.86,50.82,50.86,5255,2015-02-26 06:00:00
42,50.91,50.91,50.8797,50.91,6600,2015-02-27 06:00:00
43,50.78,50.78,50.78,50.78,1000,2015-03-02 06:00:00
44,50.6,50.6,50.6,50.6,1000,2015-03-03 06:00:00
45,50.63,50.68,50.63,50.68,1575,2015-03-04 06:00:00
46,50.68,50.7,50.68,50.7,351,2015-03-05 06:00:00
47,50.4356,50.4356,50.4356,50.4356,164,2015-03-06 06:00:00
48,50.59,50.61,50.5899,50.6,1946,2015-03-09 05:00:00
49,50.47,50.679,50.679,50.679,395,2015-03-10 05:00:00
50,50.67,50.77,50.67,50.76,1635,2015-03-16 05:00:00
51,50.81,50.75,50.7196,50.75,1585,2015-03-17 05:00:00
52,51.0,51.0,51.0,51.0,100,2015-03-18 05:00:00
53,50.9999,51.0,50.9999,51.0,300,2015-03-20 05:00:00
54,51.1,51.1,51.082,51.082,1575,2015-03-24 05:00:00
55,51.24,51.17,51.17,51.17,162,2015-03-25 05:00:00
56,50.83,50.99,50.83,50.99,500,2015-03-27 05:00:00
57,50.989,50.989,50.989,50.989,100,2015-03-30 05:00:00
58,51.04,51.04,51.04,51.04,100,2015-03-31 05:00:00
59,51.07,51.12,51.07,51.12,600,2015-04-01 05:00:00
60,51.04,51.04,51.04,51.04,700,2015-04-02 05:00:00
61,51.97,51.97,51.97,51.97,320,2015-04-06 05:00:00
62,51.04,51.04,51.04,51.04,501,2015-04-07 05:00:00
63,51.1,51.1,51.1,51.1,458,2015-04-13 05:00:00
64,51.2499,51.2499,51.2499,51.2499,100,2015-04-14 05:00:00
65,51.2,51.21,51.19,51.2,650,2015-04-15 05:00:00
66,51.35,51.35,51.31,51.31,8000,2015-04-17 05:00:00
67,51.28,51.28,51.24,51.27,1100,2015-04-20 05:00:00
68,51.1501,51.1501,51.1501,51.1501,200,2015-04-21 05:00:00
69,51.299,51.299,51.21,51.21,295,2015-04-27 05:00:00
70,51.19,51.19,51.19,51.19,189,2015-04-28 05:00:00
71,50.999,50.999,50.999,50.999,100,2015-04-30 05:00:00
72,50.99,51.06,50.9,50.9,740,2015-05-01 05:00:00
73,50.848,50.848,50.848,50.848,935,2015-05-04 05:00:00
74,50.72,50.77,50.72,50.74,700,2015-05-05 05:00:00
75,50.64,50.64,50.64,50.64,585,2015-05-07 05:00:00
76,50.77,50.85,50.76,50.81,2203,2015-05-08 05:00:00
77,50.69,50.69,50.55,50.61,7363,2015-05-11 05:00:00
78,50.51,50.6,50.51,50.6,295,2015-05-12 05:00:00
79,50.5,50.58,50.5,50.58,200,2015-05-13 05:00:00
80,50.78,50.78,50.78,50.78,216,2015-05-18 05:00:00
81,50.67,50.75,50.67,50.75,1620,2015-05-20 05:00:00
82,50.75,50.8969,50.74,50.86,1698,2015-05-21 05:00:00
83,50.82,50.82,50.82,50.82,300,2015-05-22 05:00:00
84,50.679,50.75,50.679,50.75,10200,2015-05-26 05:00:00
85,50.81,50.8,50.8,50.8,6991,2015-05-28 05:00:00
86,50.83,50.87,50.87,50.87,194,2015-05-29 05:00:00
87,51.43,50.76,50.695,50.695,430,2015-06-01 05:00:00
88,50.68,50.68,50.39,50.39,1200,2015-06-02 05:00:00
89,50.2,50.2,50.134,50.134,200,2015-06-05 05:00:00
90,50.23,50.23,50.16,50.16,1222,2015-06-08 05:00:00
91,49.95,49.95,49.95,49.95,100,2015-06-10 05:00:00
92,50.35,50.35,50.24,50.24,800,2015-06-15 05:00:00
93,50.07,50.07,50.07,50.07,125,2015-06-16 05:00:00
94,50.12,50.21,50.12,50.21,825,2015-06-17 05:00:00
95,50.13,50.2,50.13,50.2,2500,2015-06-24 05:00:00
