,open,high,low,close,volume,datetime
0,10.03,10.1,10.03,10.05,6674914,2021-10-19 05:00:00
1,10.05,10.1,10.05,10.06,252702,2021-10-20 05:00:00
2,10.1,10.1,10.03,10.06,106367,2021-10-21 05:00:00
3,10.09,10.1,10.05,10.1,341344,2021-10-22 05:00:00
4,10.04,10.15,10.04,10.15,6295,2021-10-25 05:00:00
5,10.1089,10.15,10.1089,10.15,2823,2021-10-26 05:00:00
6,10.53,10.53,10.14,10.15,60226,2021-10-27 05:00:00
7,10.15,11.16,10.12,10.125,1784,2021-10-28 05:00:00
8,10.0601,10.585,10.06,10.13,10211,2021-10-29 05:00:00
9,10.15,10.15,10.06,10.115,4782,2021-11-01 05:00:00
10,10.1,10.115,10.08,10.0807,13950,2021-11-02 05:00:00
11,10.08,10.09,10.08,10.08,400260,2021-11-03 05:00:00
12,10.0801,10.0801,10.08,10.08,1164,2021-11-04 05:00:00
13,10.12,10.1498,10.12,10.1498,1654,2021-11-05 05:00:00
14,10.08,10.11,10.08,10.11,13108,2021-11-09 06:00:00
15,10.15,10.25,10.0901,10.14,212352,2021-11-10 06:00:00
16,10.17,10.2,10.08,10.2,120634,2021-11-11 06:00:00
17,10.2,10.2,10.2,10.2,1243,2021-11-12 06:00:00
18,10.25,10.25,10.135,10.19,57197,2021-11-15 06:00:00
19,10.2431,10.32,10.2431,10.32,12164,2021-11-16 06:00:00
20,10.3,10.3,10.13,10.25,37720,2021-11-17 06:00:00
21,10.25,10.26,10.16,10.26,31212,2021-11-18 06:00:00
22,10.27,10.27,10.27,10.27,292,2021-11-22 06:00:00
23,10.67,10.67,10.14,10.57,2103,2021-11-23 06:00:00
24,10.14,10.14,10.14,10.14,2232,2021-11-29 06:00:00
25,10.17,10.23,10.165,10.23,12783,2021-11-30 06:00:00
26,10.23,10.28,10.23,10.24,2396,2021-12-01 06:00:00
27,10.5816,10.5816,10.21,10.39,1145,2021-12-02 06:00:00
28,10.2,10.39,10.2,10.2001,1506,2021-12-03 06:00:00
29,10.2,10.2,10.2,10.2,312,2021-12-06 06:00:00
30,10.2,10.2068,10.2,10.2068,411,2021-12-07 06:00:00
31,10.0901,10.0901,10.0901,10.0901,656,2021-12-09 06:00:00
32,10.14,10.2,10.14,10.17,725,2021-12-10 06:00:00
33,10.6233,10.645,10.0801,10.0801,2250,2021-12-14 06:00:00
34,10.22,10.22,10.15,10.22,430,2021-12-15 06:00:00
35,10.08,10.09,10.07,10.0734,700,2021-12-16 06:00:00
36,10.21,10.645,10.14,10.22,126449,2021-12-17 06:00:00
37,10.12,10.4836,10.12,10.4836,800,2021-12-21 06:00:00
38,10.08,10.38,10.08,10.35,1010,2021-12-22 06:00:00
39,10.07,10.1,10.06,10.07,909,2021-12-27 06:00:00
40,10.1,10.17,10.1,10.16,1260,2021-12-28 06:00:00
41,10.12,10.14,10.12,10.14,3416,2021-12-29 06:00:00
42,10.16,10.16,10.16,10.16,500,2021-12-30 06:00:00
43,10.16,10.16,10.155,10.155,3616,2022-01-04 06:00:00
44,10.15,10.15,10.15,10.15,500,2022-01-05 06:00:00
45,10.15,10.17,10.15,10.17,1281,2022-01-06 06:00:00
46,10.18,10.18,10.17,10.17,433,2022-01-10 06:00:00
47,10.17,10.17,10.15,10.15,5877,2022-01-11 06:00:00
48,10.16,10.19,10.15,10.19,6938,2022-01-12 06:00:00
49,10.15,10.17,10.15,10.17,10943,2022-01-13 06:00:00
50,10.14,10.14,10.13,10.13,1001,2022-01-20 06:00:00
51,10.09,10.09,10.08,10.08,1000,2022-01-24 06:00:00
52,10.09,10.1,10.09,10.0996,700,2022-01-25 06:00:00
53,10.12,10.12,10.1,10.1,5602,2022-02-01 06:00:00
54,10.13,10.13,10.13,10.13,101,2022-02-02 06:00:00
55,9.99,10.14,9.99,10.0907,1200,2022-02-04 06:00:00
56,10.06,10.0602,10.06,10.0602,401,2022-02-07 06:00:00
57,10.11,10.11,10.11,10.11,201,2022-02-08 06:00:00
58,10.06,10.06,10.06,10.06,301,2022-02-09 06:00:00
59,10.1,10.1,10.09,10.09,1420,2022-02-10 06:00:00
60,10.07,10.07,10.07,10.07,100,2022-02-11 06:00:00
61,10.09,10.0901,10.09,10.09,2400,2022-02-14 06:00:00
62,10.06,10.1,10.06,10.09,5013,2022-02-15 06:00:00
63,10.1,10.1,10.1,10.1,7013,2022-02-16 06:00:00
64,10.1,10.1,10.1,10.1,101,2022-02-22 06:00:00
65,10.12,10.12,10.12,10.12,5002,2022-03-01 06:00:00
66,10.045,10.13,10.045,10.13,501,2022-03-08 06:00:00
67,10.07,10.07,10.05,10.05,650,2022-03-22 05:00:00
68,10.03,10.0375,10.03,10.0375,1925,2022-03-25 05:00:00
69,10.05,10.06,10.05,10.06,500,2022-03-28 05:00:00
70,10.08,10.08,10.08,10.08,800,2022-03-31 05:00:00
71,10.06,10.06,10.06,10.06,3999,2022-04-04 05:00:00
72,10.07,10.07,10.07,10.07,10028,2022-04-11 05:00:00
73,10.0,10.0,10.0,10.0,5000,2022-04-13 05:00:00
74,10.1,10.1,10.1,10.1,5090,2022-04-18 05:00:00
75,10.06,10.06,10.06,10.06,1000,2022-04-19 05:00:00
76,10.13,10.13,10.13,10.13,2040,2022-04-29 05:00:00
77,10.12,10.12,10.12,10.12,150,2022-05-04 05:00:00
78,10.02,10.02,10.0,10.02,6100,2022-05-11 05:00:00
79,10.05,10.05,10.05,10.05,3650,2022-05-12 05:00:00
80,9.9,10.01,9.9,10.01,650,2022-05-20 05:00:00
81,10.05,10.05,10.03,10.05,4500,2022-05-23 05:00:00
82,10.04,10.05,10.04,10.05,249,2022-06-06 05:00:00
83,10.06,10.06,10.05,10.05,550,2022-06-07 05:00:00
84,10.03,10.07,10.03,10.05,1600,2022-06-09 05:00:00
