,open,high,low,close,volume,datetime
0,34.8,35.25,34.01,34.1,2212500,2002-06-10 05:00:00
1,34.5,34.8,32.73,32.81,3993900,2002-06-11 05:00:00
2,32.6,34.2,32.4,34.1,6367000,2002-06-12 05:00:00
3,34.0,34.7,33.0,33.42,5996900,2002-06-13 05:00:00
4,32.65,33.71,31.25,33.44,3501300,2002-06-14 05:00:00
5,33.85,35.37,33.85,35.19,3216900,2002-06-17 05:00:00
6,34.85,36.2,34.51,34.55,3523400,2002-06-18 05:00:00
7,33.6,33.8,32.05,32.25,5630600,2002-06-19 05:00:00
8,32.65,32.84,30.56,30.84,6527000,2002-06-20 05:00:00
9,30.8,31.11,29.4,29.75,6450700,2002-06-21 05:00:00
10,29.3,31.65,29.3,31.02,10846500,2002-06-24 05:00:00
11,31.41,31.95,29.55,29.75,7196700,2002-06-25 05:00:00
12,28.3,30.33,28.25,30.01,6360200,2002-06-26 05:00:00
13,31.25,31.4,29.75,30.93,9191200,2002-06-27 05:00:00
14,30.93,31.8,30.14,30.35,3988600,2002-06-28 05:00:00
15,30.1,30.75,28.8,28.98,4068300,2002-07-01 05:00:00
16,28.7,28.7,27.29,27.5,7767200,2002-07-02 05:00:00
17,27.1,28.9,27.1,28.89,7315600,2002-07-03 05:00:00
18,29.95,31.59,29.94,31.59,3055800,2002-07-05 05:00:00
19,31.3,31.8,29.7,30.05,5475900,2002-07-08 05:00:00
20,29.43,29.69,28.57,28.95,4061400,2002-07-09 05:00:00
21,29.25,29.25,27.51,27.59,4292200,2002-07-10 05:00:00
22,27.45,29.58,27.05,29.43,13159100,2002-07-11 05:00:00
23,30.04,30.4,29.0,29.71,8881300,2002-07-12 05:00:00
24,29.5,31.3,28.75,31.17,11061300,2002-07-15 05:00:00
25,30.75,32.19,30.06,30.37,12259900,2002-07-16 05:00:00
26,31.999,32.41,29.8,30.58,8109500,2002-07-17 05:00:00
27,30.51,30.92,29.65,29.65,6437900,2002-07-18 05:00:00
28,28.9,30.3,28.85,29.01,6389000,2002-07-19 05:00:00
29,29.0,29.79,27.88,28.23,7102100,2002-07-22 05:00:00
30,28.3,28.85,27.1,27.2,7434600,2002-07-23 05:00:00
31,26.3,28.54,26.1,28.4,13235900,2002-07-24 05:00:00
32,27.2,27.6,24.7,25.7,12672700,2002-07-25 05:00:00
33,25.65,26.35,24.73,25.68,5864500,2002-07-26 05:00:00
34,26.48,27.5,25.85,27.25,8559800,2002-07-29 05:00:00
35,26.65,28.18,26.6,27.9,7714200,2002-07-30 05:00:00
36,27.42,27.51,26.31,26.8,8048000,2002-07-31 05:00:00
37,26.8,27.1,25.01,25.09,5885400,2002-08-01 05:00:00
38,25.0,25.0,23.61,24.15,6083600,2002-08-02 05:00:00
39,24.05,24.32,22.2,22.7,2917700,2002-08-05 05:00:00
40,23.01,24.88,23.01,24.0,4948600,2002-08-06 05:00:00
41,25.05,25.45,23.26,24.5,7427800,2002-08-07 05:00:00
42,24.47,25.8,23.8,25.6,5899900,2002-08-08 05:00:00
43,24.95,25.8,24.53,25.3,3319200,2002-08-09 05:00:00
44,24.8,25.05,24.33,24.9,2200900,2002-08-12 05:00:00
45,24.6,25.75,23.8,23.95,7550700,2002-08-13 05:00:00
46,23.98,25.64,23.5,25.64,4344300,2002-08-14 05:00:00
47,25.97,26.9,25.2,26.05,4995300,2002-08-15 05:00:00
48,25.5,27.85,25.4,27.36,9407600,2002-08-16 05:00:00
49,27.37,28.93,27.1,28.41,4640300,2002-08-19 05:00:00
50,28.05,28.21,27.21,27.5,12375700,2002-08-20 05:00:00
51,27.9,28.96,27.5,28.64,5635900,2002-08-21 05:00:00
52,28.65,29.2,27.95,28.53,6383300,2002-08-22 05:00:00
53,27.7,28.44,26.27,26.76,5450700,2002-08-23 05:00:00
54,26.8,27.1,26.03,26.88,4546500,2002-08-26 05:00:00
55,27.0,27.0,25.25,25.36,4840600,2002-08-27 05:00:00
56,24.76,25.2,24.28,24.45,4007800,2002-08-28 05:00:00
57,23.82,24.9,23.62,24.43,5685300,2002-08-29 05:00:00
58,24.239,24.8,23.96,24.1,5622100,2002-08-30 05:00:00
59,23.718,23.8,22.92,23.05,4569900,2002-09-03 05:00:00
60,23.15,23.55,22.3,23.24,9095600,2002-09-04 05:00:00
61,22.824,22.824,22.02,22.28,6958200,2002-09-05 05:00:00
62,23.38,23.75,23.18,23.39,4403600,2002-09-06 05:00:00
63,23.15,23.55,22.0,23.32,4744200,2002-09-09 05:00:00
64,23.35,24.5,23.35,24.17,4489800,2002-09-10 05:00:00
65,23.2,25.25,23.2,24.51,4415700,2002-09-11 05:00:00
66,24.0,24.0,22.86,22.9,2262100,2002-09-12 05:00:00
67,22.8,23.39,22.51,22.78,2390500,2002-09-13 05:00:00
68,22.6,22.94,21.89,22.05,3794000,2002-09-16 05:00:00
69,22.75,22.9,21.55,21.6,4359600,2002-09-17 05:00:00
70,21.35,21.75,20.93,21.31,6349200,2002-09-18 05:00:00
71,21.135,21.49,20.62,20.65,5984900,2002-09-19 05:00:00
72,20.75,20.9,20.07,20.19,8579900,2002-09-20 05:00:00
73,20.05,20.05,19.0,19.15,5317800,2002-09-23 05:00:00
74,18.75,20.13,18.6,19.38,8020900,2002-09-24 05:00:00
75,19.95,21.15,19.64,20.74,7049400,2002-09-25 05:00:00
76,20.8,21.19,19.87,20.37,9452000,2002-09-26 05:00:00
77,19.91,21.0,19.7,20.0,4911100,2002-09-27 05:00:00
78,19.56,19.75,18.32,19.24,5516500,2002-09-30 05:00:00
79,19.5,20.46,19.08,20.28,6927500,2002-10-01 05:00:00
80,20.1,21.43,20.05,20.31,11480100,2002-10-02 05:00:00
81,20.1,20.33,19.14,19.19,7186400,2002-10-03 05:00:00
82,19.48,19.49,18.46,18.71,3767600,2002-10-04 05:00:00
83,18.78,18.94,18.06,18.25,3712300,2002-10-07 05:00:00
84,18.35,18.6,17.32,17.75,11293300,2002-10-08 05:00:00
85,17.4,18.44,17.39,17.67,10821200,2002-10-09 05:00:00
86,17.72,19.06,17.5,18.73,11893600,2002-10-10 05:00:00
87,19.3,20.73,19.25,20.36,13422900,2002-10-11 05:00:00
88,20.1,20.49,19.77,20.4,4647400,2002-10-14 05:00:00
89,21.92,22.35,21.61,22.34,11562500,2002-10-15 05:00:00
90,20.68,20.74,20.05,20.2,9454900,2002-10-16 05:00:00
91,21.8,21.96,21.2,21.62,10425700,2002-10-17 05:00:00
92,21.27,22.05,20.67,21.95,4059700,2002-10-18 05:00:00
93,21.75,23.2,21.31,23.02,8392000,2002-10-21 05:00:00
94,21.5,22.23,21.21,21.39,7911000,2002-10-22 05:00:00
95,21.37,23.11,21.27,23.02,12854900,2002-10-23 05:00:00
96,23.1,24.08,22.3,22.38,11752000,2002-10-24 05:00:00
97,22.4,23.68,22.35,23.68,6752900,2002-10-25 05:00:00
98,24.15,24.5,23.52,23.58,6164700,2002-10-28 06:00:00
99,23.55,23.75,22.07,22.93,6469000,2002-10-29 06:00:00
100,23.14,24.48,22.95,24.15,9438800,2002-10-30 06:00:00
101,24.18,24.69,23.63,23.98,9848600,2002-10-31 06:00:00
102,23.85,25.4,23.53,25.25,7675100,2002-11-01 06:00:00
103,26.1,27.18,25.85,26.21,10202000,2002-11-04 06:00:00
104,25.9,26.19,24.67,25.57,11859300,2002-11-05 06:00:00
105,25.75,26.5,24.43,26.45,13684300,2002-11-06 06:00:00
106,25.95,25.95,24.46,24.69,9154600,2002-11-07 06:00:00
107,24.45,25.2,23.76,24.4,12694900,2002-11-08 06:00:00
108,24.05,24.1,22.9,23.0,7525000,2002-11-11 06:00:00
109,23.15,24.5,23.15,23.89,8466800,2002-11-12 06:00:00
110,23.52,24.39,23.3,23.95,5679200,2002-11-13 06:00:00
111,23.96,25.68,23.96,25.6,8854800,2002-11-14 06:00:00
112,25.05,25.66,24.65,25.62,4821700,2002-11-15 06:00:00
113,25.63,26.45,25.45,25.45,5637600,2002-11-18 06:00:00
114,25.3,25.73,24.79,25.05,5462000,2002-11-19 06:00:00
115,25.23,26.8,25.2,26.7,7701700,2002-11-20 06:00:00
116,27.2,28.75,27.2,28.7,14324800,2002-11-21 06:00:00
117,28.1,28.96,27.95,28.4,8170400,2002-11-22 06:00:00
118,28.43,29.58,28.41,29.31,6142900,2002-11-25 06:00:00
119,29.22,29.22,28.06,28.25,6268600,2002-11-26 06:00:00
120,28.9,30.07,28.7,29.8,7641800,2002-11-27 06:00:00
121,29.81,30.3,29.25,29.3,3335000,2002-11-29 06:00:00
122,29.3,31.0,29.05,29.29,10052400,2002-12-02 06:00:00
123,29.24,29.24,27.9,27.99,5371800,2002-12-03 06:00:00
124,26.73,27.04,26.06,26.6,14969200,2002-12-04 06:00:00
125,27.24,27.37,25.86,26.2,7062200,2002-12-05 06:00:00
126,25.45,26.49,25.4,26.09,5368900,2002-12-06 06:00:00
127,25.6,25.7,24.3,24.38,7543700,2002-12-09 06:00:00
128,24.56,25.69,24.43,25.38,8879900,2002-12-10 06:00:00
129,24.81,25.98,24.75,25.4,8232800,2002-12-11 06:00:00
130,25.75,26.0,25.02,25.29,4554300,2002-12-12 06:00:00
131,24.86,24.86,24.25,24.28,7753200,2002-12-13 06:00:00
132,24.32,25.37,24.12,25.28,5682300,2002-12-16 06:00:00
133,25.18,25.75,24.85,25.07,13370400,2002-12-17 06:00:00
134,24.4,24.4,23.21,23.39,8907600,2002-12-18 06:00:00
135,23.39,23.9,22.7,23.25,12372000,2002-12-19 06:00:00
136,23.55,23.85,23.05,23.3,5057400,2002-12-20 06:00:00
137,23.19,24.0,23.19,23.73,3003700,2002-12-23 06:00:00
138,23.65,23.87,23.4,23.49,1862800,2002-12-24 06:00:00
139,23.68,24.14,23.22,23.35,3350500,2002-12-26 06:00:00
140,23.22,23.5,22.83,22.98,2174100,2002-12-27 06:00:00
141,23.35,23.35,22.25,22.33,3393600,2002-12-30 06:00:00
142,22.33,22.73,22.01,22.15,3981700,2002-12-31 06:00:00
143,22.7,23.82,22.25,23.72,6185500,2003-01-02 06:00:00
144,23.55,24.3,23.42,24.05,6239500,2003-01-03 06:00:00
145,24.4,25.65,24.4,25.3,5943300,2003-01-06 06:00:00
146,25.0,26.1,25.0,25.31,8270900,2003-01-07 06:00:00
147,25.05,25.2,24.26,24.44,6381100,2003-01-08 06:00:00
148,25.0,25.58,24.77,24.92,6100900,2003-01-09 06:00:00
149,24.56,25.9,24.34,25.54,9664100,2003-01-10 06:00:00
150,26.13,26.44,25.12,25.25,5177200,2003-01-13 06:00:00
151,25.2,25.93,25.06,25.45,5626800,2003-01-14 06:00:00
152,25.55,25.55,24.55,24.78,6419800,2003-01-15 06:00:00
153,24.85,24.88,23.88,24.06,6268200,2003-01-16 06:00:00
154,23.38,23.4,22.6,22.78,5880800,2003-01-17 06:00:00
155,22.85,23.08,22.41,22.54,4898600,2003-01-21 06:00:00
156,22.4,22.95,22.3,22.45,8325500,2003-01-22 06:00:00
157,23.1,23.4,22.5,23.18,7664400,2003-01-23 06:00:00
158,23.05,23.05,22.1,22.2,6145700,2003-01-24 06:00:00
159,21.98,22.48,21.7,21.93,5805800,2003-01-27 06:00:00
160,22.09,22.48,21.76,22.22,5153100,2003-01-28 06:00:00
161,22.15,23.03,21.81,22.91,11254800,2003-01-29 06:00:00
162,22.96,22.99,21.63,21.72,8041600,2003-01-30 06:00:00
163,20.8,21.73,20.442,21.5,6525700,2003-01-31 06:00:00
164,21.46,21.85,21.3,21.4,3267800,2003-02-03 06:00:00
165,21.1,21.47,21.0,21.33,5001500,2003-02-04 06:00:00
166,21.4,22.19,21.22,21.3,7343000,2003-02-05 06:00:00
167,21.21,21.5,20.79,20.98,5761100,2003-02-06 06:00:00
168,21.134,21.27,20.45,20.64,3321000,2003-02-07 06:00:00
169,20.71,21.14,20.36,20.9,4130800,2003-02-10 06:00:00
170,21.24,21.45,20.81,21.06,5621700,2003-02-11 06:00:00
171,20.865,21.39,20.84,20.9,2938600,2003-02-12 06:00:00
172,20.94,21.04,20.41,20.85,4776000,2003-02-13 06:00:00
173,20.906,22.02,20.85,22.01,7143200,2003-02-14 06:00:00
174,22.41,22.99,22.21,22.98,5518400,2003-02-18 06:00:00
175,23.05,23.24,22.4,22.76,5095200,2003-02-19 06:00:00
176,23.12,23.25,22.85,23.0,4690300,2003-02-20 06:00:00
177,23.1,23.23,22.45,23.04,5559000,2003-02-21 06:00:00
178,22.86,23.3,22.67,22.76,5566900,2003-02-24 06:00:00
179,22.45,22.93,22.0,22.83,6061700,2003-02-25 06:00:00
180,22.6,23.03,22.1,22.22,5291700,2003-02-26 06:00:00
181,22.52,22.92,22.22,22.75,8327100,2003-02-27 06:00:00
182,22.87,23.6,22.85,23.54,7996100,2003-02-28 06:00:00
183,23.6,23.89,22.57,22.73,8209900,2003-03-03 06:00:00
184,22.81,22.87,22.42,22.48,5870000,2003-03-04 06:00:00
185,22.48,23.04,22.46,22.82,5442300,2003-03-05 06:00:00
186,22.65,22.94,22.43,22.7,5217400,2003-03-06 06:00:00
187,21.9,22.55,21.8,22.41,5711000,2003-03-07 06:00:00
188,22.21,22.35,21.9,21.97,2783800,2003-03-10 06:00:00
189,22.05,22.28,21.85,22.03,2633700,2003-03-11 06:00:00
190,22.14,22.6,21.83,22.57,6478900,2003-03-12 06:00:00
191,22.99,24.42,22.99,24.35,11631300,2003-03-13 06:00:00
192,24.55,24.65,23.71,23.98,6841600,2003-03-14 06:00:00
193,23.91,25.682,23.66,24.75,9104000,2003-03-17 06:00:00
194,25.21,25.67,24.85,25.62,6795600,2003-03-18 06:00:00
195,25.5,25.75,24.86,25.55,6572400,2003-03-19 06:00:00
196,25.45,26.15,25.05,25.75,6368300,2003-03-20 06:00:00
197,26.1,26.5,25.95,26.36,6679000,2003-03-21 06:00:00
198,25.15,25.65,24.91,25.0,8332100,2003-03-24 06:00:00
199,25.02,25.52,24.76,25.21,7926600,2003-03-25 06:00:00
200,25.2,25.5,24.98,25.1,3966200,2003-03-26 06:00:00
201,24.81,25.11,24.56,24.89,5531500,2003-03-27 06:00:00
202,24.66,24.98,24.25,24.39,4568700,2003-03-28 06:00:00
203,23.91,23.922,23.09,23.09,9410200,2003-03-31 06:00:00
204,23.28,23.65,23.16,23.31,4263100,2003-04-01 06:00:00
205,24.131,25.04,24.13,24.91,7252000,2003-04-02 06:00:00
206,25.16,25.49,24.73,25.02,4113200,2003-04-03 06:00:00
207,25.073,25.074,24.13,24.39,5133400,2003-04-04 06:00:00
208,25.73,25.73,24.71,24.78,5090700,2003-04-07 05:00:00
209,24.7,24.76,23.76,23.89,7994800,2003-04-08 05:00:00
210,23.92,24.26,23.42,23.49,6084200,2003-04-09 05:00:00
211,23.614,23.888,23.3,23.71,5389800,2003-04-10 05:00:00
212,23.951,24.4,23.28,23.45,4476300,2003-04-11 05:00:00
213,23.48,24.14,23.3,24.1,4493400,2003-04-14 05:00:00
214,23.9,24.56,23.55,24.29,6163000,2003-04-15 05:00:00
215,24.95,25.957,24.95,25.51,13955100,2003-04-16 05:00:00
216,25.48,26.64,25.38,26.45,7152000,2003-04-17 05:00:00
217,26.51,26.88,26.0,26.65,4724900,2003-04-21 05:00:00
218,26.47,27.55,26.25,27.5,5740900,2003-04-22 05:00:00
219,27.47,27.78,27.17,27.62,5698600,2003-04-23 05:00:00
220,27.11,27.45,26.91,27.19,6669900,2003-04-24 05:00:00
221,26.65,26.7,25.68,25.88,7355400,2003-04-25 05:00:00
222,25.9,26.75,25.76,26.47,6236600,2003-04-28 05:00:00
223,26.7,27.4,26.639,27.0,8068300,2003-04-29 05:00:00
224,26.67,26.85,26.34,26.39,6258100,2003-04-30 05:00:00
225,26.38,26.76,25.92,26.48,6565300,2003-05-01 05:00:00
226,26.46,27.3,26.46,27.25,5762400,2003-05-02 05:00:00
227,27.35,28.208,27.28,27.47,7848100,2003-05-05 05:00:00
228,27.6,28.43,27.3,28.16,11927700,2003-05-06 05:00:00
229,27.82,28.04,27.21,27.45,5682600,2003-05-07 05:00:00
230,27.0,27.3,26.8,26.86,6945200,2003-05-08 05:00:00
231,27.45,27.99,27.285,27.93,5875200,2003-05-09 05:00:00
232,27.9,28.93,27.75,28.55,5687500,2003-05-12 05:00:00
233,28.26,28.58,28.0,28.28,6955600,2003-05-13 05:00:00
234,28.29,28.5,27.5,27.95,9365600,2003-05-14 05:00:00
235,28.2,28.45,27.86,28.31,6457000,2003-05-15 05:00:00
236,28.03,28.2,27.6,27.81,5465600,2003-05-16 05:00:00
237,27.45,27.7,26.56,26.62,9895000,2003-05-19 05:00:00
238,26.6,26.92,26.31,26.64,6688700,2003-05-20 05:00:00
239,26.66,28.2,26.26,26.7,4694200,2003-05-21 05:00:00
240,26.75,27.198,26.51,26.95,5975500,2003-05-22 05:00:00
241,26.92,27.5,26.85,27.12,3338800,2003-05-23 05:00:00
242,26.99,28.6,26.91,28.55,9489800,2003-05-27 05:00:00
243,28.7,29.15,28.23,28.75,6286200,2003-05-28 05:00:00
244,28.88,30.07,28.2,29.53,8786700,2003-05-29 05:00:00
245,29.6,30.2,29.6,29.95,7973300,2003-05-30 05:00:00
246,30.25,30.45,29.05,29.18,9945600,2003-06-02 05:00:00
247,29.1,30.0,28.6,29.95,7886900,2003-06-03 05:00:00
248,29.9,31.0,29.72,31.0,12547100,2003-06-04 05:00:00
249,30.25,31.07,30.0,30.95,10101900,2003-06-05 05:00:00
250,31.6,32.47,30.5,30.5,12773700,2003-06-06 05:00:00
251,30.28,30.34,29.35,29.88,7521700,2003-06-09 05:00:00
252,29.9,30.24,29.391,30.17,9224000,2003-06-10 05:00:00
253,29.65,29.946,28.81,29.79,9829900,2003-06-11 05:00:00
254,29.96,30.05,29.16,29.49,5731000,2003-06-12 05:00:00
255,29.43,29.76,28.28,28.5,8201700,2003-06-13 05:00:00
256,28.65,29.27,28.2,29.2,8943700,2003-06-16 05:00:00
257,29.301,29.4,28.71,29.01,8180900,2003-06-17 05:00:00
258,28.72,29.84,28.51,29.62,7273200,2003-06-18 05:00:00
259,29.685,30.04,29.22,29.29,9175300,2003-06-19 05:00:00
260,29.5,29.52,28.63,28.9,7094600,2003-06-20 05:00:00
261,28.5,28.89,27.91,28.23,10519400,2003-06-23 05:00:00
262,27.79,28.2,27.49,27.85,8656100,2003-06-24 05:00:00
263,27.85,28.47,27.61,27.63,8119000,2003-06-25 05:00:00
264,27.85,28.6,27.781,28.5,6313700,2003-06-26 05:00:00
265,28.7,28.9,28.2,28.35,6352800,2003-06-27 05:00:00
266,28.85,29.45,28.23,28.23,3432200,2003-06-30 05:00:00
267,28.07,28.97,27.65,28.94,9270900,2003-07-01 05:00:00
268,29.25,29.64,28.95,29.64,5398200,2003-07-02 05:00:00
269,29.28,29.79,29.14,29.239,2787000,2003-07-03 05:00:00
270,30.09,31.17,29.75,31.06,6583000,2003-07-07 05:00:00
271,31.0,31.64,30.68,31.55,7308100,2003-07-08 05:00:00
272,31.65,32.3,31.28,31.8,7487400,2003-07-09 05:00:00
273,31.4,31.4,30.73,31.0,7719000,2003-07-10 05:00:00
274,31.25,31.35,30.78,31.18,4853200,2003-07-11 05:00:00
275,32.01,32.5,31.92,32.01,5201700,2003-07-14 05:00:00
276,32.35,32.72,31.81,32.25,6602000,2003-07-15 05:00:00
277,32.9,32.95,31.9,32.51,6713500,2003-07-16 05:00:00
278,32.0,32.15,31.07,31.36,7538000,2003-07-17 05:00:00
279,31.5,31.66,30.58,31.45,6795600,2003-07-18 05:00:00
280,31.55,31.55,30.6,30.8,6338600,2003-07-21 05:00:00
281,31.64,31.99,31.35,31.8,6957000,2003-07-22 05:00:00
282,31.8,32.5,31.66,32.49,4753500,2003-07-23 05:00:00
283,32.65,32.84,31.66,31.74,5746200,2003-07-24 05:00:00
284,31.75,32.4,31.09,32.34,7244400,2003-07-25 05:00:00
285,32.3,32.87,32.1,32.65,6294500,2003-07-28 05:00:00
286,32.57,32.8,31.92,32.2,6795800,2003-07-29 05:00:00
287,32.12,32.24,31.8,31.8,3562300,2003-07-30 05:00:00
288,32.44,33.19,32.3,32.5,7765500,2003-07-31 05:00:00
289,32.4,32.779,32.1,32.75,5697100,2003-08-01 05:00:00
290,32.63,33.009,32.02,32.85,3945200,2003-08-04 05:00:00
291,32.767,32.78,31.73,31.8,6692300,2003-08-05 05:00:00
292,31.73,32.1,31.16,31.5,7131900,2003-08-06 05:00:00
293,31.35,31.72,31.17,31.38,3502600,2003-08-07 05:00:00
294,31.42,31.629,30.18,30.5,13842300,2003-08-08 05:00:00
295,30.45,31.19,30.44,31.1,9246400,2003-08-11 05:00:00
296,31.2,31.68,30.92,31.59,5111400,2003-08-12 05:00:00
297,31.679,32.73,31.58,32.2,12226000,2003-08-13 05:00:00
298,32.3,32.71,32.05,32.64,4931800,2003-08-14 05:00:00
299,32.57,32.69,32.15,32.5,1940200,2003-08-15 05:00:00
300,32.6,34.19,32.6,34.15,10096800,2003-08-18 05:00:00
301,34.38,34.79,34.11,34.77,10164900,2003-08-19 05:00:00
302,34.389,35.03,34.25,34.58,5900200,2003-08-20 05:00:00
303,34.99,35.63,34.74,35.55,10410700,2003-08-21 05:00:00
304,37.25,37.859,36.24,36.24,14597500,2003-08-22 05:00:00
305,36.39,36.52,35.8,36.04,7263000,2003-08-25 05:00:00
306,35.66,36.03,35.05,36.03,6913000,2003-08-26 05:00:00
307,35.99,37.04,35.99,36.95,6889300,2003-08-27 05:00:00
308,37.08,37.35,36.55,37.2,4846600,2003-08-28 05:00:00
309,36.7,37.56,36.7,37.39,3930400,2003-08-29 05:00:00
310,37.95,37.95,36.81,37.5,12435300,2003-09-02 05:00:00
311,37.62,37.73,36.49,36.7,11169300,2003-09-03 05:00:00
312,36.9,37.59,36.56,37.39,10126600,2003-09-04 05:00:00
313,37.26,38.5,37.18,37.81,14498800,2003-09-05 05:00:00
314,37.9,38.85,37.9,38.8,10060100,2003-09-08 05:00:00
315,38.51,38.79,37.81,38.24,10346900,2003-09-09 05:00:00
316,37.64,37.64,36.01,36.17,21898400,2003-09-10 05:00:00
317,36.25,37.12,35.39,36.72,20666400,2003-09-11 05:00:00
318,36.35,36.98,36.1,36.96,10803500,2003-09-12 05:00:00
319,37.15,37.34,36.27,36.47,7285800,2003-09-15 05:00:00
320,36.6,37.8,36.55,37.73,10828800,2003-09-16 05:00:00
321,37.65,38.15,37.42,37.45,10880300,2003-09-17 05:00:00
322,37.11,37.85,36.7,37.7,11097900,2003-09-18 05:00:00
323,37.78,37.93,37.3,37.56,7039700,2003-09-19 05:00:00
324,36.751,37.095,36.26,36.5,13764000,2003-09-22 05:00:00
325,36.7,37.14,36.31,37.09,12252200,2003-09-23 05:00:00
326,37.06,37.22,35.29,35.34,11382600,2003-09-24 05:00:00
327,35.65,36.2,35.01,35.01,13081800,2003-09-25 05:00:00
328,34.94,35.49,34.57,34.6,13693700,2003-09-26 05:00:00
329,35.05,35.61,34.67,35.4,11033900,2003-09-29 05:00:00
330,35.09,35.2,34.3,34.4,10826000,2003-09-30 05:00:00
331,34.77,35.31,34.5,35.1,13273400,2003-10-01 05:00:00
332,34.98,35.94,34.98,35.35,9162700,2003-10-02 05:00:00
333,36.4,37.47,36.3,36.92,13065500,2003-10-03 05:00:00
334,37.0,37.194,36.69,36.92,6049900,2003-10-06 05:00:00
335,36.61,37.65,36.5,37.65,9705100,2003-10-07 05:00:00
336,37.75,37.75,36.58,37.37,8779000,2003-10-08 05:00:00
337,37.99,38.38,37.3,37.69,16636700,2003-10-09 05:00:00
338,38.0,38.35,37.91,38.35,8170600,2003-10-10 05:00:00
339,38.57,38.95,38.1,38.54,8287500,2003-10-13 05:00:00
340,38.15,38.95,38.0,38.88,11373000,2003-10-14 05:00:00
341,40.26,40.42,38.92,39.16,16544000,2003-10-15 05:00:00
342,39.005,39.6,38.85,39.58,10501300,2003-10-16 05:00:00
343,39.7,39.73,38.41,38.545,8948600,2003-10-17 05:00:00
344,38.08,39.3,38.08,39.25,10948000,2003-10-20 05:00:00
345,39.55,40.2,39.55,40.06,10949900,2003-10-21 05:00:00
346,39.4,39.55,38.9,39.13,7463500,2003-10-22 05:00:00
347,37.929,38.85,37.75,38.48,10134700,2003-10-23 05:00:00
348,38.27,38.59,37.66,38.55,11212600,2003-10-24 05:00:00
349,38.73,39.19,38.46,38.99,6817500,2003-10-27 06:00:00
350,39.4,41.22,39.4,41.12,13982700,2003-10-28 06:00:00
351,40.89,41.629,40.85,41.49,8951200,2003-10-29 06:00:00
352,42.15,42.35,41.54,41.85,9871600,2003-10-30 06:00:00
353,41.95,42.0,41.35,41.65,6844700,2003-10-31 06:00:00
354,42.146,43.3,41.93,43.13,10913644,2003-11-03 06:00:00
355,42.97,43.59,42.81,43.17,8172567,2003-11-04 06:00:00
356,43.16,43.95,42.62,43.95,7423400,2003-11-05 06:00:00
357,44.004,44.3,43.28,44.21,8110900,2003-11-06 06:00:00
358,44.65,44.7,43.94,43.99,9825600,2003-11-07 06:00:00
359,44.1,44.1,42.46,42.93,12298400,2003-11-10 06:00:00
360,42.73,43.15,42.51,43.1,9696200,2003-11-11 06:00:00
361,43.32,44.65,43.29,44.65,10407200,2003-11-12 06:00:00
362,44.31,44.35,43.15,43.79,13684700,2003-11-13 06:00:00
363,43.6,43.97,42.1,42.31,16397400,2003-11-14 06:00:00
364,42.0,42.29,41.22,41.9,16202200,2003-11-17 06:00:00
365,42.34,42.63,41.18,41.2,14032500,2003-11-18 06:00:00
366,41.315,42.03,41.1,41.96,14095500,2003-11-19 06:00:00
367,41.4,42.39,41.01,41.1,14934000,2003-11-20 06:00:00
368,41.43,41.92,41.06,41.72,10532900,2003-11-21 06:00:00
369,42.25,43.2,42.19,43.11,10212700,2003-11-24 06:00:00
370,43.22,43.81,43.05,43.25,11023700,2003-11-25 06:00:00
371,43.56,43.84,42.62,43.34,9942700,2003-11-26 06:00:00
372,43.23,43.9,43.23,43.8,2447500,2003-11-28 06:00:00
373,44.3,44.39,43.46,44.07,10875500,2003-12-01 06:00:00
374,44.07,44.29,43.67,43.75,11443200,2003-12-02 06:00:00
