,open,high,low,close,volume,datetime
0,7.5,9.5,6.25,6.85,886766,2021-06-07 05:00:00
1,6.69,7.15,6.3743,7.01,160846,2021-06-08 05:00:00
2,7.22,7.65,6.6417,7.08,187976,2021-06-09 05:00:00
3,7.13,8.86,6.9,8.0,946130,2021-06-10 05:00:00
4,8.39,10.54,7.9,8.08,1749848,2021-06-11 05:00:00
5,8.0,8.6,7.4,8.11,740570,2021-06-14 05:00:00
6,8.15,8.6,7.9,8.37,345467,2021-06-15 05:00:00
7,8.46,9.8499,8.0,8.9,1695281,2021-06-16 05:00:00
8,11.0,12.87,9.85,11.13,4840075,2021-06-17 05:00:00
9,10.15,10.97,9.69,9.93,673606,2021-06-18 05:00:00
10,9.95,11.1294,9.1,11.03,633073,2021-06-21 05:00:00
11,10.537,11.6999,9.38,10.22,551404,2021-06-22 05:00:00
12,10.4,11.35,10.1,10.7,359848,2021-06-23 05:00:00
13,10.85,11.65,10.7706,11.02,499496,2021-06-24 05:00:00
14,10.5,13.91,10.5,10.75,2945474,2021-06-25 05:00:00
15,10.56,11.64,10.51,11.0,968824,2021-06-28 05:00:00
16,11.2,11.56,10.6,10.81,482162,2021-06-29 05:00:00
17,10.85,11.115,9.7,9.85,533436,2021-06-30 05:00:00
18,10.01,10.24,9.55,9.76,231836,2021-07-01 05:00:00
19,9.97,10.1308,9.2001,9.26,182083,2021-07-02 05:00:00
20,9.28,10.08,9.28,9.73,199410,2021-07-06 05:00:00
21,9.9,10.0,8.4,8.45,1064270,2021-07-07 05:00:00
22,8.0,8.5,7.8,8.25,630397,2021-07-08 05:00:00
23,8.5,9.2,8.28,9.08,608410,2021-07-09 05:00:00
24,9.0,10.25,9.0,9.85,578067,2021-07-12 05:00:00
25,9.61,10.14,9.5,9.75,557989,2021-07-13 05:00:00
26,9.75,10.7134,9.6001,10.7,968703,2021-07-14 05:00:00
27,10.42,10.6088,9.54,9.8,552080,2021-07-15 05:00:00
28,9.88,10.23,9.65,9.93,404815,2021-07-16 05:00:00
29,9.71,9.95,9.3168,9.72,234672,2021-07-19 05:00:00
30,9.92,10.0,9.52,9.72,240117,2021-07-20 05:00:00
31,9.75,11.89,9.65,11.65,1464269,2021-07-21 05:00:00
32,12.0,13.79,11.5,12.0,2585957,2021-07-22 05:00:00
33,12.5,12.9999,11.45,12.1,955782,2021-07-23 05:00:00
34,12.55,12.75,9.0001,9.79,1953861,2021-07-26 05:00:00
35,9.15,9.2,8.1796,8.69,859920,2021-07-27 05:00:00
36,8.51,9.47,8.4001,9.1,314114,2021-07-28 05:00:00
37,9.5476,9.5476,7.78,7.8,636197,2021-07-29 05:00:00
38,7.5,8.53,7.32,7.6,441035,2021-07-30 05:00:00
39,7.73,8.35,7.65,8.25,121771,2021-08-02 05:00:00
40,8.3,8.58,7.84,8.13,165304,2021-08-03 05:00:00
41,8.06,8.12,7.556,7.6,257003,2021-08-04 05:00:00
42,7.67,8.04,6.97,7.13,458810,2021-08-05 05:00:00
43,7.1,7.47,7.09,7.34,182700,2021-08-06 05:00:00
44,7.27,7.59,7.2,7.22,62151,2021-08-09 05:00:00
45,7.38,7.7,7.19,7.55,181002,2021-08-10 05:00:00
46,7.55,7.8122,7.41,7.67,85839,2021-08-11 05:00:00
47,7.69,7.77,7.4706,7.61,40042,2021-08-12 05:00:00
48,7.59,7.8,7.165,7.27,135494,2021-08-13 05:00:00
49,7.2,7.27,6.56,6.73,446471,2021-08-16 05:00:00
50,6.7,7.1,6.6,7.01,87162,2021-08-17 05:00:00
51,6.97,7.09,6.75,6.89,53269,2021-08-18 05:00:00
52,6.85,6.97,6.71,6.76,64249,2021-08-19 05:00:00
53,6.6368,6.94,6.6368,6.76,75496,2021-08-20 05:00:00
54,6.74,7.41,6.74,7.13,95306,2021-08-23 05:00:00
55,7.24,7.41,6.93,7.16,51546,2021-08-24 05:00:00
56,7.22,7.5599,6.992,7.25,107502,2021-08-25 05:00:00
57,7.19,7.2,6.65,6.6806,177898,2021-08-26 05:00:00
58,6.72,6.8599,6.58,6.78,171377,2021-08-27 05:00:00
59,6.77,6.97,6.5,6.78,229692,2021-08-30 05:00:00
60,6.88,6.97,6.67,6.9,224499,2021-08-31 05:00:00
