,open,high,low,close,volume,datetime
0,10.15,10.2,10.1,10.2,41724,2021-02-01 06:00:00
1,10.2,10.28,10.09,10.15,141826,2021-02-02 06:00:00
2,10.15,10.19,10.09,10.15,366838,2021-02-03 06:00:00
3,10.19,10.53,10.17,10.25,78426,2021-02-04 06:00:00
4,10.3,10.37,10.23,10.32,213424,2021-02-05 06:00:00
5,10.39,10.44,10.28,10.35,189578,2021-02-08 06:00:00
6,10.35,10.41,10.23,10.3,107351,2021-02-09 06:00:00
7,10.37,10.37,10.2,10.29,84663,2021-02-10 06:00:00
8,10.29,10.41,10.29,10.4,63083,2021-02-11 06:00:00
9,10.38,10.4,10.28,10.33,34246,2021-02-12 06:00:00
10,10.43,10.47,10.35,10.47,96162,2021-02-16 06:00:00
11,10.42,10.5,10.35,10.48,92847,2021-02-17 06:00:00
12,10.56,10.56,10.3701,10.43,46611,2021-02-18 06:00:00
13,10.45,10.5,10.38,10.48,143245,2021-02-19 06:00:00
14,10.44,10.48,10.4,10.47,180849,2021-02-22 06:00:00
15,10.35,10.35,10.185,10.3,161004,2021-02-23 06:00:00
16,10.34,10.45,10.2401,10.42,122272,2021-02-24 06:00:00
17,10.35,10.36,10.1,10.16,321559,2021-02-25 06:00:00
18,10.15,10.23,10.05,10.16,284499,2021-02-26 06:00:00
19,10.16,10.32,10.15,10.15,52108,2021-03-01 06:00:00
20,10.14,10.18,10.01,10.03,109279,2021-03-02 06:00:00
21,10.1,10.1,9.93,9.95,127708,2021-03-03 06:00:00
22,10.05,10.05,9.89,9.95,473784,2021-03-04 06:00:00
23,9.95,10.1,9.95,10.09,147864,2021-03-05 06:00:00
24,9.96,10.14,9.95,9.95,86930,2021-03-08 06:00:00
25,9.97,10.05,9.8889,9.89,722822,2021-03-09 06:00:00
26,9.95,9.96,9.895,9.91,86321,2021-03-10 06:00:00
27,9.95,9.95,9.91,9.91,59272,2021-03-11 06:00:00
28,9.91,9.95,9.9,9.92,26741,2021-03-12 06:00:00
29,9.94,9.95,9.895,9.92,7398,2021-03-15 05:00:00
30,9.9228,9.93,9.9,9.9,9201,2021-03-16 05:00:00
31,9.9,10.0,9.9,9.91,31995,2021-03-17 05:00:00
32,9.93,10.0,9.92,9.92,211756,2021-03-18 05:00:00
33,9.94,9.96,9.92,9.93,113173,2021-03-19 05:00:00
34,9.9,9.93,9.79,9.82,99692,2021-03-22 05:00:00
35,9.84,9.9,9.74,9.83,201766,2021-03-23 05:00:00
36,9.8499,9.8499,9.72,9.735,137601,2021-03-24 05:00:00
37,9.6,9.67,9.6,9.66,10409,2021-03-25 05:00:00
