,open,high,low,close,volume,datetime
0,32.0,32.19,30.0,31.35,22911963,2018-10-25 05:00:00
1,30.7,31.21,29.75,31.09,5137449,2018-10-26 05:00:00
2,32.24,32.5,29.0,29.06,2144859,2018-10-29 05:00:00
3,29.0,29.4,27.5897,28.68,2613394,2018-10-30 05:00:00
4,29.13,29.9,28.5,28.69,1984988,2018-10-31 05:00:00
5,28.98,29.88,28.5,29.42,1491743,2018-11-01 05:00:00
6,29.86,30.62,29.6,30.13,872665,2018-11-02 05:00:00
7,30.35,31.72,29.956,30.75,693835,2018-11-05 06:00:00
8,30.69,30.94,29.51,30.47,462698,2018-11-06 06:00:00
9,30.5,30.7499,29.35,29.4,622462,2018-11-07 06:00:00
10,27.7,28.23,26.25,27.7,4920951,2018-11-08 06:00:00
11,28.55,28.59,27.0,27.37,2457060,2018-11-09 06:00:00
12,27.52,27.67,24.16,25.01,2864354,2018-11-12 06:00:00
13,25.09,25.885,24.75,24.8,620795,2018-11-13 06:00:00
14,25.0,25.3,23.37,23.44,2032384,2018-11-14 06:00:00
15,23.5,24.82,23.1236,24.64,1079640,2018-11-15 06:00:00
16,24.64,25.9,24.52,25.31,1486678,2018-11-16 06:00:00
17,24.74,25.0,21.8,22.0,3321451,2018-11-19 06:00:00
18,21.4,21.7548,20.05,21.22,2460833,2018-11-20 06:00:00
19,21.6,22.7178,21.6,22.34,1143828,2018-11-21 06:00:00
20,22.25,22.25,21.09,21.84,723047,2018-11-23 06:00:00
21,21.9,22.2882,21.27,21.7,1261267,2018-11-26 06:00:00
22,22.68,25.75,22.25,22.78,4637019,2018-11-27 06:00:00
23,23.06,24.48,22.7,24.03,2246525,2018-11-28 06:00:00
24,24.04,24.3723,23.4655,23.85,1895054,2018-11-29 06:00:00
25,23.51,24.0399,22.37,23.57,1549794,2018-11-30 06:00:00
26,24.33,24.5048,22.48,22.53,1777495,2018-12-03 06:00:00
27,22.42,23.0,21.7,22.09,1182781,2018-12-04 06:00:00
28,21.52,22.02,21.25,21.67,1556179,2018-12-06 06:00:00
29,21.86,22.41,20.3,20.76,1346348,2018-12-07 06:00:00
30,20.73,21.04,19.65,19.87,1518937,2018-12-10 06:00:00
31,20.2,21.05,20.2,20.59,2185299,2018-12-11 06:00:00
32,20.84,20.95,19.85,19.86,1578955,2018-12-12 06:00:00
33,20.05,20.15,18.21,18.54,1584568,2018-12-13 06:00:00
34,18.4,18.89,17.61,17.71,989233,2018-12-14 06:00:00
35,17.62,18.61,17.01,17.63,2990234,2018-12-17 06:00:00
36,17.75,18.66,17.71,18.45,991436,2018-12-18 06:00:00
37,18.44,18.94,17.9,18.12,1168598,2018-12-19 06:00:00
38,18.14,18.39,17.67,17.78,2110431,2018-12-20 06:00:00
39,18.0,18.07,16.43,16.99,1363484,2018-12-21 06:00:00
40,16.78,16.81,16.14,16.71,367599,2018-12-24 06:00:00
41,16.77,17.63,16.76,17.46,626808,2018-12-26 06:00:00
42,17.28,17.5,16.6501,17.21,932449,2018-12-27 06:00:00
43,17.3,17.73,17.2989,17.6,1162191,2018-12-28 06:00:00
44,17.82,18.68,17.6,18.44,914872,2018-12-31 06:00:00
45,18.29,19.22,17.99,19.07,1310705,2019-01-02 06:00:00
46,18.97,19.175,18.03,18.56,1291913,2019-01-03 06:00:00
47,18.86,20.15,18.75,19.99,1101521,2019-01-04 06:00:00
48,20.06,20.74,19.82,20.69,884098,2019-01-07 06:00:00
49,20.93,21.49,20.59,21.12,814743,2019-01-08 06:00:00
50,21.27,21.39,20.44,21.03,838318,2019-01-09 06:00:00
51,21.03,21.72,20.8,21.43,681079,2019-01-10 06:00:00
52,21.31,21.51,20.68,21.1,498146,2019-01-11 06:00:00
53,20.94,20.98,20.425,20.79,317676,2019-01-14 06:00:00
54,21.25,21.8,20.53,20.71,960574,2019-01-15 06:00:00
55,20.75,21.49,20.67,20.69,564528,2019-01-16 06:00:00
56,20.68,20.98,20.46,20.66,223579,2019-01-17 06:00:00
57,21.06,22.68,20.7913,22.19,1281517,2019-01-18 06:00:00
58,22.2,23.4098,22.2,22.86,1121406,2019-01-22 06:00:00
59,22.88,23.1575,21.51,22.12,637498,2019-01-23 06:00:00
