,open,high,low,close,volume,datetime
0,22.5,22.5,12.5,12.6,500,2011-04-19 05:00:00
1,18.0,23.405,18.0,18.5,3028,2011-04-20 05:00:00
2,20.0,27.99,20.0,26.3,6351,2011-04-21 05:00:00
3,24.1,26.245,22.0,22.0,5636,2011-04-25 05:00:00
4,22.04,22.62,20.01,21.15,7172,2011-04-26 05:00:00
5,21.07,22.99,20.0,20.0,17385,2011-04-27 05:00:00
6,19.52,20.24,19.52,20.0,8959,2011-04-28 05:00:00
7,19.9,20.19,19.1101,19.89,14510,2011-04-29 05:00:00
8,19.01,19.269,17.7099,18.07,10710,2011-05-02 05:00:00
9,15.53,18.07,15.33,16.99,29180,2011-05-03 05:00:00
10,17.0,20.0,16.8,18.98,14683,2011-05-04 05:00:00
11,17.88,20.0,17.0,18.75,3384,2011-05-05 05:00:00
12,18.74,19.75,18.001,18.001,7007,2011-05-06 05:00:00
13,18.5,19.59,18.0,18.0001,7807,2011-05-09 05:00:00
14,18.05,18.118,17.16,17.17,4731,2011-05-10 05:00:00
15,17.16,18.51,17.01,17.0245,14159,2011-05-11 05:00:00
16,17.06,17.45,16.6,17.238,5840,2011-05-12 05:00:00
17,16.94,17.2099,16.6,16.68,6467,2011-05-13 05:00:00
18,16.26,17.1,16.0,16.0,19385,2011-05-16 05:00:00
19,16.0,16.6,15.98,16.573,3864,2011-05-17 05:00:00
20,16.5,17.0,16.5,17.0,2623,2011-05-18 05:00:00
21,16.4,17.73,16.4,16.62,7394,2011-05-19 05:00:00
22,16.6,17.14,16.6,16.64,7234,2011-05-20 05:00:00
23,16.3,16.9,16.3,16.75,2562,2011-05-23 05:00:00
24,16.61,16.74,16.6,16.74,937,2011-05-24 05:00:00
25,16.6,17.7999,16.6,16.6501,2423,2011-05-25 05:00:00
26,16.65,16.88,16.65,16.88,803,2011-05-26 05:00:00
27,16.65,17.7899,16.605,16.63,2587,2011-05-27 05:00:00
28,16.3,17.5,16.3,17.0,7186,2011-05-31 05:00:00
29,16.36,16.56,16.34,16.5,689,2011-06-01 05:00:00
30,16.5,16.501,16.3,16.3,3243,2011-06-02 05:00:00
31,16.3,16.3,16.11,16.27,879,2011-06-03 05:00:00
32,16.1,16.19,16.1,16.1001,1307,2011-06-06 05:00:00
33,16.1,16.276,16.06,16.1,1245,2011-06-07 05:00:00
34,16.06,16.3,16.06,16.3,1887,2011-06-08 05:00:00
