,open,high,low,close,volume,datetime
0,149.05,157.0,142.95,147.0,183880,2007-02-01 06:00:00
1,147.8,148.5,144.75,147.0,121000,2007-02-02 06:00:00
2,147.0,163.0,147.0,162.55,118820,2007-02-05 06:00:00
3,162.0,166.25,160.0,162.8,98360,2007-02-06 06:00:00
4,161.25,162.45,158.3,160.85,103580,2007-02-07 06:00:00
5,160.8,175.5,160.25,175.0,169960,2007-02-08 06:00:00
6,176.2,186.95,175.55,180.0,129780,2007-02-09 06:00:00
7,180.25,187.25,180.0,185.25,76925,2007-02-12 06:00:00
8,186.0,198.65,185.75,197.0,170725,2007-02-13 06:00:00
9,196.25,203.95,193.0,203.4,100880,2007-02-14 06:00:00
10,201.25,204.5,198.5,200.05,67100,2007-02-15 06:00:00
11,197.55,201.25,197.5,199.5,59220,2007-02-16 06:00:00
12,196.75,197.5,194.5,197.45,64060,2007-02-20 06:00:00
13,195.0,205.0,186.916,196.25,79980,2007-02-21 06:00:00
14,194.25,195.0,188.25,192.55,119180,2007-02-22 06:00:00
15,192.5,200.25,192.5,193.75,92720,2007-02-23 06:00:00
16,195.5,197.0,191.0,192.25,22220,2007-02-26 06:00:00
17,187.25,188.25,182.5,184.95,61100,2007-02-27 06:00:00
18,184.35,184.5,179.85,181.5,84620,2007-02-28 06:00:00
19,180.5,182.0,178.0,178.3,36235,2007-03-01 06:00:00
20,175.05,179.25,173.0,179.25,15460,2007-03-02 06:00:00
21,178.5,178.5,174.05,175.0,19140,2007-03-05 06:00:00
22,178.7,182.0,174.75,175.0,23480,2007-03-06 06:00:00
23,174.5,177.5,171.0,172.5,14380,2007-03-07 06:00:00
24,171.25,181.0,171.0,181.0,17200,2007-03-08 06:00:00
25,181.25,186.25,179.0,181.5,14120,2007-03-09 06:00:00
26,215.0,215.0,177.5,187.1,48200,2007-03-12 05:00:00
27,186.45,195.0,181.45,184.25,37240,2007-03-13 05:00:00
28,184.0,186.45,179.0,185.35,16580,2007-03-14 05:00:00
29,184.85,186.0,181.0,182.0,6540,2007-03-15 05:00:00
30,182.25,184.25,179.0,184.25,13400,2007-03-16 05:00:00
31,183.75,184.25,181.5,183.75,7680,2007-03-19 05:00:00
32,183.0,185.0,181.75,183.5,10100,2007-03-20 05:00:00
33,182.25,188.5,182.25,187.7,21960,2007-03-21 05:00:00
34,187.5,189.25,184.0,186.25,10940,2007-03-22 05:00:00
35,185.8,188.5,185.5,187.0,16000,2007-03-23 05:00:00
36,186.5,195.0,186.5,189.05,16380,2007-03-26 05:00:00
37,189.7,190.5,185.0,185.5,11040,2007-03-27 05:00:00
38,185.75,188.5,185.75,187.5,8480,2007-03-28 05:00:00
39,188.25,190.7,187.7,188.65,12720,2007-03-29 05:00:00
40,188.5,192.25,187.75,192.1,16820,2007-03-30 05:00:00
41,192.5,201.5,192.3,199.75,23500,2007-04-02 05:00:00
42,198.5,201.25,198.5,201.05,24100,2007-04-03 05:00:00
43,200.55,206.0,200.25,202.4,20300,2007-04-04 05:00:00
44,202.0,202.0,200.25,200.75,3320,2007-04-05 05:00:00
45,201.0,203.25,201.0,203.25,15100,2007-04-09 05:00:00
46,203.25,204.75,201.4005,203.0,9720,2007-04-10 05:00:00
47,202.1,204.25,201.75,203.2,9940,2007-04-11 05:00:00
48,202.75,203.5,198.75,203.05,14200,2007-04-12 05:00:00
49,202.75,204.95,200.5,203.0,14620,2007-04-13 05:00:00
50,203.0,205.0,202.8005,203.5,11660,2007-04-16 05:00:00
51,203.5,210.95,203.25,210.0,21420,2007-04-17 05:00:00
52,209.0,215.5,209.0,215.25,24060,2007-04-18 05:00:00
53,214.5,222.0,212.55,219.95,25600,2007-04-19 05:00:00
54,222.5,226.75,218.25,225.25,28580,2007-04-20 05:00:00
55,225.25,226.25,224.0,225.0,9240,2007-04-23 05:00:00
56,223.5,225.5,219.8,221.95,6380,2007-04-24 05:00:00
57,221.7,224.0,216.5,219.8,10080,2007-04-25 05:00:00
58,219.0,222.75,217.35,218.7,13180,2007-04-26 05:00:00
59,218.2,221.45,215.65,221.45,8360,2007-04-27 05:00:00
60,221.45,226.2,215.0,221.3,14040,2007-04-30 05:00:00
61,220.75,221.35,215.5,218.75,15660,2007-05-01 05:00:00
62,217.75,222.0,217.75,219.45,7460,2007-05-02 05:00:00
63,218.95,219.75,216.0,219.0,5760,2007-05-03 05:00:00
64,219.5,223.7,217.55,220.5,6620,2007-05-04 05:00:00
65,220.5,223.5,216.346,219.4,4960,2007-05-07 05:00:00
66,219.0,220.95,218.0,219.5,6280,2007-05-08 05:00:00
67,218.75,220.5,215.75,218.95,6440,2007-05-09 05:00:00
68,218.0,218.9,216.05,218.9,7980,2007-05-10 05:00:00
69,218.4,220.5,212.6,213.1,15660,2007-05-11 05:00:00
70,212.75,213.0,209.82,210.05,5760,2007-05-14 05:00:00
71,220.0,220.0,207.5,207.8,13460,2007-05-15 05:00:00
72,207.5,208.5,197.95,201.25,16820,2007-05-16 05:00:00
73,200.0,204.25,198.0,199.95,8800,2007-05-17 05:00:00
74,198.95,201.0,197.98,200.7,4340,2007-05-18 05:00:00
75,200.0,201.8,199.6,201.5,4520,2007-05-21 05:00:00
76,201.5,202.0,198.7,198.7,3000,2007-05-22 05:00:00
