,open,high,low,close,volume,datetime
0,10.35,11.88,10.0,11.08,1569054,2016-07-28 05:00:00
1,11.0,11.91,10.26,11.26,232697,2016-07-29 05:00:00
2,11.6,12.07,11.02,12.07,112857,2016-08-01 05:00:00
3,11.88,13.2,11.88,13.16,105448,2016-08-02 05:00:00
4,13.2,13.7499,13.2,13.65,80071,2016-08-03 05:00:00
5,13.85,13.85,12.8,13.53,108393,2016-08-04 05:00:00
6,13.2,14.52,13.2,14.08,84287,2016-08-05 05:00:00
7,14.5,14.85,13.22,13.82,44311,2016-08-08 05:00:00
8,13.925,14.22,13.265,14.09,23440,2016-08-09 05:00:00
9,13.93,14.1,13.346,14.09,51905,2016-08-10 05:00:00
10,14.0,14.18,13.5,14.0,25117,2016-08-11 05:00:00
11,14.2,14.2,13.5,13.88,59058,2016-08-12 05:00:00
12,14.02,14.1399,13.31,13.67,75611,2016-08-15 05:00:00
13,13.41,14.5,12.17,13.64,95577,2016-08-16 05:00:00
14,13.645,13.6995,12.72,13.45,41464,2016-08-17 05:00:00
15,13.436,13.5,13.06,13.25,34561,2016-08-18 05:00:00
16,13.44,13.53,13.01,13.23,24513,2016-08-19 05:00:00
17,13.05,13.062,12.7,12.85,55701,2016-08-22 05:00:00
18,12.9,13.44,12.9,13.2,41991,2016-08-23 05:00:00
19,13.17,13.87,13.1301,13.59,63677,2016-08-24 05:00:00
20,13.83,13.83,13.35,13.6,23825,2016-08-25 05:00:00
21,13.6,13.7995,13.295,13.57,24502,2016-08-26 05:00:00
22,13.75,13.94,13.5,13.77,37115,2016-08-29 05:00:00
23,13.6992,13.795,13.5,13.71,17634,2016-08-30 05:00:00
24,13.36,14.85,13.36,14.5275,61593,2016-08-31 05:00:00
25,14.52,15.41,14.395,15.02,138048,2016-09-01 05:00:00
26,15.39,16.4412,14.81,14.87,113780,2016-09-02 05:00:00
27,14.75,15.439,14.5211,15.075,67674,2016-09-06 05:00:00
28,15.65,16.26,15.6,15.86,189534,2016-09-07 05:00:00
29,16.33,16.33,15.76,16.1,73803,2016-09-08 05:00:00
30,16.2,16.2,15.75,15.95,43435,2016-09-09 05:00:00
31,15.91,15.91,15.42,15.66,46969,2016-09-12 05:00:00
32,15.62,16.9813,15.5,16.55,119320,2016-09-13 05:00:00
33,16.36,18.39,16.0,18.1,247818,2016-09-14 05:00:00
34,18.25,19.26,17.65,18.66,107450,2016-09-15 05:00:00
35,18.9,20.05,18.74,19.52,255001,2016-09-16 05:00:00
36,19.72,21.2,17.48,17.98,155144,2016-09-19 05:00:00
37,17.8,19.29,17.8,19.25,89807,2016-09-20 05:00:00
38,19.39,19.39,18.76,19.16,68441,2016-09-21 05:00:00
39,19.09,19.59,18.08,19.2,67726,2016-09-22 05:00:00
40,19.6,20.55,19.02,20.18,107396,2016-09-23 05:00:00
41,20.17,22.29,19.75,19.95,233846,2016-09-26 05:00:00
42,20.09,20.9795,18.642,18.94,86220,2016-09-27 05:00:00
43,19.07,19.5,18.5825,19.14,179016,2016-09-28 05:00:00
44,19.24,19.4,17.26,17.5,125999,2016-09-29 05:00:00
45,17.5,19.64,17.5,18.7,453529,2016-09-30 05:00:00
46,19.0,19.0,17.99,18.45,74251,2016-10-03 05:00:00
47,18.67,18.67,18.07,18.14,24972,2016-10-04 05:00:00
48,18.35,19.59,18.11,19.03,33194,2016-10-05 05:00:00
49,18.95,19.0,18.65,18.84,18003,2016-10-06 05:00:00
50,18.91,20.25,18.6516,19.87,87487,2016-10-07 05:00:00
51,19.83,20.14,19.42,19.59,25330,2016-10-10 05:00:00
52,19.29,19.29,17.6166,19.02,67392,2016-10-11 05:00:00
53,18.92,18.92,18.04,18.45,19086,2016-10-12 05:00:00
54,18.33,19.1804,18.32,19.03,27126,2016-10-13 05:00:00
55,19.46,19.46,18.0,18.3,38322,2016-10-14 05:00:00
56,18.61,19.3899,18.565,19.12,31836,2016-10-17 05:00:00
57,19.33,19.33,18.34,19.03,30016,2016-10-18 05:00:00
58,19.0201,19.339,18.955,19.19,19705,2016-10-19 05:00:00
59,19.11,19.16,18.483,18.99,16137,2016-10-20 05:00:00
60,18.85,19.14,18.18,18.83,17524,2016-10-21 05:00:00
61,18.81,19.5708,18.3,19.33,32487,2016-10-24 05:00:00
62,19.44,19.695,19.365,19.5,17331,2016-10-25 05:00:00
63,19.7,19.7,18.65,18.71,8961,2016-10-26 05:00:00
64,18.93,19.03,17.24,17.5,39303,2016-10-27 05:00:00
65,17.64,18.8739,17.0001,17.52,47040,2016-10-28 05:00:00
66,17.54,17.88,17.2701,17.765,26283,2016-10-31 05:00:00
67,17.74,17.85,17.13,17.34,23858,2016-11-01 05:00:00
68,18.25,18.25,17.04,17.57,26326,2016-11-02 05:00:00
69,17.71,17.79,16.74,16.86,24474,2016-11-03 05:00:00
70,17.04,17.7,17.04,17.35,17127,2016-11-04 05:00:00
71,17.49,18.205,17.47,17.57,25039,2016-11-07 06:00:00
72,17.5,17.53,16.83,17.04,43739,2016-11-08 06:00:00
73,17.35,17.58,15.711,17.18,41306,2016-11-09 06:00:00
74,17.95,18.59,17.33,18.28,34393,2016-11-10 06:00:00
75,19.25,19.25,18.37,18.49,51088,2016-11-11 06:00:00
76,18.62,18.62,17.28,17.35,18338,2016-11-14 06:00:00
77,17.3,17.65,17.0,17.54,20847,2016-11-15 06:00:00
78,17.4,18.14,16.15,18.0,39950,2016-11-16 06:00:00
79,18.4742,19.0,17.46,18.81,16591,2016-11-17 06:00:00
80,18.64,19.23,18.21,18.45,26473,2016-11-18 06:00:00
81,18.899,18.9,18.1,18.34,16554,2016-11-21 06:00:00
82,18.4,18.68,17.75,18.11,21293,2016-11-22 06:00:00
83,17.52,17.61,16.8,16.98,40424,2016-11-23 06:00:00
84,17.07,17.07,16.56,16.7,17204,2016-11-25 06:00:00
85,16.82,16.86,16.01,16.23,20308,2016-11-28 06:00:00
86,16.02,16.79,15.67,16.41,23187,2016-11-29 06:00:00
87,16.07,16.99,16.01,16.33,25140,2016-11-30 06:00:00
88,16.3,17.745,15.75,15.98,28611,2016-12-01 06:00:00
89,15.85,16.2,14.9,15.07,36849,2016-12-02 06:00:00
90,15.65,16.0,14.701,14.9,60109,2016-12-05 06:00:00
