,open,high,low,close,volume,datetime
0,33.0,33.89,29.9,30.25,9648563,2018-07-26 05:00:00
1,29.99,32.5,29.8,30.5,1580816,2018-07-27 05:00:00
2,30.68,30.795,29.1,29.72,1178231,2018-07-30 05:00:00
3,30.02,30.38,29.4226,29.9,759323,2018-07-31 05:00:00
4,29.98,30.5,29.75,29.85,831358,2018-08-01 05:00:00
5,29.88,30.98,29.52,30.5,462088,2018-08-02 05:00:00
6,30.35,30.7236,29.76,29.93,241175,2018-08-03 05:00:00
7,30.08,30.15,29.6351,29.91,313955,2018-08-06 05:00:00
8,29.88,32.1,29.88,31.35,500583,2018-08-07 05:00:00
9,31.61,34.36,30.84,33.95,461181,2018-08-08 05:00:00
10,34.05,35.51,33.63,33.95,579990,2018-08-09 05:00:00
11,34.07,34.9,33.01,33.97,432031,2018-08-10 05:00:00
12,34.41,34.6962,33.3,33.69,287755,2018-08-13 05:00:00
13,33.71,34.4,32.5,33.0,275109,2018-08-14 05:00:00
14,32.95,33.29,29.9,30.93,579896,2018-08-15 05:00:00
15,31.4,31.9389,30.3573,31.24,209200,2018-08-16 05:00:00
16,31.29,32.62,30.76,31.33,313730,2018-08-17 05:00:00
17,31.75,32.69,31.65,31.99,373933,2018-08-20 05:00:00
18,32.14,32.6735,31.6516,32.45,244496,2018-08-21 05:00:00
19,32.29,33.9,32.051,33.55,249531,2018-08-22 05:00:00
20,33.55,34.3506,33.25,33.88,303551,2018-08-23 05:00:00
21,33.87,34.0,33.35,33.53,347167,2018-08-24 05:00:00
22,33.65,33.65,31.7,31.71,443776,2018-08-27 05:00:00
23,31.98,32.52,31.801,32.47,267376,2018-08-28 05:00:00
24,32.43,34.1,32.43,33.75,307186,2018-08-29 05:00:00
25,33.9,34.0,32.51,32.72,338224,2018-08-30 05:00:00
26,32.81,33.879,32.73,33.16,284131,2018-08-31 05:00:00
27,33.16,33.74,32.87,33.34,456235,2018-09-04 05:00:00
28,33.5,33.67,31.01,32.25,941827,2018-09-05 05:00:00
29,30.1,31.26,29.81,30.77,963994,2018-09-06 05:00:00
30,30.78,31.31,30.32,31.22,526574,2018-09-07 05:00:00
31,31.45,32.68,31.02,32.65,347764,2018-09-10 05:00:00
32,32.4,34.44,32.02,33.86,574943,2018-09-11 05:00:00
33,33.71,36.32,33.1,35.46,733368,2018-09-12 05:00:00
34,35.26,36.1862,34.134,34.56,359767,2018-09-13 05:00:00
35,34.51,34.93,33.7,34.05,320923,2018-09-14 05:00:00
36,34.29,35.51,34.01,35.01,797638,2018-09-17 05:00:00
37,35.12,36.83,35.12,35.86,581397,2018-09-18 05:00:00
38,35.74,36.59,32.61,33.76,691970,2018-09-19 05:00:00
39,33.89,36.86,33.89,36.28,1262063,2018-09-20 05:00:00
40,36.57,38.46,35.53,37.15,5962062,2018-09-21 05:00:00
41,36.7,38.87,36.7,37.17,551908,2018-09-24 05:00:00
42,37.34,37.88,37.05,37.68,437379,2018-09-25 05:00:00
43,37.67,38.62,37.48,38.04,498644,2018-09-26 05:00:00
44,38.34,38.99,38.0,38.39,449917,2018-09-27 05:00:00
45,38.39,39.18,37.95,38.88,558159,2018-09-28 05:00:00
46,39.12,39.38,38.18,38.52,722020,2018-10-01 05:00:00
47,38.57,38.57,37.5017,37.76,722713,2018-10-02 05:00:00
48,38.04,38.49,37.5,37.99,588261,2018-10-03 05:00:00
49,38.04,38.25,37.007,37.41,353661,2018-10-04 05:00:00
50,37.31,37.59,36.3,36.38,451680,2018-10-05 05:00:00
51,36.25,36.25,33.92,34.79,582095,2018-10-08 05:00:00
52,34.6,35.44,33.6601,33.95,286170,2018-10-09 05:00:00
53,33.86,33.9392,29.85,30.03,695644,2018-10-10 05:00:00
54,29.79,30.34,26.78,27.36,1160295,2018-10-11 05:00:00
55,28.48,29.335,27.51,27.89,569611,2018-10-12 05:00:00
56,28.0,28.9,27.2,27.99,370829,2018-10-15 05:00:00
57,28.26,29.82,28.03,29.66,342112,2018-10-16 05:00:00
58,29.81,30.39,28.88,30.14,335651,2018-10-17 05:00:00
59,29.81,31.0,28.79,29.58,319722,2018-10-18 05:00:00
60,30.23,30.74,28.05,28.89,290963,2018-10-19 05:00:00
61,28.97,29.65,28.15,28.46,231373,2018-10-22 05:00:00
62,28.1,29.67,27.9,29.35,395104,2018-10-23 05:00:00
63,29.33,29.98,28.12,28.14,381179,2018-10-24 05:00:00
64,28.48,29.67,28.21,29.39,260301,2018-10-25 05:00:00
65,28.51,28.9359,27.6792,27.89,313268,2018-10-26 05:00:00
66,28.96,30.4,27.77,28.3,324843,2018-10-29 05:00:00
67,28.22,28.96,26.1,27.9,531197,2018-10-30 05:00:00
68,29.05,30.45,27.5,28.48,388519,2018-10-31 05:00:00
69,28.65,29.11,27.38,28.95,365349,2018-11-01 05:00:00
70,29.14,29.53,28.39,28.64,146546,2018-11-02 05:00:00
71,28.77,29.06,27.54,28.13,275023,2018-11-05 06:00:00
72,27.99,29.47,27.9368,28.91,235492,2018-11-06 06:00:00
73,29.38,31.98,29.31,31.82,228192,2018-11-07 06:00:00
74,31.81,32.75,31.1,31.78,246278,2018-11-08 06:00:00
75,31.32,31.42,28.54,29.21,260612,2018-11-09 06:00:00
76,28.95,30.49,28.29,28.47,156310,2018-11-12 06:00:00
77,28.56,28.9699,27.66,28.79,124944,2018-11-13 06:00:00
78,29.18,29.19,27.675,28.08,199593,2018-11-14 06:00:00
79,27.84,29.54,27.5,28.72,180255,2018-11-15 06:00:00
80,28.81,30.6,28.34,30.55,217677,2018-11-16 06:00:00
81,30.44,30.44,27.02,27.51,277101,2018-11-19 06:00:00
82,27.01,27.01,25.4712,26.44,407347,2018-11-20 06:00:00
83,26.77,27.9,25.55,25.74,200803,2018-11-21 06:00:00
84,25.54,27.27,25.54,26.93,80279,2018-11-23 06:00:00
85,27.39,28.2399,26.92,27.71,105884,2018-11-26 06:00:00
86,27.5,28.87,26.9728,27.17,138312,2018-11-27 06:00:00
87,27.45,28.43,27.17,28.04,272582,2018-11-28 06:00:00
88,28.6,29.891,28.0274,29.07,177366,2018-11-29 06:00:00
89,29.26,29.8599,28.34,28.48,166087,2018-11-30 06:00:00
90,29.65,29.89,28.57,29.81,136042,2018-12-03 06:00:00
91,29.54,29.676,27.38,27.76,166640,2018-12-04 06:00:00
92,27.02,29.26,26.52,29.26,175812,2018-12-06 06:00:00
93,29.21,29.24,27.67,28.27,150297,2018-12-07 06:00:00
94,28.75,28.75,26.95,28.0,222588,2018-12-10 06:00:00
95,28.61,28.7239,26.1,26.33,179973,2018-12-11 06:00:00
96,26.84,27.605,26.17,27.03,157343,2018-12-12 06:00:00
97,27.25,27.43,25.9,26.12,126428,2018-12-13 06:00:00
98,25.78,26.83,25.22,25.75,129055,2018-12-14 06:00:00
99,25.41,25.82,23.02,23.3,375884,2018-12-17 06:00:00
100,23.76,24.84,23.51,24.51,294722,2018-12-18 06:00:00
101,24.35,24.925,22.73,23.18,227841,2018-12-19 06:00:00
102,23.1,23.248,20.91,21.21,425159,2018-12-20 06:00:00
103,21.32,22.27,20.23,20.62,1076399,2018-12-21 06:00:00
104,20.35,21.71,20.0,21.52,190465,2018-12-24 06:00:00
105,21.82,23.72,21.105,23.44,402575,2018-12-26 06:00:00
106,22.81,23.92,21.5001,23.43,384439,2018-12-27 06:00:00
107,23.77,23.77,21.7,22.26,386447,2018-12-28 06:00:00
108,22.44,22.88,21.7,22.19,229566,2018-12-31 06:00:00
109,21.75,22.29,21.16,21.45,248604,2019-01-02 06:00:00
110,21.2,21.72,20.29,20.55,219502,2019-01-03 06:00:00
111,20.9,21.78,20.7387,21.17,260090,2019-01-04 06:00:00
112,21.23,23.3189,21.1,22.88,278995,2019-01-07 06:00:00
113,23.28,23.89,22.95,23.39,476525,2019-01-08 06:00:00
114,23.69,24.11,23.1099,24.04,441338,2019-01-09 06:00:00
115,23.65,23.72,22.56,23.18,370242,2019-01-10 06:00:00
116,23.11,24.92,22.77,24.42,316437,2019-01-11 06:00:00
117,24.27,25.18,22.93,23.07,431118,2019-01-14 06:00:00
118,24.01,26.0,24.01,25.31,696960,2019-01-15 06:00:00
119,25.72,26.0,24.62,25.4,551622,2019-01-16 06:00:00
120,25.31,26.52,25.31,25.89,396757,2019-01-17 06:00:00
121,26.14,27.0,25.29,26.07,1054194,2019-01-18 06:00:00
122,25.82,26.07,24.75,25.25,351932,2019-01-22 06:00:00
123,25.38,25.9,24.74,25.42,344548,2019-01-23 06:00:00
124,25.66,25.88,24.949,25.51,184983,2019-01-24 06:00:00
125,26.02,26.9,25.55,26.81,319347,2019-01-25 06:00:00
126,26.53,27.065,26.12,26.83,376232,2019-01-28 06:00:00
127,26.94,27.1,26.37,26.89,248005,2019-01-29 06:00:00
128,26.71,27.47,26.53,27.21,275377,2019-01-30 06:00:00
129,27.1,28.735,27.1,27.68,402893,2019-01-31 06:00:00
130,28.2,28.61,27.51,28.39,225709,2019-02-01 06:00:00
131,28.44,29.61,28.1501,29.41,260846,2019-02-04 06:00:00
