,open,high,low,close,volume,datetime
0,16.03,17.01,16.0,16.18,183098,2013-01-18 06:00:00
1,16.23,16.57,15.9,16.03,262800,2013-01-22 06:00:00
2,16.06,16.21,15.92,16.1,193910,2013-01-23 06:00:00
3,16.08,16.44,16.024,16.33,184575,2013-01-24 06:00:00
4,16.47,16.51,16.14,16.51,394341,2013-01-25 06:00:00
5,16.5,16.65,16.32,16.6,563618,2013-01-28 06:00:00
6,16.54,16.79,16.51,16.76,241130,2013-01-29 06:00:00
7,16.76,16.7832,16.315,16.5,374779,2013-01-30 06:00:00
8,16.52,16.84,16.46,16.78,220313,2013-01-31 06:00:00
9,16.76,17.13,16.74,16.88,495744,2013-02-01 06:00:00
10,16.78,16.78,16.44,16.61,191056,2013-02-04 06:00:00
11,16.75,16.7895,16.39,16.46,304619,2013-02-05 06:00:00
12,16.28,16.58,15.91,16.56,255146,2013-02-06 06:00:00
13,16.51,16.69,16.15,16.31,177080,2013-02-07 06:00:00
14,16.41,16.85,16.38,16.68,155419,2013-02-08 06:00:00
15,16.62,16.91,16.605,16.9,128004,2013-02-11 06:00:00
16,16.9,17.05,16.84,17.01,140435,2013-02-12 06:00:00
17,17.06,17.24,16.96,17.23,446024,2013-02-13 06:00:00
18,18.14,18.14,17.0,17.09,606993,2013-02-14 06:00:00
19,17.08,18.9599,16.5,18.24,1416892,2013-02-15 06:00:00
20,18.5,18.553,17.96,18.1,620522,2013-02-19 06:00:00
21,18.06,18.12,17.92,17.98,756646,2013-02-20 06:00:00
22,18.02,18.11,17.37,17.64,191286,2013-02-21 06:00:00
23,17.92,17.92,17.65,17.84,160294,2013-02-22 06:00:00
24,17.91,18.0,17.52,17.54,341770,2013-02-25 06:00:00
25,17.7,17.89,17.5601,17.79,155751,2013-02-26 06:00:00
26,17.8,18.41,17.77,18.2,342422,2013-02-27 06:00:00
27,18.2,18.57,18.15,18.31,349098,2013-02-28 06:00:00
28,18.27,18.59,17.9701,18.21,309803,2013-03-01 06:00:00
29,18.1,18.4,17.99,18.22,454589,2013-03-04 06:00:00
30,18.4,19.1,18.39,18.73,608455,2013-03-05 06:00:00
31,18.87,18.92,18.5,18.59,295897,2013-03-06 06:00:00
32,18.66,18.81,18.15,18.2,700301,2013-03-07 06:00:00
33,18.48,18.58,18.16,18.52,556915,2013-03-08 06:00:00
34,18.5,18.77,18.23,18.39,475637,2013-03-11 05:00:00
35,18.39,18.64,18.39,18.56,204627,2013-03-12 05:00:00
36,18.54,18.95,18.46,18.94,456346,2013-03-13 05:00:00
37,19.04,19.46,19.015,19.44,315076,2013-03-14 05:00:00
38,19.56,19.65,19.22,19.435,506923,2013-03-15 05:00:00
39,19.19,19.7,19.0,19.64,327411,2013-03-18 05:00:00
40,19.66,19.71,19.0701,19.39,144778,2013-03-19 05:00:00
41,19.59,19.88,19.4801,19.87,271354,2013-03-20 05:00:00
42,19.96,19.96,19.06,19.32,402469,2013-03-21 05:00:00
43,19.3,19.3099,18.98,19.07,474227,2013-03-22 05:00:00
44,19.2,19.32,18.96,19.19,500852,2013-03-25 05:00:00
45,19.32,19.42,19.05,19.38,352894,2013-03-26 05:00:00
46,19.27,19.55,19.14,19.29,356475,2013-03-27 05:00:00
