,open,high,low,close,volume,datetime
0,11.84525,11.97471,11.84525,11.84525,1236,2002-06-10 05:00:00
1,12.29835,12.29835,11.7158,11.7158,5871,2002-06-11 05:00:00
2,12.03944,12.03944,11.97471,11.97471,4017,2002-06-12 05:00:00
3,11.97471,11.97471,11.65107,11.97471,2626,2002-06-13 05:00:00
4,11.97471,11.97471,11.97471,11.97471,618,2002-06-14 05:00:00
5,11.97471,11.97471,11.97471,11.97471,154,2002-06-17 05:00:00
6,11.65107,11.97471,11.65107,11.81289,3399,2002-06-18 05:00:00
7,11.97471,11.97471,11.97471,11.97471,772,2002-06-19 05:00:00
8,11.97471,12.13653,11.81289,12.02649,5871,2002-06-20 05:00:00
9,12.29835,12.29835,12.29835,12.29835,309,2002-06-21 05:00:00
10,11.7158,12.29835,11.65107,12.23362,3090,2002-06-24 05:00:00
11,12.29835,12.29835,12.29835,12.29835,309,2002-06-25 05:00:00
12,11.65107,12.29835,11.45688,11.97471,6180,2002-06-26 05:00:00
13,11.97471,11.97471,11.97471,11.97471,309,2002-06-27 05:00:00
14,11.65107,11.65107,11.65107,11.65107,927,2002-06-28 05:00:00
15,11.81289,11.81289,11.32743,11.65107,3554,2002-07-01 05:00:00
16,11.65107,11.65107,11.16561,11.52161,618,2002-07-02 05:00:00
17,11.16561,11.58634,11.16561,11.58634,4326,2002-07-03 05:00:00
18,11.16561,11.16561,11.00379,11.00379,2936,2002-07-05 05:00:00
19,11.48925,11.48925,11.48925,11.48925,154,2002-07-08 05:00:00
20,11.00379,11.48925,10.90669,11.48925,6489,2002-07-10 05:00:00
21,11.00379,11.00379,10.84197,11.00379,618,2002-07-11 05:00:00
22,11.32743,11.32743,11.32743,11.32743,1082,2002-07-12 05:00:00
23,11.16561,11.58634,11.16561,11.58634,1854,2002-07-15 05:00:00
24,11.58634,11.58634,11.16561,11.16561,6026,2002-07-16 05:00:00
25,11.48925,11.48925,11.16561,11.32743,8034,2002-07-17 05:00:00
26,11.48925,11.58634,11.16561,11.58634,3244,2002-07-18 05:00:00
27,11.23033,11.58634,11.16561,11.58634,5098,2002-07-19 05:00:00
28,11.17208,11.48925,11.16561,11.48925,10042,2002-07-22 05:00:00
29,11.32743,11.65107,11.00379,11.00379,12513,2002-07-23 05:00:00
30,11.00379,11.00379,11.00379,11.00379,2163,2002-07-24 05:00:00
31,11.32743,11.65107,11.00379,11.48925,1390,2002-07-25 05:00:00
32,11.48925,11.48925,11.32743,11.32743,3244,2002-07-26 05:00:00
33,11.42452,11.42452,11.42452,11.42452,309,2002-07-30 05:00:00
34,11.42452,11.42452,11.13324,11.13324,2781,2002-07-31 05:00:00
35,11.32743,11.32743,11.32743,11.32743,1545,2002-08-01 05:00:00
36,11.19797,11.19797,11.19797,11.19797,154,2002-08-02 05:00:00
37,11.42452,11.42452,11.03615,11.03615,6334,2002-08-05 05:00:00
38,11.23033,11.32743,11.16561,11.16561,3244,2002-08-06 05:00:00
39,11.10088,11.32743,11.10088,11.32743,3090,2002-08-08 05:00:00
40,11.32743,11.32743,11.13324,11.16561,3554,2002-08-09 05:00:00
41,11.2627,11.2627,11.00379,11.16561,15294,2002-08-13 05:00:00
42,11.06851,11.2627,11.00379,11.2627,2781,2002-08-14 05:00:00
43,11.00379,11.29506,11.00379,11.16561,7880,2002-08-16 05:00:00
44,11.16561,11.16561,11.16561,11.16561,4017,2002-08-19 05:00:00
45,11.00379,11.13324,11.00379,11.13324,618,2002-08-21 05:00:00
46,11.13324,11.16561,11.00379,11.16561,772,2002-08-22 05:00:00
47,11.00379,11.13324,10.87433,11.00379,3090,2002-08-23 05:00:00
48,11.13324,11.13324,10.87433,10.87433,464,2002-08-26 05:00:00
49,11.13324,11.13324,11.13324,11.13324,309,2002-08-27 05:00:00
50,10.87433,10.87433,10.87433,10.87433,309,2002-08-28 05:00:00
51,10.97142,11.06851,10.97142,11.00379,3708,2002-08-29 05:00:00
