,open,high,low,close,volume,datetime
0,12.1,12.38,12.1,12.1,3500,2002-06-10 05:00:00
1,12.01,12.4,12.01,12.4,900,2002-06-11 05:00:00
2,12.65,13.35,12.4,13.35,6700,2002-06-12 05:00:00
3,13.09,13.59,13.09,13.59,4300,2002-06-13 05:00:00
4,13.0,13.34,13.0,13.1,3100,2002-06-14 05:00:00
5,13.1,13.25,13.0,13.25,4500,2002-06-17 05:00:00
6,12.77,12.77,12.75,12.75,3900,2002-06-18 05:00:00
7,12.75,12.8,12.55,12.55,2600,2002-06-19 05:00:00
8,12.55,12.8,12.52,12.75,4200,2002-06-20 05:00:00
9,12.95,12.95,12.94,12.95,1700,2002-06-21 05:00:00
10,12.95,13.0,12.95,13.0,3200,2002-06-24 05:00:00
11,13.01,14.19,13.01,13.9,5500,2002-06-25 05:00:00
12,13.4,14.56,13.18,14.56,3700,2002-06-26 05:00:00
13,13.86,15.0,13.86,14.52,1000,2002-06-27 05:00:00
14,14.56,14.74,14.56,14.74,5100,2002-06-28 05:00:00
15,14.8,14.8,14.35,14.35,1700,2002-07-01 05:00:00
16,14.25,15.03,14.24,14.99,7900,2002-07-02 05:00:00
17,15.04,15.25,14.8,15.25,2100,2002-07-03 05:00:00
18,14.5,14.9,14.5,14.9,4500,2002-07-05 05:00:00
19,14.79,14.79,14.79,14.79,600,2002-07-08 05:00:00
20,15.0,15.0,14.94,14.94,300,2002-07-09 05:00:00
21,14.85,14.85,14.6,14.6,1200,2002-07-10 05:00:00
22,14.59,14.59,14.36,14.36,400,2002-07-11 05:00:00
23,14.2,14.21,14.14,14.14,1500,2002-07-12 05:00:00
24,14.0,14.21,13.79,14.18,3900,2002-07-15 05:00:00
25,13.66,13.66,13.65,13.65,800,2002-07-16 05:00:00
26,13.65,14.22,13.55,13.55,1700,2002-07-17 05:00:00
27,13.5,14.22,13.5,14.22,200,2002-07-18 05:00:00
28,13.45,13.45,13.39,13.39,400,2002-07-19 05:00:00
29,13.3,13.3,12.0,12.0,4600,2002-07-22 05:00:00
30,12.01,12.95,12.01,12.94,800,2002-07-23 05:00:00
31,12.95,12.95,12.2,12.2,1000,2002-07-25 05:00:00
32,12.95,13.21,12.69,13.21,10800,2002-07-26 05:00:00
33,13.74,13.74,12.93,13.59,2800,2002-07-29 05:00:00
34,13.51,15.58,13.51,14.9,29900,2002-07-30 05:00:00
35,14.9,14.9,14.5,14.5,700,2002-07-31 05:00:00
36,13.67,13.67,13.0,13.0,1300,2002-08-01 05:00:00
37,12.88,12.88,12.88,12.88,100,2002-08-05 05:00:00
38,12.5,14.75,12.5,14.75,20300,2002-08-07 05:00:00
39,14.74,14.75,14.74,14.75,1500,2002-08-08 05:00:00
40,14.31,14.31,14.05,14.05,1100,2002-08-09 05:00:00
41,14.68,14.68,14.68,14.68,100,2002-08-12 05:00:00
42,14.59,14.59,14.12,14.38,3800,2002-08-13 05:00:00
43,14.5,14.58,13.9,13.9,4000,2002-08-14 05:00:00
44,14.2,14.6,14.05,14.2,3900,2002-08-15 05:00:00
45,14.07,14.19,14.05,14.05,400,2002-08-16 05:00:00
46,14.23,14.23,14.23,14.23,100,2002-08-19 05:00:00
47,13.85,13.9,13.75,13.9,1100,2002-08-21 05:00:00
48,13.57,13.57,13.57,13.57,100,2002-08-22 05:00:00
49,13.5,13.5,13.5,13.5,1100,2002-08-23 05:00:00
50,13.45,13.73,13.35,13.35,1700,2002-08-27 05:00:00
51,13.65,13.8,13.65,13.8,3600,2002-08-30 05:00:00
52,13.75,13.75,13.52,13.54,1600,2002-09-04 05:00:00
53,13.75,14.14,13.6,13.6,1100,2002-09-05 05:00:00
54,13.73,13.73,13.38,13.39,1000,2002-09-06 05:00:00
55,13.3,13.73,13.28,13.28,1600,2002-09-09 05:00:00
56,13.7,13.73,13.27,13.59,2200,2002-09-10 05:00:00
57,13.32,13.32,12.46,12.74,4200,2002-09-11 05:00:00
58,12.47,12.6,12.41,12.41,1000,2002-09-12 05:00:00
59,12.75,12.75,12.75,12.75,300,2002-09-13 05:00:00
60,13.0,13.05,12.94,13.05,5200,2002-09-16 05:00:00
61,12.9,12.9,12.9,12.9,100,2002-09-17 05:00:00
62,13.0,13.01,11.57,12.0,4000,2002-09-19 05:00:00
63,11.61,11.95,11.5,11.95,600,2002-09-20 05:00:00
64,12.24,12.25,12.1,12.1,2500,2002-09-24 05:00:00
65,12.44,12.5,12.43,12.5,1600,2002-09-25 05:00:00
66,12.49,12.49,11.99,12.12,7400,2002-09-26 05:00:00
67,12.15,12.15,12.0,12.0,5000,2002-09-30 05:00:00
68,12.1,12.1,12.0,12.0,200,2002-10-01 05:00:00
69,11.88,11.88,11.88,11.88,500,2002-10-02 05:00:00
70,11.88,11.88,11.88,11.88,100,2002-10-04 05:00:00
71,12.0,12.0,12.0,12.0,700,2002-10-07 05:00:00
72,11.86,11.87,11.07,11.2,8200,2002-10-09 05:00:00
73,11.2,11.2,11.2,11.2,400,2002-10-10 05:00:00
74,11.2,11.2,11.2,11.2,100,2002-10-14 05:00:00
75,11.25,11.25,11.0,11.0,2000,2002-10-15 05:00:00
76,11.22,11.22,11.22,11.22,100,2002-10-16 05:00:00
77,11.05,11.21,11.05,11.21,700,2002-10-21 05:00:00
78,11.04,11.2,10.99,11.2,9200,2002-10-24 05:00:00
79,10.94,10.99,10.93,10.99,1800,2002-10-30 06:00:00
80,11.45,11.45,10.99,10.99,2000,2002-11-01 06:00:00
81,10.99,10.99,10.99,10.99,200,2002-11-04 06:00:00
82,10.99,11.01,10.99,11.0,5000,2002-11-06 06:00:00
83,10.96,10.96,10.95,10.95,2400,2002-11-07 06:00:00
84,11.0,11.2,10.95,11.2,1100,2002-11-12 06:00:00
85,11.39,11.4,11.39,11.4,2000,2002-11-13 06:00:00
86,11.42,11.42,11.42,11.42,200,2002-11-14 06:00:00
87,11.19,11.19,11.19,11.19,100,2002-11-15 06:00:00
88,11.0,11.2,10.98,10.98,1700,2002-11-18 06:00:00
89,11.0,11.0,11.0,11.0,1300,2002-11-19 06:00:00
